,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Stricker,67.8,339,5
1,2,2,Tiger Woods,68.11,613,9
2,3,3,Zach Johnson,68.2,682,10
3,4,4,Phil Mickelson,68.5,685,10
4,5,5,Brendon de Jonge,68.63,1098,16
5,T6,T6,Hunter Mahan,68.73,756,11
6,T6,T6,Charl Schwartzel,68.73,756,11
7,8,8,Morgan Hoffmann,68.8,688,10
8,9,9,Camilo Villegas,68.83,826,12
9,10,10,Brandt Snedeker,68.91,758,11
10,11,11,Matt Kuchar,68.92,827,12
11,12,12,Webb Simpson,69.09,760,11
12,13,13,Henrik Stenson,69.1,691,10
13,14,14,Charley Hoffman,69.3,693,10
14,15,15,Freddie Jacobson,69.33,624,9
15,16,16,Matt Jones,69.38,902,13
16,T17,T17,Harris English,69.43,972,14
17,T17,T17,Jim Herman,69.43,486,7
18,T17,T17,Billy Horschel,69.43,972,14
19,20,20,Ryan Palmer,69.46,903,13
20,21,21,Chris Kirk,69.5,695,10
21,22,22,Jason Kokrak,69.54,904,13
22,23,23,Bob Estes,69.55,765,11
23,24,24,Daniel Summerhays,69.6,1044,15
24,25,25,Jeff Overton,69.62,905,13
25,26,26,Charles Howell III,69.64,766,11
26,T27,T27,Ángel Cabrera,69.67,627,9
27,T27,T27,Jerry Kelly,69.67,1045,15
28,29,29,Kevin Stadler,69.69,906,13
29,T30,T30,Roberto Castro,69.75,1116,16
30,T30,T30,Justin Rose,69.75,558,8
31,32,32,Boo Weekley,69.86,978,14
32,33,33,D.J. Trahan,69.89,629,9
33,34,34,Gary Woodland,69.92,909,13
34,35,35,Jason Dufner,69.94,1119,16
35,T36,T36,Graham DeLaet,70.0,910,13
36,T36,T36,Bryce Molder,70.0,1050,15
37,T36,T36,Chris Stroud,70.0,770,11
38,T39,T39,Matt Every,70.06,1261,18
39,T39,T39,Rory Sabbatini,70.06,1121,16
40,T41,T41,Chez Reavie,70.11,631,9
41,T41,T41,Jordan Spieth,70.11,631,9
42,43,43,Jim Furyk,70.18,772,11
43,T44,T44,Jason Day,70.2,702,10
44,T44,T44,Jeff Maggert,70.2,702,10
45,T46,T46,Brad Fritsch,70.22,632,9
46,T46,T46,Vaughn Taylor,70.22,632,9
47,48,48,Nick Watney,70.23,913,13
48,49,49,Marc Leishman,70.25,843,12
49,T50,T50,Russell Henley,70.27,773,11
50,T50,T50,Justin Leonard,70.27,773,11
51,T50,T50,Jimmy Walker,70.27,773,11
52,53,53,D.H. Lee,70.3,703,10
53,54,54,Keegan Bradley,70.31,914,13
54,T55,T55,Peter Hanson,70.33,633,9
55,T55,T55,Scott Piercy,70.33,844,12
56,T55,T55,Lee Williams,70.33,844,12
57,58,58,Nicholas Thompson,70.35,1196,17
58,59,59,Tommy Gainey,70.53,1199,17
59,T60,T60,Rickie Fowler,70.55,776,11
60,T60,T60,Dicky Pride,70.55,776,11
61,T62,T62,Kevin Chappell,70.56,635,9
62,T62,T62,Brian Gay,70.56,1129,16
63,T64,T64,Pat Perez,70.58,847,12
64,T64,T64,Carl Pettersson,70.58,847,12
65,T66,T66,Ben Crane,70.6,706,10
66,T66,T66,Sergio Garcia,70.6,353,5
67,68,68,Brendan Steele,70.62,918,13
68,69,69,Andrew Svoboda,70.63,565,8
69,T70,T70,Bill Haas,70.67,848,12
70,T70,T70,Ben Kohles,70.67,848,12
71,T70,T70,Casey Wittenberg,70.67,636,9
72,73,73,"Ted Potter, Jr.",70.69,919,13
73,T74,T74,Sangmoon Bae,70.73,778,11
74,T74,T74,Ryo Ishikawa,70.73,778,11
75,T74,T74,Dustin Johnson,70.73,778,11
76,T74,T74,Y.E. Yang,70.73,778,11
77,78,78,Tag Ridings,70.75,849,12
78,T79,T79,James Driscoll,70.77,920,13
79,T79,T79,Josh Teater,70.77,920,13
80,T81,T81,Luke Donald,70.8,354,5
81,T81,T81,Jin Park,70.8,708,10
82,T81,T81,Vijay Singh,70.8,708,10
83,84,84,William McGirt,70.83,850,12
84,85,85,Ken Duke,70.87,1063,15
85,86,86,Bo Van Pelt,70.9,709,10
86,T87,T87,Brian Stuard,70.92,851,12
87,T87,T87,Lee Westwood,70.92,851,12
