,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Aaron Watkins,46,35.92,51,142
1,2,2,Tiger Woods,61,34.86,38,109
2,3,3,Dicky Pride,71,32.11,70,218
3,4,4,Steve Stricker,51,31.94,46,144
4,5,5,Brandt Snedeker,79,31.39,70,223
5,6,6,Brian Davis,91,30.48,107,351
6,7,7,Phil Mickelson,78,30.04,67,223
7,8,8,Bryce Molder,82,29.01,76,262
8,9,9,Ben Crane,62,28.85,60,208
9,10,10,Morgan Hoffmann,64,28.51,63,221
10,11,11,K.J. Choi,85,27.92,67,240
11,12,12,Jason Bohn,70,27.72,74,267
12,13,13,Justin Rose,62,27.61,45,163
13,14,14,David Hearn,88,27.6,85,308
14,15,15,Camilo Villegas,79,27.36,58,212
15,16,16,Webb Simpson,92,27.34,70,256
16,17,17,Chris Kirk,89,27.24,82,301
17,18,18,Graham DeLaet,94,27.13,70,258
18,19,19,Luke Guthrie,82,27.09,68,251
19,20,20,Justin Leonard,86,27.07,72,266
20,21,21,Charl Schwartzel,69,27.06,46,170
21,22,22,Billy Horschel,96,26.97,89,330
22,23,23,Matt Jones,83,26.91,67,249
23,24,24,Jordan Spieth,82,26.72,70,262
24,25,25,Scott Langley,79,26.48,67,253
25,26,26,Jason Kokrak,78,25.88,66,255
26,27,27,Adam Scott,61,25.81,40,155
27,28,28,Mike Weir,60,25.71,45,175
28,29,29,Greg Chalmers,77,25.69,65,253
29,30,30,Jason Dufner,78,25.63,71,277
30,31,31,Cameron Tringale,80,25.62,72,281
31,32,32,Brandt Jobe,62,25.56,46,180
32,33,33,Roberto Castro,97,25.47,82,322
33,34,34,Rory McIlroy,56,25.43,44,173
34,35,35,Matt Every,89,25.32,80,316
35,36,36,Vaughn Taylor,50,25.31,41,162
36,37,37,Tim Herron,45,25.29,44,174
37,38,38,Charley Hoffman,84,25.27,71,281
38,39,39,John Senden,79,25.26,48,190
39,T40,T40,Tim Clark,64,25.0,41,164
40,T40,T40,Freddie Jacobson,63,25.0,46,184
41,42,42,Doug LaBelle II,72,24.88,50,201
42,43,43,Matt Kuchar,93,24.8,63,254
43,44,44,Hunter Mahan,91,24.79,59,238
44,45,45,Jimmy Walker,84,24.76,78,315
45,T46,T46,Jim Furyk,80,24.57,57,232
46,T46,T46,Gary Woodland,94,24.57,71,289
47,48,48,Y.E. Yang,56,24.41,31,127
48,49,49,Ian Poulter,59,24.39,40,164
49,50,50,Zach Johnson,84,24.33,64,263
50,51,51,Kevin Stadler,83,24.28,67,276
51,52,52,Justin Hicks,79,24.24,56,231
52,53,53,Bud Cauley,67,24.19,52,215
53,54,54,Chez Reavie,72,24.17,58,240
54,55,55,Stuart Appleby,88,24.1,74,307
55,56,56,Luke Donald,60,24.07,39,162
56,57,57,Ken Duke,87,24.04,69,287
57,T58,T58,Rickie Fowler,75,23.94,51,213
58,T58,T58,Chris Stroud,88,23.94,62,259
59,60,60,Michael Bradley,56,23.81,40,168
60,T61,T61,"Ted Potter, Jr.",65,23.7,50,211
61,T61,T61,Darron Stiles,51,23.7,41,173
62,63,63,John Merrick,79,23.69,59,249
63,64,64,Ryan Palmer,79,23.53,60,255
64,65,65,Scott Piercy,78,23.5,55,234
65,66,66,Lee Williams,62,23.39,51,218
66,67,67,Jason Day,86,23.38,54,231
67,68,68,Charles Howell III,87,23.37,68,291
68,69,69,Pat Perez,69,23.35,53,227
69,70,70,Daniel Summerhays,83,23.33,70,300
70,71,71,Robert Garrigus,69,23.12,40,173
71,72,72,Nicholas Thompson,99,23.01,75,326
72,73,73,Ben Curtis,59,22.96,45,196
73,T74,T74,David Lynn,70,22.95,56,244
74,T74,T74,Nick Watney,88,22.95,67,292
75,76,76,John Rollins,77,22.92,58,253
76,77,77,Aaron Baddeley,68,22.87,51,223
