,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Rory McIlroy,56,30.99,22,71
1,2,2,Freddie Jacobson,63,25.64,20,78
2,3,3,Tiger Woods,61,25.53,12,47
3,4,4,Sergio Garcia,65,23.47,23,98
4,5,5,Bubba Watson,76,22.86,24,105
5,6,6,Aaron Baddeley,68,22.66,29,128
6,7,7,Rory Sabbatini,86,21.74,30,138
7,8,8,Charl Schwartzel,69,21.51,20,93
8,9,9,Bo Van Pelt,72,21.13,15,71
9,10,10,Dustin Johnson,71,21.05,24,114
10,11,11,Patrick Reed,83,20.92,32,153
11,12,12,Kevin Stadler,83,20.9,28,134
12,13,13,Jimmy Walker,84,20.83,30,144
13,14,14,Robert Garrigus,69,20.37,22,108
14,15,15,Ernie Els,63,20.0,14,70
15,16,16,Phil Mickelson,78,19.4,26,134
16,17,17,Chad Campbell,78,19.35,24,124
17,18,18,Padraig Harrington,52,19.3,11,57
18,19,19,Cameron Tringale,80,19.2,24,125
19,20,20,K.J. Choi,85,19.1,17,89
20,21,21,Steve Stricker,51,19.05,8,42
21,22,22,Charles Howell III,87,19.01,23,121
22,23,23,Adam Scott,61,18.99,15,79
23,24,24,Hunter Mahan,91,18.95,18,95
24,25,25,John Rollins,77,18.87,20,106
25,26,26,Charlie Wi,75,18.68,17,91
26,27,27,Charley Hoffman,84,18.64,22,118
27,28,28,James Hahn,78,18.58,21,113
28,29,29,Chris Kirk,89,18.33,22,120
29,30,30,Brandt Snedeker,79,18.28,17,93
30,31,31,Matt Kuchar,93,18.25,23,126
31,T32,T32,Justin Rose,62,18.18,12,66
32,T32,T32,Henrik Stenson,65,18.18,12,66
33,34,34,Jason Dufner,78,18.1,19,105
34,35,35,Luke Donald,60,18.06,13,72
35,36,36,Billy Horschel,96,18.05,24,133
36,37,37,Ángel Cabrera,73,18.02,20,111
37,38,38,Ryan Palmer,79,17.97,23,128
38,39,39,Kevin Streelman,86,17.76,19,107
39,40,40,Brandt Jobe,62,17.65,12,68
40,41,41,Geoff Ogilvy,57,17.57,13,74
41,42,42,Bud Cauley,67,17.53,17,97
42,T43,T43,Peter Hanson,45,17.5,14,80
43,T43,T43,D.A. Points,87,17.5,21,120
44,T45,T45,Zach Johnson,84,17.31,18,104
45,T45,T45,Aaron Watkins,46,17.31,9,52
46,47,47,Daniel Summerhays,83,17.27,24,139
47,48,48,"Ted Potter, Jr.",65,17.05,15,88
48,49,49,Greg Chalmers,77,17.0,17,100
49,50,50,Graham DeLaet,94,16.95,20,118
50,51,51,Jason Kokrak,78,16.88,26,154
51,T52,T52,Jason Bohn,70,16.67,17,102
52,T52,T52,Brian Davis,91,16.67,23,138
53,T52,T52,James Driscoll,76,16.67,22,132
54,T52,T52,Luke List,65,16.67,27,162
55,T52,T52,Scott Piercy,78,16.67,15,90
56,57,57,David Lingmerth,68,16.48,15,91
57,58,58,Jim Herman,59,16.47,14,85
58,59,59,Pat Perez,69,16.36,18,110
59,60,60,Sangmoon Bae,83,16.28,21,129
60,61,61,Ryo Ishikawa,72,16.26,20,123
61,T62,T62,John Merrick,79,15.93,18,113
62,T62,T62,Henrik Norlander,70,15.93,18,113
63,T64,T64,Russell Henley,80,15.91,21,132
64,T64,T64,Josh Teater,86,15.91,14,88
65,T66,T66,Matt Every,89,15.89,24,151
66,T66,T66,Gary Woodland,94,15.89,24,151
67,68,68,Matt Jones,83,15.79,15,95
68,69,69,Jeff Maggert,63,15.73,14,89
69,70,70,Tag Ridings,69,15.7,19,121
70,T71,T71,Chez Reavie,72,15.69,16,102
71,T71,T71,Andres Romero,63,15.69,16,102
72,T73,T73,Marc Leishman,77,15.53,16,103
73,T73,T73,Kyle Stanley,71,15.53,16,103
74,75,75,Seung-Yul Noh,71,15.44,23,149
75,T76,T76,Tommy Gainey,84,15.38,24,156
76,T76,T76,D.H. Lee,65,15.38,10,65
77,78,78,Ben Crane,62,15.22,14,92
78,79,79,Lee Westwood,70,15.19,12,79
79,T80,T80,Justin Bolli,59,15.0,12,80
80,T80,T80,Bryce Molder,82,15.0,12,80
81,82,82,Luke Guthrie,82,14.81,20,135
82,83,83,John Senden,79,14.71,15,102
83,84,84,Webb Simpson,92,14.66,17,116
84,T85,T85,Erik Compton,74,14.62,19,130
85,T85,T85,Bill Haas,85,14.62,19,130
86,T87,T87,Steve LeBrun,66,14.29,12,84
87,T87,T87,Justin Leonard,86,14.29,17,119
88,T87,T87,Graeme McDowell,53,14.29,7,49
89,T87,T87,D.J. Trahan,48,14.29,11,77
90,91,91,Stuart Appleby,88,14.17,17,120
91,T92,T92,Ricky Barnes,74,14.16,16,113
92,T92,T92,Kevin Chappell,80,14.16,16,113
93,94,94,Nicholas Thompson,99,14.12,24,170
94,95,95,Martin Laird,68,14.1,11,78
95,96,96,Morgan Hoffmann,64,14.02,15,107
96,97,97,Boo Weekley,100,13.91,16,115
97,T98,T98,Martin Kaymer,61,13.7,10,73
98,T98,T98,Jin Park,52,13.7,10,73
99,100,100,Charlie Beljan,62,13.68,13,95
100,101,101,Ken Duke,87,13.64,12,88
101,102,102,Harris English,95,13.56,16,118
102,103,103,Stewart Cink,71,13.54,13,96
103,T104,T104,Jonas Blixt,76,13.53,18,133
104,T104,T104,Brendan Steele,86,13.53,18,133
105,106,106,Scott Stallings,79,13.51,15,111
106,107,107,William McGirt,75,13.49,17,126
107,T108,T108,Martin Flores,83,13.41,24,179
108,T108,T108,George McNeill,68,13.41,11,82
