,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Bud Cauley,24,100.0,6.0
1,T1,T1,Jason Day,21,100.0,10.0
2,T1,T1,Bill Haas,25,100.0,3.0
3,T1,T1,Hunter Mahan,25,100.0,3.0
4,T1,T1,"Ted Potter, Jr.",22,100.0,5.0
5,T1,T1,Charl Schwartzel,19,100.0,5.0
6,T1,T1,Henrik Stenson,18,100.0,5.0
7,T1,T1,Kevin Streelman,25,100.0,9.0
8,T1,T1,Aaron Watkins,19,100.0,3.0
9,T10,T10,Stewart Cink,22,87.5,7.0
10,T10,T10,Ernie Els,19,87.5,7.0
11,T10,T10,Patrick Reed,26,87.5,7.0
12,T10,T10,Michael Thompson,22,87.5,7.0
13,T14,T14,Matt Kuchar,23,85.7,6.0
14,T14,T14,John Rollins,24,85.7,6.0
15,T14,T14,Bo Van Pelt,22,85.7,6.0
16,T17,T17,Scott Brown,21,83.3,5.0
17,T17,T17,Luke Donald,17,83.3,5.0
18,T17,T17,Derek Ernst,21,83.3,5.0
19,T17,T17,Dustin Johnson,22,83.3,5.0
20,T17,T17,Ben Kohles,25,83.3,5.0
21,T17,T17,Doug LaBelle II,23,83.3,10.0
22,T17,T17,Troy Matteson,24,83.3,5.0
23,T17,T17,Rory McIlroy,16,83.3,5.0
24,T17,T17,Bryce Molder,24,83.3,10.0
25,T26,T26,Will Claxton,24,80.0,4.0
26,T26,T26,Graham DeLaet,26,80.0,8.0
27,T26,T26,Padraig Harrington,17,80.0,4.0
28,T26,T26,Martin Kaymer,17,80.0,8.0
29,T26,T26,Webb Simpson,25,80.0,8.0
30,T26,T26,D.J. Trahan,16,80.0,4.0
31,32,32,Bubba Watson,21,77.8,7.0
32,T33,T33,Keegan Bradley,25,75.0,6.0
33,T33,T33,Jim Furyk,22,75.0,3.0
34,T33,T33,Tommy Gainey,28,75.0,6.0
35,T33,T33,Jerry Kelly,22,75.0,6.0
36,T33,T33,John Merrick,23,75.0,6.0
37,T33,T33,Geoff Ogilvy,19,75.0,6.0
38,T33,T33,Robert Streb,25,75.0,6.0
39,T33,T33,Brian Stuard,25,75.0,6.0
40,T33,T33,Daniel Summerhays,26,75.0,6.0
41,T33,T33,Johnson Wagner,24,75.0,3.0
42,T33,T33,Jimmy Walker,24,75.0,6.0
43,T33,T33,Nick Watney,26,75.0,6.0
44,45,45,Boo Weekley,27,73.7,14.0
45,T46,T46,Billy Horschel,26,72.7,8.0
46,T46,T46,Ryan Palmer,22,72.7,8.0
47,T46,T46,Camilo Villegas,23,72.7,8.0
48,T49,T49,Ben Curtis,20,71.4,5.0
49,T49,T49,Jason Dufner,22,71.4,5.0
50,T49,T49,Scott Stallings,27,71.4,5.0
51,T49,T49,Mike Weir,22,71.4,5.0
52,T53,T53,Jason Bohn,23,70.0,7.0
53,T53,T53,J.J. Henry,26,70.0,7.0
54,T53,T53,Justin Hicks,25,70.0,7.0
55,T56,T56,Jonas Blixt,24,66.7,6.0
56,T56,T56,Martin Flores,25,66.7,6.0
57,T56,T56,Rickie Fowler,22,66.7,4.0
58,T56,T56,Brad Fritsch,24,66.7,8.0
59,T56,T56,Bobby Gates,20,66.7,2.0
60,T56,T56,James Hahn,26,66.7,6.0
61,T56,T56,Freddie Jacobson,19,66.7,4.0
62,T56,T56,Matt Jones,24,66.7,6.0
63,T56,T56,D.H. Lee,22,66.7,4.0
64,T56,T56,George McNeill,21,66.7,8.0
65,T56,T56,Greg Owen,24,66.7,6.0
66,T56,T56,Ian Poulter,16,66.7,2.0
67,T56,T56,Tag Ridings,24,66.7,4.0
68,T56,T56,Chris Stroud,26,66.7,8.0
69,T56,T56,Cameron Tringale,24,66.7,8.0
70,71,71,Justin Leonard,24,64.3,9.0
71,T72,T72,Kevin Chappell,24,63.6,7.0
72,T72,T72,Brian Davis,28,63.6,7.0
73,T72,T72,Bob Estes,18,63.6,7.0
74,T75,T75,Ryo Ishikawa,23,62.5,5.0
75,T75,T75,Scott Langley,27,62.5,5.0
76,T75,T75,Marc Leishman,23,62.5,5.0
77,T75,T75,Phil Mickelson,21,62.5,5.0
78,T75,T75,Carl Pettersson,24,62.5,10.0
79,T75,T75,Scott Piercy,24,62.5,5.0
80,T75,T75,Rory Sabbatini,27,62.5,5.0
81,T82,T82,Robert Allenby,24,60.0,3.0
82,T82,T82,K.J. Choi,24,60.0,9.0
