,Late_Round_2_Scoring_Average_RANK THIS WEEK,Late_Round_2_Scoring_Average_RANK LAST WEEK,Late_Round_2_Scoring_Average_PLAYER NAME,Late_Round_2_Scoring_Average_AVG,Late_Round_2_Scoring_Average_TOTAL STROKES,Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Henrik Stenson,68.36,752,11
1,2,2,Tiger Woods,68.56,617,9
2,3,3,Charles Howell III,68.64,755,11
3,4,4,Jordan Spieth,68.8,688,10
4,5,5,Martin Flores,68.83,826,12
5,6,6,Steve Stricker,68.86,482,7
6,7,7,Andres Romero,68.88,551,8
7,8,8,Brendon de Jonge,68.94,1103,16
8,9,9,Adam Scott,69.0,414,6
9,10,10,Matt Kuchar,69.1,691,10
10,11,11,Jim Furyk,69.2,692,10
11,12,12,K.J. Choi,69.21,969,14
12,13,13,Chris Kirk,69.22,623,9
13,14,14,Sergio Garcia,69.4,347,5
14,15,15,Phil Mickelson,69.44,625,9
15,16,16,Chris Stroud,69.45,764,11
16,17,17,Rory McIlroy,69.5,417,6
17,18,18,Bill Haas,69.67,836,12
18,19,19,Hunter Mahan,69.73,767,11
19,T20,T20,Steven Bowditch,69.75,837,12
20,T20,T20,Cameron Percy,69.75,558,8
21,T20,T20,John Rollins,69.75,837,12
22,23,23,David Hearn,69.8,1047,15
23,24,24,Bubba Watson,69.91,769,11
24,T25,T25,Stuart Appleby,70.0,910,13
25,T25,T25,Bob Estes,70.0,700,10
26,T25,T25,Fabián Gómez,70.0,770,11
27,T25,T25,Richard Lee,70.0,700,10
28,T25,T25,Justin Rose,70.0,630,9
29,T25,T25,Gary Woodland,70.0,770,11
30,31,31,Steve LeBrun,70.13,561,8
31,32,32,David Toms,70.14,491,7
32,33,33,Graham DeLaet,70.23,913,13
33,34,34,Greg Chalmers,70.25,843,12
34,35,35,"Ted Potter, Jr.",70.27,773,11
35,36,36,Jeff Overton,70.3,703,10
36,37,37,Bryce Molder,70.31,914,13
37,T38,T38,Sangmoon Bae,70.33,633,9
38,T38,T38,Ángel Cabrera,70.33,633,9
39,T38,T38,Dustin Johnson,70.33,633,9
40,41,41,Harris English,70.36,985,14
41,T42,T42,Rory Sabbatini,70.4,1056,15
42,T42,T42,Kyle Stanley,70.4,704,10
43,T44,T44,Brian Stuard,70.42,845,12
44,T44,T44,Boo Weekley,70.42,845,12
45,46,46,Charl Schwartzel,70.45,775,11
46,47,47,Kevin Stadler,70.46,916,13
47,T48,T48,Erik Compton,70.55,776,11
48,T48,T48,Colt Knost,70.55,776,11
49,50,50,Jason Dufner,70.57,988,14
50,51,51,Bud Cauley,70.58,847,12
51,T52,T52,Ben Kohles,70.6,706,10
52,T52,T52,Doug LaBelle II,70.6,706,10
53,54,54,John Huh,70.69,1131,16
54,T55,T55,Brian Davis,70.75,849,12
55,T55,T55,Freddie Jacobson,70.75,566,8
56,57,57,Vaughn Taylor,70.78,637,9
57,58,58,Charlie Wi,70.8,708,10
58,59,59,William McGirt,70.82,779,11
59,T60,T60,Justin Hicks,70.83,850,12
60,T60,T60,Aaron Watkins,70.83,425,6
61,62,62,Chad Campbell,70.85,921,13
62,63,63,Ian Poulter,70.86,496,7
63,T64,T64,Matt Every,70.88,1205,17
64,T64,T64,Nicholas Thompson,70.88,1134,16
65,T66,T66,James Driscoll,70.9,709,10
66,T66,T66,Charley Hoffman,70.9,709,10
67,T66,T66,Shawn Stefani,70.9,709,10
68,69,69,Ben Crane,70.91,780,11
69,T70,T70,Stephen Ames,71.0,781,11
70,T70,T70,Jason Bohn,71.0,852,12
71,T70,T70,Rickie Fowler,71.0,710,10
72,T70,T70,Zach Johnson,71.0,781,11
73,T70,T70,Marc Leishman,71.0,781,11
74,T70,T70,George McNeill,71.0,710,10
75,76,76,Josh Teater,71.07,1066,15
76,77,77,Stewart Cink,71.08,853,12
77,78,78,Lee Westwood,71.09,782,11
78,79,79,Brad Fritsch,71.1,711,10
79,T80,T80,David Lynn,71.11,640,9
80,T80,T80,Darron Stiles,71.11,640,9
81,T80,T80,Mark Wilson,71.11,640,9
82,T83,T83,J.J. Henry,71.14,996,14
83,T83,T83,Jim Herman,71.14,498,7
84,T85,T85,Jason Kokrak,71.17,854,12
85,T85,T85,Carl Pettersson,71.17,854,12
86,T87,T87,Trevor Immelman,71.18,783,11
87,T87,T87,David Mathis,71.18,783,11
88,T87,T87,Troy Matteson,71.18,783,11
89,90,90,Kevin Chappell,71.2,712,10
90,91,91,Roberto Castro,71.21,997,14
91,T92,T92,Jeff Maggert,71.22,641,9
92,T92,T92,Cameron Tringale,71.22,641,9
93,94,94,Kevin Streelman,71.23,926,13
94,95,95,Andrew Svoboda,71.25,570,8
95,96,96,Ryan Palmer,71.29,998,14
96,T97,T97,Justin Bolli,71.3,713,10
