,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Aaron Watkins,67.67,203,3
1,T2,T2,Justin Bolli,69.0,276,4
2,T2,T2,Robert Streb,69.0,759,11
3,4,4,Jordan Spieth,69.22,1246,18
4,5,5,Bryce Molder,69.24,1177,17
5,6,6,David Toms,69.38,555,8
6,7,7,Matt Jones,69.53,1182,17
7,8,8,Keegan Bradley,69.65,1393,20
8,9,9,Brendon de Jonge,69.68,1742,25
9,10,10,Webb Simpson,69.7,1394,20
10,11,11,D.J. Trahan,69.71,488,7
11,12,12,Phil Mickelson,69.78,1256,18
12,13,13,John Rollins,69.85,908,13
13,14,14,Patrick Reed,69.86,978,14
14,15,15,Rory Sabbatini,69.87,1048,15
15,T16,T16,Kevin Streelman,69.89,1258,18
16,T16,T16,Jimmy Walker,69.89,1258,18
17,18,18,Jason Day,69.9,1398,20
18,T19,T19,Henrik Stenson,70.0,1050,15
19,T19,T19,Brian Stuard,70.0,840,12
20,21,21,Russell Henley,70.06,1121,16
21,22,22,D.H. Lee,70.09,771,11
22,T23,T23,Ricky Barnes,70.11,631,9
23,T23,T23,Bud Cauley,70.11,631,9
24,T25,T25,Martin Flores,70.13,1122,16
25,T25,T25,Luke List,70.13,561,8
26,T25,T25,Cameron Tringale,70.13,1122,16
27,28,28,Doug LaBelle II,70.15,912,13
28,29,29,Justin Rose,70.21,983,14
29,30,30,Michael Thompson,70.27,773,11
30,T31,T31,Dicky Pride,70.3,703,10
31,T31,T31,Boo Weekley,70.3,1617,23
32,33,33,Ernie Els,70.31,914,13
33,34,34,Kevin Stadler,70.33,1055,15
34,35,35,Zach Johnson,70.37,1337,19
35,T36,T36,Rory McIlroy,70.38,915,13
36,T36,T36,Jeff Overton,70.38,1126,16
37,38,38,Scott Piercy,70.4,1056,15
38,39,39,Brandt Snedeker,70.41,1197,17
39,T40,T40,Graham DeLaet,70.43,1479,21
