,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Brendon de Jonge,110,399
1,2,2,Billy Horschel,96,380
2,3,3,Harris English,95,368
3,4,4,Graham DeLaet,94,362
4,5,5,Nicholas Thompson,99,354
5,6,6,Boo Weekley,100,350
6,7,7,Roberto Castro,97,349
7,8,8,Chris Kirk,89,343
8,9,9,Brian Davis,91,339
9,10,10,Matt Every,89,337
10,11,11,Webb Simpson,92,336
11,T12,T12,David Hearn,88,334
12,T12,T12,Rory Sabbatini,86,334
13,T12,T12,Gary Woodland,94,334
14,T15,T15,Charley Hoffman,84,329
15,T15,T15,Phil Mickelson,78,329
16,17,17,Keegan Bradley,88,327
17,18,18,Sangmoon Bae,83,325
18,19,19,Jordan Spieth,82,319
19,20,20,Matt Kuchar,93,318
20,21,21,Jimmy Walker,84,316
21,22,22,Chris Stroud,88,315
22,T23,T23,Ryan Palmer,79,314
23,T23,T23,Brandt Snedeker,79,314
24,T25,T25,Charles Howell III,87,312
25,T25,T25,Hunter Mahan,91,312
26,27,27,D.A. Points,87,310
27,28,28,Daniel Summerhays,83,307
28,T29,T29,Justin Leonard,86,306
29,T29,T29,Nick Watney,88,306
30,31,31,Kevin Stadler,83,304
31,32,32,Matt Jones,83,302
32,33,33,Patrick Reed,83,301
33,34,34,Bryce Molder,82,297
34,35,35,Zach Johnson,84,296
35,36,36,Kevin Streelman,86,295
36,T37,T37,John Huh,88,293
37,T37,T37,Josh Teater,86,293
38,39,39,Luke Guthrie,82,292
39,40,40,Martin Flores,83,291
40,41,41,Russell Henley,80,289
41,T42,T42,Jason Day,86,287
42,T42,T42,Bill Haas,85,287
43,44,44,Ken Duke,87,286
44,45,45,Brian Harman,89,285
45,46,46,Tommy Gainey,84,283
46,47,47,Jeff Overton,78,282
47,T48,T48,Jason Kokrak,78,281
48,T48,T48,Brendan Steele,86,281
49,T50,T50,Stuart Appleby,88,280
50,T50,T50,Kevin Chappell,80,280
51,T50,T50,K.J. Choi,85,280
52,T50,T50,Brad Fritsch,81,280
53,T54,T54,Jason Dufner,78,276
54,T54,T54,Charl Schwartzel,69,276
55,T54,T54,Bubba Watson,76,276
56,57,57,Scott Stallings,79,275
57,T58,T58,Jim Furyk,80,274
58,T58,T58,Cameron Tringale,80,274
59,60,60,Camilo Villegas,79,273
60,61,61,Scott Piercy,78,272
61,62,62,James Hahn,78,271
62,63,63,Carl Pettersson,82,268
63,64,64,John Merrick,79,267
64,65,65,James Driscoll,76,266
65,T66,T66,Jason Bohn,70,265
66,T66,T66,Rickie Fowler,75,265
67,68,68,Dustin Johnson,71,264
68,T69,T69,John Rollins,77,263
69,T69,T69,Charlie Wi,75,263
70,71,71,Brian Gay,79,261
71,72,72,Justin Hicks,79,260
72,73,73,Greg Chalmers,77,259
73,T74,T74,William McGirt,75,258
74,T74,T74,John Senden,79,258
75,76,76,Richard Lee,81,256
76,T77,T77,Ángel Cabrera,73,254
77,T77,T77,Pat Perez,69,254
78,79,79,Marc Leishman,77,252
79,T80,T80,Morgan Hoffmann,64,250
80,T80,T80,Jerry Kelly,75,250
81,T82,T82,Stewart Cink,71,249
82,T82,T82,Erik Compton,74,249
83,T82,T82,David Lingmerth,68,249
84,T85,T85,Chad Campbell,78,245
85,T85,T85,J.J. Henry,83,245
86,T85,T85,Ryan Moore,72,245
87,T88,T88,Robert Garrigus,69,244
88,T88,T88,Chez Reavie,72,244
89,T88,T88,Tiger Woods,61,244
90,T91,T91,Steven Bowditch,67,241
91,T91,T91,Henrik Stenson,65,241
92,93,93,Jonas Blixt,76,240
93,T94,T94,Doug LaBelle II,72,238
94,T94,T94,Greg Owen,73,238
95,T94,T94,Brian Stuard,78,238
96,T97,T97,Justin Rose,62,237
97,T97,T97,Robert Streb,75,237
98,T97,T97,Bo Van Pelt,72,237
99,T97,T97,Lee Westwood,70,237
100,101,101,Henrik Norlander,70,236
101,102,102,Scott Langley,79,232
102,103,103,Aaron Baddeley,68,231
103,104,104,Fabián Gómez,65,230
104,105,105,Seung-Yul Noh,71,229
105,T106,T106,Sergio Garcia,65,227
106,T106,T106,Kyle Stanley,71,227
107,T108,T108,Ben Kohles,75,225
108,T108,T108,George McNeill,68,225
109,T108,T108,Adam Scott,61,225
110,T111,T111,Ryo Ishikawa,72,224
111,T111,T111,D.H. Lee,65,224
112,T113,T113,Ricky Barnes,74,223
113,T113,T113,David Lynn,70,223
114,115,115,Bob Estes,66,221
115,T116,T116,Lucas Glover,65,220
116,T116,T116,Dicky Pride,71,220
117,T118,T118,Cameron Percy,68,219
118,T118,T118,Andres Romero,63,219
119,T120,T120,Martin Laird,68,217
120,T120,T120,David Mathis,71,217
121,T122,T122,Luke Donald,60,216
122,T122,T122,Rory McIlroy,56,216
123,T122,T122,Tag Ridings,69,216
124,125,125,Bud Cauley,67,215
125,T126,T126,Scott Brown,65,211
126,T126,T126,Jeff Maggert,63,211
127,128,128,Steve LeBrun,66,210
128,129,129,Shawn Stefani,63,209
129,T130,T130,Charlie Beljan,62,207
130,T130,T130,"Ted Potter, Jr.",65,207
131,132,132,Luke List,65,205
132,133,133,Ernie Els,63,202
133,134,134,Troy Matteson,68,201
134,135,135,Freddie Jacobson,63,200
135,136,136,Casey Wittenberg,72,199
136,137,137,Colt Knost,69,196
137,138,138,Will Claxton,67,195
138,T139,T139,Trevor Immelman,73,194
139,T139,T139,Steve Stricker,51,194
140,T141,T141,Tim Clark,64,193
141,T141,T141,Tom Gillis,69,193
142,T141,T141,Mike Weir,60,193
143,T144,T144,Scott Gardiner,61,191
144,T144,T144,Jim Herman,59,191
145,T144,T144,Michael Thompson,66,191
146,147,147,Martin Kaymer,61,187
147,148,148,Brandt Jobe,62,186
148,149,149,Ben Crane,62,183
149,150,150,Vijay Singh,61,181
150,T151,T151,Justin Bolli,59,179
151,T151,T151,Derek Ernst,58,179
152,T151,T151,Alistair Presnell,59,179
153,T151,T151,Lee Williams,62,179
154,T151,T151,Y.E. Yang,56,179
155,156,156,Geoff Ogilvy,57,178
156,157,157,Vaughn Taylor,50,174
157,T158,T158,Ben Curtis,59,171
158,T158,T158,Ian Poulter,59,171
159,160,160,Johnson Wagner,64,170
160,161,161,Robert Allenby,58,168
161,162,162,Sean O'Hair,56,167
162,163,163,Robert Karlsson,56,162
163,T164,T164,Stephen Ames,49,160
164,T164,T164,D.J. Trahan,48,160
165,166,166,Michael Bradley,56,158
166,167,167,Jin Park,52,156
167,168,168,Mark Wilson,56,155
168,169,169,Aaron Watkins,46,152
169,170,170,Graeme McDowell,53,150
170,171,171,David Toms,49,149
171,172,172,Darron Stiles,51,148
172,173,173,Padraig Harrington,52,145
173,T174,T174,Peter Hanson,45,144
174,T174,T174,Eric Meierdierks,48,144
175,176,176,Rod Pampling,46,141
176,177,177,Tim Herron,45,139
177,178,178,Andrew Svoboda,46,138
178,179,179,Nicolas Colsaerts,50,136
179,180,180,Bobby Gates,49,126
