,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Steve Stricker,51,66.5,133,2
1,2,2,Adam Scott,61,67.0,67,1
2,3,3,Sergio Garcia,65,68.0,340,5
3,4,4,Graeme McDowell,53,68.33,205,3
4,5,5,Jim Furyk,80,68.44,616,9
5,6,6,Charl Schwartzel,69,69.13,553,8
6,7,7,Graham DeLaet,94,69.17,830,12
7,8,8,Charles Howell III,87,69.29,970,14
8,9,9,Chris Kirk,89,69.36,1526,22
9,10,10,Webb Simpson,92,69.4,347,5
10,11,11,Martin Flores,83,69.56,1252,18
11,12,12,George McNeill,68,69.57,974,14
12,13,13,Steven Bowditch,67,69.62,905,13
13,T14,T14,Lucas Glover,65,69.67,836,12
14,T14,T14,Ryan Palmer,79,69.67,836,12
15,T16,T16,Peter Hanson,45,69.71,488,7
16,T16,T16,Kevin Streelman,86,69.71,976,14
17,T18,T18,Stephen Ames,49,69.73,767,11
18,T18,T18,"Ted Potter, Jr.",65,69.73,767,11
19,20,20,Bob Estes,66,69.78,628,9
20,T21,T21,John Huh,88,69.8,1047,15
21,T21,T21,Jordan Spieth,82,69.8,698,10
22,23,23,Brian Stuard,78,69.82,768,11
23,T24,T24,K.J. Choi,85,69.83,838,12
24,T24,T24,Bubba Watson,76,69.83,419,6
25,26,26,Tim Clark,64,69.85,908,13
26,27,27,Jim Herman,59,69.88,559,8
27,T28,T28,Stuart Appleby,88,69.91,769,11
28,T28,T28,Harris English,95,69.91,769,11
29,30,30,Greg Chalmers,77,69.93,979,14
30,T31,T31,Ben Crane,62,70.0,910,13
31,T31,T31,Brian Davis,91,70.0,910,13
32,T31,T31,Mark Wilson,56,70.0,630,9
33,34,34,Jimmy Walker,84,70.04,1611,23
34,35,35,Rory Sabbatini,86,70.07,1051,15
35,T36,T36,Stewart Cink,71,70.11,631,9
36,T36,T36,David Toms,49,70.11,631,9
37,T36,T36,Charlie Wi,75,70.11,631,9
38,39,39,Brendon de Jonge,110,70.13,1052,15
39,40,40,Tag Ridings,69,70.14,982,14
40,41,41,John Rollins,77,70.17,842,12
41,42,42,Cameron Percy,68,70.18,1193,17
42,43,43,Morgan Hoffmann,64,70.21,983,14
43,T44,T44,Luke Donald,60,70.25,281,4
44,T44,T44,Bryce Molder,82,70.25,1124,16
45,46,46,Jeff Overton,78,70.29,984,14
46,47,47,Jonas Blixt,76,70.31,914,13
47,T48,T48,Jason Day,86,70.36,774,11
48,T48,T48,James Driscoll,76,70.36,985,14
49,50,50,Martin Kaymer,61,70.43,493,7
50,51,51,Chris Stroud,88,70.47,1198,17
51,T52,T52,Ernie Els,63,70.5,141,2
52,T52,T52,Freddie Jacobson,63,70.5,846,12
53,54,54,David Hearn,88,70.54,917,13
54,55,55,Fabián Gómez,65,70.55,776,11
55,T56,T56,Bill Haas,85,70.56,635,9
56,T56,T56,Jerry Kelly,75,70.56,1129,16
57,58,58,Aaron Watkins,46,70.57,494,7
58,59,59,Michael Thompson,66,70.63,1130,16
59,60,60,Boo Weekley,100,70.67,1060,15
60,61,61,Gary Woodland,94,70.69,919,13
61,T62,T62,Patrick Reed,83,70.71,1202,17
62,T62,T62,Henrik Stenson,65,70.71,495,7
63,T62,T62,Nicholas Thompson,99,70.71,1202,17
64,T65,T65,Chad Campbell,78,70.73,1061,15
65,T65,T65,Vijay Singh,61,70.73,778,11
66,T67,T67,Roberto Castro,97,70.78,1274,18
67,T67,T67,Jason Dufner,78,70.78,637,9
68,T67,T67,Tom Gillis,69,70.78,637,9
69,T70,T70,Erik Compton,74,70.8,708,10
70,T70,T70,Brendan Steele,86,70.8,1062,15
71,T70,T70,Mike Weir,60,70.8,708,10
72,T73,T73,Matt Jones,83,70.81,1133,16
73,T73,T73,Justin Leonard,86,70.81,1133,16
74,T73,T73,Kevin Stadler,83,70.81,1133,16
75,76,76,Richard Lee,81,70.88,1134,16
76,T77,T77,Trevor Immelman,73,71.0,1420,20
77,T77,T77,Dustin Johnson,71,71.0,284,4
78,T77,T77,Ben Kohles,75,71.0,1065,15
79,T77,T77,Camilo Villegas,79,71.0,497,7
80,81,81,D.A. Points,87,71.06,1137,16
81,82,82,Y.E. Yang,56,71.08,924,13
82,T83,T83,Billy Horschel,96,71.1,711,10
83,T83,T83,John Merrick,79,71.1,1493,21
84,T83,T83,Carl Pettersson,82,71.1,1422,20
85,T86,T86,J.J. Henry,83,71.11,1351,19
86,T86,T86,Brandt Jobe,62,71.11,640,9
87,88,88,Kevin Chappell,80,71.12,1209,17
88,89,89,Brian Gay,79,71.13,1067,15
89,90,90,Greg Owen,73,71.17,1281,18
90,91,91,Jason Bohn,70,71.18,1210,17
91,T92,T92,James Hahn,78,71.19,1495,21
92,T92,T92,Russell Henley,80,71.19,1139,16
93,T92,T92,Seung-Yul Noh,71,71.19,1139,16
94,T92,T92,John Senden,79,71.19,1139,16
95,96,96,Josh Teater,86,71.2,1068,15
96,97,97,Alistair Presnell,59,71.22,641,9
97,T98,T98,Scott Langley,79,71.25,1140,16
98,T98,T98,Troy Matteson,68,71.25,1140,16
99,T100,T100,Robert Streb,75,71.29,1212,17
100,T100,T100,Casey Wittenberg,72,71.29,1212,17
101,102,102,Lee Westwood,70,71.33,428,6
102,T103,T103,Steve LeBrun,66,71.36,999,14
103,T103,T103,Marc Leishman,77,71.36,999,14
104,T103,T103,Hunter Mahan,91,71.36,785,11
105,T106,T106,Sangmoon Bae,83,71.38,928,13
106,T106,T106,Matt Every,89,71.38,1142,16
107,T106,T106,Bo Van Pelt,72,71.38,571,8
108,109,109,William McGirt,75,71.39,1285,18
109,T110,T110,Padraig Harrington,52,71.4,357,5
110,T110,T110,Zach Johnson,84,71.4,1071,15
111,T110,T110,Brandt Snedeker,79,71.4,357,5
112,113,113,Daniel Summerhays,83,71.43,1000,14
113,114,114,Cameron Tringale,80,71.44,1143,16
114,115,115,David Lynn,70,71.45,786,11
115,T116,T116,Scott Brown,65,71.47,1358,19
116,T116,T116,Brad Fritsch,81,71.47,1072,15
117,T116,T116,Scott Stallings,79,71.47,1358,19
118,T119,T119,Bud Cauley,67,71.5,1001,14
119,T119,T119,Doug LaBelle II,72,71.5,1001,14
120,T121,T121,Aaron Baddeley,68,71.53,1359,19
121,T121,T121,Darron Stiles,51,71.53,1073,15
122,123,123,Ricky Barnes,74,71.58,859,12
123,124,124,Shawn Stefani,63,71.6,1074,15
124,125,125,Ryan Moore,72,71.62,931,13
125,126,126,Scott Gardiner,61,71.63,1361,19
126,127,127,Rickie Fowler,75,71.67,215,3
127,128,128,David Mathis,71,71.69,932,13
128,129,129,Jeff Maggert,63,71.71,1004,14
129,130,130,Scott Piercy,78,71.75,1148,16
130,T131,T131,Robert Garrigus,69,71.78,646,9
131,T131,T131,Jason Kokrak,78,71.78,1292,18
132,T131,T131,Vaughn Taylor,50,71.78,646,9
133,134,134,Brian Harman,89,71.79,1005,14
134,T135,T135,Robert Karlsson,56,71.8,718,10
135,T135,T135,Rory McIlroy,56,71.8,359,5
136,T135,T135,Pat Perez,69,71.8,1077,15
137,138,138,Johnson Wagner,64,71.81,1149,16
138,T139,T139,Ben Curtis,59,71.83,862,12
139,T139,T139,Dicky Pride,71,71.83,1293,18
140,141,141,Ken Duke,87,71.85,1437,20
141,142,142,Kyle Stanley,71,71.87,1078,15
142,143,143,David Lingmerth,68,71.9,719,10
143,144,144,Chez Reavie,72,71.92,863,12
144,145,145,D.H. Lee,65,71.93,1007,14
145,T146,T146,Robert Allenby,58,72.0,1008,14
146,T146,T146,Nicolas Colsaerts,50,72.0,432,6
147,T146,T146,Henrik Norlander,70,72.0,1224,17
148,T146,T146,Rod Pampling,46,72.0,432,6
149,T146,T146,Tiger Woods,61,72.0,72,1
150,151,151,Luke List,65,72.09,793,11
151,152,152,Will Claxton,67,72.1,721,10
152,T153,T153,Ángel Cabrera,73,72.13,577,8
153,T153,T153,Luke Guthrie,82,72.13,1082,15
154,155,155,Charley Hoffman,84,72.17,866,12
155,156,156,Ian Poulter,59,72.2,361,5
156,157,157,Sean O'Hair,56,72.25,867,12
157,158,158,D.J. Trahan,48,72.29,506,7
158,159,159,Lee Williams,62,72.3,723,10
