,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
200,T197,T197,Joey Snyder III,15
201,T202,T202,Bill Lunde,10
202,T202,T202,Steve Marino,12
203,T202,T202,Kevin Na,8
204,T202,T202,Scott Verplank,14
205,T206,T206,Jonathan Byrd,16
206,T206,T206,John Daly,12
207,T206,T206,Chris DiMarco,11
208,T206,T206,Joe Durant,7
209,T206,T206,Nathan Green,9
210,T206,T206,Jeff Klauk,8
211,T212,T212,Woody Austin,8
212,T212,T212,Matt Bettencourt,9
213,T212,T212,George Coetzee,11
214,T212,T212,Paul Haley II,18
215,T212,T212,Billy Mayfair,14
216,T217,T217,Cameron Beckman,8
217,T217,T217,Gary Christian,10
218,T217,T217,Donald Constable,16
219,T217,T217,Gonzalo Fernandez-Castaño,12
220,T217,T217,Steve Flesch,6
221,T217,T217,Branden Grace,12
222,T217,T217,Lee Janzen,11
223,T217,T217,Thorbjørn Olesen,11
224,T217,T217,John Peterson,6
225,T217,T217,Kyle Reifers,4
226,T217,T217,Richard Sterne,7
227,T228,T228,Joe Affrunti,5
228,T228,T228,Glen Day,6
229,T228,T228,Hunter Haas,5
230,T228,T228,Troy Kelly,10
231,T228,T228,Paul Lawrie,7
232,T228,T228,Ken Looper,2
233,T234,T234,Fred Couples,4
234,T234,T234,Jon Curran,3
235,T234,T234,Stephen Gallacher,5
236,T234,T234,Miguel Angel Jiménez,3
237,T234,T234,Shane Lowry,9
238,T234,T234,Matteo Manassero,9
239,T234,T234,Francesco Molinari,9
240,T234,T234,Jesper Parnevik,13
241,T234,T234,Duffy Waldorf,3
242,T243,T243,Blayne Barber,3
243,T243,T243,Ryan Blaum,3
244,T243,T243,Bart Bryant,2
245,T243,T243,Ryuji Imada,7
246,T243,T243,Kelly Kraft,2
247,T243,T243,Hank Kuehne,5
248,T243,T243,Neal Lancaster,6
249,T243,T243,Kenny Perry,3
250,T243,T243,Alexandre Rocha,3
251,T252,T252,Arjun Atwal,8
252,T252,T252,Shane Bertsch,1
253,T252,T252,Rafa Cabrera Bello,5
254,T252,T252,Paul Casey,7
255,T252,T252,Jason Gore,4
256,T252,T252,Todd Hamilton,4
257,T252,T252,Danny Lee,1
258,T252,T252,Jonathan Randolph,1
259,T252,T252,Patrick Rodgers,1
260,T252,T252,Paul Stankowski,1
261,T252,T252,Andre Stolz,1
262,T252,T252,Jhonattan Vegas,3
263,T252,T252,Chris Williams,5
264,T252,T252,Chris Wood,5
265,T266,T266,Billy Andrade,3
266,T266,T266,Kiradech Aphibarnrat,3
267,T266,T266,Russ Cochran,1
268,T266,T266,Marco Dawson,1
269,T266,T266,Jamie Donaldson,10
270,T266,T266,Zack Fischer,4
271,T266,T266,Adam Hadwin,3
272,T266,T266,J.B. Holmes,5
273,T266,T266,Scott Jamieson,3
274,T266,T266,Skip Kendall,2
275,T266,T266,Si Woo Kim,8
276,T266,T266,John Kimbell,1
277,T266,T266,Peter Lonard,1
278,T266,T266,Alex Noren,5
279,T266,T266,Chris Riley,3
280,T266,T266,Sam Saunders,1
281,T266,T266,Justin Thomas,2
282,T266,T266,Marc Turnesa,2
283,T266,T266,Peter Uihlein,4
284,T266,T266,Sebastián Vázquez,1
285,T266,T266,Marc Warren,2
286,T266,T266,Tom Watson,4
287,T266,T266,Dean Wilson,2
288,T289,T289,Brad Adamonis,2
289,T289,T289,Blake Adams,2
290,T289,T289,Mark Anderson,1
291,T289,T289,Franklin Corpening,1
292,T289,T289,Oliver Fisher,1
293,T289,T289,Steven Fox,9
294,T289,T289,Marcus Fraser,6
295,T289,T289,David Frost,1
296,T289,T289,Robert Gamez,3
297,T289,T289,Jorge Garcia,1
298,T289,T289,Steve Jones,1
299,T289,T289,Kent Jones,1
300,T289,T289,Michael Kim,2
301,T289,T289,Kevin Kisner,1
302,T289,T289,Bernhard Langer,1
303,T289,T289,Tom Lehman,2
304,T289,T289,Scott McCarron,8
305,T289,T289,Justin Peters,1
306,T289,T289,Roger Sloan,1
307,T289,T289,Chris Starkjohann,1
308,T289,T289,Hideto Tanihara,1
309,T289,T289,Steve Wheatcroft,1
310,T289,T289,Thaworn Wiratchant,3
311,T289,T289,Jeremiah Wooding,1
312,T313,T313,Steven Alker,2
313,T313,T313,Max Alverio,1
314,T313,T313,Connor Arendell,1
315,T313,T313,Eric Axley,2
316,T313,T313,Todd Baek,1
317,T313,T313,Craig Barlow,1
318,T313,T313,Thomas Bjørn,4
319,T313,T313,Michael Block,1
320,T313,T313,Grégory Bourdy,1
321,T313,T313,David Branshaw,1
322,T313,T313,Tom Byrum,1
323,T313,T313,Rafael Campos,1
