,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Henrik Stenson,65,69.32,2149,31
1,2,2,Jordan Spieth,82,69.54,2712,39
2,3,3,Richard Lee,81,69.63,1323,19
3,4,4,Steve Stricker,51,69.68,2369,34
4,5,5,William McGirt,75,69.77,907,13
5,T6,T6,Shawn Stefani,63,69.8,1047,15
6,T6,T6,Tiger Woods,61,69.8,2443,35
7,8,8,John Rollins,77,69.83,2025,29
8,T9,T9,Martin Flores,83,69.85,1397,20
9,T9,T9,Phil Mickelson,78,69.85,2794,40
10,T11,T11,Charlie Beljan,62,69.92,839,12
11,T11,T11,Zach Johnson,84,69.92,2587,37
12,T13,T13,Jeff Maggert,63,69.93,1049,15
13,T13,T13,Rory Sabbatini,86,69.93,1888,27
14,15,15,Jeff Overton,78,69.96,1609,23
15,16,16,David Hearn,88,70.0,1540,22
16,17,17,Justin Bolli,59,70.13,1052,15
17,T18,T18,Graham DeLaet,94,70.16,2596,37
18,T18,T18,Charles Howell III,87,70.16,2245,32
19,20,20,Justin Rose,62,70.19,3018,43
20,21,21,Matt Kuchar,93,70.2,3159,45
21,22,22,Brandt Snedeker,79,70.23,2809,40
22,T23,T23,Michael Bradley,56,70.25,562,8
23,T23,T23,Chez Reavie,72,70.25,1405,20
24,25,25,Chris Stroud,88,70.26,1616,23
25,26,26,Scott Stallings,79,70.29,1195,17
26,27,27,Bill Haas,85,70.31,2953,42
27,28,28,Scott Langley,79,70.32,1336,19
28,T29,T29,Matt Jones,83,70.33,1688,24
29,T29,T29,Josh Teater,86,70.33,1477,21
30,T31,T31,Keegan Bradley,88,70.34,3306,47
31,T31,T31,Adam Scott,61,70.34,2462,35
32,33,33,Dicky Pride,71,70.36,985,14
33,T34,T34,Jason Bohn,70,70.44,1127,16
34,T34,T34,Nicholas Thompson,99,70.44,1902,27
35,36,36,Brad Fritsch,81,70.45,1409,20
36,T37,T37,Dustin Johnson,71,70.47,2255,32
37,T37,T37,Doug LaBelle II,72,70.47,1057,15
38,39,39,Pat Perez,69,70.48,1480,21
39,40,40,Roberto Castro,97,70.5,2397,34
40,41,41,Harris English,95,70.51,2609,37
41,42,42,Chris Kirk,89,70.52,1622,23
42,43,43,D.J. Trahan,48,70.53,1199,17
43,44,44,Russell Henley,80,70.55,1411,20
44,45,45,Kevin Stadler,83,70.56,1270,18
45,46,46,K.J. Choi,85,70.57,1482,21
46,47,47,Stuart Appleby,88,70.58,1835,26
47,T48,T48,Greg Owen,73,70.6,1059,15
48,T48,T48,Boo Weekley,100,70.6,2118,30
49,50,50,Patrick Reed,83,70.62,1836,26
50,51,51,Charley Hoffman,84,70.65,2402,34
51,T52,T52,Brendon de Jonge,110,70.67,2544,36
52,T52,T52,Brian Stuard,78,70.67,1696,24
53,54,54,Ben Crane,62,70.68,1343,19
54,55,55,Sergio Garcia,65,70.69,2474,35
55,56,56,Cameron Tringale,80,70.72,1273,18
56,57,57,Hunter Mahan,91,70.73,2617,37
57,58,58,Greg Chalmers,77,70.75,1415,20
58,59,59,Fabián Gómez,65,70.76,1486,21
59,T60,T60,Brian Gay,79,70.79,991,14
60,T60,T60,James Hahn,78,70.79,1345,19
61,62,62,Kevin Streelman,86,70.8,2124,30
62,63,63,Steven Bowditch,67,70.81,1133,16
63,64,64,Bryce Molder,82,70.82,1204,17
64,T65,T65,Rory McIlroy,56,70.86,1984,28
65,T65,T65,Vaughn Taylor,50,70.86,992,14
66,67,67,Ryan Moore,72,70.87,1630,23
67,T68,T68,Ryan Palmer,79,70.88,1772,25
68,T68,T68,Mark Wilson,56,70.88,1205,17
69,T70,T70,Morgan Hoffmann,64,70.89,1347,19
70,T70,T70,Jason Kokrak,78,70.89,1985,28
71,T72,T72,Jason Dufner,78,70.9,2056,29
72,T72,T72,Marc Leishman,77,70.9,2056,29
73,T72,T72,Daniel Summerhays,83,70.9,2127,30
74,75,75,Billy Horschel,96,70.93,2908,41
75,76,76,Matt Every,89,70.94,2199,31
76,77,77,Andres Romero,63,70.95,1419,20
77,T78,T78,Chad Campbell,78,71.0,1349,19
78,T78,T78,Ernie Els,63,71.0,1704,24
79,T78,T78,Robert Garrigus,69,71.0,1420,20
80,T78,T78,Martin Laird,68,71.0,923,13
81,T78,T78,Andrew Svoboda,46,71.0,781,11
82,83,83,Lee Westwood,70,71.03,2060,29
