,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Dustin Johnson,71,105.0,1260,12
1,2,2,Chris Kirk,89,106.8,1602,15
2,3,3,Jason Kokrak,78,108.0,1404,13
3,4,4,Jordan Spieth,82,113.5,1476,13
4,T5,T5,Nicolas Colsaerts,50,120.9,846,7
5,T5,T5,Steve Stricker,51,120.9,846,7
6,7,7,George McNeill,68,122.4,1224,10
7,8,8,Sergio Garcia,65,126.0,1134,9
8,9,9,Kyle Stanley,71,127.8,1278,10
9,10,10,Henrik Stenson,65,128.0,1152,9
10,11,11,Kevin Stadler,83,129.3,1422,11
11,12,12,Robert Garrigus,69,130.0,1170,9
12,13,13,Aaron Baddeley,68,132.0,1188,9
13,14,14,James Hahn,78,133.2,1332,10
14,15,15,Tiger Woods,61,135.0,1080,8
15,16,16,Patrick Reed,83,135.8,1494,11
16,17,17,Luke List,65,137.3,1098,8
17,18,18,Charley Hoffman,84,137.5,1512,11
18,19,19,Ernie Els,63,139.5,1116,8
19,20,20,Doug LaBelle II,72,140.0,1260,9
20,21,21,Rory McIlroy,56,141.4,990,7
21,22,22,John Merrick,79,142.2,1422,10
22,23,23,Keegan Bradley,88,142.4,1566,11
23,24,24,Gary Woodland,94,147.3,1620,11
24,25,25,Rickie Fowler,75,148.0,1332,9
25,26,26,Michael Thompson,66,148.5,1188,8
26,27,27,Camilo Villegas,79,150.0,1350,9
27,28,28,Scott Gardiner,61,151.7,1062,7
28,29,29,Chad Campbell,78,152.0,1368,9
29,30,30,Brad Fritsch,81,154.0,1386,9
30,T31,T31,Andrew Svoboda,46,158.4,792,5
31,T31,T31,David Toms,49,158.4,792,5
32,33,33,Ben Kohles,75,159.8,1278,8
33,34,34,Matt Every,89,160.2,1602,10
34,35,35,Boo Weekley,100,163.6,1800,11
35,36,36,Greg Chalmers,77,164.3,1314,8
36,37,37,Jim Herman,59,165.0,990,6
37,T38,T38,Martin Flores,83,166.0,1494,9
38,T38,T38,Daniel Summerhays,83,166.0,1494,9
39,T40,T40,Scott Brown,65,167.1,1170,7
40,T40,T40,D.H. Lee,65,167.1,1170,7
41,42,42,Sean O'Hair,56,168.0,1008,6
42,43,43,Scott Piercy,78,168.8,1350,8
43,44,44,Troy Matteson,68,169.7,1188,7
44,45,45,Charles Howell III,87,170.0,1530,9
45,46,46,Nick Watney,88,172.0,1548,9
46,T47,T47,Brandt Jobe,62,174.0,1044,6
47,T47,T47,Martin Kaymer,61,174.0,1044,6
48,49,49,Martin Laird,68,174.9,1224,7
49,T50,T50,Stephen Ames,49,176.4,882,5
50,T50,T50,Darron Stiles,51,176.4,882,5
51,T52,T52,Kevin Chappell,80,180.0,1440,8
52,T52,T52,Jason Day,86,180.0,1440,8
53,54,54,Greg Owen,73,182.6,1278,7
54,T55,T55,Tim Clark,64,183.0,1098,6
55,T55,T55,"Ted Potter, Jr.",65,183.0,1098,6
56,57,57,Rory Sabbatini,86,184.5,1476,8
57,58,58,Robert Karlsson,56,187.2,936,5
58,59,59,Bubba Watson,76,187.7,1314,7
59,T60,T60,Bud Cauley,67,189.0,1134,6
60,T60,T60,Jimmy Walker,84,189.0,1512,8
61,62,62,Morgan Hoffmann,64,192.0,1152,6
62,T63,T63,Colt Knost,69,195.0,1170,6
63,T63,T63,Tag Ridings,69,195.0,1170,6
64,65,65,Matt Kuchar,93,195.8,1566,8
65,66,66,John Huh,88,198.0,1584,8
66,67,67,Russell Henley,80,200.6,1404,7
67,68,68,Tim Herron,45,202.5,810,4
68,T69,T69,Brandt Snedeker,79,203.1,1422,7
69,T69,T69,Scott Stallings,79,203.1,1422,7
70,71,71,Alistair Presnell,59,205.2,1026,5
71,72,72,Cameron Tringale,80,205.7,1440,7
