,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Matt Kuchar,93,11.07,34,307
1,2,2,Ben Crane,62,11.11,20,180
2,3,3,"Ted Potter, Jr.",65,11.44,23,201
3,4,4,Bill Haas,85,11.66,33,283
4,5,5,Greg Chalmers,77,12.05,30,249
5,6,6,Roberto Castro,97,12.2,41,336
6,7,7,Bryce Molder,82,12.24,35,286
7,8,8,Steve Stricker,51,12.44,24,193
8,9,9,Mark Wilson,56,12.5,19,152
9,10,10,Brian Stuard,78,12.61,29,230
10,11,11,Scott Brown,65,12.75,26,204
11,12,12,Brendon de Jonge,110,12.76,49,384
12,13,13,Cameron Tringale,80,12.78,34,266
13,14,14,Richard Lee,81,12.85,32,249
14,15,15,Ian Poulter,59,12.88,21,163
15,16,16,Tiger Woods,61,13.17,32,243
16,17,17,Luke Donald,60,13.33,28,210
17,18,18,Casey Wittenberg,72,13.51,25,185
18,19,19,Lee Westwood,70,13.54,31,229
19,20,20,K.J. Choi,85,13.81,37,268
20,21,21,Jason Kokrak,78,13.82,38,275
21,22,22,Colt Knost,69,13.83,26,188
22,23,23,Charles Howell III,87,13.86,42,303
23,24,24,Ryan Moore,72,13.87,33,238
24,25,25,David Hearn,88,14.02,45,321
25,26,26,Dicky Pride,71,14.08,29,206
26,27,27,Doug LaBelle II,72,14.1,33,234
27,28,28,Stuart Appleby,88,14.13,39,276
28,29,29,Troy Matteson,68,14.14,28,198
29,T30,T30,Sergio Garcia,65,14.22,32,225
30,T30,T30,Justin Rose,62,14.22,33,232
31,T32,T32,Jordan Spieth,82,14.29,45,315
32,T32,T32,Andrew Svoboda,46,14.29,19,133
33,T32,T32,Nicholas Thompson,99,14.29,48,336
34,35,35,Jimmy Walker,84,14.33,43,300
35,36,36,Bo Van Pelt,72,14.35,33,230
36,37,37,Geoff Ogilvy,57,14.45,25,173
37,38,38,Jim Furyk,80,14.5,38,262
38,39,39,Brian Davis,91,14.51,47,324
39,40,40,Henrik Stenson,65,14.53,34,234
40,41,41,Bob Estes,66,14.55,31,213
41,42,42,Tim Clark,64,14.74,28,190
42,43,43,Billy Horschel,96,14.8,53,358
43,44,44,Brandt Snedeker,79,14.84,46,310
44,45,45,Hunter Mahan,91,15.0,45,300
45,46,46,Matt Jones,83,15.07,44,292
46,47,47,James Hahn,78,15.15,40,264
47,48,48,William McGirt,75,15.16,37,244
48,49,49,George McNeill,68,15.18,34,224
49,50,50,Nick Watney,88,15.23,46,302
50,51,51,Erik Compton,74,15.48,37,239
51,52,52,Charl Schwartzel,69,15.53,41,264
52,53,53,Zach Johnson,84,15.57,45,289
53,54,54,Robert Streb,75,15.58,36,231
54,55,55,Peter Hanson,45,15.6,22,141
55,56,56,Cameron Percy,68,15.69,32,204
56,T57,T57,Adam Scott,61,15.7,35,223
57,T57,T57,Kevin Stadler,83,15.7,46,293
58,59,59,Keegan Bradley,88,15.72,50,318
59,60,60,Webb Simpson,92,15.79,51,323
60,61,61,Chris Kirk,89,15.84,54,341
61,62,62,Daniel Summerhays,83,15.88,47,296
62,63,63,Jeff Maggert,63,15.92,32,201
63,64,64,Trevor Immelman,73,15.93,29,182
64,65,65,Scott Piercy,78,15.95,41,257
65,66,66,Sangmoon Bae,83,16.14,51,316
66,T67,T67,Steve LeBrun,66,16.16,32,198
67,T67,T67,Shawn Stefani,63,16.16,32,198
68,69,69,Alistair Presnell,59,16.17,27,167
69,70,70,Jerry Kelly,75,16.33,40,245
70,71,71,Rory McIlroy,56,16.43,35,213
71,72,72,Brian Gay,79,16.47,41,249
72,T73,T73,Kevin Chappell,80,16.55,46,278
73,T73,T73,Kevin Streelman,86,16.55,48,290
74,75,75,Morgan Hoffmann,64,16.6,40,241
75,T76,T76,Nicolas Colsaerts,50,16.67,22,132
76,T76,T76,Brad Fritsch,81,16.67,45,270
77,T76,T76,Charley Hoffman,84,16.67,53,318
78,T76,T76,Brendan Steele,86,16.67,45,270
79,T76,T76,D.J. Trahan,48,16.67,26,156
80,T76,T76,Boo Weekley,100,16.67,57,342
81,82,82,Fabián Gómez,65,16.75,35,209
82,83,83,Jim Herman,59,16.76,31,185
83,84,84,Chris Stroud,88,16.78,50,298
84,85,85,Camilo Villegas,79,16.79,44,262
85,86,86,Ryan Palmer,79,16.94,51,301
86,87,87,Stephen Ames,49,16.99,26,153
87,88,88,Jonas Blixt,76,17.03,39,229
88,89,89,Jason Dufner,78,17.05,45,264
89,T90,T90,Ricky Barnes,74,17.06,36,211
90,T90,T90,Justin Hicks,79,17.06,43,252
91,92,92,Jason Day,86,17.08,48,281
92,93,93,Graham DeLaet,94,17.1,59,345
93,94,94,Matt Every,89,17.13,56,327
94,95,95,Freddie Jacobson,63,17.17,34,198
95,96,96,Martin Flores,83,17.2,48,279
96,97,97,Tag Ridings,69,17.22,36,209
97,98,98,Carl Pettersson,82,17.25,44,255
98,99,99,Jeff Overton,78,17.28,47,272
99,100,100,Brian Harman,89,17.33,48,277
100,101,101,John Rollins,77,17.34,43,248
101,102,102,Graeme McDowell,53,17.36,25,144
102,103,103,J.J. Henry,83,17.43,42,241
103,104,104,Brandt Jobe,62,17.49,32,183
104,105,105,John Huh,88,17.54,50,285
105,106,106,James Driscoll,76,17.65,45,255
106,107,107,Josh Teater,86,17.67,50,283
107,108,108,Tom Gillis,69,17.71,34,192
108,109,109,Jin Park,52,17.76,27,152
109,110,110,Rickie Fowler,75,17.8,47,264
110,111,111,Andres Romero,63,17.84,38,213
111,112,112,Bobby Gates,49,17.89,22,123
112,113,113,Dustin Johnson,71,17.94,47,262
113,114,114,Stewart Cink,71,17.95,42,234
114,T115,T115,Ben Kohles,75,18.02,40,222
115,T115,T115,Lee Williams,62,18.02,31,172
116,117,117,Ángel Cabrera,73,18.03,44,244
117,118,118,Jason Bohn,70,18.04,46,255
118,119,119,Darron Stiles,51,18.06,26,144
119,T120,T120,Steven Bowditch,67,18.1,42,232
120,T120,T120,Seung-Yul Noh,71,18.1,40,221
121,122,122,David Toms,49,18.12,27,149
122,123,123,Patrick Reed,83,18.21,53,291
123,124,124,Pat Perez,69,18.22,45,247
124,125,125,Rory Sabbatini,86,18.32,59,322
125,126,126,Harris English,95,18.36,65,354
126,127,127,Luke Guthrie,82,18.37,52,283
127,128,128,David Mathis,71,18.45,38,206
128,129,129,Kyle Stanley,71,18.47,41,222
129,130,130,Michael Bradley,56,18.54,28,151
130,T131,T131,Ryo Ishikawa,72,18.64,41,220
131,T131,T131,D.A. Points,87,18.64,55,295
132,133,133,Eric Meierdierks,48,18.71,26,139
133,134,134,Scott Gardiner,61,18.82,35,186
134,135,135,Chad Campbell,78,18.83,45,239
135,136,136,Russell Henley,80,18.86,53,281
136,137,137,Will Claxton,67,18.89,34,180
137,138,138,Robert Karlsson,56,18.99,30,158
138,T139,T139,David Lingmerth,68,19.15,45,235
139,T139,T139,Chez Reavie,72,19.15,45,235
140,141,141,Vijay Singh,61,19.19,33,172
141,142,142,Aaron Baddeley,68,19.2,43,224
142,143,143,Henrik Norlander,70,19.21,44,229
143,144,144,Ken Duke,87,19.22,54,281
144,145,145,John Senden,79,19.28,48,249
145,146,146,Justin Bolli,59,19.32,34,176
146,147,147,Martin Laird,68,19.34,41,212
