,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Phil Mickelson,78,23.86,335,1404,43
1,2,2,Steve Stricker,51,23.76,201,846,2
2,3,3,Tiger Woods,61,23.33,252,1080,24
3,4,4,Rory Sabbatini,86,23.17,342,1476,23
4,5,5,Charl Schwartzel,69,22.79,279,1224,72
5,6,6,Brandt Snedeker,79,22.57,321,1422,79
6,7,7,Rory McIlroy,56,22.53,223,990,86
7,T8,T8,Charley Hoffman,84,22.49,340,1512,85
8,T8,T8,Jordan Spieth,82,22.49,332,1476,37
9,10,10,Ryan Palmer,79,22.36,318,1422,56
10,11,11,Chris Kirk,89,22.35,358,1602,69
11,12,12,Billy Horschel,96,22.28,385,1728,27
12,T13,T13,Morgan Hoffmann,64,22.22,256,1152,103
13,T13,T13,Justin Rose,62,22.22,240,1080,9
14,15,15,Kevin Stadler,83,22.15,315,1422,8
15,16,16,Sangmoon Bae,83,22.09,330,1494,127
16,17,17,Harris English,95,21.93,375,1710,63
17,18,18,Dustin Johnson,71,21.9,276,1260,39
18,19,19,Henrik Stenson,65,21.7,250,1152,1
19,20,20,Graham DeLaet,94,21.69,367,1692,3
20,21,21,Matt Every,89,21.66,347,1602,83
21,22,22,Robert Garrigus,69,21.62,253,1170,58
22,23,23,Webb Simpson,92,21.59,342,1584,43
23,24,24,Keegan Bradley,88,21.58,338,1566,49
24,25,25,Bubba Watson,76,21.54,283,1314,5
25,26,26,Jimmy Walker,84,21.43,324,1512,61
26,27,27,Gary Woodland,94,21.3,345,1620,36
27,28,28,Adam Scott,61,21.2,229,1080,11
28,T29,T29,David Hearn,88,21.15,335,1584,101
29,T29,T29,Daniel Summerhays,83,21.15,316,1494,108
30,31,31,Vaughn Taylor,50,21.14,175,828,135
31,32,32,James Hahn,78,21.1,281,1332,101
32,33,33,Andres Romero,63,21.09,224,1062,168
33,34,34,Russell Henley,80,21.08,296,1404,116
34,35,35,Jason Bohn,70,21.03,265,1260,109
35,36,36,Brian Davis,91,21.0,344,1638,157
36,37,37,Charles Howell III,87,20.98,321,1530,42
37,T38,T38,Bryce Molder,82,20.97,302,1440,128
38,T38,T38,Charlie Wi,75,20.97,268,1278,176
39,40,40,Jason Kokrak,78,20.94,294,1404,80
40,41,41,Camilo Villegas,79,20.89,282,1350,40
41,T42,T42,Luke Donald,60,20.88,218,1044,156
42,T42,T42,Patrick Reed,83,20.88,312,1494,125
43,T44,T44,Brad Fritsch,81,20.85,289,1386,46
44,T44,T44,Pat Perez,69,20.85,259,1242,18
45,46,46,James Driscoll,76,20.83,270,1296,124
46,47,47,Matt Kuchar,93,20.82,326,1566,73
47,48,48,Sergio Garcia,65,20.81,236,1134,29
48,49,49,Steven Bowditch,67,20.77,243,1170,161
49,50,50,Scott Piercy,78,20.74,280,1350,150
50,51,51,Hunter Mahan,91,20.72,317,1530,25
51,52,52,Matt Jones,83,20.68,309,1494,64
52,53,53,David Lingmerth,68,20.67,253,1224,138
53,54,54,Brendon de Jonge,110,20.61,408,1980,10
54,55,55,Rickie Fowler,75,20.57,274,1332,134
55,56,56,Jason Day,86,20.49,295,1440,96
56,57,57,John Rollins,77,20.4,268,1314,30
57,58,58,Roberto Castro,97,20.39,356,1746,33
58,59,59,Jeff Overton,78,20.37,286,1404,98
59,60,60,Nick Watney,88,20.35,315,1548,13
60,61,61,Greg Chalmers,77,20.32,267,1314,167
61,62,62,Nicholas Thompson,99,20.31,362,1782,20
62,63,63,Zach Johnson,84,20.28,303,1494,15
63,T64,T64,Aaron Baddeley,68,20.2,240,1188,178
64,T64,T64,Jason Dufner,78,20.2,280,1386,26
65,66,66,Josh Teater,86,20.19,298,1476,50
66,67,67,Chris Stroud,88,20.14,319,1584,113
67,68,68,Justin Leonard,86,20.09,311,1548,140
68,69,69,Martin Flores,83,20.08,300,1494,84
69,70,70,Boo Weekley,100,20.06,361,1800,6
70,71,71,Kevin Chappell,80,20.0,288,1440,60
71,T72,T72,Luke Guthrie,82,19.99,295,1476,132
72,T72,T72,D.A. Points,87,19.99,313,1566,143
73,74,74,Fabián Gómez,65,19.91,233,1170,118
74,75,75,Jim Herman,59,19.9,197,990,16
75,76,76,Stewart Cink,71,19.87,254,1278,22
76,77,77,Scott Stallings,79,19.83,282,1422,104
77,78,78,Jim Furyk,80,19.8,278,1404,14
78,79,79,D.H. Lee,65,19.74,231,1170,67
79,80,80,D.J. Trahan,48,19.69,163,828,18
80,81,81,Ryan Moore,72,19.64,251,1278,114
81,82,82,Justin Hicks,79,19.63,265,1350,12
82,83,83,Henrik Norlander,70,19.61,240,1224,31
83,84,84,Doug LaBelle II,72,19.6,247,1260,111
84,T85,T85,Kevin Streelman,86,19.51,302,1548,54
85,T85,T85,Cameron Tringale,80,19.51,281,1440,35
86,87,87,Bud Cauley,67,19.49,221,1134,126
87,T88,T88,Ángel Cabrera,73,19.48,256,1314,95
88,T88,T88,William McGirt,75,19.48,263,1350,88
89,T88,T88,John Merrick,79,19.48,277,1422,50
90,T91,T91,Bill Haas,85,19.44,294,1512,21
91,T91,T91,David Toms,49,19.44,154,792,130
92,T93,T93,Luke List,65,19.4,213,1098,149
93,T93,T93,"Ted Potter, Jr.",65,19.4,213,1098,107
94,95,95,Brendan Steele,86,19.38,286,1476,66
95,96,96,Aaron Watkins,46,19.32,153,792,152
96,97,97,Steve LeBrun,66,19.27,215,1116,28
97,T98,T98,Seung-Yul Noh,71,19.24,232,1206,115
98,T98,T98,Lee Westwood,70,19.24,239,1242,91
99,100,100,Lucas Glover,65,19.23,225,1170,54
100,101,101,Bo Van Pelt,72,19.21,242,1260,81
101,102,102,George McNeill,68,19.2,235,1224,89
102,103,103,Greg Owen,73,19.17,245,1278,77
103,T104,T104,Erik Compton,74,19.14,255,1332,93
104,T104,T104,Chez Reavie,72,19.14,248,1296,40
105,106,106,Brian Harman,89,19.08,292,1530,146
106,107,107,Carl Pettersson,82,19.03,274,1440,154
107,108,108,John Huh,88,19.0,301,1584,45
108,109,109,Peter Hanson,45,18.99,147,774,169
109,110,110,Freddie Jacobson,63,18.98,205,1080,165
110,111,111,Tag Ridings,69,18.97,222,1170,74
111,T112,T112,Jerry Kelly,75,18.96,256,1350,87
112,T112,T112,Jeff Maggert,63,18.96,215,1134,47
113,114,114,Robert Streb,75,18.94,242,1278,82
114,115,115,Tommy Gainey,84,18.92,286,1512,172
115,116,116,Charlie Beljan,62,18.91,211,1116,105
116,T117,T117,Bob Estes,66,18.86,224,1188,97
117,T117,T117,Cameron Percy,68,18.86,224,1188,76
118,119,119,Ernie Els,63,18.82,210,1116,163
119,120,120,Shawn Stefani,63,18.78,213,1134,129
120,T121,T121,Stuart Appleby,88,18.72,283,1512,92
121,T121,T121,K.J. Choi,85,18.72,283,1512,71
122,123,123,Stephen Ames,49,18.71,165,882,170
123,124,124,Richard Lee,81,18.69,259,1386,52
124,T125,T125,Ken Duke,87,18.65,292,1566,141
125,T125,T125,Rod Pampling,46,18.65,141,756,106
126,127,127,Scott Gardiner,61,18.64,198,1062,117
127,128,128,Scott Brown,65,18.63,218,1170,118
128,129,129,Mike Weir,60,18.58,194,1044,179
129,130,130,Chad Campbell,78,18.57,254,1368,34
130,T131,T131,Marc Leishman,77,18.54,257,1386,94
131,T131,T131,Kyle Stanley,71,18.54,237,1278,32
132,133,133,John Senden,79,18.52,260,1404,68
133,134,134,Brian Gay,79,18.5,263,1422,180
134,135,135,Martin Kaymer,61,18.49,193,1044,99
135,136,136,Dicky Pride,71,18.41,222,1206,110
136,137,137,Brandt Jobe,62,18.39,192,1044,64
137,138,138,Brian Stuard,78,18.32,244,1332,75
138,139,139,Martin Laird,68,18.3,224,1224,130
139,140,140,Ryo Ishikawa,72,18.25,230,1260,62
140,141,141,Ian Poulter,59,18.24,174,954,136
141,142,142,Ben Kohles,75,18.23,233,1278,90
142,143,143,David Lynn,70,18.2,226,1242,147
143,144,144,Justin Bolli,59,18.18,180,990,170
144,145,145,David Mathis,71,18.16,219,1206,133
145,146,146,Tim Clark,64,18.12,199,1098,159
146,147,147,Andrew Svoboda,46,18.06,143,792,70
147,148,148,Y.E. Yang,56,17.96,181,1008,144
148,149,149,Ricky Barnes,74,17.94,226,1260,4
149,150,150,Alistair Presnell,59,17.93,184,1026,151
150,151,151,Ben Crane,62,17.91,187,1044,121
151,152,152,Eric Meierdierks,48,17.87,148,828,48
152,T153,T153,Jonas Blixt,76,17.84,244,1368,173
153,T153,T153,Robert Karlsson,56,17.84,167,936,139
154,155,155,Jin Park,52,17.78,160,900,137
155,156,156,Tim Herron,45,17.65,143,810,177
156,157,157,Scott Langley,79,17.56,237,1350,120
157,158,158,Geoff Ogilvy,57,17.54,180,1026,155
158,159,159,Troy Matteson,68,17.51,208,1188,100
159,160,160,Will Claxton,67,17.46,198,1134,78
160,161,161,Derek Ernst,58,17.43,182,1044,122
161,T162,T162,Graeme McDowell,53,17.35,153,882,144
162,T162,T162,Darron Stiles,51,17.35,153,882,153
163,164,164,Colt Knost,69,17.26,202,1170,164
164,165,165,Sean O'Hair,56,17.16,173,1008,160
165,166,166,J.J. Henry,83,17.15,250,1458,17
166,167,167,Robert Allenby,58,17.06,172,1008,148
167,168,168,Lee Williams,62,17.04,184,1080,165
168,T169,T169,Michael Bradley,56,16.99,159,936,59
169,T169,T169,Mark Wilson,56,16.99,159,936,56
170,171,171,Nicolas Colsaerts,50,16.9,143,846,38
171,172,172,Padraig Harrington,52,16.78,148,882,174
172,173,173,Ben Curtis,59,16.76,172,1026,123
173,T174,T174,Tom Gillis,69,16.75,196,1170,175
174,T174,T174,Michael Thompson,66,16.75,199,1188,162
175,176,176,Vijay Singh,61,16.58,182,1098,7
176,177,177,Johnson Wagner,64,16.11,174,1080,112
177,178,178,Casey Wittenberg,72,15.87,200,1260,158
178,179,179,Trevor Immelman,73,15.7,195,1242,53
179,180,180,Bobby Gates,49,15.68,127,810,142
