,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Steve Stricker,51,34.34,1614,47
1,2,2,Adam Scott,61,34.87,2092,60
2,3,3,Phil Mickelson,78,34.92,2724,78
3,4,4,Brendon de Jonge,110,34.95,3844,110
4,5,5,Ryan Palmer,79,34.99,2764,79
5,6,6,Matt Kuchar,93,35.0,3045,87
6,7,7,Graham DeLaet,94,35.05,3295,94
7,8,8,Jordan Spieth,82,35.07,2876,82
8,9,9,Webb Simpson,92,35.08,3087,88
9,10,10,Billy Horschel,96,35.09,3369,96
10,T11,T11,Henrik Stenson,65,35.11,2247,64
11,T11,T11,Vaughn Taylor,50,35.11,1615,46
12,13,13,Justin Rose,62,35.13,2108,60
13,14,14,Charles Howell III,87,35.15,2988,85
14,15,15,John Rollins,77,35.16,2567,73
15,16,16,Bob Estes,66,35.17,2321,66
16,T17,T17,Harris English,95,35.18,3342,95
17,T17,T17,Rory Sabbatini,86,35.18,2885,82
18,19,19,Dustin Johnson,71,35.19,2463,70
19,20,20,Martin Flores,83,35.2,2922,83
20,21,21,Camilo Villegas,79,35.21,2641,75
21,T22,T22,Matt Jones,83,35.24,2925,83
22,T22,T22,Kevin Streelman,86,35.24,3031,86
23,T24,T24,Jason Day,86,35.25,2820,80
24,T24,T24,Lee Westwood,70,35.25,2432,69
25,T24,T24,Tiger Woods,61,35.25,2115,60
26,T27,T27,Bill Haas,85,35.27,2963,84
27,T27,T27,Brandt Snedeker,79,35.27,2786,79
28,T27,T27,Gary Woodland,94,35.27,3174,90
29,30,30,Morgan Hoffmann,64,35.28,2258,64
30,T31,T31,Stuart Appleby,88,35.29,2964,84
31,T31,T31,Hunter Mahan,91,35.29,3000,85
32,33,33,Roberto Castro,97,35.3,3424,97
