,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Steve Stricker,51,3.91,465,119
1,2,2,Justin Rose,62,3.95,738,187
2,T3,T3,Keegan Bradley,88,3.98,1759,442
3,T3,T3,Brendon de Jonge,110,3.98,2539,638
4,T3,T3,Charles Howell III,87,3.98,1658,417
5,T3,T3,Jerry Kelly,75,3.98,1621,407
6,T3,T3,Chris Kirk,89,3.98,1900,477
7,T3,T3,Jimmy Walker,84,3.98,1697,426
8,T9,T9,Roberto Castro,97,3.99,1924,482
9,T9,T9,Erik Compton,74,3.99,1568,393
10,T9,T9,Jason Dufner,78,3.99,1745,437
11,T9,T9,Matt Every,89,3.99,1784,447
12,T9,T9,Morgan Hoffmann,64,3.99,1332,334
13,T9,T9,Charl Schwartzel,69,3.99,1186,297
14,T9,T9,Brandt Snedeker,79,3.99,1434,359
15,T9,T9,Camilo Villegas,79,3.99,1804,452
16,T17,T17,Rickie Fowler,75,4.0,1657,414
17,T17,T17,Zach Johnson,84,4.0,1341,335
18,T17,T17,Matt Jones,83,4.0,1867,467
19,T17,T17,D.H. Lee,65,4.0,1423,356
20,T17,T17,George McNeill,68,4.0,1599,400
21,T17,T17,Dicky Pride,71,4.0,1515,379
22,T17,T17,Chez Reavie,72,4.0,1733,433
23,T17,T17,Jordan Spieth,82,4.0,1381,345
24,T17,T17,Chris Stroud,88,4.0,2035,509
25,T17,T17,Bubba Watson,76,4.0,1296,324
26,T27,T27,Jason Day,86,4.01,1637,408
27,T27,T27,Jim Furyk,80,4.01,1459,364
28,T27,T27,Bill Haas,85,4.01,1398,349
29,T27,T27,Billy Horschel,96,4.01,1920,479
30,T27,T27,Freddie Jacobson,63,4.01,1371,342
