,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Steve Stricker,13,1.96,92,47
1,2,2,Chris Kirk,24,2.09,186,89
2,3,3,Bob Estes,18,2.14,141,66
3,4,4,Brendon de Jonge,30,2.24,246,110
4,T5,T5,Charles Howell III,26,2.28,194,85
5,T5,T5,Matt Kuchar,23,2.28,198,87
6,7,7,Stuart Appleby,25,2.3,193,84
7,8,8,Chris Stroud,26,2.33,205,88
8,T9,T9,Richard Lee,24,2.35,181,77
9,T9,T9,Jordan Spieth,23,2.35,193,82
10,11,11,Henrik Stenson,18,2.36,151,64
11,12,12,Bill Haas,25,2.37,199,84
12,T13,T13,Troy Matteson,24,2.39,158,66
13,T13,T13,Pat Perez,22,2.39,165,69
14,T15,T15,Keegan Bradley,25,2.4,209,87
15,T15,T15,Tiger Woods,16,2.4,144,60
16,T17,T17,Graham DeLaet,26,2.41,227,94
17,T17,T17,Phil Mickelson,21,2.41,188,78
18,19,19,Brian Stuard,25,2.43,180,74
19,T20,T20,Jim Furyk,22,2.45,191,78
20,T20,T20,Jerry Kelly,22,2.45,184,75
21,T22,T22,Roberto Castro,29,2.47,240,97
22,T22,T22,Matt Jones,24,2.47,205,83
23,T24,T24,Sergio Garcia,17,2.48,156,63
24,T24,T24,Kevin Stadler,25,2.48,196,79
25,T24,T24,Cameron Tringale,24,2.48,198,80
26,T27,T27,Martin Flores,25,2.49,207,83
27,T27,T27,William McGirt,24,2.49,187,75
28,T29,T29,Jonas Blixt,24,2.5,190,76
29,T29,T29,Ben Crane,21,2.5,145,58
30,T29,T29,Justin Rose,17,2.5,150,60
31,32,32,Rickie Fowler,22,2.51,186,74
32,33,33,Adam Scott,16,2.53,152,60
33,T34,T34,K.J. Choi,24,2.54,213,84
34,T34,T34,Erik Compton,24,2.54,188,74
35,T34,T34,Zach Johnson,24,2.54,211,83
36,T34,T34,Hunter Mahan,25,2.54,216,85
37,T34,T34,Chez Reavie,22,2.54,183,72
38,T34,T34,Tag Ridings,24,2.54,165,65
39,T34,T34,Jimmy Walker,24,2.54,213,84
40,41,41,Jeff Overton,24,2.56,200,78
41,42,42,James Driscoll,23,2.57,185,72
42,T43,T43,Billy Horschel,26,2.58,248,96
43,T43,T43,Ian Poulter,16,2.58,137,53
44,T43,T43,Brandt Snedeker,23,2.58,204,79
45,T43,T43,Mark Wilson,19,2.58,134,52
46,T47,T47,Jeff Maggert,21,2.6,164,63
47,T47,T47,John Rollins,24,2.6,190,73
48,T47,T47,Rory Sabbatini,27,2.6,213,82
49,T47,T47,Daniel Summerhays,26,2.6,216,83
50,51,51,Fabián Gómez,23,2.62,170,65
51,T52,T52,Morgan Hoffmann,20,2.63,168,64
52,T52,T52,Graeme McDowell,16,2.63,129,49
53,T52,T52,Kevin Streelman,25,2.63,226,86
54,T52,T52,Bubba Watson,21,2.63,192,73
55,T56,T56,Chad Campbell,25,2.64,201,76
56,T56,T56,James Hahn,26,2.64,195,74
57,T58,T58,George McNeill,21,2.65,180,68
58,T58,T58,Bryce Molder,24,2.65,212,80
59,T58,T58,Cameron Percy,21,2.65,175,66
60,T58,T58,Charl Schwartzel,19,2.65,180,68
61,T62,T62,Steven Bowditch,22,2.66,173,65
62,T62,T62,Greg Chalmers,25,2.66,194,73
63,T62,T62,David Hearn,26,2.66,234,88
64,65,65,Gary Woodland,26,2.67,240,90
65,T66,T66,Jason Day,21,2.68,214,80
66,T66,T66,Jason Kokrak,25,2.68,209,78
67,T66,T66,Scott Langley,27,2.68,201,75
68,T66,T66,Ryan Palmer,22,2.68,212,79
69,T66,T66,Lee Westwood,19,2.68,185,69
70,T71,T71,Luke Donald,17,2.69,156,58
71,T71,T71,Jason Dufner,22,2.69,207,77
72,73,73,"Ted Potter, Jr.",22,2.7,165,61
73,74,74,D.H. Lee,22,2.71,176,65
74,T75,T75,Peter Hanson,15,2.72,117,43
75,T75,T75,John Huh,28,2.72,239,88
76,T75,T75,D.J. Trahan,16,2.72,125,46
77,T78,T78,Brian Harman,29,2.73,232,85
78,T78,T78,Russell Henley,24,2.73,213,78
79,T78,T78,Patrick Reed,26,2.73,227,83
80,T78,T78,Shawn Stefani,21,2.73,172,63
