,Front_9_Round_2_Scoring_Average_RANK THIS WEEK,Front_9_Round_2_Scoring_Average_RANK LAST WEEK,Front_9_Round_2_Scoring_Average_PLAYER NAME,Front_9_Round_2_Scoring_Average_AVG,Front_9_Round_2_Scoring_Average_TOTAL STROKES,Front_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,33.67,505,15
1,2,2,Cameron Percy,33.95,645,19
2,3,3,Chris Kirk,34.0,816,24
3,4,4,Sergio Garcia,34.19,547,16
4,5,5,Steve Stricker,34.25,411,12
5,6,6,Charles Howell III,34.42,826,24
6,T7,T7,Erik Compton,34.43,792,23
7,T7,T7,Jason Dufner,34.43,723,21
8,T7,T7,Jim Furyk,34.43,723,21
9,10,10,Keegan Bradley,34.46,827,24
10,11,11,Jordan Spieth,34.48,793,23
11,12,12,Justin Rose,34.5,552,16
12,13,13,Doug LaBelle II,34.57,726,21
13,T14,T14,Stuart Appleby,34.67,832,24
14,T14,T14,William McGirt,34.67,832,24
15,16,16,George McNeill,34.68,659,19
16,17,17,Bill Haas,34.71,833,24
17,18,18,Bob Estes,34.72,625,18
18,19,19,Fabián Gómez,34.73,764,22
19,20,20,Ben Curtis,34.74,660,19
20,T21,T21,James Hahn,34.76,869,25
21,T21,T21,Henrik Stenson,34.76,591,17
22,23,23,Justin Hicks,34.77,765,22
23,24,24,Bryce Molder,34.78,800,23
24,25,25,Pat Perez,34.8,696,20
25,26,26,David Hearn,34.81,905,26
26,27,27,Boo Weekley,34.85,941,27
27,28,28,Richard Lee,34.86,767,22
28,T29,T29,Brendon de Jonge,34.87,1046,30
29,T29,T29,Josh Teater,34.87,802,23
30,31,31,Steven Bowditch,34.9,733,21
31,32,32,Matt Kuchar,34.91,768,22
32,33,33,Kevin Stadler,34.92,838,24
33,34,34,Ben Crane,34.95,664,19
34,T35,T35,J.J. Henry,34.96,874,25
35,T35,T35,Chris Stroud,34.96,874,25
36,T35,T35,Cameron Tringale,34.96,839,24
37,T38,T38,K.J. Choi,35.0,805,23
38,T38,T38,Brian Davis,35.0,945,27
39,T38,T38,Charl Schwartzel,35.0,630,18
40,T38,T38,Daniel Summerhays,35.0,910,26
41,42,42,Roberto Castro,35.03,1016,29
42,T43,T43,Graham DeLaet,35.04,911,26
43,T43,T43,Gary Woodland,35.04,841,24
44,45,45,Bubba Watson,35.05,701,20
45,46,46,Martin Flores,35.08,877,25
46,47,47,Tom Gillis,35.1,737,21
47,48,48,Brad Fritsch,35.13,808,23
48,T49,T49,Carl Pettersson,35.14,773,22
49,T49,T49,Dicky Pride,35.14,773,22
50,T49,T49,Mike Weir,35.14,738,21
51,T52,T52,D.H. Lee,35.15,703,20
52,T52,T52,Patrick Reed,35.15,914,26
53,T54,T54,Charley Hoffman,35.17,809,23
54,T54,T54,Zach Johnson,35.17,809,23
55,T54,T54,Jason Kokrak,35.17,844,24
56,57,57,Jerry Kelly,35.18,774,22
57,T58,T58,Rickie Fowler,35.19,739,21
58,T58,T58,Henrik Norlander,35.19,739,21
59,60,60,Andres Romero,35.2,704,20
60,61,61,Stephen Ames,35.22,634,18
61,62,62,Harris English,35.23,916,26
62,63,63,David Lynn,35.24,740,21
63,64,64,Billy Horschel,35.27,917,26
64,65,65,Webb Simpson,35.29,847,24
