,Early_Round_3_Scoring_Average_RANK THIS WEEK,Early_Round_3_Scoring_Average_RANK LAST WEEK,Early_Round_3_Scoring_Average_PLAYER NAME,Early_Round_3_Scoring_Average_AVG,Early_Round_3_Scoring_Average_TOTAL STROKES,Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Morgan Hoffmann,68.5,411,6
1,2,2,Erik Compton,68.83,413,6
2,T3,T3,Tim Clark,69.0,483,7
3,T3,T3,Marc Leishman,69.0,345,5
4,T3,T3,Ryan Moore,69.0,483,7
5,T3,T3,Justin Rose,69.0,69,1
6,T3,T3,Adam Scott,69.0,345,5
7,T3,T3,Brandt Snedeker,69.0,483,7
8,T3,T3,Robert Streb,69.0,414,6
9,10,10,John Merrick,69.14,484,7
10,11,11,Kevin Stadler,69.15,899,13
11,12,12,Matt Every,69.22,623,9
12,T13,T13,Luke Donald,69.25,277,4
13,T13,T13,Mark Wilson,69.25,277,4
14,15,15,Ryan Palmer,69.45,764,11
15,T16,T16,Eric Meierdierks,69.5,139,2
16,T16,T16,Webb Simpson,69.5,695,10
17,T16,T16,Daniel Summerhays,69.5,556,8
18,T16,T16,Nick Watney,69.5,695,10
19,20,20,Matt Kuchar,69.56,626,9
20,21,21,Rod Pampling,69.6,348,5
21,T22,T22,Luke Guthrie,69.67,209,3
22,T22,T22,Dustin Johnson,69.67,418,6
23,24,24,Cameron Tringale,69.7,697,10
24,25,25,Chris Kirk,69.71,488,7
25,T26,T26,Ricky Barnes,69.75,558,8
26,T26,T26,Jim Furyk,69.75,558,8
27,T26,T26,Rory McIlroy,69.75,279,4
28,29,29,Chez Reavie,69.8,698,10
29,30,30,Graham DeLaet,69.85,908,13
30,31,31,Kevin Streelman,69.88,559,8
31,32,32,Charlie Wi,69.89,629,9
32,33,33,Matt Jones,69.9,699,10
33,34,34,Brendon de Jonge,69.92,839,12
34,T35,T35,Aaron Baddeley,70.0,420,6
35,T35,T35,Brian Davis,70.0,910,13
36,T35,T35,Jason Day,70.0,630,9
37,T35,T35,Brian Harman,70.0,490,7
38,T35,T35,Charles Howell III,70.0,490,7
39,T35,T35,Ben Kohles,70.0,350,5
40,T35,T35,Richard Lee,70.0,700,10
41,T35,T35,"Ted Potter, Jr.",70.0,140,2
42,T35,T35,John Rollins,70.0,280,4
43,T35,T35,Andrew Svoboda,70.0,350,5
44,T35,T35,Vaughn Taylor,70.0,350,5
45,T35,T35,Nicholas Thompson,70.0,840,12
46,T35,T35,Aaron Watkins,70.0,210,3
47,48,48,Justin Leonard,70.08,911,13
48,49,49,David Lingmerth,70.14,491,7
49,T50,T50,Jeff Maggert,70.17,421,6
50,T50,T50,Bubba Watson,70.17,421,6
51,T52,T52,Ian Poulter,70.2,351,5
52,T52,T52,David Toms,70.2,351,5
53,54,54,Brendan Steele,70.27,773,11
54,T55,T55,Jerry Kelly,70.29,492,7
55,T55,T55,Rory Sabbatini,70.29,492,7
56,57,57,Tag Ridings,70.33,211,3
57,T58,T58,Greg Chalmers,70.38,563,8
58,T58,T58,Dicky Pride,70.38,563,8
59,T58,T58,Lee Westwood,70.38,563,8
60,T61,T61,Kevin Chappell,70.4,704,10
61,T61,T61,Billy Horschel,70.4,704,10
62,T61,T61,Sean O'Hair,70.4,352,5
63,T64,T64,Padraig Harrington,70.43,493,7
64,T64,T64,Hunter Mahan,70.43,493,7
65,T66,T66,Sangmoon Bae,70.44,634,9
66,T66,T66,Brian Stuard,70.44,634,9
67,68,68,Sergio Garcia,70.5,282,4
68,T69,T69,Rickie Fowler,70.6,706,10
69,T69,T69,David Mathis,70.6,353,5
70,T69,T69,Y.E. Yang,70.6,353,5
71,T72,T72,Bud Cauley,70.67,424,6
72,T72,T72,Andres Romero,70.67,424,6
73,T72,T72,Darron Stiles,70.67,212,3
74,T72,T72,Camilo Villegas,70.67,636,9
75,T76,T76,Trevor Immelman,70.71,495,7
76,T76,T76,Jason Kokrak,70.71,495,7
77,T76,T76,Greg Owen,70.71,495,7
78,T79,T79,Steven Bowditch,70.75,566,8
79,T79,T79,Charley Hoffman,70.75,566,8
80,T79,T79,Vijay Singh,70.75,566,8
81,82,82,Robert Allenby,70.8,354,5
82,83,83,Chris Stroud,70.85,921,13
83,T84,T84,Roberto Castro,70.86,496,7
84,T84,T84,Robert Garrigus,70.86,496,7
85,86,86,Chad Campbell,70.91,780,11
86,87,87,K.J. Choi,70.92,851,12
87,T88,T88,Stephen Ames,71.0,142,2
88,T88,T88,Michael Bradley,71.0,284,4
89,T88,T88,Nicolas Colsaerts,71.0,213,3
90,T88,T88,Freddie Jacobson,71.0,426,6
91,T88,T88,D.H. Lee,71.0,497,7
92,T88,T88,Jeff Overton,71.0,568,8
93,T88,T88,Alistair Presnell,71.0,142,2
94,95,95,David Hearn,71.08,924,13
95,T96,T96,Ernie Els,71.13,569,8
96,T96,T96,James Hahn,71.13,569,8
97,T98,T98,Jason Bohn,71.17,427,6
98,T98,T98,Jin Park,71.17,427,6
99,100,100,Stuart Appleby,71.18,783,11
100,T101,T101,Justin Bolli,71.2,356,5
101,T101,T101,Charl Schwartzel,71.2,356,5
102,103,103,Brandt Jobe,71.22,641,9
103,T104,T104,Tim Herron,71.25,285,4
104,T104,T104,Gary Woodland,71.25,855,12
105,106,106,J.J. Henry,71.27,784,11
106,107,107,Jimmy Walker,71.29,499,7
107,108,108,William McGirt,71.3,713,10
108,109,109,Bo Van Pelt,71.31,927,13
109,T110,T110,Charlie Beljan,71.33,428,6
110,T110,T110,Steve LeBrun,71.33,428,6
111,T112,T112,Henrik Norlander,71.38,571,8
112,T112,T112,John Senden,71.38,571,8
113,T112,T112,Scott Stallings,71.38,571,8
114,115,115,Cameron Percy,71.4,714,10
115,116,116,Phil Mickelson,71.43,500,7
116,T117,T117,Ángel Cabrera,71.44,643,9
117,T117,T117,Ken Duke,71.44,643,9
118,T117,T117,Bob Estes,71.44,643,9
119,120,120,Bryce Molder,71.45,786,11
120,T121,T121,Jason Dufner,71.5,572,8
121,T121,T121,Brian Gay,71.5,858,12
122,T121,T121,David Lynn,71.5,572,8
123,T121,T121,Scott Piercy,71.5,572,8
124,T125,T125,Russell Henley,71.6,716,10
125,T125,T125,Pat Perez,71.6,358,5
126,T127,T127,Will Claxton,71.63,573,8
127,T127,T127,Tom Gillis,71.63,573,8
128,T127,T127,Justin Hicks,71.63,573,8
129,130,130,Boo Weekley,71.64,788,11
130,131,131,Seung-Yul Noh,71.67,430,6
131,132,132,Scott Brown,71.71,502,7
132,T133,T133,Ben Crane,71.75,287,4
133,T133,T133,Lucas Glover,71.75,287,4
134,T133,T133,Ryo Ishikawa,71.75,574,8
135,T133,T133,D.J. Trahan,71.75,287,4
136,T137,T137,Harris English,71.8,718,10
137,T137,T137,Martin Laird,71.8,359,5
138,139,139,Bill Haas,71.83,431,6
139,140,140,Lee Williams,71.86,503,7
140,141,141,Martin Flores,71.88,575,8
141,142,142,Brad Fritsch,71.91,791,11
142,T143,T143,Keegan Bradley,72.0,504,7
143,T143,T143,George McNeill,72.0,648,9
144,T143,T143,Geoff Ogilvy,72.0,504,7
145,T143,T143,Mike Weir,72.0,216,3
146,T143,T143,Casey Wittenberg,72.0,216,3
147,T148,T148,Carl Pettersson,72.13,1082,15
148,T148,T148,Patrick Reed,72.13,577,8
149,150,150,Doug LaBelle II,72.22,650,9
150,T151,T151,Colt Knost,72.38,579,8
151,T151,T151,Josh Teater,72.38,941,13
152,153,153,Tommy Gainey,72.4,724,10
153,154,154,D.A. Points,72.43,507,7
154,155,155,Luke List,72.5,580,8
155,156,156,Stewart Cink,72.56,653,9
156,T157,T157,Zach Johnson,72.6,363,5
157,T157,T157,Graeme McDowell,72.6,363,5
158,T157,T157,Michael Thompson,72.6,363,5
159,T157,T157,Tiger Woods,72.6,363,5
160,T161,T161,Fabián Gómez,72.67,436,6
161,T161,T161,Johnson Wagner,72.67,218,3
162,163,163,Jonas Blixt,72.7,727,10
163,164,164,Ben Curtis,72.75,291,4
164,165,165,Derek Ernst,72.8,364,5
165,T166,T166,Bobby Gates,73.0,73,1
166,T166,T166,Jim Herman,73.0,292,4
167,T166,T166,Scott Langley,73.0,438,6
168,T166,T166,Troy Matteson,73.0,365,5
169,170,170,John Huh,73.22,659,9
170,171,171,James Driscoll,73.33,220,3
171,172,172,Peter Hanson,73.43,514,7
172,173,173,Shawn Stefani,73.6,368,5
173,174,174,Martin Kaymer,73.86,517,7
174,175,175,Jordan Spieth,74.25,297,4
175,176,176,Robert Karlsson,74.29,520,7
176,177,177,Henrik Stenson,74.33,223,3
