,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Steve Stricker,51,67.14,470,7
1,T2,T2,Freddie Jacobson,63,68.5,274,4
2,T2,T2,Webb Simpson,92,68.5,1233,18
3,T4,T4,Keegan Bradley,88,68.63,1647,24
4,T4,T4,Charl Schwartzel,69,68.63,549,8
5,6,6,Justin Rose,62,68.83,826,12
6,7,7,Brendon de Jonge,110,68.95,1517,22
7,8,8,Chris Stroud,88,69.0,1242,18
8,T9,T9,Martin Kaymer,61,69.1,691,10
9,T9,T9,Chris Kirk,89,69.1,691,10
10,11,11,Hunter Mahan,91,69.14,968,14
11,12,12,Roberto Castro,97,69.15,899,13
12,13,13,Matt Kuchar,93,69.19,1453,21
13,14,14,Chez Reavie,72,69.21,969,14
14,15,15,Brian Gay,79,69.29,970,14
15,16,16,Tiger Woods,61,69.31,901,13
16,17,17,Graeme McDowell,53,69.36,763,11
17,18,18,Jim Furyk,80,69.4,1041,15
18,19,19,Kevin Streelman,86,69.44,1111,16
19,T20,T20,Jason Dufner,78,69.5,834,12
20,T20,T20,Justin Leonard,86,69.5,1390,20
21,22,22,Ryan Palmer,79,69.53,1043,15
22,T23,T23,Ángel Cabrera,73,69.54,904,13
23,T23,T23,Adam Scott,61,69.54,904,13
24,25,25,Kevin Stadler,83,69.55,765,11
25,26,26,Matt Jones,83,69.56,1113,16
26,27,27,Phil Mickelson,78,69.62,1462,21
27,28,28,Kevin Chappell,80,69.64,975,14
28,T29,T29,Bob Estes,66,69.69,1115,16
29,T29,T29,Bill Haas,85,69.69,906,13
30,31,31,Bryce Molder,82,69.73,1046,15
31,32,32,Billy Horschel,96,69.74,1604,23
32,T33,T33,Luke Donald,60,69.75,837,12
33,T33,T33,Russell Henley,80,69.75,837,12
34,35,35,Charley Hoffman,84,69.76,1186,17
35,36,36,Jason Day,86,69.8,1047,15
36,37,37,Brendan Steele,86,69.81,1117,16
37,T38,T38,Henrik Stenson,65,69.88,559,8
38,T38,T38,Boo Weekley,100,69.88,1118,16
39,40,40,David Toms,49,69.89,629,9
40,41,41,Geoff Ogilvy,57,69.9,699,10
41,42,42,William McGirt,75,69.91,769,11
42,43,43,Pat Perez,69,69.93,979,14
43,T44,T44,Graham DeLaet,94,69.94,1119,16
44,T44,T44,George McNeill,68,69.94,1259,18
45,T46,T46,Rickie Fowler,75,70.0,1400,20
46,T46,T46,Charles Howell III,87,70.0,980,14
47,T46,T46,Carl Pettersson,82,70.0,560,8
48,T46,T46,Brandt Snedeker,79,70.0,1050,15
49,T46,T46,Vaughn Taylor,50,70.0,560,8
50,T46,T46,Nicholas Thompson,99,70.0,1330,19
51,T46,T46,Lee Williams,62,70.0,1190,17
52,53,53,Lee Westwood,70,70.08,841,12
53,54,54,Justin Hicks,79,70.11,1262,18
54,55,55,Nick Watney,88,70.13,1052,15
55,56,56,Jerry Kelly,75,70.17,842,12
56,57,57,Bud Cauley,67,70.21,983,14
57,58,58,Morgan Hoffmann,64,70.22,632,9
58,59,59,Tag Ridings,69,70.23,913,13
59,60,60,Rod Pampling,46,70.3,703,10
60,T61,T61,Steve LeBrun,66,70.31,914,13
61,T61,T61,Rory Sabbatini,86,70.31,914,13
62,T63,T63,Luke Guthrie,82,70.33,1266,18
63,T63,T63,Ian Poulter,59,70.33,633,9
64,T63,T63,Josh Teater,86,70.33,1055,15
65,66,66,Camilo Villegas,79,70.35,1407,20
66,T67,T67,Sangmoon Bae,83,70.36,1548,22
67,T67,T67,Harris English,95,70.36,1548,22
68,T67,T67,Scott Stallings,79,70.36,774,11
69,T70,T70,Robert Garrigus,69,70.38,915,13
70,T70,T70,John Merrick,79,70.38,563,8
71,T72,T72,Eric Meierdierks,48,70.4,704,10
72,T72,T72,Henrik Norlander,70,70.4,1056,15
73,T72,T72,Bo Van Pelt,72,70.4,1056,15
74,75,75,J.J. Henry,83,70.44,1127,16
75,76,76,Zach Johnson,84,70.45,775,11
76,77,77,Richard Lee,81,70.47,1057,15
77,T78,T78,Michael Bradley,56,70.5,705,10
78,T78,T78,Sergio Garcia,65,70.5,564,8
79,T78,T78,Ryo Ishikawa,72,70.5,987,14
80,T78,T78,Jimmy Walker,84,70.5,846,12
81,82,82,Jason Kokrak,78,70.53,1199,17
82,T83,T83,John Huh,88,70.57,988,14
83,T83,T83,Jordan Spieth,82,70.57,988,14
84,T83,T83,Bubba Watson,76,70.57,988,14
85,86,86,Mike Weir,60,70.62,918,13
86,87,87,Patrick Reed,83,70.65,1201,17
87,T88,T88,Cameron Percy,68,70.67,636,9
88,T88,T88,Charlie Wi,75,70.67,1484,21
89,T88,T88,Casey Wittenberg,72,70.67,848,12
90,T88,T88,Gary Woodland,94,70.67,1272,18
91,92,92,Ken Duke,87,70.69,919,13
92,93,93,Shawn Stefani,63,70.7,707,10
93,94,94,Erik Compton,74,70.71,1202,17
94,95,95,James Driscoll,76,70.76,1203,17
95,96,96,Jim Herman,59,70.78,637,9
96,T97,T97,Brad Fritsch,81,70.79,1345,19
97,T97,T97,David Lingmerth,68,70.79,991,14
98,T99,T99,Chad Campbell,78,70.8,1062,15
99,T99,T99,Tim Clark,64,70.8,708,10
100,101,101,Martin Flores,83,70.81,1133,16
101,102,102,D.H. Lee,65,70.82,779,11
102,T103,T103,K.J. Choi,85,70.87,1063,15
103,T103,T103,Dustin Johnson,71,70.87,1063,15
104,105,105,Jeff Overton,78,70.89,1276,18
105,106,106,David Hearn,88,70.94,1277,18
106,T107,T107,Jeff Maggert,63,71.0,1065,15
107,T107,T107,John Rollins,77,71.0,1136,16
108,109,109,Stuart Appleby,88,71.03,2131,30
109,T110,T110,Tommy Gainey,84,71.05,1421,20
110,T110,T110,Brian Harman,89,71.05,1421,20
111,T112,T112,Matt Every,89,71.08,1706,24
112,T112,T112,D.J. Trahan,48,71.08,853,12
113,114,114,Scott Gardiner,61,71.13,569,8
114,115,115,Dicky Pride,71,71.14,996,14
115,116,116,Stewart Cink,71,71.15,925,13
116,117,117,David Lynn,70,71.17,854,12
117,118,118,Will Claxton,67,71.19,1139,16
118,T119,T119,Jason Bohn,70,71.23,926,13
119,T119,T119,Colt Knost,69,71.23,926,13
120,T119,T119,Vijay Singh,61,71.23,926,13
121,122,122,Steven Bowditch,67,71.24,1211,17
122,T123,T123,Ernie Els,63,71.25,1140,16
123,T123,T123,Mark Wilson,56,71.25,855,12
124,T125,T125,Brian Davis,91,71.29,1212,17
125,T125,T125,Daniel Summerhays,83,71.29,1212,17
126,T125,T125,Cameron Tringale,80,71.29,1212,17
127,128,128,Martin Laird,68,71.3,713,10
128,129,129,Brian Stuard,78,71.32,1569,22
129,T130,T130,Ben Kohles,75,71.33,1070,15
130,T130,T130,Marc Leishman,77,71.33,856,12
131,T132,T132,Greg Chalmers,77,71.35,1213,17
132,T132,T132,Doug LaBelle II,72,71.35,1213,17
133,T134,T134,James Hahn,78,71.4,1071,15
134,T134,T134,Robert Karlsson,56,71.4,714,10
135,T134,T134,Scott Piercy,78,71.4,714,10
136,137,137,Peter Hanson,45,71.43,500,7
137,138,138,Padraig Harrington,52,71.44,643,9
138,T139,T139,Nicolas Colsaerts,50,71.45,786,11
139,T139,T139,John Senden,79,71.45,786,11
