,Par_5_Eagle_Leaders_RANK THIS WEEK,Par_5_Eagle_Leaders_RANK LAST WEEK,Par_5_Eagle_Leaders_PLAYER NAME,Par_5_Eagle_Leaders_ROUNDS,Par_5_Eagle_Leaders_TOTAL,Par_5_Eagle_Leaders_TOTAL PAR 5 HOLES,Par_5_Eagle_Leaders_TOTAL HOLE OUTS
0,1,1,Chris Kirk,89,14,280,4.0
1,T2,T2,Dustin Johnson,71,11,213,1.0
2,T2,T2,Jason Kokrak,78,11,249,4.0
3,T4,T4,Keegan Bradley,88,10,260,2.0
4,T4,T4,Patrick Reed,83,10,255,2.0
5,T4,T4,Jordan Spieth,82,10,251,4.0
6,T7,T7,Chad Campbell,78,9,239,4.0
7,T7,T7,Sergio Garcia,65,9,192,1.0
8,T7,T7,James Hahn,78,9,247,3.0
9,T7,T7,Kevin Stadler,83,9,249,4.0
10,T7,T7,Kyle Stanley,71,9,229,2.0
11,T7,T7,Henrik Stenson,65,9,196,1.0
12,T7,T7,Daniel Summerhays,83,9,273,4.0
13,T7,T7,Gary Woodland,94,9,282,1.0
14,T15,T15,Jason Day,86,8,251,1.0
15,T15,T15,Brendon de Jonge,110,8,341,3.0
16,T15,T15,Ernie Els,63,8,192,2.0
17,T15,T15,Martin Flores,83,8,259,
18,T15,T15,Rickie Fowler,75,8,230,
19,T15,T15,Robert Garrigus,69,8,217,1.0
20,T15,T15,Charley Hoffman,84,8,270,2.0
21,T15,T15,Matt Kuchar,93,8,270,
22,T15,T15,George McNeill,68,8,209,
23,T15,T15,John Merrick,79,8,250,2.0
24,T15,T15,Rory Sabbatini,86,8,248,3.0
25,T15,T15,Camilo Villegas,79,8,235,3.0
26,T15,T15,Jimmy Walker,84,8,279,2.0
27,T15,T15,Boo Weekley,100,8,302,1.0
28,T15,T15,Tiger Woods,61,8,184,1.0
29,T30,T30,Aaron Baddeley,68,7,223,2.0
30,T30,T30,Roberto Castro,97,7,309,
31,T30,T30,Matt Every,89,7,287,1.0
32,T30,T30,Brian Harman,89,7,276,2.0
33,T30,T30,Russell Henley,80,7,238,2.0
34,T30,T30,Charles Howell III,87,7,274,1.0
35,T30,T30,Matt Jones,83,7,263,2.0
36,T30,T30,Ben Kohles,75,7,229,1.0
