,Tenth_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_1_Scoring_Average_AVG,Tenth_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Stricker,66.0,66,1
1,2,2,Graeme McDowell,67.0,67,1
2,3,3,Stephen Ames,67.33,202,3
3,4,4,Sergio Garcia,67.5,270,4
4,5,5,Kevin Streelman,68.0,340,5
5,6,6,Morgan Hoffmann,68.25,273,4
6,T7,T7,Graham DeLaet,68.67,206,3
7,T7,T7,Daniel Summerhays,68.67,206,3
8,9,9,Brian Davis,68.88,551,8
9,T10,T10,Tim Clark,69.0,276,4
10,T10,T10,Robert Streb,69.0,414,6
11,12,12,Hunter Mahan,69.25,277,4
12,13,13,Roberto Castro,69.33,624,9
13,14,14,Jimmy Walker,69.36,763,11
14,15,15,Charlie Wi,69.5,278,4
15,16,16,Chris Kirk,69.54,904,13
16,17,17,Ryan Palmer,69.6,348,5
17,T18,T18,Brian Gay,69.67,418,6
18,T18,T18,"Ted Potter, Jr.",69.67,209,3
19,T18,T18,Jordan Spieth,69.67,418,6
20,T18,T18,Bubba Watson,69.67,209,3
21,T22,T22,Steven Bowditch,69.75,279,4
22,T22,T22,K.J. Choi,69.75,279,4
23,T22,T22,James Driscoll,69.75,279,4
24,T22,T22,Jerry Kelly,69.75,279,4
25,T22,T22,Bo Van Pelt,69.75,279,4
26,27,27,Greg Chalmers,69.83,419,6
27,T28,T28,Chad Campbell,70.0,420,6
28,T28,T28,Nicolas Colsaerts,70.0,70,1
29,T28,T28,Luke Donald,70.0,70,1
30,T28,T28,Bob Estes,70.0,210,3
31,T28,T28,George McNeill,70.0,280,4
32,T28,T28,Rory Sabbatini,70.0,210,3
33,T28,T28,D.J. Trahan,70.0,70,1
34,T28,T28,Mark Wilson,70.0,350,5
35,T28,T28,Y.E. Yang,70.0,140,2
36,37,37,Brad Fritsch,70.17,421,6
37,38,38,Lucas Glover,70.2,351,5
38,T39,T39,Jonas Blixt,70.25,281,4
39,T39,T39,Billy Horschel,70.25,281,4
