,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Jim Furyk,65.67,197,3
1,2,2,Charles Howell III,66.75,267,4
2,T3,T3,Rickie Fowler,67.0,67,1
3,T3,T3,Steve Stricker,67.0,67,1
4,5,5,Jim Herman,68.0,136,2
5,6,6,Brian Stuard,68.33,410,6
6,7,7,Charl Schwartzel,68.5,137,2
7,8,8,John Huh,68.63,549,8
8,9,9,Erik Compton,68.75,275,4
9,10,10,Steven Bowditch,68.83,413,6
10,T11,T11,Martin Flores,69.0,621,9
11,T11,T11,Graeme McDowell,69.0,138,2
12,T11,T11,Cameron Percy,69.0,345,5
13,T11,T11,Bubba Watson,69.0,69,1
14,15,15,Brendon de Jonge,69.11,622,9
15,16,16,"Ted Potter, Jr.",69.29,485,7
16,17,17,Chris Stroud,69.4,347,5
17,T18,T18,Ángel Cabrera,69.5,278,4
18,T18,T18,Tom Gillis,69.5,278,4
19,T18,T18,Henrik Stenson,69.5,278,4
20,T21,T21,Graham DeLaet,69.57,487,7
21,T21,T21,Chris Kirk,69.57,487,7
22,T21,T21,Gary Woodland,69.57,487,7
23,T24,T24,Matt Every,69.67,418,6
24,T24,T24,David Toms,69.67,209,3
25,T24,T24,Boo Weekley,69.67,418,6
26,27,27,Nicholas Thompson,69.71,488,7
27,T28,T28,Peter Hanson,69.75,279,4
28,T28,T28,Steve LeBrun,69.75,279,4
29,T30,T30,K.J. Choi,69.8,349,5
30,T30,T30,Stewart Cink,69.8,349,5
31,T30,T30,Bill Haas,69.8,349,5
32,T30,T30,Scott Langley,69.8,349,5
33,T30,T30,Ryan Palmer,69.8,349,5
34,T30,T30,Kyle Stanley,69.8,349,5
35,36,36,Carl Pettersson,69.86,489,7
36,37,37,Bryce Molder,69.88,559,8
37,T38,T38,Justin Hicks,70.0,210,3
38,T38,T38,John Rollins,70.0,420,6
39,T38,T38,Webb Simpson,70.0,210,3
40,T38,T38,Charlie Wi,70.0,210,3
41,T38,T38,Casey Wittenberg,70.0,420,6
42,43,43,David Hearn,70.11,631,9
43,T44,T44,Jonas Blixt,70.17,421,6
44,T44,T44,Vijay Singh,70.17,421,6
45,T46,T46,Jason Bohn,70.2,351,5
46,T46,T46,Bob Estes,70.2,351,5
47,T46,T46,Lucas Glover,70.2,351,5
48,T46,T46,Fabián Gómez,70.2,351,5
49,T46,T46,George McNeill,70.2,351,5
50,T51,T51,Harris English,70.33,211,3
51,T51,T51,Jimmy Walker,70.33,422,6
52,53,53,Stuart Appleby,70.4,352,5
53,T54,T54,Greg Chalmers,70.5,282,4
54,T54,T54,Doug LaBelle II,70.5,282,4
55,T54,T54,David Lynn,70.5,282,4
56,T54,T54,Tag Ridings,70.5,423,6
57,58,58,D.A. Points,70.6,353,5
58,T59,T59,Ben Kohles,70.67,424,6
59,T59,T59,Patrick Reed,70.67,636,9
60,T59,T59,Rory Sabbatini,70.67,636,9
61,T62,T62,Sangmoon Bae,70.75,283,4
62,T62,T62,Josh Teater,70.75,566,8
63,64,64,Kevin Stadler,70.78,637,9
64,T65,T65,Justin Bolli,70.8,354,5
65,T65,T65,Freddie Jacobson,70.8,354,5
66,T65,T65,Mike Weir,70.8,354,5
67,T68,T68,Scott Piercy,70.83,425,6
68,T68,T68,Vaughn Taylor,70.83,425,6
69,70,70,Chad Campbell,70.86,496,7
70,71,71,Kevin Chappell,70.88,567,8
71,T72,T72,Robert Allenby,71.0,497,7
72,T72,T72,Stephen Ames,71.0,497,7
73,T72,T72,Nicolas Colsaerts,71.0,142,2
74,T72,T72,Trevor Immelman,71.0,426,6
75,T72,T72,Jason Kokrak,71.0,426,6
76,T72,T72,Troy Matteson,71.0,568,8
77,T72,T72,Seung-Yul Noh,71.0,284,4
