,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Steve Stricker,51,3.77,83,22
1,T2,T2,Graeme McDowell,53,3.82,130,34
2,T2,T2,Adam Scott,61,3.82,42,11
3,4,4,Sergio Garcia,65,3.86,216,56
4,5,5,Jim Furyk,80,3.88,380,98
5,6,6,Luke Donald,60,3.93,165,42
6,T7,T7,Stewart Cink,71,3.94,386,98
7,T7,T7,Graham DeLaet,94,3.94,493,125
8,T7,T7,James Driscoll,76,3.94,583,148
9,T7,T7,Charles Howell III,87,3.94,587,149
10,T7,T7,Jimmy Walker,84,3.94,977,248
11,12,12,Ben Crane,62,3.95,553,140
12,T13,T13,Steven Bowditch,67,3.96,550,139
13,T13,T13,Morgan Hoffmann,64,3.96,606,153
14,T13,T13,Webb Simpson,92,3.96,210,53
15,T13,T13,David Toms,49,3.96,356,90
16,T13,T13,Mark Wilson,56,3.96,388,98
17,T18,T18,Stuart Appleby,88,3.97,461,116
18,T18,T18,Chris Kirk,89,3.97,946,238
19,T18,T18,"Ted Potter, Jr.",65,3.97,492,124
20,T18,T18,Bo Van Pelt,72,3.97,341,86
21,T22,T22,K.J. Choi,85,3.98,517,130
22,T22,T22,Bob Estes,66,3.98,370,93
23,T22,T22,Martin Flores,83,3.98,772,194
24,T22,T22,David Hearn,88,3.98,529,133
25,T22,T22,Brandt Snedeker,79,3.98,207,52
26,T22,T22,Gary Woodland,94,3.98,545,137
27,T28,T28,Brian Davis,91,3.99,558,140
28,T28,T28,Harris English,95,3.99,491,123
29,T28,T28,Tom Gillis,69,3.99,379,95
30,T28,T28,Bill Haas,85,3.99,379,95
31,T28,T28,Bryce Molder,82,3.99,690,173
32,T28,T28,Ryan Palmer,79,3.99,531,133
33,T28,T28,Charl Schwartzel,69,3.99,347,87
34,T28,T28,Boo Weekley,100,3.99,638,160
35,T36,T36,Tim Clark,64,4.0,564,141
36,T36,T36,Martin Kaymer,61,4.0,304,76
37,T36,T36,Alistair Presnell,59,4.0,392,98
38,T36,T36,Tag Ridings,69,4.0,572,143
39,T36,T36,Jordan Spieth,82,4.0,412,103
40,T36,T36,Kevin Streelman,86,4.0,604,151
41,T36,T36,Mike Weir,60,4.0,432,108
42,T36,T36,Tiger Woods,61,4.0,40,10
43,T44,T44,Brian Gay,79,4.01,662,165
44,T44,T44,Jim Herman,59,4.01,353,88
45,T44,T44,Freddie Jacobson,63,4.01,541,135
46,T44,T44,Matt Jones,83,4.01,682,170
47,T44,T44,Troy Matteson,68,4.01,681,170
48,T44,T44,Brian Stuard,78,4.01,481,120
49,T44,T44,Aaron Watkins,46,4.01,313,78
50,T51,T51,Brandt Jobe,62,4.02,386,96
51,T51,T51,Jerry Kelly,75,4.02,704,175
52,T51,T51,Jeff Overton,78,4.02,603,150
53,T51,T51,Brendan Steele,86,4.02,652,162
54,T51,T51,Josh Teater,86,4.02,623,155
55,T51,T51,Nicholas Thompson,99,4.02,736,183
56,T51,T51,Charlie Wi,75,4.02,382,95
57,T58,T58,Stephen Ames,49,4.03,496,123
58,T58,T58,Jonas Blixt,76,4.03,568,141
59,T58,T58,Jason Day,86,4.03,467,116
60,T58,T58,Billy Horschel,96,4.03,423,105
61,T58,T58,Hunter Mahan,91,4.03,475,118
62,T58,T58,George McNeill,68,4.03,649,161
