,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Deane Pappas,72,95.51,85,89
1,2,2,Jesper Parnevik,86,94.9,93,98
2,3,3,Tiger Woods,78,94.2,65,69
3,4,4,Mark Calcavecchia,79,93.75,75,80
4,T5,T5,K.J. Choi,83,93.33,70,75
5,T5,T5,Dicky Pride,66,93.33,70,75
6,7,7,Ernie Els,62,93.02,40,43
7,8,8,Hidemichi Tanaka,89,92.05,81,88
8,9,9,Tommy Armour III,87,91.92,91,99
9,10,10,Brian Gay,96,91.8,112,122
10,11,11,Craig Barlow,80,91.4,85,93
11,12,12,Kirk Triplett,88,91.36,74,81
12,13,13,Kevin Sutherland,86,91.27,115,126
13,14,14,Vijay Singh,112,91.11,82,90
14,15,15,Scott Verplank,92,91.09,92,101
15,16,16,Shigeki Maruyama,93,90.72,88,97
16,17,17,David Morland IV,73,90.59,77,85
17,18,18,Robert Gamez,103,90.58,125,138
18,19,19,John Daly,79,90.54,67,74
19,20,20,Matt Gogel,86,90.35,103,114
20,21,21,Tim Herron,84,90.28,65,72
21,22,22,Jerry Kelly,113,90.24,111,123
22,23,23,Chad Campbell,100,90.2,92,102
23,24,24,Patrick Sheehan,113,89.87,142,158
24,T25,T25,Freddie Jacobson,83,89.66,78,87
25,T25,T25,Duffy Waldorf,79,89.66,78,87
26,27,27,Joe Durant,85,89.62,95,106
27,28,28,Fred Funk,97,89.57,103,115
28,T29,T29,Mark Hensby,97,89.47,102,114
29,T29,T29,Corey Pavin,83,89.47,102,114
30,T29,T29,Chris Riley,78,89.47,68,76
31,32,32,Stephen Ames,97,89.42,93,104
32,33,33,Kevin Na,100,89.36,126,141
33,34,34,Jonathan Byrd,85,89.29,75,84
34,35,35,Carl Pettersson,100,89.17,107,120
35,36,36,Ted Purdy,114,89.04,130,146
36,37,37,Jeff Sluman,98,89.0,89,100
37,T38,T38,Bart Bryant,73,88.89,72,81
38,T38,T38,Loren Roberts,81,88.89,80,90
39,40,40,Cameron Beckman,99,88.81,127,143
40,41,41,Ben Curtis,56,88.71,55,62
41,42,42,Craig Bowden,83,88.7,102,115
42,43,43,Mark Brooks,72,88.68,94,106
43,44,44,Darren Clarke,54,88.64,39,44
44,45,45,Tom Lehman,70,88.61,70,79
45,46,46,Bob Tway,90,88.39,99,112
46,47,47,Brian Kortan,65,88.37,76,86
47,48,48,Pat Bates,99,88.33,106,120
48,49,49,Todd Fischer,104,88.24,120,136
49,50,50,Kenny Perry,79,88.16,67,76
50,51,51,Tom Byrum,83,88.1,111,126
51,52,52,Olin Browne,92,88.04,81,92
52,T53,T53,Mark O'Meara,58,88.0,66,75
53,T53,T53,José María Olazábal,56,88.0,44,50
54,55,55,Greg Chalmers,70,87.95,73,83
55,56,56,Harrison Frazar,86,87.85,94,107
56,T57,T57,Rocco Mediate,53,87.84,65,74
57,T57,T57,Joey Sindelar,100,87.84,130,148
58,59,59,Stewart Cink,103,87.83,101,115
59,60,60,Dan Forsman,79,87.74,93,106
60,61,61,Nick Price,51,87.69,57,65
61,T62,T62,Retief Goosen,56,87.5,42,48
62,T62,T62,Jay Haas,84,87.5,84,96
63,T62,T62,Tim Petrovic,111,87.5,119,136
64,65,65,Steve Stricker,81,87.4,111,127
65,T66,T66,Arjun Atwal,85,87.39,97,111
66,T66,T66,David Peoples,82,87.39,104,119
67,68,68,Notah Begay III,71,87.36,76,87
68,69,69,Paul Azinger,75,87.23,82,94
69,70,70,Jay Delsing,76,87.21,75,86
70,71,71,Scott McCarron,88,87.18,102,117
71,72,72,Len Mattiace,75,87.16,95,109
72,73,73,Danny Briggs,85,87.1,81,93
73,74,74,Steve Allan,102,87.07,101,116
74,75,75,Joe Ogilvie,104,87.02,114,131
75,76,76,Cliff Kresge,89,86.99,107,123
76,77,77,Scott Hoch,52,86.89,53,61
77,T78,T78,Chris Couch,55,86.79,46,53
78,T78,T78,Carlos Franco,99,86.79,92,106
79,T78,T78,Rory Sabbatini,89,86.79,92,106
80,81,81,David Frost,78,86.73,85,98
81,82,82,Grant Waite,79,86.6,84,97
82,T83,T83,Brent Geiberger,94,86.55,103,119
83,T83,T83,Hunter Mahan,94,86.55,103,119
84,T85,T85,Tom Carter,113,86.49,128,148
85,T85,T85,Zach Johnson,109,86.49,96,111
86,87,87,Todd Hamilton,92,86.46,83,96
87,88,88,Lucas Glover,95,86.36,95,110
88,89,89,Dennis Paulson,71,86.32,82,95
89,90,90,Steve Elkington,64,86.21,75,87
90,91,91,Ben Crane,92,86.18,106,123
91,92,92,John Senden,99,86.09,99,115
92,T93,T93,Alex Cejka,76,86.05,74,86
93,T93,T93,Justin Rose,77,86.05,74,86
94,95,95,Billy Andrade,104,86.03,117,136
95,96,96,Richard Johnson,102,85.92,122,142
96,97,97,Brad Faxon,94,85.86,85,99
97,98,98,Frank Lickliter II,89,85.84,97,113
98,99,99,Vaughn Taylor,84,85.71,66,77
99,100,100,Skip Kendall,99,85.62,125,146
100,101,101,Brian Bateman,84,85.57,83,97
101,102,102,Bernhard Langer,59,85.54,71,83
102,103,103,Matt Kuchar,83,85.45,94,110
103,104,104,Heath Slocum,92,85.37,105,123
104,105,105,Dean Wilson,99,85.33,128,150
105,106,106,Andre Stolz,53,85.25,52,61
106,107,107,Michael Allen,87,85.22,98,115
107,108,108,Rich Beem,81,85.06,74,87
108,T109,T109,Bob Burns,88,85.0,119,140
