,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,José Coceres,68,65.12,56,86
1,2,2,Dan Forsman,79,65.05,67,103
2,3,3,Nick Price,51,63.49,40,63
3,4,4,David Frost,78,62.5,65,104
4,5,5,Rod Pampling,98,62.12,82,132
5,6,6,Geoff Ogilvy,91,61.96,57,92
6,7,7,Hank Kuehne,91,61.86,60,97
7,8,8,Davis Love III,85,61.73,50,81
8,9,9,Adam Scott,55,61.7,29,47
9,10,10,Dennis Paulson,71,61.63,53,86
10,11,11,Stephen Ames,97,61.47,67,109
11,12,12,Brad Faxon,94,61.39,62,101
12,13,13,Omar Uresti,85,61.32,65,106
13,T14,T14,Len Mattiace,75,61.11,55,90
14,T14,T14,Craig Parry,52,61.11,33,54
15,16,16,Greg Chalmers,70,60.49,49,81
16,T17,T17,Justin Leonard,90,59.55,53,89
17,T17,T17,Mike Weir,75,59.55,53,89
18,19,19,Jay Haas,84,59.52,50,84
19,20,20,José María Olazábal,56,59.26,32,54
20,T21,T21,Loren Roberts,81,59.22,61,103
21,T21,T21,Kevin Sutherland,86,59.22,61,103
22,T23,T23,Tim Clark,84,58.9,43,73
23,T23,T23,Dudley Hart,60,58.9,43,73
24,T23,T23,Phil Mickelson,83,58.9,43,73
25,26,26,David Toms,80,58.82,40,68
26,27,27,Jay Williamson,100,58.57,82,140
27,28,28,Stewart Cink,103,58.49,62,106
28,29,29,Carlos Franco,99,58.43,52,89
29,30,30,Craig Barlow,80,58.42,59,101
30,T31,T31,John Huston,62,58.33,35,60
31,T31,T31,Tag Ridings,53,58.33,28,48
32,33,33,Retief Goosen,56,58.14,25,43
33,T34,T34,Tom Byrum,83,57.69,60,104
34,T34,T34,Danny Ellis,81,57.69,60,104
35,T36,T36,Alex Cejka,76,57.65,49,85
36,T36,T36,Steve Pate,71,57.65,49,85
37,38,38,Lee Janzen,84,57.3,51,89
38,T39,T39,Ernie Els,62,57.14,32,56
39,T39,T39,Charles Howell III,104,57.14,64,112
40,T39,T39,Billy Mayfair,109,57.14,56,98
41,42,42,Rich Beem,81,56.79,46,81
42,43,43,Heath Slocum,92,56.48,61,108
43,44,44,Chris DiMarco,105,56.38,53,94
44,45,45,Jerry Kelly,113,56.32,49,87
45,46,46,Brenden Pappas,111,56.25,63,112
46,47,47,Tom Pernice Jr.,103,56.19,59,105
47,48,48,Mark O'Meara,58,56.16,41,73
48,49,49,Matt Gogel,86,56.04,51,91
49,50,50,Stephen Leaney,84,55.95,47,84
50,51,51,Ryan Palmer,103,55.94,80,143
51,52,52,Roger Tambellini,81,55.68,49,88
52,T53,T53,Brian Gay,96,55.56,65,117
53,T53,T53,Kevin Na,100,55.56,65,117
54,55,55,Chris Riley,78,55.42,46,83
55,56,56,Bob Burns,88,55.34,57,103
56,57,57,Mark Hensby,97,55.28,68,123
57,58,58,Shaun Micheel,93,55.22,37,67
58,59,59,Scott Verplank,92,55.21,53,96
59,60,60,Jason Dufner,79,55.17,48,87
60,61,61,Michael Allen,87,55.1,54,98
61,T62,T62,Jonathan Byrd,85,54.95,61,111
62,T62,T62,Neal Lancaster,106,54.95,61,111
63,64,64,Jesper Parnevik,86,54.64,53,97
64,65,65,Arron Oberholser,77,54.55,42,77
65,66,66,Fred Funk,97,54.46,61,112
66,67,67,Brian Kortan,65,54.41,37,68
67,68,68,Dean Wilson,99,54.4,68,125
68,69,69,Hunter Mahan,94,54.37,56,103
69,70,70,Luke Donald,72,54.29,38,70
70,71,71,J.L. Lewis,106,54.21,58,107
71,72,72,Bob Estes,73,53.73,36,67
72,73,73,John Daly,79,53.66,44,82
73,74,74,Shigeki Maruyama,93,53.64,59,110
74,75,75,Vijay Singh,112,53.54,53,99
75,76,76,Aaron Baddeley,87,53.51,61,114
76,77,77,Pat Perez,102,53.45,62,116
77,78,78,Jay Delsing,76,53.33,48,90
78,79,79,Stuart Appleby,84,53.19,50,94
79,80,80,Corey Pavin,83,53.09,43,81
80,81,81,Darren Clarke,54,53.06,26,49
81,82,82,Robert Gamez,103,52.89,64,121
82,83,83,John Senden,99,52.88,55,104
83,84,84,Esteban Toledo,92,52.86,74,140
84,85,85,Scott McCarron,88,52.83,56,106
85,T86,T86,Matt Kuchar,83,52.81,47,89
86,T86,T86,John Rollins,90,52.81,47,89
87,88,88,Billy Andrade,104,52.63,70,133
88,89,89,Glen Day,101,52.55,72,137
89,90,90,Paul Azinger,75,52.54,62,118
90,91,91,Tim Petrovic,111,52.5,63,120
91,92,92,John Cook,57,52.46,32,61
92,93,93,Andre Stolz,53,52.44,43,82
93,94,94,Cameron Beckman,99,52.38,44,84
94,95,95,Steve Flesch,109,52.24,70,134
95,96,96,Scott Simpson,55,52.17,36,69
96,97,97,Skip Kendall,99,52.1,62,119
97,98,98,Craig Bowden,83,52.03,64,123
98,99,99,Bob Tway,90,51.96,53,102
99,100,100,Scott Hoch,52,51.92,27,52
100,101,101,Steve Allan,102,51.85,56,108
101,102,102,K.J. Choi,83,51.69,46,89
102,103,103,Carl Pettersson,100,51.49,52,101
103,104,104,Ben Crane,92,51.4,55,107
104,105,105,Brent Geiberger,94,51.38,56,109
105,106,106,Todd Fischer,104,51.22,63,123
106,107,107,Olin Browne,92,51.16,44,86
107,108,108,Brian Bateman,84,51.0,51,100
108,109,109,Justin Rose,77,50.98,26,51
109,110,110,Ken Duke,89,50.88,58,114
