,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Omar Uresti,85,"7' 2""",3320.667,465
1,T2,T2,Stewart Cink,103,"7' 3""",2946.917,408
2,T2,T2,Bob Estes,73,"7' 3""",2031.8329999999999,279
3,T2,T2,Corey Pavin,83,"7' 3""",2925.583,404
4,T2,T2,Justin Rose,77,"7' 3""",2295.333,316
5,T6,T6,John Huston,62,"7' 4""",1582.4170000000001,217
6,T6,T6,José María Olazábal,56,"7' 4""",1717.75,234
7,T6,T6,Tiger Woods,78,"7' 4""",2005.25,272
8,9,9,Ernie Els,62,"7' 5""",1679.5829999999999,226
9,10,10,Kirk Triplett,88,"7' 6""",2430.75,324
10,T11,T11,Retief Goosen,56,"7' 7""",1399.1670000000001,184
11,T11,T11,Vijay Singh,112,"7' 7""",2786.833,369
12,T11,T11,Kevin Sutherland,86,"7' 7""",3028.167,398
13,T14,T14,José Coceres,68,"7' 8""",2757.333,361
14,T14,T14,Jerry Kelly,113,"7' 8""",3331.5,436
15,T16,T16,Chris DiMarco,105,"7' 9""",3180.667,409
16,T16,T16,David Frost,78,"7' 9""",3001.083,386
17,T16,T16,Sergio Garcia,65,"7' 9""",1704.8329999999999,219
18,T16,T16,Chris Riley,78,"7' 9""",2237.917,289
19,T20,T20,Tom Byrum,83,"7' 10""",3306.167,421
20,T20,T20,Brian Gay,96,"7' 10""",3904.417,499
21,T20,T20,Nick Price,51,"7' 10""",1768.5829999999999,225
22,T20,T20,David Toms,80,"7' 10""",2022.5829999999999,257
23,T24,T24,Stuart Appleby,84,"7' 11""",2569.333,326
24,T24,T24,Glen Day,101,"7' 11""",4144.833,522
25,T24,T24,Dan Forsman,79,"7' 11""",2985.25,377
26,T24,T24,Lee Janzen,84,"7' 11""",2740.583,345
27,T24,T24,Tom Lehman,70,"7' 11""",2045.3329999999999,259
28,T29,T29,Brad Faxon,94,"8' 0""",3264.917,408
29,T29,T29,Jay Haas,84,"8' 0""",2520.833,316
30,T29,T29,Davis Love III,85,"8' 0""",2867.417,359
31,T29,T29,Jesper Parnevik,86,"8' 0""",3236.583,405
32,T29,T29,Tim Petrovic,111,"8' 0""",3975.833,499
33,T29,T29,Rory Sabbatini,89,"8' 0""",3190.667,400
34,T29,T29,Heath Slocum,92,"8' 0""",3461.417,433
35,T29,T29,Mark Wilson,62,"8' 0""",2259.25,281
36,T37,T37,Michael Allen,87,"8' 1""",3393.75,420
37,T37,T37,John Cook,57,"8' 1""",1972.0,244
38,T37,T37,Fred Couples,54,"8' 1""",1748.25,216
39,T37,T37,Fred Funk,97,"8' 1""",3408.667,420
40,T37,T37,Todd Hamilton,92,"8' 1""",3437.583,427
41,T37,T37,Cliff Kresge,89,"8' 1""",3583.833,444
42,T37,T37,Shaun Micheel,93,"8' 1""",2722.583,336
43,T44,T44,Tim Clark,84,"8' 2""",2987.25,366
44,T44,T44,Luke Donald,72,"8' 2""",2398.333,295
45,T44,T44,Charles Howell III,104,"8' 2""",3365.083,414
46,T44,T44,Justin Leonard,90,"8' 2""",2608.75,321
47,T44,T44,Mark O'Meara,58,"8' 2""",2022.0,248
48,T44,T44,Rod Pampling,98,"8' 2""",3361.25,412
49,T50,T50,Paul Azinger,75,"8' 3""",3091.75,374
50,T50,T50,Carlos Franco,99,"8' 3""",3677.583,447
51,T50,T50,Bernhard Langer,59,"8' 3""",2004.5,242
52,T50,T50,Kevin Na,100,"8' 3""",4058.5,490
53,T50,T50,Arron Oberholser,77,"8' 3""",2705.167,329
54,T55,T55,Billy Andrade,104,"8' 4""",4236.167,508
55,T55,T55,Robert Gamez,103,"8' 4""",4042.083,487
56,T55,T55,Hank Kuehne,91,"8' 4""",3812.083,456
57,T55,T55,Shigeki Maruyama,93,"8' 4""",3627.667,434
58,T55,T55,Scott Verplank,92,"8' 4""",2804.75,337
59,T55,T55,Grant Waite,79,"8' 4""",3113.667,372
60,T55,T55,Dean Wilson,99,"8' 4""",4486.0,537
61,T62,T62,Cameron Beckman,99,"8' 5""",3780.667,450
62,T62,T62,Jonathan Byrd,85,"8' 5""",3626.167,431
63,T62,T62,Joe Durant,85,"8' 5""",2913.667,345
