,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Mike Weir,75,"8' 11""",435.75,49,77
1,2,2,Tom Lehman,70,"9' 2""",302.83299999999997,33,40
2,3,3,Bob Estes,73,"9' 3""",322.91700000000003,35,35
3,4,4,Craig Perks,75,"9' 8""",396.917,41,65
4,5,5,Retief Goosen,56,"9' 9""",282.16700000000003,29,1
5,T6,T6,Matt Gogel,86,"10' 3""",513.25,50,23
6,T6,T6,Tim Herron,84,"10' 3""",603.3330000000001,59,101
7,T8,T8,Stuart Appleby,84,"10' 4""",536.75,52,43
8,T8,T8,Corey Pavin,83,"10' 4""",556.0,54,15
9,T8,T8,Kirk Triplett,88,"10' 4""",653.0830000000001,63,10
10,11,11,Rocco Mediate,53,"10' 5""",397.25,38,162
11,T12,T12,Arron Oberholser,77,"10' 7""",517.5,49,79
12,T12,T12,Heath Slocum,92,"10' 7""",422.75,40,80
13,14,14,Notah Begay III,71,"10' 8""",885.3330000000001,83,146
14,15,15,Tom Byrum,83,"10' 9""",461.25,43,13
15,16,16,Dan Forsman,79,"10' 10""",574.5,53,32
16,17,17,John Senden,99,"11' 0""",866.0830000000001,79,143
17,T18,T18,Stewart Cink,103,"11' 1""",677.6669999999999,61,4
18,T18,T18,Fred Couples,54,"11' 1""",455.5,41,187
19,20,20,Michael Allen,87,"11' 2""",748.25,67,71
20,21,21,Davis Love III,85,"11' 3""",684.1669999999999,61,33
21,T22,T22,Jonathan Byrd,85,"11' 4""",633.0,56,90
22,T22,T22,Nick Price,51,"11' 4""",339.75,30,21
23,T22,T22,Tiger Woods,78,"11' 4""",555.3330000000001,49,41
24,T25,T25,Billy Andrade,104,"11' 5""",762.5830000000001,67,73
25,T25,T25,Woody Austin,94,"11' 5""",870.75,76,173
26,T25,T25,Darren Clarke,54,"11' 5""",400.417,35,58
27,T25,T25,Ben Curtis,56,"11' 5""",559.75,49,113
28,T29,T29,Zach Johnson,109,"11' 6""",734.5830000000001,64,69
29,T29,T29,Scott Verplank,92,"11' 6""",596.5830000000001,52,27
30,T31,T31,Briny Baird,100,"11' 7""",692.5,60,178
31,T31,T31,Carlos Franco,99,"11' 7""",905.6669999999999,78,42
32,T31,T31,J.L. Lewis,106,"11' 7""",960.0,83,125
33,T31,T31,Shigeki Maruyama,93,"11' 7""",786.0830000000001,68,36
34,T31,T31,Kevin Na,100,"11' 7""",926.0830000000001,80,12
35,T31,T31,Justin Rose,77,"11' 7""",509.5,44,62
36,37,37,John Daly,79,"11' 8""",778.9169999999999,67,163
37,T38,T38,Jerry Kelly,113,"11' 9""",835.25,71,17
38,T38,T38,Vijay Singh,112,"11' 9""",983.75,84,19
39,T38,T38,David Toms,80,"11' 9""",340.083,29,142
40,T38,T38,Bo Van Pelt,107,"11' 9""",822.8330000000001,70,101
41,T42,T42,Steve Allan,102,"11' 10""",961.8330000000001,81,96
42,T42,T42,Jay Haas,84,"11' 10""",590.1669999999999,50,11
43,T42,T42,Jesper Parnevik,86,"11' 10""",960.3330000000001,81,5
44,T42,T42,Carl Pettersson,100,"11' 10""",744.75,63,48
45,T46,T46,Joe Durant,85,"11' 11""",653.1669999999999,55,85
46,T46,T46,Grant Waite,79,"11' 11""",809.25,68,181
47,T48,T48,Sergio Garcia,65,"12' 0""",493.583,41,184
48,T48,T48,Neal Lancaster,106,"12' 0""",865.3330000000001,72,104
49,T48,T48,Rod Pampling,98,"12' 0""",682.1669999999999,57,45
50,T48,T48,Gene Sauers,83,"12' 0""",730.25,61,177
51,T52,T52,Steve Flesch,109,"12' 1""",883.8330000000001,73,130
52,T52,T52,Charles Howell III,104,"12' 1""",905.8330000000001,75,61
53,T52,T52,Peter Lonard,68,"12' 1""",629.0830000000001,52,129
54,T52,T52,Esteban Toledo,92,"12' 1""",1042.0,86,106
55,T56,T56,Craig Barlow,80,"12' 2""",826.25,68,84
56,T56,T56,Todd Hamilton,92,"12' 2""",767.0830000000001,63,93
57,T56,T56,Lee Janzen,84,"12' 2""",474.25,39,78
58,T56,T56,Shaun Micheel,93,"12' 2""",788.6669999999999,65,138
