,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Retief Goosen,56,66.13,205,310
1,2,2,José Coceres,68,65.01,275,423
2,3,3,Phil Mickelson,83,64.67,280,433
3,4,4,Stewart Cink,103,64.4,378,587
4,5,5,Jesper Parnevik,86,64.19,337,525
5,6,6,Kevin Sutherland,86,64.1,341,532
6,7,7,Ernie Els,62,64.07,230,359
7,8,8,José María Olazábal,56,63.82,224,351
8,9,9,Omar Uresti,85,63.81,365,572
9,10,10,Kirk Triplett,88,63.6,311,489
10,11,11,Jay Haas,84,63.4,298,470
11,12,12,Kevin Na,100,63.28,386,610
12,T13,T13,Tom Byrum,83,63.17,343,543
13,T13,T13,Rory Sabbatini,89,63.17,343,543
14,15,15,Corey Pavin,83,63.08,340,539
15,16,16,David Peoples,82,63.01,327,519
16,17,17,Jerry Kelly,113,62.74,394,628
17,18,18,Skip Kendall,99,62.41,415,665
18,19,19,Vijay Singh,112,62.36,333,534
19,20,20,Loren Roberts,81,62.32,296,475
20,21,21,Nick Price,51,62.23,229,368
21,22,22,Ben Crane,92,62.06,368,593
22,23,23,Matt Gogel,86,62.05,345,556
23,24,24,Bernhard Langer,59,61.92,213,344
24,25,25,Brad Faxon,94,61.87,383,619
25,26,26,Justin Leonard,90,61.85,321,519
26,27,27,Scott Verplank,92,61.82,319,516
27,28,28,Bob Tway,90,61.78,333,539
28,29,29,Tom Pernice Jr.,103,61.76,365,591
29,30,30,Cameron Beckman,99,61.75,352,570
30,31,31,Mark O'Meara,58,61.73,242,392
31,32,32,Dan Forsman,79,61.52,315,512
32,33,33,Davis Love III,85,61.49,297,483
33,34,34,Brian Gay,96,61.44,400,651
34,35,35,Bob Estes,73,61.35,281,458
35,36,36,Shigeki Maruyama,93,61.33,360,587
36,37,37,Bob Burns,88,61.3,358,584
37,38,38,Chris DiMarco,105,61.27,356,581
38,39,39,Fred Funk,97,61.24,365,596
39,40,40,Tom Lehman,70,61.18,208,340
40,41,41,Tiger Woods,78,61.07,262,429
41,42,42,Carlos Franco,99,61.03,343,562
42,43,43,Stuart Appleby,84,61.02,299,490
43,44,44,David Frost,78,60.9,310,509
44,45,45,Rod Pampling,98,60.73,348,573
45,46,46,Brent Geiberger,94,60.64,342,564
46,47,47,Joe Ogilvie,104,60.62,411,678
47,48,48,Carl Pettersson,100,60.58,375,619
48,49,49,Tim Clark,84,60.54,313,517
49,50,50,Tim Petrovic,111,60.51,426,704
50,51,51,Dean Wilson,99,60.47,410,678
51,52,52,Brian Kortan,65,60.38,256,424
52,T53,T53,Chris Riley,78,60.2,301,500
53,T53,T53,Patrick Sheehan,113,60.2,422,701
54,55,55,Stephen Ames,97,60.19,325,540
55,56,56,Todd Fischer,104,60.18,399,663
56,57,57,Greg Chalmers,70,60.16,299,497
57,58,58,Darren Clarke,54,60.13,187,311
58,59,59,Robert Damron,92,60.1,360,599
59,60,60,Luke Donald,72,59.95,238,397
60,61,61,Charles Howell III,104,59.81,369,617
61,62,62,Justin Rose,77,59.67,250,419
62,63,63,Freddie Jacobson,83,59.65,306,513
63,64,64,Geoff Ogilvy,91,59.54,309,519
64,65,65,Craig Perks,75,59.5,285,479
65,66,66,Dennis Paulson,71,59.41,281,473
66,67,67,Olin Browne,92,59.35,292,492
67,68,68,Glen Day,101,59.32,404,681
68,69,69,Zach Johnson,109,59.29,367,619
69,70,70,Mathias Grönberg,91,59.27,342,577
70,T71,T71,Michael Allen,87,59.23,324,547
71,T71,T71,Mark Calcavecchia,79,59.23,292,493
72,73,73,Billy Andrade,104,59.22,395,667
73,74,74,Craig Bowden,83,59.21,328,554
74,T75,T75,Mark Hensby,97,59.19,364,615
75,T75,T75,Steve Stricker,81,59.19,338,571
76,77,77,Mike Weir,75,59.17,271,458
77,78,78,Lee Janzen,84,59.16,281,475
78,79,79,Arron Oberholser,77,59.12,256,433
79,80,80,Heath Slocum,92,59.1,315,533
80,T81,T81,John Cook,57,59.06,189,320
81,T81,T81,Robert Gamez,103,59.06,375,635
82,83,83,Scott Simpson,55,59.04,222,376
83,84,84,Craig Barlow,80,59.03,268,454
84,85,85,Joe Durant,85,58.92,241,409
85,86,86,Chad Campbell,100,58.89,318,540
86,87,87,J.P. Hayes,79,58.86,289,491
87,88,88,Jay Williamson,100,58.85,359,610
88,89,89,Bart Bryant,73,58.81,227,386
89,90,90,Jonathan Byrd,85,58.75,339,577
90,91,91,Stephen Leaney,84,58.74,279,475
91,92,92,Paul Azinger,75,58.72,293,499
92,93,93,Todd Hamilton,92,58.71,347,591
93,94,94,Len Mattiace,75,58.7,324,552
94,95,95,Scott Hoch,52,58.68,169,288
95,96,96,Steve Allan,102,58.61,347,592
96,97,97,Steve Pate,71,58.53,254,434
97,98,98,Ted Purdy,114,58.51,385,658
98,99,99,Craig Parry,52,58.47,207,354
99,100,100,John Huston,62,58.41,184,315
100,T101,T101,Tim Herron,84,58.35,304,521
101,T101,T101,Deane Pappas,72,58.35,269,461
102,T101,T101,Bo Van Pelt,107,58.35,353,605
103,104,104,Neal Lancaster,106,58.29,369,633
104,105,105,Daniel Chopra,108,58.28,401,688
105,106,106,Esteban Toledo,92,58.2,376,646
106,107,107,Jeff Sluman,98,58.17,317,545
107,108,108,Hank Kuehne,91,58.15,346,595
108,109,109,Joey Sindelar,100,58.14,332,571
109,110,110,Richard Johnson,102,58.13,379,652
110,111,111,Matt Kuchar,83,58.11,301,518
111,112,112,Pat Bates,99,58.06,342,589
112,113,113,Ben Curtis,56,58.02,199,343
113,114,114,Brian Bateman,84,58.0,279,481
114,115,115,Duffy Waldorf,79,57.97,229,395
115,116,116,K.J. Choi,83,57.94,292,504
116,117,117,Brenden Pappas,111,57.92,417,720
117,118,118,J.J. Henry,103,57.9,359,620
118,T119,T119,Harrison Frazar,86,57.89,297,513
119,T119,T119,Hunter Mahan,94,57.89,356,615
120,121,121,John Rollins,90,57.77,331,573
121,122,122,Tag Ridings,53,57.76,186,322
122,123,123,Jay Delsing,76,57.73,269,466
123,124,124,Brett Quigley,102,57.71,348,603
124,125,125,J.L. Lewis,106,57.66,369,640
125,T126,T126,Scott McCarron,88,57.65,309,536
126,T126,T126,Ryan Palmer,103,57.65,358,621
127,128,128,Danny Briggs,85,57.63,268,465
128,129,129,Peter Lonard,68,57.6,254,441
129,130,130,Steve Flesch,109,57.5,372,647
130,131,131,Hidemichi Tanaka,89,57.46,312,543
131,132,132,Niclas Fasth,61,57.45,239,416
132,133,133,Danny Ellis,81,57.29,287,501
133,134,134,Cliff Kresge,89,57.28,354,618
134,135,135,Alex Cejka,76,57.02,260,456
135,136,136,Steve Elkington,64,56.99,212,372
136,137,137,Arjun Atwal,85,56.96,319,560
137,138,138,Shaun Micheel,93,56.93,308,541
138,139,139,Steve Lowery,91,56.75,328,578
139,T140,T140,Frank Lickliter II,89,56.7,309,545
140,T140,T140,Jeff Maggert,60,56.7,199,351
141,142,142,David Toms,80,56.67,238,420
142,143,143,John Senden,99,56.58,288,509
143,T144,T144,Mark Brooks,72,56.52,286,506
144,T144,T144,Adam Scott,55,56.52,182,322
145,146,146,Notah Begay III,71,56.37,230,408
146,147,147,Jonathan Kaye,79,56.33,258,458
147,148,148,Tommy Armour III,87,56.31,308,547
148,149,149,Billy Mayfair,109,56.23,361,642
149,150,150,Mark Wilson,62,56.2,195,347
150,151,151,Spike McRoy,93,56.17,323,575
151,152,152,David Morland IV,73,56.11,294,524
152,153,153,Aaron Baddeley,87,56.09,359,640
153,T154,T154,Blaine McCallister,68,56.05,250,446
154,T154,T154,John Riegger,53,56.05,176,314
155,156,156,Robert Allenby,93,55.96,263,470
156,157,157,Dicky Pride,66,55.9,237,424
157,158,158,Dudley Hart,60,55.8,202,362
158,T159,T159,Jeff Brehaut,106,55.54,351,632
159,T159,T159,Kent Jones,99,55.54,316,569
160,161,161,Jason Dufner,79,55.51,267,481
161,162,162,Rocco Mediate,53,55.37,165,298
162,163,163,John Daly,79,55.23,264,478
163,164,164,Jason Bohn,98,55.2,313,567
164,165,165,D.J. Brigman,79,55.13,258,468
165,166,166,Russ Cochran,61,55.07,201,365
166,167,167,Pat Perez,102,54.68,333,609
167,168,168,Rich Barcelo,67,54.57,227,416
168,169,169,Roland Thatcher,66,54.47,207,380
169,170,170,Kenny Perry,79,54.31,233,429
170,171,171,Vaughn Taylor,84,54.29,253,466
171,172,172,Ken Duke,89,54.27,324,597
172,173,173,Woody Austin,94,53.99,291,539
173,T174,T174,David Branshaw,84,53.91,269,499
174,T174,T174,Tommy Tolles,67,53.91,248,460
175,176,176,Roger Tambellini,81,53.58,277,517
176,177,177,Gene Sauers,83,53.43,296,554
177,178,178,Briny Baird,100,53.41,274,513
178,179,179,Kris Cox,73,53.29,259,486
179,180,180,Rich Beem,81,53.28,268,503
180,181,181,Grant Waite,79,53.17,268,504
181,182,182,Tom Carter,113,53.06,390,735
182,183,183,Hirofumi Miyase,65,53.01,238,449
183,184,184,Sergio Garcia,65,52.98,178,336
184,185,185,Guy Boros,64,52.69,235,446
185,186,186,Mike Heinen,53,52.11,185,355
186,187,187,Fred Couples,54,52.06,164,315
187,188,188,Andre Stolz,53,51.84,183,353
