,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Tim Herron,84,67.71,65,96
1,2,2,Scott Hoch,52,65.85,27,41
2,3,3,Chris DiMarco,105,65.59,61,93
3,4,4,Bob Estes,73,65.56,59,90
4,5,5,Spike McRoy,93,64.89,61,94
5,6,6,Scott Verplank,92,64.0,48,75
6,7,7,Ernie Els,62,63.83,30,47
7,8,8,José Coceres,68,63.64,63,99
8,9,9,Phil Mickelson,83,63.16,36,57
9,10,10,Charles Howell III,104,62.37,58,93
10,11,11,Vijay Singh,112,62.2,51,82
11,12,12,Matt Gogel,86,62.18,74,119
12,13,13,Kirk Triplett,88,62.0,62,100
13,14,14,José María Olazábal,56,61.63,53,86
14,15,15,Mathias Grönberg,91,61.39,62,101
15,16,16,Stewart Cink,103,61.32,65,106
16,17,17,Bob Burns,88,60.74,82,135
17,18,18,Scott Simpson,55,60.19,62,103
18,19,19,Neal Lancaster,106,60.17,71,118
19,20,20,Skip Kendall,99,60.16,77,128
20,21,21,Jerry Kelly,113,59.68,74,124
21,22,22,Bo Van Pelt,107,59.65,68,114
22,23,23,Freddie Jacobson,83,59.3,51,86
23,24,24,Mike Weir,75,59.15,42,71
24,25,25,Carlos Franco,99,58.87,73,124
25,26,26,Brent Geiberger,94,58.55,89,152
26,27,27,Bernhard Langer,59,58.14,25,43
27,28,28,J.P. Hayes,79,58.12,68,117
28,29,29,Omar Uresti,85,58.1,61,105
29,30,30,Mark O'Meara,58,57.75,41,71
30,31,31,Joe Ogilvie,104,57.72,71,123
31,32,32,Jesper Parnevik,86,57.58,57,99
32,33,33,Rory Sabbatini,89,57.41,62,108
33,34,34,Kevin Na,100,57.26,67,117
34,T35,T35,Tom Byrum,83,57.14,56,98
35,T35,T35,John Rollins,90,57.14,60,105
36,37,37,Robert Damron,92,56.88,62,109
37,38,38,Adam Scott,55,56.86,29,51
38,39,39,Jonathan Kaye,79,56.82,50,88
39,40,40,Shigeki Maruyama,93,56.73,59,104
40,41,41,Tim Petrovic,111,56.71,93,164
41,T42,T42,Retief Goosen,56,56.52,26,46
42,T42,T42,Rod Pampling,98,56.52,65,115
43,44,44,Frank Lickliter II,89,56.3,67,119
44,45,45,Guy Boros,64,56.25,54,96
45,46,46,Bob Tway,90,56.14,64,114
46,T47,T47,Luke Donald,72,56.0,42,75
47,T47,T47,Steve Pate,71,56.0,56,100
48,49,49,Steve Lowery,91,55.77,58,104
49,50,50,Kevin Sutherland,86,55.32,52,94
50,51,51,Jonathan Byrd,85,55.28,68,123
51,52,52,Bart Bryant,73,55.24,58,105
52,53,53,Brad Faxon,94,55.22,74,134
53,54,54,Corey Pavin,83,55.2,69,125
54,55,55,Deane Pappas,72,55.1,54,98
55,56,56,Brian Gay,96,54.94,89,162
56,57,57,Todd Hamilton,92,54.9,56,102
57,58,58,Cliff Kresge,89,54.84,68,124
58,59,59,Darren Clarke,54,54.76,23,42
59,60,60,Greg Chalmers,70,54.72,58,106
60,61,61,Hidemichi Tanaka,89,54.55,60,110
61,62,62,David Peoples,82,54.33,69,127
62,63,63,Mike Heinen,53,54.32,44,81
63,64,64,Billy Mayfair,109,54.23,77,142
64,65,65,Pat Bates,99,54.22,90,166
65,T66,T66,Craig Bowden,83,54.17,52,96
66,T66,T66,Jay Haas,84,54.17,39,72
67,T66,T66,Craig Perks,75,54.17,52,96
68,T66,T66,Tom Pernice Jr.,103,54.17,65,120
69,T66,T66,Mark Wilson,62,54.17,39,72
70,71,71,Len Mattiace,75,54.1,66,122
71,72,72,Chris Smith,105,54.07,73,135
72,73,73,John Cook,57,54.05,40,74
73,74,74,Ken Duke,89,53.79,71,132
74,75,75,Tim Clark,84,53.54,53,99
75,76,76,Niclas Fasth,61,53.42,39,73
76,77,77,Dennis Paulson,71,53.4,55,103
77,T78,T78,Fred Funk,97,53.38,71,133
78,T78,T78,Pat Perez,102,53.38,71,133
79,80,80,Loren Roberts,81,53.19,50,94
80,81,81,John Huston,62,53.13,34,64
81,82,82,Peter Lonard,68,53.01,44,83
82,T83,T83,Nick Price,51,52.94,27,51
83,T83,T83,Vaughn Taylor,84,52.94,54,102
84,85,85,David Frost,78,52.78,76,144
85,86,86,Rich Barcelo,67,52.58,51,97
86,87,87,Patrick Sheehan,113,52.56,82,156
87,88,88,Brian Kortan,65,52.48,53,101
88,89,89,Mark Hensby,97,52.38,55,105
89,90,90,Steve Flesch,109,52.34,56,107
90,91,91,Paul Azinger,75,52.29,57,109
91,92,92,Justin Leonard,90,52.13,49,94
92,93,93,Tiger Woods,78,52.11,37,71
93,94,94,Todd Fischer,104,51.88,69,133
94,95,95,Matt Kuchar,83,51.85,56,108
95,96,96,Cameron Beckman,99,51.82,71,137
96,97,97,Ben Curtis,56,51.79,29,56
97,T98,T98,Notah Begay III,71,51.65,47,91
98,T98,T98,Arron Oberholser,77,51.65,47,91
99,100,100,Tommy Tolles,67,51.61,48,93
100,T101,T101,Alex Cejka,76,51.56,33,64
101,T101,T101,Robert Gamez,103,51.56,66,128
102,103,103,Davis Love III,85,51.39,37,72
103,104,104,Mark Brooks,72,51.38,56,109
104,105,105,Blaine McCallister,68,51.3,59,115
105,106,106,David Morland IV,73,51.26,61,119
106,T107,T107,Steve Allan,102,51.22,63,123
107,T107,T107,Stuart Appleby,84,51.22,42,82
108,T107,T107,Jason Bohn,98,51.22,63,123
109,110,110,Russ Cochran,61,51.09,47,92
110,111,111,Dean Wilson,99,51.08,71,139
111,112,112,Hirofumi Miyase,65,50.96,53,104
112,113,113,Jeff Sluman,98,50.91,56,110
113,114,114,Heath Slocum,92,50.89,57,112
114,115,115,Chad Campbell,100,50.81,63,124
115,116,116,Brian Bateman,84,50.65,39,77
116,117,117,Geoff Ogilvy,91,50.55,46,91
117,118,118,Zach Johnson,109,50.5,51,101
118,119,119,Hunter Mahan,94,50.43,58,115
119,120,120,Ben Crane,92,50.42,60,119
120,121,121,Scott Hend,81,50.41,61,121
121,122,122,Esteban Toledo,92,50.34,73,145
122,T123,T123,D.J. Brigman,79,50.0,42,84
123,T123,T123,Danny Ellis,81,50.0,62,124
124,T123,T123,Sergio Garcia,65,50.0,24,48
125,T123,T123,Richard Johnson,102,50.0,75,150
126,T123,T123,Brett Quigley,102,50.0,64,128
127,T123,T123,John Riegger,53,50.0,27,54
128,129,129,Ted Purdy,114,49.62,65,131
129,130,130,Danny Briggs,85,49.49,49,99
130,T131,T131,K.J. Choi,83,49.35,38,77
131,T131,T131,Roland Thatcher,66,49.35,38,77
132,133,133,Steve Stricker,81,49.24,65,132
133,134,134,Jeff Maggert,60,49.15,29,59
134,135,135,Lee Janzen,84,49.07,53,108
135,136,136,Glen Day,101,49.06,78,159
136,137,137,Harrison Frazar,86,49.0,49,100
137,138,138,Tom Carter,113,48.98,72,147
138,139,139,J.J. Henry,103,48.89,66,135
139,140,140,Tag Ridings,53,48.78,40,82
140,141,141,Joe Durant,85,48.61,35,72
141,142,142,Billy Andrade,104,48.33,58,120
142,143,143,Kris Cox,73,48.31,57,118
143,144,144,Shaun Micheel,93,48.15,52,108
144,145,145,Dicky Pride,66,48.08,50,104
145,146,146,Stephen Leaney,84,48.05,37,77
146,147,147,Grant Waite,79,47.97,59,123
147,148,148,Dudley Hart,60,47.62,30,63
148,149,149,J.L. Lewis,106,47.48,66,139
149,150,150,Olin Browne,92,47.47,47,99
150,T151,T151,Tom Lehman,70,47.46,28,59
151,T151,T151,Craig Parry,52,47.46,28,59
152,153,153,Daniel Chopra,108,47.41,55,116
153,154,154,Justin Rose,77,47.06,40,85
154,155,155,Gene Sauers,83,46.92,61,130
155,156,156,Dan Forsman,79,46.6,48,103
156,157,157,Ryan Palmer,103,46.38,64,138
157,158,158,Duffy Waldorf,79,46.25,37,80
158,159,159,Aaron Baddeley,87,46.03,58,126
159,160,160,Jeff Brehaut,106,46.02,81,176
160,161,161,David Branshaw,84,45.87,50,109
161,162,162,Michael Allen,87,45.83,66,144
162,163,163,Joey Sindelar,100,45.71,48,105
163,T164,T164,Chris Riley,78,45.45,35,77
164,T164,T164,John Senden,99,45.45,45,99
165,166,166,Jay Williamson,100,45.38,59,130
166,167,167,Hank Kuehne,91,45.16,56,124
167,168,168,Robert Allenby,93,45.12,37,82
168,169,169,Fred Couples,54,45.1,23,51
169,170,170,Briny Baird,100,44.87,35,78
170,171,171,Rich Beem,81,44.74,51,114
171,T172,T172,Stephen Ames,97,44.71,38,85
172,T172,T172,Mark Calcavecchia,79,44.71,38,85
173,174,174,Brenden Pappas,111,44.3,70,158
174,175,175,Arjun Atwal,85,44.25,50,113
175,176,176,Craig Barlow,80,44.16,34,77
176,177,177,Carl Pettersson,100,44.09,56,127
177,178,178,Roger Tambellini,81,44.07,52,118
178,179,179,Steve Elkington,64,43.82,39,89
179,180,180,Kent Jones,99,43.31,55,127
180,181,181,John Daly,79,43.02,37,86
181,182,182,Woody Austin,94,42.22,38,90
182,183,183,David Toms,80,41.89,31,74
183,184,184,Tommy Armour III,87,41.88,49,117
184,185,185,Lucas Glover,95,41.51,44,106
185,186,186,Kenny Perry,79,41.27,26,63
186,187,187,Andre Stolz,53,40.98,25,61
187,188,188,Scott McCarron,88,40.78,42,103
188,189,189,Jay Delsing,76,40.19,43,107
189,190,190,Jason Dufner,79,39.64,44,111
190,191,191,Dan Olsen,75,39.45,43,109
191,192,192,David Gossett,57,38.39,43,112
192,193,193,Kevin Muncrief,50,35.87,33,92
193,194,194,Chris Couch,55,34.88,30,86
194,195,195,Rocco Mediate,53,33.33,15,45
195,196,196,Tripp Isenhour,55,31.08,23,74
