,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Tom Lehman,70,"6' 8""",879.0,132,40
1,T2,T2,Jay Haas,84,"6' 9""",859.5830000000001,128,11
2,T2,T2,Bernhard Langer,59,"6' 9""",684.3330000000001,102,24
3,4,4,Kirk Triplett,88,"6' 10""",1016.9169999999999,148,10
4,5,5,Niclas Fasth,61,"7' 2""",1135.167,158,132
5,6,6,Corey Pavin,83,"7' 3""",1238.75,170,15
6,7,7,Retief Goosen,56,"7' 4""",735.3330000000001,100,1
7,T8,T8,Stewart Cink,103,"7' 6""",1269.667,169,4
8,T8,T8,Tim Clark,84,"7' 6""",1128.5,151,49
9,T8,T8,José Coceres,68,"7' 6""",1151.5,153,2
10,T8,T8,Justin Rose,77,"7' 6""",1266.917,168,62
11,T8,T8,Omar Uresti,85,"7' 6""",1450.75,193,9
12,T13,T13,Chris Riley,78,"7' 7""",1006.6669999999999,133,53
13,T13,T13,Heath Slocum,92,"7' 7""",1262.25,166,80
14,T13,T13,Tiger Woods,78,"7' 7""",1131.083,149,41
15,T16,T16,Darren Clarke,54,"7' 8""",732.5830000000001,96,58
16,T16,T16,David Peoples,82,"7' 8""",1437.0829999999999,188,16
17,T16,T16,Tag Ridings,53,"7' 8""",938.5,122,122
18,T19,T19,Stuart Appleby,84,"7' 9""",1183.417,153,43
19,T19,T19,Robert Gamez,103,"7' 9""",1666.25,214,81
20,T19,T19,Brian Gay,96,"7' 9""",1737.1670000000001,224,34
21,T19,T19,José María Olazábal,56,"7' 9""",771.1669999999999,99,8
22,T19,T19,Tim Petrovic,111,"7' 9""",1601.5,206,50
23,T19,T19,Mark Wilson,62,"7' 9""",1088.833,141,150
24,T25,T25,John Daly,79,"7' 10""",1629.5829999999999,209,163
25,T25,T25,Bob Estes,73,"7' 10""",851.25,109,35
26,T25,T25,Steve Flesch,109,"7' 10""",1421.0,181,130
27,T25,T25,Brian Kortan,65,"7' 10""",1225.917,156,52
28,T25,T25,Rory Sabbatini,89,"7' 10""",1503.5829999999999,192,13
29,T25,T25,Bob Tway,90,"7' 10""",974.4169999999999,124,28
30,T31,T31,Michael Allen,87,"7' 11""",1537.5,195,71
31,T31,T31,Sergio Garcia,65,"7' 11""",938.0830000000001,119,184
32,T31,T31,Rod Pampling,98,"7' 11""",1366.0,173,45
33,T34,T34,Steve Allan,102,"8' 0""",1941.25,243,96
34,T34,T34,Rich Barcelo,67,"8' 0""",1334.0829999999999,166,168
35,T34,T34,Olin Browne,92,"8' 0""",1567.9170000000001,197,67
36,T34,T34,Fred Couples,54,"8' 0""",972.0830000000001,121,187
37,T34,T34,Brad Faxon,94,"8' 0""",1283.583,161,25
38,T34,T34,Zach Johnson,109,"8' 0""",1713.8329999999999,215,69
39,T34,T34,Scott Simpson,55,"8' 0""",915.0,114,83
40,T34,T34,Vijay Singh,112,"8' 0""",1694.1670000000001,211,19
41,T34,T34,Dean Wilson,99,"8' 0""",2033.0,255,51
42,T43,T43,Tom Byrum,83,"8' 1""",1340.3329999999999,165,13
43,T43,T43,John Cook,57,"8' 1""",789.8330000000001,98,81
44,T43,T43,Brent Geiberger,94,"8' 1""",1321.25,163,46
45,T43,T43,Matt Gogel,86,"8' 1""",1475.5,182,23
46,T43,T43,John Huston,62,"8' 1""",622.1669999999999,77,100
47,T43,T43,Jerry Kelly,113,"8' 1""",1557.75,192,17
48,T43,T43,Shaun Micheel,93,"8' 1""",1364.8329999999999,168,138
49,T43,T43,Joe Ogilvie,104,"8' 1""",1773.75,219,47
50,T51,T51,Arjun Atwal,85,"8' 2""",1631.0,200,137
51,T51,T51,Ben Crane,92,"8' 2""",1888.8329999999999,232,22
52,T51,T51,Robert Damron,92,"8' 2""",1729.4170000000001,212,59
53,T51,T51,Chris DiMarco,105,"8' 2""",1440.0829999999999,177,38
54,T51,T51,Freddie Jacobson,83,"8' 2""",1434.25,175,63
55,T51,T51,Jesper Parnevik,86,"8' 2""",1813.4170000000001,221,5
56,T51,T51,Loren Roberts,81,"8' 2""",1349.1670000000001,166,20
57,T51,T51,David Toms,80,"8' 2""",865.6669999999999,106,142
58,T59,T59,Paul Azinger,75,"8' 3""",1233.417,149,92
59,T59,T59,Craig Bowden,83,"8' 3""",1516.5,184,74
60,T59,T59,Ernie Els,62,"8' 3""",1051.333,127,7
61,T59,T59,Tim Herron,84,"8' 3""",1422.3329999999999,173,101
62,T59,T59,Lee Janzen,84,"8' 3""",1081.083,131,78
63,T59,T59,Steve Stricker,81,"8' 3""",1285.417,156,75
64,T59,T59,Vaughn Taylor,84,"8' 3""",1763.25,214,171
65,T66,T66,Ben Curtis,56,"8' 4""",899.8330000000001,108,113
66,T66,T66,Steve Elkington,64,"8' 4""",1064.083,128,136
67,T66,T66,Charles Howell III,104,"8' 4""",1708.25,205,61
68,T66,T66,Jonathan Kaye,79,"8' 4""",1297.75,155,147
69,T66,T66,Geoff Ogilvy,91,"8' 4""",1686.4170000000001,203,64
70,T66,T66,John Rollins,90,"8' 4""",1917.1670000000001,231,121
71,T72,T72,Woody Austin,94,"8' 5""",2048.583,244,173
72,T72,T72,Jeff Brehaut,106,"8' 5""",1923.8329999999999,229,159
73,T72,T72,D.J. Brigman,79,"8' 5""",1653.8329999999999,197,165
74,T72,T72,Scott McCarron,88,"8' 5""",1703.4170000000001,203,126
75,T72,T72,Phil Mickelson,83,"8' 5""",1116.167,133,3
76,T72,T72,Arron Oberholser,77,"8' 5""",1484.5829999999999,177,79
77,T72,T72,Craig Perks,75,"8' 5""",1529.1670000000001,181,65
78,T79,T79,Aaron Baddeley,87,"8' 6""",2037.25,240,153
79,T79,T79,Carlos Franco,99,"8' 6""",2055.417,241,42
80,T79,T79,J.P. Hayes,79,"8' 6""",1383.1670000000001,162,87
81,T79,T79,Kevin Na,100,"8' 6""",1888.5,222,12
82,T79,T79,Ted Purdy,114,"8' 6""",2218.667,260,98
83,T79,T79,Joey Sindelar,100,"8' 6""",1798.6670000000001,212,109
84,T79,T79,Esteban Toledo,92,"8' 6""",1717.25,202,106
85,T79,T79,Grant Waite,79,"8' 6""",1352.0829999999999,159,181
86,T87,T87,Luke Donald,72,"8' 7""",1241.0,144,60
87,T87,T87,Harrison Frazar,86,"8' 7""",1795.6670000000001,209,119
88,T87,T87,Cliff Kresge,89,"8' 7""",1762.9170000000001,206,134
89,T87,T87,J.L. Lewis,106,"8' 7""",1876.9170000000001,219,125
90,T87,T87,Mark O'Meara,58,"8' 7""",755.5830000000001,88,31
91,T87,T87,Tom Pernice Jr.,103,"8' 7""",1948.9170000000001,226,29
92,T93,T93,Tommy Armour III,87,"8' 8""",1657.8329999999999,192,148
93,T93,T93,Mark Brooks,72,"8' 8""",1210.583,140,144
94,T93,T93,Jonathan Byrd,85,"8' 8""",1924.0829999999999,223,90
95,T93,T93,K.J. Choi,83,"8' 8""",1219.583,141,116
96,T93,T93,Dan Forsman,79,"8' 8""",1462.1670000000001,168,32
97,T93,T93,David Gossett,57,"8' 8""",1622.8329999999999,187,194
98,T93,T93,Todd Hamilton,92,"8' 8""",1541.0829999999999,177,93
99,T93,T93,Mark Hensby,97,"8' 8""",2019.25,232,75
100,T93,T93,Hank Kuehne,91,"8' 8""",2101.833,242,108
101,T93,T93,Justin Leonard,90,"8' 8""",1149.833,133,26
102,T93,T93,Peter Lonard,68,"8' 8""",1375.0829999999999,159,129
103,T93,T93,Jeff Maggert,60,"8' 8""",943.4169999999999,109,140
104,T93,T93,Kevin Muncrief,50,"8' 8""",1035.0,119,195
105,T93,T93,Kevin Sutherland,86,"8' 8""",1503.0829999999999,173,6
106,T93,T93,Roland Thatcher,66,"8' 8""",1386.75,160,169
107,T93,T93,Scott Verplank,92,"8' 8""",1222.25,141,27
108,T93,T93,Duffy Waldorf,79,"8' 8""",1037.583,120,115
109,T110,T110,Daniel Chopra,108,"8' 9""",2505.083,287,105
110,T110,T110,Jason Dufner,79,"8' 9""",1676.8329999999999,192,161
111,T110,T110,Fred Funk,97,"8' 9""",1441.75,164,39
112,T110,T110,Tripp Isenhour,55,"8' 9""",1151.667,132,192
113,T110,T110,Davis Love III,85,"8' 9""",1561.75,178,33
114,T110,T110,Shigeki Maruyama,93,"8' 9""",1721.1670000000001,197,36
115,T110,T110,Spike McRoy,93,"8' 9""",1621.4170000000001,185,151
116,T110,T110,Carl Pettersson,100,"8' 9""",1822.8329999999999,208,48
117,T110,T110,Jeff Sluman,98,"8' 9""",1580.75,180,107
118,T119,T119,Danny Briggs,85,"8' 10""",1594.6670000000001,181,128
119,T119,T119,Chad Campbell,100,"8' 10""",1541.9170000000001,175,86
120,T119,T119,Todd Fischer,104,"8' 10""",2365.667,267,56
121,T119,T119,Frank Lickliter II,89,"8' 10""",1853.1670000000001,209,140
122,T119,T119,Blaine McCallister,68,"8' 10""",1202.417,136,154
123,T119,T119,Dicky Pride,66,"8' 10""",1441.8329999999999,163,157
124,T119,T119,Adam Scott,55,"8' 10""",935.3330000000001,106,144
125,T126,T126,Stephen Ames,97,"8' 11""",1682.1670000000001,189,55
126,T126,T126,Cameron Beckman,99,"8' 11""",1748.5829999999999,197,30
127,T126,T126,Bart Bryant,73,"8' 11""",1127.417,126,89
128,T126,T126,Joe Durant,85,"8' 11""",1538.1670000000001,172,85
