,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
110,111,111,Matt Gogel,86,0.0,-0.028999999999999998,70
111,112,112,D.J. Brigman,79,-0.002,-0.131,69
112,113,113,Tommy Armour III,87,-0.004,-0.327,76
113,114,114,Daniel Chopra,108,-0.006,-0.537,92
114,115,115,Fred Funk,97,-0.011000000000000001,-0.937,83
115,116,116,Freddie Jacobson,83,-0.013999999999999999,-0.88,63
116,117,117,Scott Verplank,92,-0.016,-1.105,68
117,118,118,Kenny Perry,79,-0.017,-1.03,62
118,T119,T119,Scott Hend,81,-0.018000000000000002,-1.238,70
119,T119,T119,Vaughn Taylor,84,-0.018000000000000002,-1.3719999999999999,77
120,121,121,David Toms,80,-0.024,-1.439,59
121,T122,T122,Cameron Beckman,99,-0.026000000000000002,-2.299,87
122,T122,T122,J.P. Hayes,79,-0.026000000000000002,-1.6669999999999998,64
123,124,124,Roger Tambellini,81,-0.033,-2.281,70
124,125,125,Michael Allen,87,-0.037000000000000005,-2.842,77
125,126,126,Mark Calcavecchia,79,-0.039,-2.366,60
126,127,127,Briny Baird,100,-0.040999999999999995,-3.295,81
127,128,128,Woody Austin,94,-0.045,-3.735,83
128,129,129,Neal Lancaster,106,-0.049,-4.555,93
129,130,130,Dudley Hart,60,-0.051,-2.335,46
130,T131,T131,Cliff Kresge,89,-0.052000000000000005,-3.865,75
131,T131,T131,Spike McRoy,93,-0.052000000000000005,-4.002,77
132,133,133,Robert Gamez,103,-0.055999999999999994,-5.039,90
133,134,134,Bob Tway,90,-0.057,-3.76,66
134,135,135,Gene Sauers,83,-0.062,-4.53,73
135,136,136,Mathias Grönberg,91,-0.064,-4.726,74
136,137,137,Zach Johnson,109,-0.066,-5.861000000000001,89
137,138,138,J.J. Henry,103,-0.071,-6.495,91
138,139,139,Stephen Ames,97,-0.078,-6.254,80
139,140,140,Ted Purdy,114,-0.081,-8.361,103
140,T141,T141,Steve Allan,102,-0.087,-7.695,88
141,T141,T141,Pat Perez,102,-0.087,-7.4510000000000005,86
142,143,143,John Senden,99,-0.094,-8.124,86
143,144,144,Jonathan Kaye,79,-0.096,-5.955,62
144,145,145,Tim Clark,84,-0.099,-7.062,71
145,146,146,Bart Bryant,73,-0.1,-6.516,65
146,147,147,Danny Ellis,81,-0.102,-7.026,69
147,148,148,David Gossett,57,-0.109,-5.553,51
148,149,149,Duffy Waldorf,79,-0.114,-6.735,59
149,T150,T150,Arjun Atwal,85,-0.11599999999999999,-8.695,75
150,T150,T150,Kent Jones,99,-0.11599999999999999,-10.068,87
151,T152,T152,Scott McCarron,88,-0.13,-9.767999999999999,75
152,T152,T152,Rocco Mediate,53,-0.13,-4.676,36
153,154,154,Chad Campbell,100,-0.132,-10.149,77
154,155,155,Ken Duke,89,-0.134,-10.758,80
155,156,156,Andre Stolz,53,-0.13699999999999998,-6.553999999999999,48
156,157,157,Rich Barcelo,67,-0.14,-8.277000000000001,59
157,158,158,Tag Ridings,53,-0.142,-6.374,45
158,159,159,Adam Scott,55,-0.147,-5.894,40
159,160,160,Jason Bohn,98,-0.15,-13.227,88
160,161,161,Jay Delsing,76,-0.159,-10.177999999999999,64
161,162,162,Frank Lickliter II,89,-0.163,-12.742,78
162,163,163,Jeff Brehaut,106,-0.166,-15.581,94
163,164,164,Richard Johnson,102,-0.16699999999999998,-15.498,93
164,165,165,Russ Cochran,61,-0.172,-9.45,55
165,166,166,Kevin Muncrief,50,-0.175,-7.858,45
166,167,167,Hidemichi Tanaka,89,-0.17600000000000002,-13.744000000000002,78
167,168,168,Jeff Maggert,60,-0.177,-8.838,50
168,169,169,Hunter Mahan,94,-0.18100000000000002,-14.995999999999999,83
169,170,170,Danny Briggs,85,-0.18600000000000003,-13.949000000000002,75
170,171,171,John Rollins,90,-0.187,-13.458,72
171,172,172,Joe Durant,85,-0.19,-14.413,76
172,173,173,Jay Williamson,100,-0.19399999999999998,-17.459,90
173,174,174,Hirofumi Miyase,65,-0.2,-11.4,57
174,175,175,Olin Browne,92,-0.20199999999999999,-15.988,79
175,176,176,Brian Bateman,84,-0.20600000000000002,-15.007,73
176,177,177,Tommy Tolles,67,-0.21,-12.831,61
177,178,178,Robert Allenby,93,-0.215,-15.482000000000001,72
178,179,179,Kris Cox,73,-0.21600000000000003,-13.162,61
179,180,180,J.L. Lewis,106,-0.21899999999999997,-19.445999999999998,89
180,181,181,John Riegger,53,-0.221,-10.81,49
181,182,182,Ryan Palmer,103,-0.235,-21.125999999999998,90
182,183,183,Patrick Sheehan,113,-0.244,-24.354,100
183,184,184,Steve Lowery,91,-0.255,-18.889,74
184,185,185,Tripp Isenhour,55,-0.285,-13.413,47
185,186,186,Dan Olsen,75,-0.287,-18.624000000000002,65
186,187,187,David Branshaw,84,-0.28800000000000003,-20.735,72
187,188,188,Mike Heinen,53,-0.299,-15.27,51
188,189,189,Dicky Pride,66,-0.305,-17.965999999999998,59
189,190,190,Roland Thatcher,66,-0.312,-19.029,61
190,191,191,Joey Sindelar,100,-0.327,-29.066,89
191,192,192,Guy Boros,64,-0.341,-20.108,59
192,193,193,Darren Clarke,54,-0.35200000000000004,-12.334000000000001,35
193,194,194,Lucas Glover,95,-0.358,-30.090999999999998,84
194,195,195,Chris Smith,105,-0.43,-40.019,93
195,196,196,Chris Couch,55,-1.2690000000000001,-58.387,46
