,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Fred Couples,54,"6' 1""",3.658,50,187
1,2,2,Steve Stricker,81,"6' 3""",7.3020000000000005,97,75
2,3,3,Corey Pavin,83,"6' 4""",8.475,111,15
3,T4,T4,Jonathan Byrd,85,"6' 6""",8.568,110,90
4,T4,T4,Bob Estes,73,"6' 6""",6.223,80,35
5,T4,T4,José María Olazábal,56,"6' 6""",5.973,77,8
6,T4,T4,Tiger Woods,78,"6' 6""",4.927,63,41
7,T8,T8,Stewart Cink,103,"6' 7""",8.231,104,4
8,T8,T8,Kevin Na,100,"6' 7""",9.368,119,12
9,10,10,Tom Lehman,70,"6' 8""",4.328,54,40
10,T11,T11,Ernie Els,62,"6' 9""",4.106,51,7
11,T11,T11,Todd Hamilton,92,"6' 9""",7.388,91,93
12,T11,T11,Mark O'Meara,58,"6' 9""",4.382,54,31
13,T11,T11,Deane Pappas,72,"6' 9""",8.475,105,101
14,T11,T11,Omar Uresti,85,"6' 9""",7.194,89,9
15,T11,T11,Dean Wilson,99,"6' 9""",8.227,102,51
16,T17,T17,Stuart Appleby,84,"6' 10""",7.237,88,43
17,T17,T17,Notah Begay III,71,"6' 10""",8.561,105,146
18,T17,T17,Jay Haas,84,"6' 10""",5.391,66,11
19,T20,T20,Tim Herron,84,"6' 11""",8.559,103,101
20,T20,T20,Vaughn Taylor,84,"6' 11""",7.145,86,171
21,T20,T20,Duffy Waldorf,79,"6' 11""",6.255,75,115
22,23,23,Michael Allen,87,"7' 0""",9.793,116,71
23,T24,T24,Fred Funk,97,"7' 1""",8.547,100,39
24,T24,T24,Shigeki Maruyama,93,"7' 1""",8.701,102,36
25,T24,T24,Arron Oberholser,77,"7' 1""",7.138,84,79
26,T24,T24,Tim Petrovic,111,"7' 1""",13.661,160,50
27,T24,T24,Loren Roberts,81,"7' 1""",6.216,73,20
28,T24,T24,Kirk Triplett,88,"7' 1""",7.688,90,10
29,T30,T30,Steve Flesch,109,"7' 2""",9.882,115,130
30,T30,T30,Brian Gay,96,"7' 2""",11.235999999999999,131,34
31,T30,T30,Scott Hoch,52,"7' 2""",3.11,36,95
32,T30,T30,Lee Janzen,84,"7' 2""",8.013,93,78
33,T30,T30,Cliff Kresge,89,"7' 2""",9.435,110,134
34,T30,T30,Heath Slocum,92,"7' 2""",9.245,107,80
35,T30,T30,Bo Van Pelt,107,"7' 2""",10.365,120,101
36,T37,T37,Greg Chalmers,70,"7' 3""",8.6,99,57
37,T37,T37,Neal Lancaster,106,"7' 3""",10.638,122,104
38,T37,T37,Phil Mickelson,83,"7' 3""",5.587999999999999,64,3
39,T37,T37,Kevin Muncrief,50,"7' 3""",6.1979999999999995,71,195
40,T37,T37,Craig Perks,75,"7' 3""",6.727,77,65
41,T37,T37,Gene Sauers,83,"7' 3""",9.886000000000001,113,177
42,T37,T37,Grant Waite,79,"7' 3""",10.043,116,181
43,T44,T44,Bob Burns,88,"7' 4""",10.117,115,37
44,T44,T44,José Coceres,68,"7' 4""",10.08,114,2
45,T44,T44,Todd Fischer,104,"7' 4""",9.578,109,56
46,T44,T44,Charles Howell III,104,"7' 4""",8.93,101,61
47,T44,T44,David Morland IV,73,"7' 4""",8.995,102,152
48,T44,T44,Nick Price,51,"7' 4""",3.5389999999999997,40,21
49,T44,T44,John Rollins,90,"7' 4""",9.582,109,121
50,T51,T51,Robert Damron,92,"7' 5""",11.334000000000001,127,59
51,T51,T51,Glen Day,101,"7' 5""",12.335999999999999,138,68
52,T51,T51,Luke Donald,72,"7' 5""",6.609,74,60
53,T51,T51,Brad Faxon,94,"7' 5""",9.831,111,25
54,T51,T51,Skip Kendall,99,"7' 5""",10.800999999999998,122,18
55,T51,T51,Davis Love III,85,"7' 5""",7.22,81,33
56,T51,T51,Joe Ogilvie,104,"7' 5""",10.65,120,47
57,T51,T51,Brett Quigley,102,"7' 5""",10.405999999999999,117,124
