,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Mark Calcavecchia,79,-.063,80,-5.00
1,2,2,Deane Pappas,72,-.034,89,-3.00
2,3,3,Loren Roberts,81,-.033,90,-3.00
3,4,4,Jesper Parnevik,86,-.031,98,-3.00
4,5,5,Chris Riley,78,-.026,76,-2.00
5,6,6,Jonathan Byrd,85,-.024,84,-2.00
6,7,7,Pat Bates,99,-.017,120,-2.00
7,8,8,Todd Fischer,104,-.015,136,-2.00
8,9,9,Tiger Woods,78,-.014,69,-1.00
9,10,10,Kirk Triplett,88,-.012,81,-1.00
10,11,11,Vijay Singh,112,-.011,90,-1.00
11,12,12,Matt Gogel,86,-.009,114,-1.00
12,13,13,Carl Pettersson,100,-.008,120,-1.00
13,T14,T14,Tommy Armour III,87,E,99,E
14,T14,T14,Chad Campbell,100,E,102,E
15,T14,T14,Darren Clarke,54,E,44,E
16,T14,T14,Ernie Els,62,E,43,E
17,T14,T14,Brian Gay,96,E,122,E
18,T14,T14,Tim Herron,84,E,72,E
19,T14,T14,Jerry Kelly,113,E,123,E
20,T14,T14,David Morland IV,73,E,85,E
21,T14,T14,Corey Pavin,83,E,114,E
22,T14,T14,Dicky Pride,66,E,75,E
23,T14,T14,Hidemichi Tanaka,89,E,88,E
24,T14,T14,Scott Verplank,92,E,101,E
25,26,26,Steve Stricker,81,+.008,127,+1.00
26,27,27,Fred Funk,97,+.009,115,+1.00
27,T28,T28,Jay Haas,84,+.010,96,+1.00
28,T28,T28,Jeff Sluman,98,+.010,100,+1.00
29,30,30,Craig Barlow,80,+.011,93,+1.00
30,T31,T31,K.J. Choi,83,+.013,75,+1.00
31,T31,T31,Patrick Sheehan,113,+.013,158,+2.00
32,33,33,Robert Gamez,103,+.014,138,+2.00
33,T34,T34,Tom Byrum,83,+.016,126,+2.00
34,T34,T34,Ben Curtis,56,+.016,62,+1.00
35,36,36,David Peoples,82,+.017,119,+2.00
36,37,37,Mark Hensby,97,+.018,114,+2.00
37,38,38,Joey Sindelar,100,+.020,148,+3.00
38,39,39,Steve Elkington,64,+.023,87,+2.00
39,T40,T40,John Daly,79,+.027,74,+2.00
40,T40,T40,Skip Kendall,99,+.027,146,+4.00
41,T42,T42,Cameron Beckman,99,+.028,143,+4.00
42,T42,T42,Carlos Franco,99,+.028,106,+3.00
43,44,44,Stephen Ames,97,+.029,104,+3.00
44,45,45,Nick Price,51,+.031,65,+2.00
45,46,46,Jason Dufner,79,+.033,90,+3.00
46,T47,T47,Alex Cejka,76,+.035,86,+3.00
