,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Dicky Pride,66,"2' 10""",249.167,89,157
1,T2,T2,Chris Couch,55,"2' 11""",182.917,62,196
2,T2,T2,Mark Wilson,62,"2' 11""",205.917,70,150
3,4,4,Justin Rose,77,"3' 0""",283.41700000000003,94,62
4,T5,T5,Jesper Parnevik,86,"3' 1""",333.5,109,5
5,T5,T5,Corey Pavin,83,"3' 1""",349.917,115,15
6,T5,T5,Vijay Singh,112,"3' 1""",298.83299999999997,97,19
7,T8,T8,Dennis Paulson,71,"3' 2""",380.917,119,66
8,T8,T8,Kirk Triplett,88,"3' 2""",302.75,95,10
9,T8,T8,Tiger Woods,78,"3' 2""",276.0,88,41
10,T11,T11,K.J. Choi,83,"3' 3""",260.66700000000003,81,116
11,T11,T11,Brian Gay,96,"3' 3""",431.0,132,34
12,T11,T11,Jerry Kelly,113,"3' 3""",385.5,118,17
13,T11,T11,Craig Parry,52,"3' 3""",229.417,70,99
14,T15,T15,Michael Allen,87,"3' 4""",386.167,117,71
15,T15,T15,Tommy Armour III,87,"3' 4""",377.583,114,148
16,T15,T15,Mark Brooks,72,"3' 4""",361.167,109,144
17,T15,T15,Carlos Franco,99,"3' 4""",434.25,130,42
18,T15,T15,Fred Funk,97,"3' 4""",430.0,130,39
19,T15,T15,José María Olazábal,56,"3' 4""",184.333,55,8
20,T15,T15,Nick Price,51,"3' 4""",236.917,71,21
21,T15,T15,Jeff Sluman,98,"3' 4""",369.5,110,107
22,T23,T23,Craig Barlow,80,"3' 5""",323.83299999999997,95,84
23,T23,T23,Mark Calcavecchia,79,"3' 5""",371.333,108,71
24,T23,T23,Fred Couples,54,"3' 5""",253.167,74,187
25,T23,T23,David Frost,78,"3' 5""",397.0,115,44
26,T23,T23,Robert Gamez,103,"3' 5""",526.8330000000001,153,81
27,T23,T23,Lee Janzen,84,"3' 5""",424.25,123,78
28,T23,T23,Frank Lickliter II,89,"3' 5""",456.5,133,140
29,T23,T23,Ted Purdy,114,"3' 5""",584.5830000000001,171,98
30,T23,T23,Loren Roberts,81,"3' 5""",300.41700000000003,87,20
31,T23,T23,Kevin Sutherland,86,"3' 5""",440.75,128,6
32,T33,T33,Pat Bates,99,"3' 6""",450.25,130,112
33,T33,T33,Cameron Beckman,99,"3' 6""",558.4169999999999,159,30
34,T33,T33,Jason Bohn,98,"3' 6""",442.583,127,164
35,T33,T33,Jonathan Byrd,85,"3' 6""",388.167,110,90
36,T33,T33,Greg Chalmers,70,"3' 6""",316.83299999999997,91,57
37,T33,T33,Stewart Cink,103,"3' 6""",470.75,134,4
38,T33,T33,Russ Cochran,61,"3' 6""",325.83299999999997,93,166
39,T33,T33,Ben Curtis,56,"3' 6""",261.5,75,113
40,T33,T33,Matt Kuchar,83,"3' 6""",431.667,123,111
41,T33,T33,Hank Kuehne,91,"3' 6""",570.4169999999999,163,108
42,T33,T33,Justin Leonard,90,"3' 6""",406.417,115,26
43,T33,T33,J.L. Lewis,106,"3' 6""",506.167,144,125
44,T33,T33,Kevin Na,100,"3' 6""",532.0,153,12
45,T33,T33,Mark O'Meara,58,"3' 6""",259.41700000000003,74,31
46,T33,T33,Joey Sindelar,100,"3' 6""",570.9169999999999,162,109
47,T33,T33,Scott Verplank,92,"3' 6""",362.583,104,27
48,T49,T49,Rich Barcelo,67,"3' 7""",335.417,93,168
49,T49,T49,Rich Beem,81,"3' 7""",343.583,96,180
50,T49,T49,Danny Briggs,85,"3' 7""",355.75,100,128
51,T49,T49,Bart Bryant,73,"3' 7""",307.16700000000003,86,89
52,T49,T49,Tom Byrum,83,"3' 7""",490.917,137,13
53,T49,T49,Tom Carter,113,"3' 7""",643.0830000000001,181,182
54,T49,T49,Chris DiMarco,105,"3' 7""",449.333,124,38
55,T49,T49,Joe Durant,85,"3' 7""",412.5,115,85
56,T49,T49,Niclas Fasth,61,"3' 7""",376.917,104,132
57,T49,T49,Mike Heinen,53,"3' 7""",297.58299999999997,83,186
58,T49,T49,Scott Hoch,52,"3' 7""",302.5,84,95
59,T49,T49,Hirofumi Miyase,65,"3' 7""",314.75,87,183
60,T49,T49,Deane Pappas,72,"3' 7""",393.25,111,101
61,T49,T49,Craig Perks,75,"3' 7""",337.5,94,65
62,T49,T49,Tim Petrovic,111,"3' 7""",523.0830000000001,145,50
63,T49,T49,Chris Riley,78,"3' 7""",311.08299999999997,87,53
64,T49,T49,Dean Wilson,99,"3' 7""",606.5,169,51
65,T66,T66,John Cook,57,"3' 8""",303.58299999999997,83,81
66,T66,T66,Ben Crane,92,"3' 8""",528.4169999999999,144,22
67,T66,T66,John Daly,79,"3' 8""",318.41700000000003,86,163
68,T66,T66,Robert Damron,92,"3' 8""",553.5830000000001,150,59
69,T66,T66,Glen Day,101,"3' 8""",560.5830000000001,152,68
70,T66,T66,Ernie Els,62,"3' 8""",215.0,59,7
71,T66,T66,Sergio Garcia,65,"3' 8""",246.0,67,184
72,T66,T66,Matt Gogel,86,"3' 8""",430.333,117,23
73,T66,T66,Retief Goosen,56,"3' 8""",226.167,61,1
74,T66,T66,Jay Haas,84,"3' 8""",407.25,110,11
75,T66,T66,Tim Herron,84,"3' 8""",342.583,93,101
76,T66,T66,Richard Johnson,102,"3' 8""",612.0830000000001,168,110
77,T66,T66,Joe Ogilvie,104,"3' 8""",543.0830000000001,149,47
78,T66,T66,Rod Pampling,98,"3' 8""",392.25,107,45
79,T66,T66,Kenny Perry,79,"3' 8""",327.41700000000003,90,170
80,T66,T66,Carl Pettersson,100,"3' 8""",522.75,141,48
81,T66,T66,Mike Weir,75,"3' 8""",359.167,98,77
82,T83,T83,Steve Allan,102,"3' 9""",514.75,136,96
83,T83,T83,Notah Begay III,71,"3' 9""",405.75,108,146
84,T83,T83,Olin Browne,92,"3' 9""",438.333,117,67
85,T83,T83,Bob Burns,88,"3' 9""",549.9169999999999,146,37
86,T83,T83,Kris Cox,73,"3' 9""",337.5,91,179
87,T83,T83,Steve Elkington,64,"3' 9""",399.083,106,136
88,T83,T83,J.P. Hayes,79,"3' 9""",369.333,99,87
89,T83,T83,Zach Johnson,109,"3' 9""",453.417,122,69
90,T83,T83,Tom Lehman,70,"3' 9""",355.25,95,40
91,T83,T83,Davis Love III,85,"3' 9""",456.167,123,33
92,T83,T83,Shigeki Maruyama,93,"3' 9""",418.0,112,36
93,T83,T83,Billy Mayfair,109,"3' 9""",626.3330000000001,167,149
94,T83,T83,David Morland IV,73,"3' 9""",366.0,97,152
95,T83,T83,David Peoples,82,"3' 9""",487.333,131,16
96,T83,T83,Brett Quigley,102,"3' 9""",578.6669999999999,156,124
97,T83,T83,Heath Slocum,92,"3' 9""",530.5,142,80
98,T83,T83,Andre Stolz,53,"3' 9""",276.66700000000003,74,188
99,T83,T83,Hidemichi Tanaka,89,"3' 9""",435.25,116,131
100,T83,T83,Tommy Tolles,67,"3' 9""",383.833,103,174
101,T83,T83,Jay Williamson,100,"3' 9""",505.167,136,88
102,T103,T103,Stephen Ames,97,"3' 10""",456.0,119,55
103,T103,T103,Aaron Baddeley,87,"3' 10""",475.417,125,153
104,T103,T103,Jeff Brehaut,106,"3' 10""",496.333,130,159
105,T103,T103,Chad Campbell,100,"3' 10""",445.083,117,86
106,T103,T103,Jason Dufner,79,"3' 10""",421.083,109,161
107,T103,T103,Todd Fischer,104,"3' 10""",571.5830000000001,150,56
108,T103,T103,Brent Geiberger,94,"3' 10""",468.75,123,46
109,T103,T103,Mark Hensby,97,"3' 10""",493.667,130,75
110,T103,T103,John Huston,62,"3' 10""",294.16700000000003,76,100
111,T103,T103,Freddie Jacobson,83,"3' 10""",368.833,96,63
112,T103,T103,Neal Lancaster,106,"3' 10""",646.0,168,104
113,T103,T103,Steve Lowery,91,"3' 10""",482.667,126,139
114,T103,T103,Rocco Mediate,53,"3' 10""",242.75,64,162
115,T103,T103,Steve Pate,71,"3' 10""",392.333,102,97
116,T103,T103,John Rollins,90,"3' 10""",429.0,111,121
117,T103,T103,Gene Sauers,83,"3' 10""",492.5,128,177
118,T103,T103,Roger Tambellini,81,"3' 10""",493.0,129,176
119,T103,T103,Esteban Toledo,92,"3' 10""",560.3330000000001,147,106
120,T121,T121,Tim Clark,84,"3' 11""",473.583,121,49
121,T121,T121,Jay Delsing,76,"3' 11""",385.167,99,123
122,T121,T121,Lucas Glover,95,"3' 11""",494.333,127,189
123,T121,T121,Todd Hamilton,92,"3' 11""",486.5,123,93
124,T121,T121,Pat Perez,102,"3' 11""",568.6669999999999,144,167
125,T121,T121,Tom Pernice Jr.,103,"3' 11""",556.4169999999999,142,29
126,T121,T121,Tag Ridings,53,"3' 11""",294.75,75,122
127,T121,T121,John Senden,99,"3' 11""",550.9169999999999,142,143
128,T121,T121,Patrick Sheehan,113,"3' 11""",719.0,184,53
129,T121,T121,Scott Simpson,55,"3' 11""",338.167,87,83
130,T121,T121,Vaughn Taylor,84,"3' 11""",366.25,94,171
131,T121,T121,Omar Uresti,85,"3' 11""",564.9169999999999,144,9
132,T121,T121,Duffy Waldorf,79,"3' 11""",386.333,99,115
133,T134,T134,Dan Forsman,79,"4' 0""",443.25,111,32
134,T134,T134,Scott Hend,81,"4' 0""",417.083,105,193
135,T134,T134,Charles Howell III,104,"4' 0""",465.75,117,61
136,T134,T134,Bernhard Langer,59,"4' 0""",379.333,94,24
