,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Justin Leonard,90,0.201,149,30.0
1,2,2,José María Olazábal,56,0.23399999999999999,107,25.0
2,3,3,Chris Riley,78,0.243,115,28.0
3,4,4,Retief Goosen,56,0.244,82,20.0
4,5,5,Loren Roberts,81,0.249,169,42.0
5,T6,T6,Dan Forsman,79,0.265,166,44.0
6,T6,T6,Tiger Woods,78,0.265,132,35.0
7,8,8,Stewart Cink,103,0.285,172,49.0
8,9,9,David Peoples,82,0.289,190,55.0
9,T10,T10,David Frost,78,0.29100000000000004,182,53.0
10,T10,T10,Rory Sabbatini,89,0.29100000000000004,182,53.0
11,12,12,Rod Pampling,98,0.295,183,54.0
12,13,13,Brad Faxon,94,0.3,170,51.0
13,14,14,Scott Simpson,55,0.302,139,42.0
14,T15,T15,Brent Geiberger,94,0.303,221,67.0
15,T15,T15,Mark O'Meara,58,0.303,119,36.0
16,17,17,Tom Pernice Jr.,103,0.304,224,68.0
17,18,18,Davis Love III,85,0.306,186,57.0
18,19,19,Mark Wilson,62,0.307,140,43.0
19,T20,T20,Carlos Franco,99,0.308,201,62.0
20,T20,T20,Corey Pavin,83,0.308,169,52.0
21,22,22,Dean Wilson,99,0.309,262,81.0
22,23,23,Luke Donald,72,0.31,145,45.0
23,T24,T24,Ben Crane,92,0.314,220,69.0
24,T24,T24,Craig Parry,52,0.314,105,33.0
25,T26,T26,Tommy Armour III,87,0.315,181,57.0
26,T26,T26,Jesper Parnevik,86,0.315,184,58.0
27,T28,T28,Brian Gay,96,0.316,225,71.0
28,T28,T28,Deane Pappas,72,0.316,171,54.0
29,30,30,Paul Azinger,75,0.318,170,54.0
30,T31,T31,José Coceres,68,0.319,182,58.0
31,T31,T31,Len Mattiace,75,0.319,188,60.0
32,T31,T31,Dennis Paulson,71,0.319,182,58.0
33,T34,T34,Todd Hamilton,92,0.32,206,66.0
34,T34,T34,Tom Lehman,70,0.32,122,39.0
35,T34,T34,Kevin Sutherland,86,0.32,175,56.0
36,37,37,Kevin Na,100,0.321,246,79.0
37,T38,T38,Tim Herron,84,0.32299999999999995,158,51.0
38,T38,T38,Vijay Singh,112,0.32299999999999995,167,54.0
39,T40,T40,Lee Janzen,84,0.325,151,49.0
40,T40,T40,Bernhard Langer,59,0.325,123,40.0
41,42,42,Jay Haas,84,0.326,135,44.0
42,T43,T43,Bob Burns,88,0.327,220,72.0
43,T43,T43,Chris DiMarco,105,0.327,205,67.0
44,45,45,Jason Dufner,79,0.32899999999999996,167,55.0
45,46,46,Shaun Micheel,93,0.331,151,50.0
46,T47,T47,Ernie Els,62,0.33299999999999996,105,35.0
47,T47,T47,Craig Perks,75,0.33299999999999996,168,56.0
48,T47,T47,Nick Price,51,0.33299999999999996,114,38.0
49,50,50,Carl Pettersson,100,0.335,194,65.0
50,51,51,Tim Petrovic,111,0.336,247,83.0
51,T52,T52,Shigeki Maruyama,93,0.337,208,70.0
52,T52,T52,Jeff Sluman,98,0.337,181,61.0
53,T54,T54,Tom Carter,113,0.33799999999999997,234,79.0
54,T54,T54,J.J. Henry,103,0.33799999999999997,210,71.0
55,T54,T54,Esteban Toledo,92,0.33799999999999997,225,76.0
56,T57,T57,Stephen Ames,97,0.33899999999999997,186,63.0
57,T57,T57,Steve Stricker,81,0.33899999999999997,180,61.0
58,T59,T59,Steve Elkington,64,0.34,141,48.0
59,T59,T59,Mark Hensby,97,0.34,206,70.0
60,T59,T59,Adam Scott,55,0.34,100,34.0
61,62,62,Geoff Ogilvy,91,0.341,179,61.0
62,T63,T63,Aaron Baddeley,87,0.344,218,75.0
63,T63,T63,Phil Mickelson,83,0.344,128,44.0
64,65,65,Danny Ellis,81,0.34600000000000003,185,64.0
65,T66,T66,John Huston,62,0.34700000000000003,95,33.0
66,T66,T66,Justin Rose,77,0.34700000000000003,147,51.0
67,68,68,Billy Andrade,104,0.35100000000000003,242,85.0
68,69,69,Charles Howell III,104,0.35200000000000004,210,74.0
69,T70,T70,Hank Kuehne,91,0.353,204,72.0
70,T70,T70,Joe Ogilvie,104,0.353,221,78.0
71,T70,T70,Scott Verplank,92,0.353,156,55.0
72,T73,T73,Steve Allan,102,0.354,223,79.0
73,T73,T73,Jonathan Byrd,85,0.354,192,68.0
74,T73,T73,Tom Byrum,83,0.354,192,68.0
75,T76,T76,Bart Bryant,73,0.355,138,49.0
76,T76,T76,Freddie Jacobson,83,0.355,155,55.0
77,78,78,Kirk Triplett,88,0.35700000000000004,143,51.0
78,79,79,Brenden Pappas,111,0.358,268,96.0
79,80,80,Arron Oberholser,77,0.361,155,56.0
80,T81,T81,Craig Bowden,83,0.36200000000000004,224,81.0
81,T81,T81,Steve Pate,71,0.36200000000000004,141,51.0
82,T83,T83,Chad Campbell,100,0.363,168,61.0
83,T83,T83,Matt Kuchar,83,0.363,179,65.0
84,T85,T85,Ben Curtis,56,0.364,110,40.0
85,T85,T85,Todd Fischer,104,0.364,258,94.0
86,T85,T85,Heath Slocum,92,0.364,206,75.0
87,88,88,Glen Day,101,0.365,233,85.0
88,T89,T89,Michael Allen,87,0.366,183,67.0
89,T89,T89,Jonathan Kaye,79,0.366,123,45.0
90,T89,T89,Neal Lancaster,106,0.366,232,85.0
91,92,92,Hidemichi Tanaka,89,0.36700000000000005,207,76.0
92,93,93,John Rollins,90,0.368,201,74.0
93,94,94,Cameron Beckman,99,0.369,206,76.0
94,T95,T95,Scott Hoch,52,0.37,100,37.0
95,T95,T95,Hunter Mahan,94,0.37,208,77.0
96,T95,T95,Bob Tway,90,0.37,165,61.0
97,T98,T98,Fred Couples,54,0.371,89,33.0
98,T98,T98,Tag Ridings,53,0.371,105,39.0
99,T100,T100,Matt Gogel,86,0.37200000000000005,183,68.0
100,T100,T100,Jerry Kelly,113,0.37200000000000005,196,73.0
101,T102,T102,John Cook,57,0.373,110,41.0
102,T102,T102,Omar Uresti,85,0.373,228,85.0
103,104,104,Bob Estes,73,0.374,131,49.0
104,T105,T105,Darren Clarke,54,0.375,80,30.0
105,T105,T105,Peter Lonard,68,0.375,136,51.0
106,T107,T107,Robert Gamez,103,0.376,226,85.0
107,T107,T107,Spike McRoy,93,0.376,210,79.0
108,T109,T109,Mark Calcavecchia,79,0.377,138,52.0
109,T109,T109,Fred Funk,97,0.377,204,77.0
110,111,111,Greg Chalmers,70,0.37799999999999995,193,73.0
111,112,112,Tim Clark,84,0.379,182,69.0
112,T113,T113,D.J. Brigman,79,0.38,166,63.0
113,T113,T113,Scott McCarron,88,0.38,192,73.0
114,T115,T115,Brian Kortan,65,0.381,126,48.0
115,T115,T115,Brett Quigley,102,0.381,218,83.0
116,T117,T117,Patrick Sheehan,113,0.382,251,96.0
117,T117,T117,Bo Van Pelt,107,0.382,186,71.0
118,119,119,Jeff Brehaut,106,0.384,229,88.0
119,T120,T120,Russ Cochran,61,0.385,135,52.0
120,T120,T120,Steve Flesch,109,0.385,195,75.0
121,122,122,Stuart Appleby,84,0.386,153,59.0
122,123,123,Pat Bates,99,0.387,217,84.0
123,124,124,Skip Kendall,99,0.38799999999999996,214,83.0
124,125,125,Stephen Leaney,84,0.389,157,61.0
125,T126,T126,Robert Damron,92,0.39,259,101.0
126,T126,T126,Billy Mayfair,109,0.39,218,85.0
127,128,128,Harrison Frazar,86,0.391,184,72.0
128,T129,T129,Mark Brooks,72,0.39299999999999996,168,66.0
129,T129,T129,Andre Stolz,53,0.39299999999999996,122,48.0
130,131,131,Robert Allenby,93,0.39399999999999996,155,61.0
131,T132,T132,Mathias Grönberg,91,0.396,207,82.0
132,T132,T132,Zach Johnson,109,0.396,225,89.0
133,134,134,David Branshaw,84,0.397,179,71.0
134,135,135,Hirofumi Miyase,65,0.39799999999999996,166,66.0
135,T136,T136,Olin Browne,92,0.39899999999999997,178,71.0
136,T136,T136,Kris Cox,73,0.39899999999999997,148,59.0
137,T138,T138,Niclas Fasth,61,0.4,145,58.0
138,T138,T138,Roland Thatcher,66,0.4,155,62.0
139,140,140,Vaughn Taylor,84,0.401,167,67.0
140,T141,T141,Dudley Hart,60,0.402,107,43.0
141,T141,T141,Ted Purdy,114,0.402,266,107.0
142,143,143,Craig Barlow,80,0.405,173,70.0
143,T144,T144,Notah Begay III,71,0.406,160,65.0
144,T144,T144,Blaine McCallister,68,0.406,192,78.0
145,T144,T144,Tommy Tolles,67,0.406,165,67.0
146,T147,T147,Jason Bohn,98,0.408,211,86.0
147,T147,T147,Grant Waite,79,0.408,169,69.0
148,T149,T149,K.J. Choi,83,0.41100000000000003,151,62.0
149,T149,T149,John Daly,79,0.41100000000000003,163,67.0
150,T149,T149,J.L. Lewis,106,0.41100000000000003,224,92.0
151,T149,T149,Steve Lowery,91,0.41100000000000003,197,81.0
152,T153,T153,Rich Beem,81,0.413,150,62.0
153,T153,T153,Dicky Pride,66,0.413,150,62.0
154,155,155,Jay Delsing,76,0.414,169,70.0
155,156,156,Danny Briggs,85,0.41600000000000004,166,69.0
156,T157,T157,Arjun Atwal,85,0.41700000000000004,204,85.0
157,T157,T157,Daniel Chopra,108,0.41700000000000004,240,100.0
158,159,159,Alex Cejka,76,0.418,141,59.0
159,160,160,Kent Jones,99,0.419,222,93.0
160,161,161,Ryan Palmer,103,0.42200000000000004,230,97.0
161,T162,T162,Cliff Kresge,89,0.424,198,84.0
162,T162,T162,Mike Weir,75,0.424,144,61.0
163,T164,T164,Briny Baird,100,0.425,167,71.0
164,T164,T164,J.P. Hayes,79,0.425,160,68.0
165,T166,T166,Richard Johnson,102,0.426,244,104.0
166,T166,T166,Joey Sindelar,100,0.426,223,95.0
167,168,168,Lucas Glover,95,0.428,208,89.0
168,169,169,Kenny Perry,79,0.429,140,60.0
169,170,170,Jay Williamson,100,0.43200000000000005,227,98.0
170,T171,T171,Tripp Isenhour,55,0.43700000000000006,126,55.0
171,T171,T171,Frank Lickliter II,89,0.43700000000000006,199,87.0
172,T171,T171,Jeff Maggert,60,0.43700000000000006,126,55.0
173,174,174,Guy Boros,64,0.43799999999999994,176,77.0
174,T175,T175,Sergio Garcia,65,0.44,100,44.0
175,T175,T175,David Morland IV,73,0.44,175,77.0
176,T177,T177,Brian Bateman,84,0.442,163,72.0
177,T177,T177,Dan Olsen,75,0.442,181,80.0
178,179,179,Ken Duke,89,0.446,240,107.0
179,180,180,Rich Barcelo,67,0.451,142,64.0
180,181,181,Roger Tambellini,81,0.452,186,84.0
181,182,182,John Senden,99,0.45399999999999996,185,84.0
182,183,183,Mike Heinen,53,0.455,134,61.0
183,T184,T184,Pat Perez,102,0.461,230,106.0
184,T184,T184,Gene Sauers,83,0.461,232,107.0
185,186,186,David Toms,80,0.469,128,60.0
186,187,187,David Gossett,57,0.47100000000000003,153,72.0
187,188,188,Scott Hend,81,0.473,201,95.0
188,189,189,John Riegger,53,0.479,119,57.0
189,190,190,Joe Durant,85,0.48100000000000004,158,76.0
190,191,191,Woody Austin,94,0.484,217,105.0
