,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
140,T141,T141,Mark Brooks,72,0.52,148,77.0
141,T141,T141,Hank Kuehne,91,0.52,227,118.0
142,T141,T141,Len Mattiace,75,0.52,196,102.0
143,144,144,Brett Quigley,102,0.522,209,109.0
144,145,145,Hunter Mahan,94,0.523,235,123.0
145,146,146,Kenny Perry,79,0.524,143,75.0
146,147,147,Tommy Armour III,87,0.527,184,97.0
147,T148,T148,Pat Bates,99,0.528,176,93.0
148,T148,T148,K.J. Choi,83,0.528,144,76.0
149,T150,T150,Matt Kuchar,83,0.529,191,101.0
150,T150,T150,Vaughn Taylor,84,0.529,187,99.0
151,T152,T152,Woody Austin,94,0.53,202,107.0
152,T152,T152,David Toms,80,0.53,100,53.0
153,154,154,Scott Simpson,55,0.532,124,66.0
154,155,155,Nick Price,51,0.5329999999999999,90,48.0
155,156,156,Rich Barcelo,67,0.536,153,82.0
156,157,157,Mike Weir,75,0.5379999999999999,130,70.0
157,158,158,Rich Beem,81,0.54,137,74.0
158,159,159,Jonathan Kaye,79,0.541,148,80.0
159,160,160,D.J. Brigman,79,0.545,191,104.0
160,T161,T161,Robert Allenby,93,0.547,128,70.0
161,T161,T161,Danny Ellis,81,0.547,159,87.0
162,T163,T163,Sergio Garcia,65,0.5489999999999999,102,56.0
163,T163,T163,Frank Lickliter II,89,0.5489999999999999,195,107.0
164,T163,T163,Spike McRoy,93,0.5489999999999999,173,95.0
165,T163,T163,David Morland IV,73,0.5489999999999999,195,107.0
166,167,167,Mike Heinen,53,0.55,131,72.0
167,168,168,Blaine McCallister,68,0.551,136,75.0
168,T169,T169,John Senden,99,0.5539999999999999,168,93.0
169,T169,T169,Roland Thatcher,66,0.5539999999999999,148,82.0
170,171,171,Chris Smith,105,0.555,182,101.0
171,172,172,Tag Ridings,53,0.556,117,65.0
172,173,173,Billy Mayfair,109,0.561,212,119.0
173,T174,T174,Russ Cochran,61,0.5660000000000001,106,60.0
174,T174,T174,Hirofumi Miyase,65,0.5660000000000001,173,98.0
175,176,176,Notah Begay III,71,0.5670000000000001,150,85.0
176,177,177,Jason Bohn,98,0.58,226,131.0
177,178,178,Tommy Tolles,67,0.584,178,104.0
178,179,179,Tom Carter,113,0.589,263,155.0
179,180,180,Grant Waite,79,0.59,178,105.0
180,181,181,Steve Pate,71,0.593,150,89.0
181,182,182,Gene Sauers,83,0.595,173,103.0
182,T183,T183,J.L. Lewis,106,0.596,193,115.0
183,T183,T183,Dan Olsen,75,0.596,183,109.0
184,185,185,Roger Tambellini,81,0.598,169,101.0
185,186,186,Pat Perez,102,0.604,187,113.0
186,187,187,Ken Duke,89,0.609,235,143.0
187,188,188,Andre Stolz,53,0.61,136,83.0
188,189,189,Fred Couples,54,0.618,110,68.0
189,190,190,Kevin Muncrief,50,0.621,132,82.0
190,191,191,David Gossett,57,0.632,193,122.0
191,T192,T192,Lucas Glover,95,0.635,203,129.0
192,T192,T192,John Huston,62,0.635,74,47.0
193,194,194,Neal Lancaster,106,0.6409999999999999,220,141.0
194,195,195,Scott Hend,81,0.687,198,136.0
195,196,196,Chris Couch,55,0.6990000000000001,153,107.0
