,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,David Toms,80,83.33,5.0,6
1,2,2,John Cook,57,71.43,5.0,7
2,3,3,Jerry Kelly,113,66.67,6.0,9
3,T4,T4,Rich Beem,81,63.64,7.0,11
4,T4,T4,Robert Damron,92,63.64,7.0,11
5,T4,T4,Len Mattiace,75,63.64,7.0,11
6,T4,T4,Kenny Perry,79,63.64,7.0,11
7,T8,T8,John Huston,62,62.5,5.0,8
8,T8,T8,David Morland IV,73,62.5,10.0,16
9,T8,T8,Pat Perez,102,62.5,5.0,8
10,T11,T11,Bob Estes,73,57.14,4.0,7
11,T11,T11,Matt Gogel,86,57.14,4.0,7
12,T13,T13,Russ Cochran,61,55.56,5.0,9
13,T13,T13,Vaughn Taylor,84,55.56,5.0,9
14,15,15,Peter Lonard,68,54.55,6.0,11
15,16,16,Brian Gay,96,53.85,7.0,13
16,T17,T17,Dan Forsman,79,50.0,6.0,12
17,T17,T17,Mark Hensby,97,50.0,7.0,14
18,T17,T17,Richard Johnson,102,50.0,9.0,18
19,T17,T17,Shigeki Maruyama,93,50.0,6.0,12
20,T17,T17,Hirofumi Miyase,65,50.0,5.0,10
21,T17,T17,Craig Parry,52,50.0,2.0,4
22,T17,T17,Craig Perks,75,50.0,3.0,6
23,T17,T17,John Senden,99,50.0,8.0,16
24,T17,T17,Heath Slocum,92,50.0,5.0,10
25,T17,T17,Chris Smith,105,50.0,10.0,20
26,T17,T17,Duffy Waldorf,79,50.0,5.0,10
27,T17,T17,Mike Weir,75,50.0,8.0,16
28,29,29,Jesper Parnevik,86,47.83,11.0,23
29,T30,T30,Glen Day,101,46.67,7.0,15
30,T30,T30,David Frost,78,46.67,7.0,15
31,T30,T30,Kirk Triplett,88,46.67,7.0,15
32,33,33,Carl Pettersson,100,46.15,6.0,13
33,T34,T34,Mark Calcavecchia,79,45.45,5.0,11
34,T34,T34,Scott Hoch,52,45.45,5.0,11
35,T34,T34,Zach Johnson,109,45.45,5.0,11
36,T34,T34,Rocco Mediate,53,45.45,5.0,11
37,T34,T34,Rory Sabbatini,89,45.45,5.0,11
38,T39,T39,Sergio Garcia,65,44.44,4.0,9
39,T39,T39,Phil Mickelson,83,44.44,4.0,9
40,T39,T39,Kevin Muncrief,50,44.44,4.0,9
41,T39,T39,David Peoples,82,44.44,4.0,9
42,T43,T43,J.L. Lewis,106,42.86,6.0,14
43,T43,T43,Tom Pernice Jr.,103,42.86,6.0,14
44,T43,T43,Nick Price,51,42.86,3.0,7
45,T46,T46,Robert Allenby,93,41.67,5.0,12
46,T46,T46,Paul Azinger,75,41.67,5.0,12
47,T46,T46,Daniel Chopra,108,41.67,10.0,24
48,T46,T46,Deane Pappas,72,41.67,5.0,12
49,T46,T46,Vijay Singh,112,41.67,10.0,24
