,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
121,122,122,Robert Allenby,93,50.77,33,65
122,123,123,Robert Gamez,103,50.67,38,75
123,124,124,Cliff Kresge,89,50.65,39,77
124,125,125,Todd Hamilton,92,50.63,40,79
125,T126,T126,Tom Carter,113,50.0,34,68
126,T126,T126,Ben Curtis,56,50.0,18,36
127,T126,T126,Scott Hoch,52,50.0,15,30
128,T126,T126,Richard Johnson,102,50.0,49,98
129,T126,T126,Kent Jones,99,50.0,38,76
130,T126,T126,Skip Kendall,99,50.0,38,76
131,T126,T126,Steve Lowery,91,50.0,33,66
132,133,133,Robert Damron,92,49.45,45,91
133,134,134,Gene Sauers,83,49.41,42,85
134,135,135,Spike McRoy,93,49.38,40,81
135,136,136,John Senden,99,49.32,36,73
136,137,137,Bo Van Pelt,107,49.28,34,69
137,138,138,Tommy Tolles,67,49.18,30,61
138,T139,T139,Mark Brooks,72,49.12,28,57
139,T139,T139,Olin Browne,92,49.12,28,57
140,141,141,Scott McCarron,88,48.65,36,74
141,T142,T142,Brian Bateman,84,48.48,32,66
142,T142,T142,José María Olazábal,56,48.48,16,33
143,T144,T144,Jerry Kelly,113,48.44,31,64
144,T144,T144,Grant Waite,79,48.44,31,64
145,146,146,Jeff Sluman,98,48.33,29,60
146,T147,T147,Blaine McCallister,68,48.21,27,56
147,T147,T147,David Peoples,82,48.21,27,56
148,149,149,Glen Day,101,48.19,40,83
149,150,150,Briny Baird,100,48.0,36,75
150,T151,T151,John Cook,57,47.83,22,46
151,T151,T151,Peter Lonard,68,47.83,22,46
152,153,153,Todd Fischer,104,47.67,41,86
153,154,154,Vaughn Taylor,84,47.62,30,63
154,155,155,Shigeki Maruyama,93,47.44,37,78
155,156,156,Woody Austin,94,47.37,36,76
156,157,157,Patrick Sheehan,113,47.31,44,93
157,158,158,Joe Durant,85,47.17,25,53
158,159,159,Pat Bates,99,47.14,33,70
159,160,160,Bob Tway,90,46.88,30,64
160,161,161,Frank Lickliter II,89,46.67,28,60
161,162,162,Jason Bohn,98,46.38,32,69
162,163,163,Kenny Perry,79,46.0,23,50
163,164,164,Andre Stolz,53,45.45,25,55
164,165,165,Notah Begay III,71,45.24,19,42
165,166,166,Ted Purdy,114,45.05,41,91
166,167,167,David Branshaw,84,44.93,31,69
167,168,168,Hidemichi Tanaka,89,44.83,26,58
168,169,169,Pat Perez,102,44.58,37,83
169,T170,T170,Russ Cochran,61,44.44,20,45
170,T170,T170,Rocco Mediate,53,44.44,16,36
171,172,172,Freddie Jacobson,83,44.23,23,52
172,173,173,Duffy Waldorf,79,44.19,19,43
173,174,174,Kevin Muncrief,50,44.12,15,34
174,175,175,Bob Estes,73,43.9,18,41
175,176,176,Zach Johnson,109,43.68,38,87
176,177,177,Craig Perks,75,43.64,24,55
177,178,178,Niclas Fasth,61,43.4,23,53
178,179,179,Roland Thatcher,66,43.14,22,51
179,180,180,Guy Boros,64,43.1,25,58
180,181,181,Chad Campbell,100,43.06,31,72
181,182,182,David Morland IV,73,42.86,21,49
182,183,183,Kris Cox,73,42.59,23,54
183,184,184,Deane Pappas,72,42.31,22,52
184,185,185,Dicky Pride,66,41.82,23,55
185,186,186,Rich Barcelo,67,41.18,21,51
186,187,187,Dan Olsen,75,40.82,20,49
187,188,188,Arjun Atwal,85,40.51,32,79
188,189,189,Kirk Triplett,88,40.38,21,52
189,190,190,Hirofumi Miyase,65,40.32,25,62
190,191,191,Darren Clarke,54,37.5,9,24
191,192,192,Joey Sindelar,100,34.72,25,72
192,193,193,Chris Couch,55,33.96,18,53
193,194,194,Mike Heinen,53,29.73,11,37
194,195,195,John Riegger,53,29.27,12,41
195,196,196,Chris Smith,105,27.5,22,80
