,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Dan Forsman,79,62.32,86,138,31.0
1,2,2,José Coceres,68,61.72,79,128,23.0
2,3,3,Dennis Paulson,71,61.11,77,126,28.0
3,4,4,Geoff Ogilvy,91,61.03,83,136,26.0
4,5,5,Len Mattiace,75,60.16,74,123,41.0
5,6,6,David Frost,78,60.14,86,143,42.0
6,7,7,Loren Roberts,81,59.35,73,123,37.0
7,8,8,Hank Kuehne,91,59.31,86,145,32.0
8,9,9,Adam Scott,55,59.3,51,86,25.0
9,10,10,Rod Pampling,98,58.88,116,197,52.0
10,11,11,Nick Price,51,58.65,61,104,36.0
11,12,12,Greg Chalmers,70,57.66,64,111,34.0
12,13,13,Corey Pavin,83,57.39,66,115,27.0
13,14,14,Omar Uresti,85,56.83,79,139,44.0
14,T15,T15,Rich Beem,81,56.39,75,133,39.0
15,T15,T15,Phil Mickelson,83,56.39,75,133,25.0
16,17,17,Jay Williamson,100,56.28,103,183,49.0
17,18,18,Jay Haas,84,56.12,78,139,39.0
18,19,19,Stewart Cink,103,56.07,97,173,39.0
19,20,20,Jonathan Byrd,85,55.97,89,159,58.0
20,21,21,John Huston,62,55.88,57,102,17.0
21,22,22,David Toms,80,55.65,64,115,32.0
22,23,23,Brenden Pappas,111,55.56,95,171,40.0
23,24,24,Tom Pernice Jr.,103,55.41,87,157,27.0
24,25,25,Craig Parry,52,55.32,52,94,35.0
25,26,26,Stephen Leaney,84,55.3,73,132,40.0
26,27,27,John Daly,79,54.81,74,135,28.0
27,28,28,Retief Goosen,56,54.64,53,97,13.0
28,29,29,Fred Funk,97,54.6,89,163,49.0
29,30,30,Stephen Ames,97,54.55,84,154,54.0
30,31,31,Heath Slocum,92,54.26,70,129,49.0
31,32,32,Justin Leonard,90,54.01,74,137,36.0
32,33,33,Mark Hensby,97,53.98,95,176,45.0
33,34,34,Danny Ellis,81,53.97,68,126,38.0
34,35,35,Ben Crane,92,53.79,78,145,44.0
35,T36,T36,Mark O'Meara,58,53.68,51,95,45.0
36,T36,T36,Mike Weir,75,53.68,73,136,43.0
37,38,38,Tiger Woods,78,53.47,54,101,26.0
38,T39,T39,Matt Gogel,86,53.33,72,135,57.0
39,T39,T39,Kevin Sutherland,86,53.33,72,135,41.0
40,41,41,Tim Clark,84,53.28,65,122,42.0
41,42,42,Craig Bowden,83,53.06,78,147,63.0
42,43,43,Craig Barlow,80,52.94,72,136,40.0
43,44,44,Brad Faxon,94,52.9,82,155,63.0
44,45,45,Carl Pettersson,100,52.87,83,157,38.0
45,46,46,Jerry Kelly,113,52.8,85,161,52.0
46,47,47,Brett Quigley,102,52.74,77,146,40.0
47,48,48,Jason Dufner,79,52.54,62,118,51.0
48,49,49,Tom Byrum,83,52.48,74,141,53.0
49,50,50,Neal Lancaster,106,52.44,86,164,49.0
50,51,51,Dean Wilson,99,52.38,88,168,42.0
