,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Rory Sabbatini,89,66.3,120,181
1,2,2,Stuart Appleby,84,65.87,83,126
2,3,3,Carl Pettersson,100,64.04,130,203
3,4,4,Zach Johnson,109,63.82,127,199
4,5,5,Kirk Triplett,88,63.77,88,138
5,6,6,Darren Clarke,54,63.22,55,87
6,7,7,Retief Goosen,56,62.65,52,83
7,8,8,Corey Pavin,83,62.35,106,170
8,9,9,José María Olazábal,56,62.26,66,106
9,10,10,Bernhard Langer,59,62.24,61,98
10,11,11,Justin Leonard,90,62.02,80,129
11,12,12,Chris Riley,78,61.94,83,134
12,13,13,Justin Rose,77,61.27,87,142
13,T14,T14,Ben Crane,92,60.87,126,207
14,T14,T14,David Peoples,82,60.87,112,184
15,16,16,Bob Tway,90,60.36,67,111
16,17,17,Jesper Parnevik,86,60.29,126,209
17,18,18,Fred Funk,97,60.26,94,156
18,19,19,Arron Oberholser,77,60.13,95,158
19,T20,T20,Craig Parry,52,60.0,48,80
20,T20,T20,Tom Pernice Jr.,103,60.0,126,210
21,22,22,Kevin Sutherland,86,59.88,103,172
22,23,23,Tom Lehman,70,59.84,76,127
23,24,24,Arjun Atwal,85,59.79,116,194
24,25,25,Shigeki Maruyama,93,59.78,107,179
25,26,26,José Coceres,68,59.57,84,141
26,27,27,Skip Kendall,99,59.3,102,172
27,28,28,Glen Day,101,59.15,126,213
28,29,29,Stewart Cink,103,59.12,94,159
29,30,30,Brian Gay,96,58.99,128,217
30,31,31,Todd Hamilton,92,58.96,102,173
31,32,32,Ernie Els,62,58.82,60,102
32,33,33,Steve Stricker,81,58.62,102,174
33,34,34,Davis Love III,85,58.5,86,147
34,35,35,Rod Pampling,98,58.43,97,166
35,36,36,Bo Van Pelt,107,58.33,98,168
36,37,37,Tiger Woods,78,58.27,74,127
37,38,38,Jay Haas,84,58.26,67,115
38,39,39,Omar Uresti,85,58.25,120,206
39,40,40,Michael Allen,87,58.24,106,182
40,41,41,Chad Campbell,100,58.17,89,153
41,42,42,Luke Donald,72,58.14,75,129
42,43,43,Dean Wilson,99,58.13,143,246
43,44,44,Brian Kortan,65,58.06,90,155
44,45,45,Billy Andrade,104,58.0,145,250
45,46,46,Olin Browne,92,57.97,120,207
46,47,47,Jay Delsing,76,57.95,102,176
47,48,48,Peter Lonard,68,57.78,78,135
48,49,49,Jonathan Byrd,85,57.77,119,206
49,50,50,Aaron Baddeley,87,57.69,135,234
50,T51,T51,Jeff Brehaut,106,57.59,129,224
51,T51,T51,Loren Roberts,81,57.59,91,158
52,53,53,Mark Calcavecchia,79,57.49,96,167
53,54,54,Joe Ogilvie,104,57.46,131,228
54,T55,T55,Tom Byrum,83,57.4,97,169
55,T55,T55,Tim Herron,84,57.4,97,169
56,T55,T55,Kevin Na,100,57.4,128,223
57,58,58,Tim Petrovic,111,57.29,110,192
58,T59,T59,Brad Faxon,94,57.23,99,173
59,T59,T59,Freddie Jacobson,83,57.23,99,173
60,T61,T61,Ben Curtis,56,57.14,56,98
61,T61,T61,Jerry Kelly,113,57.14,104,182
62,T61,T61,Phil Mickelson,83,57.14,76,133
63,T61,T61,Patrick Sheehan,113,57.14,132,231
64,65,65,Craig Perks,75,57.07,105,184
65,T66,T66,Todd Fischer,104,57.03,146,256
66,T66,T66,Stephen Leaney,84,57.03,73,128
67,68,68,Jay Williamson,100,57.0,118,207
68,69,69,Daniel Chopra,108,56.88,157,276
69,70,70,Geoff Ogilvy,91,56.78,113,199
70,71,71,Jeff Maggert,60,56.7,55,97
71,72,72,Robert Damron,92,56.62,124,219
72,73,73,Vijay Singh,112,56.6,90,159
73,74,74,Dan Forsman,79,56.57,99,175
74,75,75,Brenden Pappas,111,56.49,161,285
75,76,76,Jason Dufner,79,56.42,101,179
76,77,77,Danny Briggs,85,56.07,97,173
77,78,78,Stephen Ames,97,55.95,94,168
78,79,79,Niclas Fasth,61,55.86,81,145
79,80,80,Scott McCarron,88,55.8,101,181
80,81,81,J.P. Hayes,79,55.69,93,167
81,82,82,David Branshaw,84,55.67,108,194
82,83,83,Joey Sindelar,100,55.56,105,189
83,84,84,Tim Clark,84,55.26,84,152
84,85,85,Paul Azinger,75,55.24,79,143
85,86,86,J.J. Henry,103,55.21,106,192
86,87,87,Mark O'Meara,58,55.1,54,98
87,88,88,Brian Bateman,84,55.06,98,178
88,89,89,Lee Janzen,84,55.0,77,140
89,90,90,Charles Howell III,104,54.95,100,182
90,T91,T91,David Frost,78,54.9,84,153
91,T91,T91,Dicky Pride,66,54.9,84,153
92,93,93,Kent Jones,99,54.76,115,210
93,94,94,Mark Brooks,72,54.73,81,148
94,T95,T95,Cameron Beckman,99,54.7,99,181
95,T95,T95,Duffy Waldorf,79,54.7,64,117
96,97,97,Scott Verplank,92,54.69,70,128
97,98,98,Brent Geiberger,94,54.65,94,172
98,99,99,Ryan Palmer,103,54.63,112,205
99,100,100,Bob Estes,73,54.62,65,119
100,101,101,Chris DiMarco,105,54.49,91,167
101,102,102,Matt Kuchar,83,54.45,104,191
102,103,103,Steve Allan,102,54.42,117,215
103,104,104,Cliff Kresge,89,54.41,111,204
104,105,105,Steve Flesch,109,54.4,99,182
105,106,106,Hidemichi Tanaka,89,54.35,100,184
106,107,107,Greg Chalmers,70,54.34,119,219
107,108,108,Steve Lowery,91,54.17,104,192
108,109,109,Deane Pappas,72,54.14,98,181
109,110,110,Jonathan Kaye,79,54.05,80,148
110,111,111,John Rollins,90,54.03,114,211
111,T112,T112,Mathias Grönberg,91,53.74,115,214
112,T112,T112,Mark Hensby,97,53.74,122,227
113,114,114,Harrison Frazar,86,53.69,109,203
114,115,115,John Riegger,53,53.57,60,112
115,116,116,Tripp Isenhour,55,53.54,68,127
116,117,117,K.J. Choi,83,53.47,77,144
117,T118,T118,Craig Barlow,80,53.25,90,169
118,T118,T118,Jeff Sluman,98,53.25,90,169
119,120,120,Joe Durant,85,53.19,75,141
120,121,121,Heath Slocum,92,53.09,86,162
121,122,122,Ted Purdy,114,53.06,130,245
122,123,123,Kris Cox,73,53.05,87,164
123,T124,T124,John Daly,79,53.01,97,183
124,T124,T124,Adam Scott,55,53.01,44,83
125,T126,T126,Richard Johnson,102,53.0,115,217
126,T126,T126,David Toms,80,53.0,53,100
127,128,128,Esteban Toledo,92,52.97,107,202
128,129,129,Pat Bates,99,52.84,93,176
129,130,130,Carlos Franco,99,52.78,114,216
130,131,131,Tommy Armour III,87,52.72,97,184
131,132,132,Guy Boros,64,52.63,90,171
132,133,133,Mark Wilson,62,52.45,75,143
133,134,134,Hank Kuehne,91,52.42,119,227
134,135,135,Rich Barcelo,67,52.29,80,153
135,136,136,Matt Gogel,86,52.27,92,176
136,137,137,Robert Gamez,103,52.15,109,209
137,138,138,Tag Ridings,53,52.14,61,117
138,139,139,Bob Burns,88,52.11,99,190
139,140,140,Briny Baird,100,52.1,87,167
140,T141,T141,Bart Bryant,73,52.07,63,121
141,T141,T141,Steve Elkington,64,52.07,63,121
142,143,143,Mike Heinen,53,51.91,68,131
143,144,144,Dennis Paulson,71,51.9,82,158
144,145,145,Craig Bowden,83,51.85,98,189
145,146,146,D.J. Brigman,79,51.83,99,191
146,147,147,J.L. Lewis,106,51.81,100,193
147,148,148,David Morland IV,73,51.79,101,195
148,149,149,Shaun Micheel,93,51.68,77,149
149,150,150,Mike Weir,75,51.54,67,130
150,151,151,Hunter Mahan,94,51.49,121,235
151,152,152,Blaine McCallister,68,51.47,70,136
152,153,153,John Cook,57,51.4,55,107
153,154,154,Vaughn Taylor,84,51.34,96,187
154,155,155,Alex Cejka,76,51.08,71,139
155,156,156,Hirofumi Miyase,65,50.87,88,173
156,157,157,Scott Simpson,55,50.81,63,124
157,158,158,Frank Lickliter II,89,50.77,99,195
158,159,159,Scott Hoch,52,50.57,44,87
159,160,160,Tommy Tolles,67,50.56,90,178
160,161,161,Len Mattiace,75,50.51,99,196
161,162,162,Brett Quigley,102,50.24,105,209
162,T163,T163,Jason Bohn,98,50.0,113,226
163,T163,T163,Dudley Hart,60,50.0,59,118
164,T163,T163,Rocco Mediate,53,50.0,48,96
165,T163,T163,Nick Price,51,50.0,45,90
166,T163,T163,Roland Thatcher,66,50.0,74,148
167,168,168,Woody Austin,94,49.5,100,202
168,169,169,Chris Smith,105,49.45,90,182
169,170,170,John Senden,99,49.4,83,168
170,171,171,Robert Allenby,93,49.22,63,128
171,T172,T172,Russ Cochran,61,49.06,52,106
172,T172,T172,Danny Ellis,81,49.06,78,159
173,174,174,Sergio Garcia,65,49.02,50,102
174,175,175,Kenny Perry,79,48.95,70,143
175,176,176,Notah Begay III,71,48.67,73,150
176,177,177,Spike McRoy,93,48.55,84,173
177,178,178,Rich Beem,81,47.45,65,137
178,179,179,Roger Tambellini,81,47.34,80,169
179,180,180,Grant Waite,79,47.19,84,178
180,181,181,Billy Mayfair,109,47.17,100,212
181,182,182,David Gossett,57,47.15,91,193
182,183,183,Pat Perez,102,47.06,88,187
183,184,184,Gene Sauers,83,46.82,81,173
184,185,185,Dan Olsen,75,46.45,85,183
185,186,186,Andre Stolz,53,46.32,63,136
186,187,187,Steve Pate,71,46.0,69,150
187,188,188,Ken Duke,89,45.11,106,235
188,189,189,John Huston,62,44.59,33,74
189,190,190,Tom Carter,113,44.11,116,263
190,T191,T191,Fred Couples,54,43.64,48,110
191,T191,T191,Neal Lancaster,106,43.64,96,220
192,193,193,Kevin Muncrief,50,42.42,56,132
193,194,194,Lucas Glover,95,41.38,84,203
194,195,195,Chris Couch,55,39.87,61,153
195,196,196,Scott Hend,81,39.39,78,198
