,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,John Cook,57,100.0,3.0,3
1,T1,T1,Scott Hoch,52,100.0,5.0,5
2,T1,T1,Matt Kuchar,83,100.0,6.0,6
3,T1,T1,Mark O'Meara,58,100.0,7.0,7
4,T1,T1,José María Olazábal,56,100.0,3.0,3
5,T1,T1,Steve Pate,71,100.0,3.0,3
6,T1,T1,Loren Roberts,81,100.0,8.0,8
7,8,8,Len Mattiace,75,88.89,8.0,9
8,T9,T9,Craig Bowden,83,87.5,7.0,8
9,T9,T9,Brian Kortan,65,87.5,7.0,8
10,T9,T9,Steve Stricker,81,87.5,7.0,8
11,T12,T12,Tom Carter,113,83.33,10.0,12
12,T12,T12,Bob Estes,73,83.33,5.0,6
13,T12,T12,Pat Perez,102,83.33,15.0,18
14,T12,T12,Adam Scott,55,83.33,5.0,6
15,16,16,Corey Pavin,83,81.82,9.0,11
16,T17,T17,Pat Bates,99,80.0,4.0,5
17,T17,T17,Mark Brooks,72,80.0,4.0,5
18,T17,T17,Bob Burns,88,80.0,8.0,10
19,T17,T17,Russ Cochran,61,80.0,4.0,5
20,T17,T17,Jay Haas,84,80.0,4.0,5
21,T22,T22,Jason Dufner,79,77.78,7.0,9
22,T22,T22,Mark Hensby,97,77.78,14.0,18
23,T24,T24,Greg Chalmers,70,76.92,10.0,13
24,T24,T24,Dennis Paulson,71,76.92,10.0,13
25,26,26,Scott McCarron,88,76.47,13.0,17
26,T27,T27,Brian Bateman,84,75.0,6.0,8
27,T27,T27,Jay Delsing,76,75.0,3.0,4
28,T27,T27,Harrison Frazar,86,75.0,6.0,8
29,T27,T27,Freddie Jacobson,83,75.0,3.0,4
30,T27,T27,Davis Love III,85,75.0,6.0,8
31,T27,T27,Vijay Singh,112,75.0,9.0,12
32,T27,T27,Grant Waite,79,75.0,6.0,8
33,34,34,Stephen Ames,97,73.91,17.0,23
34,35,35,Rod Pampling,98,73.68,14.0,19
35,T36,T36,Dan Forsman,79,73.33,11.0,15
36,T36,T36,Kevin Na,100,73.33,11.0,15
37,T38,T38,Stewart Cink,103,72.73,8.0,11
38,T38,T38,Jerry Kelly,113,72.73,8.0,11
39,T38,T38,Neal Lancaster,106,72.73,8.0,11
40,T38,T38,Geoff Ogilvy,91,72.73,8.0,11
41,T42,T42,John Daly,79,71.43,5.0,7
42,T42,T42,Brad Faxon,94,71.43,5.0,7
43,T42,T42,John Huston,62,71.43,5.0,7
44,T42,T42,Richard Johnson,102,71.43,5.0,7
45,T42,T42,David Morland IV,73,71.43,5.0,7
46,T42,T42,Justin Rose,77,71.43,5.0,7
47,T48,T48,Daniel Chopra,108,70.0,7.0,10
48,T48,T48,J.P. Hayes,79,70.0,7.0,10
49,T48,T48,Lee Janzen,84,70.0,7.0,10
50,T48,T48,Cliff Kresge,89,70.0,7.0,10
51,T48,T48,Hunter Mahan,94,70.0,7.0,10
52,T48,T48,Tom Pernice Jr.,103,70.0,7.0,10
53,T54,T54,Craig Barlow,80,66.67,6.0,9
54,T54,T54,Rich Beem,81,66.67,8.0,12
55,T54,T54,Guy Boros,64,66.67,4.0,6
56,T54,T54,Alex Cejka,76,66.67,6.0,9
57,T54,T54,Tim Clark,84,66.67,6.0,9
58,T54,T54,Darren Clarke,54,66.67,2.0,3
59,T54,T54,Kris Cox,73,66.67,8.0,12
60,T54,T54,Robert Damron,92,66.67,6.0,9
61,T54,T54,Billy Mayfair,109,66.67,8.0,12
62,T54,T54,Phil Mickelson,83,66.67,4.0,6
63,T54,T54,Dan Olsen,75,66.67,6.0,9
64,T54,T54,Ryan Palmer,103,66.67,10.0,15
65,T54,T54,Nick Price,51,66.67,6.0,9
66,T54,T54,Dicky Pride,66,66.67,4.0,6
67,T54,T54,Brett Quigley,102,66.67,6.0,9
68,T54,T54,John Senden,99,66.67,6.0,9
69,T54,T54,Heath Slocum,92,66.67,8.0,12
70,T54,T54,Kevin Sutherland,86,66.67,8.0,12
71,T72,T72,Skip Kendall,99,64.71,11.0,17
72,T72,T72,Jay Williamson,100,64.71,11.0,17
73,T74,T74,Stephen Leaney,84,64.29,9.0,14
74,T74,T74,Shigeki Maruyama,93,64.29,9.0,14
75,T76,T76,Cameron Beckman,99,63.64,7.0,11
76,T76,T76,Roger Tambellini,81,63.64,7.0,11
77,T78,T78,Woody Austin,94,62.5,5.0,8
78,T78,T78,Scott Simpson,55,62.5,5.0,8
79,T78,T78,Dean Wilson,99,62.5,10.0,16
80,T81,T81,Arjun Atwal,85,60.0,6.0,10
81,T81,T81,Rich Barcelo,67,60.0,3.0,5
82,T81,T81,Jeff Brehaut,106,60.0,3.0,5
83,T81,T81,Fred Couples,54,60.0,3.0,5
84,T81,T81,Ben Crane,92,60.0,6.0,10
85,T81,T81,Luke Donald,72,60.0,6.0,10
86,T81,T81,Danny Ellis,81,60.0,6.0,10
87,T81,T81,Steve Flesch,109,60.0,6.0,10
88,T81,T81,Carlos Franco,99,60.0,6.0,10
89,T81,T81,David Frost,78,60.0,6.0,10
90,T81,T81,Charles Howell III,104,60.0,3.0,5
91,T81,T81,Craig Parry,52,60.0,3.0,5
92,T81,T81,Ted Purdy,114,60.0,6.0,10
93,T81,T81,John Riegger,53,60.0,3.0,5
94,T81,T81,Andre Stolz,53,60.0,6.0,10
95,T81,T81,Scott Verplank,92,60.0,9.0,15
96,97,97,Hank Kuehne,91,58.33,7.0,12
97,T98,T98,Bart Bryant,73,57.14,4.0,7
98,T98,T98,Chris DiMarco,105,57.14,8.0,14
99,T98,T98,Ernie Els,62,57.14,4.0,7
100,T98,T98,Niclas Fasth,61,57.14,4.0,7
101,T98,T98,Omar Uresti,85,57.14,4.0,7
102,T98,T98,Mike Weir,75,57.14,4.0,7
103,104,104,Scott Hend,81,56.25,9.0,16
104,T105,T105,Todd Fischer,104,55.56,5.0,9
105,T105,T105,Robert Gamez,103,55.56,10.0,18
106,T105,T105,Mathias Grönberg,91,55.56,5.0,9
107,T105,T105,Kevin Muncrief,50,55.56,5.0,9
108,T109,T109,Olin Browne,92,54.55,6.0,11
109,T109,T109,Joe Ogilvie,104,54.55,6.0,11
110,T109,T109,Jesper Parnevik,86,54.55,6.0,11
111,T112,T112,Michael Allen,87,53.85,7.0,13
112,T112,T112,Mark Calcavecchia,79,53.85,7.0,13
113,T112,T112,K.J. Choi,83,53.85,7.0,13
114,T112,T112,Tim Petrovic,111,53.85,7.0,13
115,T116,T116,Aaron Baddeley,87,53.33,8.0,15
116,T116,T116,John Rollins,90,53.33,8.0,15
117,118,118,Glen Day,101,52.94,9.0,17
118,T119,T119,Stuart Appleby,84,50.0,5.0,10
119,T119,T119,Tommy Armour III,87,50.0,5.0,10
120,T119,T119,Briny Baird,100,50.0,3.0,6
121,T119,T119,Danny Briggs,85,50.0,4.0,8
122,T119,T119,Tom Byrum,83,50.0,4.0,8
123,T119,T119,José Coceres,68,50.0,5.0,10
124,T119,T119,Fred Funk,97,50.0,10.0,20
125,T119,T119,Sergio Garcia,65,50.0,1.0,2
126,T119,T119,Retief Goosen,56,50.0,2.0,4
127,T119,T119,Dudley Hart,60,50.0,2.0,4
128,T119,T119,Zach Johnson,109,50.0,3.0,6
129,T119,T119,Tom Lehman,70,50.0,3.0,6
130,T119,T119,Steve Lowery,91,50.0,5.0,10
131,T119,T119,Rocco Mediate,53,50.0,1.0,2
132,T119,T119,Carl Pettersson,100,50.0,5.0,10
133,T119,T119,Tag Ridings,53,50.0,2.0,4
134,T119,T119,Gene Sauers,83,50.0,4.0,8
135,T119,T119,Patrick Sheehan,113,50.0,4.0,8
136,T119,T119,Hidemichi Tanaka,89,50.0,5.0,10
137,T119,T119,Roland Thatcher,66,50.0,2.0,4
138,T119,T119,Esteban Toledo,92,50.0,4.0,8
139,T119,T119,Bob Tway,90,50.0,8.0,16
140,T119,T119,Bo Van Pelt,107,50.0,4.0,8
141,T119,T119,Duffy Waldorf,79,50.0,3.0,6
142,T119,T119,Mark Wilson,62,50.0,2.0,4
143,T119,T119,Tiger Woods,78,50.0,1.0,2
144,145,145,Jeff Sluman,98,47.37,9.0,19
145,T146,T146,Steve Allan,102,46.67,7.0,15
146,T146,T146,Jonathan Byrd,85,46.67,7.0,15
147,148,148,Vaughn Taylor,84,45.45,5.0,11
148,T149,T149,Matt Gogel,86,44.44,4.0,9
149,T149,T149,Justin Leonard,90,44.44,4.0,9
150,T149,T149,Kenny Perry,79,44.44,4.0,9
151,152,152,Todd Hamilton,92,43.75,7.0,16
152,T153,T153,Paul Azinger,75,42.86,6.0,14
153,T153,T153,Notah Begay III,71,42.86,3.0,7
154,T153,T153,David Branshaw,84,42.86,3.0,7
155,T153,T153,Mike Heinen,53,42.86,3.0,7
156,T153,T153,Tim Herron,84,42.86,3.0,7
157,T153,T153,Blaine McCallister,68,42.86,3.0,7
158,T153,T153,Deane Pappas,72,42.86,3.0,7
159,T153,T153,Craig Perks,75,42.86,3.0,7
160,T153,T153,Chris Riley,78,42.86,3.0,7
161,162,162,Billy Andrade,104,41.18,7.0,17
162,T163,T163,Chad Campbell,100,40.0,6.0,15
163,T163,T163,Brent Geiberger,94,40.0,4.0,10
164,T163,T163,Jonathan Kaye,79,40.0,6.0,15
165,T163,T163,Shaun Micheel,93,40.0,2.0,5
166,T163,T163,Hirofumi Miyase,65,40.0,4.0,10
