,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Corey Pavin,83,"6' 2""",2950.833,479,15
1,2,2,Jay Haas,84,"6' 4""",2500.25,394,11
2,T3,T3,Tom Lehman,70,"6' 7""",2267.417,346,40
3,T3,T3,Heath Slocum,92,"6' 7""",3411.083,520,80
4,T5,T5,Justin Rose,77,"6' 8""",2751.083,411,62
5,T5,T5,Omar Uresti,85,"6' 8""",3592.25,542,9
6,T5,T5,Tiger Woods,78,"6' 8""",2446.5,369,41
7,8,8,Kirk Triplett,88,"6' 9""",2884.833,427,10
8,T9,T9,Stewart Cink,103,"6' 10""",3695.917,542,4
9,T9,T9,Tim Clark,84,"6' 10""",3024.917,441,49
10,T9,T9,Brian Gay,96,"6' 10""",4180.0,615,34
11,T9,T9,Lee Janzen,84,"6' 10""",3027.583,445,78
12,T9,T9,Mark O'Meara,58,"6' 10""",1943.9170000000001,283,31
13,T14,T14,Stuart Appleby,84,"6' 11""",2974.75,431,43
14,T14,T14,José María Olazábal,56,"6' 11""",2029.5829999999999,294,8
15,T14,T14,Kevin Sutherland,86,"6' 11""",3477.5,501,6
16,T14,T14,Dean Wilson,99,"6' 11""",4501.917,651,51
17,T18,T18,Michael Allen,87,"7' 0""",3801.5,541,71
18,T18,T18,Jonathan Byrd,85,"7' 0""",3960.167,567,90
19,T18,T18,José Coceres,68,"7' 0""",3295.0,473,2
20,T18,T18,Bob Estes,73,"7' 0""",2375.0,341,35
21,T18,T18,John Huston,62,"7' 0""",2070.917,297,100
22,T23,T23,Robert Gamez,103,"7' 1""",4399.917,620,81
23,T23,T23,Retief Goosen,56,"7' 1""",1877.6670000000001,266,1
24,T23,T23,Hank Kuehne,91,"7' 1""",4479.417,630,108
25,T23,T23,Kevin Na,100,"7' 1""",4428.833,622,12
26,T23,T23,Loren Roberts,81,"7' 1""",3018.917,425,20
27,T23,T23,Steve Stricker,81,"7' 1""",3545.667,500,75
28,T29,T29,John Cook,57,"7' 2""",2138.333,298,81
29,T29,T29,Fred Couples,54,"7' 2""",2173.917,303,187
30,T29,T29,Robert Damron,92,"7' 2""",4475.167,621,59
31,T29,T29,Ernie Els,62,"7' 2""",2160.917,302,7
32,T29,T29,Brad Faxon,94,"7' 2""",3572.417,498,25
33,T29,T29,Jerry Kelly,113,"7' 2""",3935.667,552,17
34,T29,T29,David Peoples,82,"7' 2""",3770.25,528,16
35,T29,T29,Mark Wilson,62,"7' 2""",2526.833,353,150
36,T37,T37,Matt Gogel,86,"7' 3""",3560.833,493,23
37,T37,T37,Tim Herron,84,"7' 3""",3318.333,456,101
38,T37,T37,Joe Ogilvie,104,"7' 3""",4487.083,619,47
39,T37,T37,Tag Ridings,53,"7' 3""",2471.667,341,122
40,T41,T41,Notah Begay III,71,"7' 4""",3330.833,455,146
41,T41,T41,Olin Browne,92,"7' 4""",3649.583,500,67
42,T41,T41,Tom Byrum,83,"7' 4""",3655.75,497,13
43,T41,T41,Ben Curtis,56,"7' 4""",2270.75,310,113
44,T41,T41,Steve Elkington,64,"7' 4""",2777.417,380,136
45,T41,T41,David Frost,78,"7' 4""",3577.083,490,44
46,T41,T41,Sergio Garcia,65,"7' 4""",2255.583,307,184
47,T41,T41,Todd Hamilton,92,"7' 4""",3807.917,520,93
48,T41,T41,Bernhard Langer,59,"7' 4""",2205.75,302,24
49,T41,T41,Justin Leonard,90,"7' 4""",3064.833,420,26
50,T41,T41,Davis Love III,85,"7' 4""",3595.083,489,33
51,T41,T41,Deane Pappas,72,"7' 4""",3427.583,469,101
52,T41,T41,Dennis Paulson,71,"7' 4""",3675.167,501,66
53,T41,T41,Tim Petrovic,111,"7' 4""",4777.583,652,50
