,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Mark Calcavecchia,50,2.76,29,8.0
1,2,2,Freddie Jacobson,83,1.98,81,16.0
2,3,3,J.P. Hayes,79,1.69,71,12.0
3,4,4,Brad Faxon,58,1.64,55,9.0
4,5,5,Webb Simpson,98,1.59,107,17.0
5,6,6,Andres Romero,73,1.55,71,11.0
6,7,7,Jerod Turner,54,1.5,40,6.0
7,8,8,Troy Merritt,86,1.49,67,10.0
8,T9,T9,K.J. Choi,82,1.43,77,11.0
9,T9,T9,Steve Elkington,74,1.43,70,10.0
10,T9,T9,Phil Mickelson,76,1.43,49,7.0
11,12,12,Paul Stankowski,62,1.41,64,9.0
12,13,13,Lee Janzen,77,1.39,72,10.0
13,14,14,Jason Day,82,1.36,59,8.0
14,T15,T15,Carl Pettersson,99,1.35,104,14.0
15,T15,T15,Johnson Wagner,85,1.35,74,10.0
16,T15,T15,Y.E. Yang,72,1.35,52,7.0
17,18,18,Boo Weekley,88,1.33,90,12.0
18,19,19,Luke Donald,71,1.32,53,7.0
19,20,20,Jeev Milkha Singh,59,1.31,61,8.0
20,21,21,Brent Delahoussaye,57,1.3,46,6.0
21,22,22,J.B. Holmes,100,1.29,101,13.0
22,23,23,Chad Collins,87,1.28,78,10.0
23,T24,T24,Graham DeLaet,88,1.27,71,9.0
24,T24,T24,Rocco Mediate,71,1.27,71,9.0
25,T24,T24,Scott Piercy,88,1.27,79,10.0
26,27,27,Zach Johnson,93,1.26,95,12.0
27,T28,T28,Shaun Micheel,70,1.25,56,7.0
28,T28,T28,Jeff Quinney,91,1.25,64,8.0
29,T30,T30,Daniel Chopra,74,1.23,81,10.0
30,T30,T30,Chris Couch,66,1.23,65,8.0
31,T32,T32,Rich Barcelo,70,1.2,50,6.0
32,T32,T32,Ryuji Imada,90,1.2,83,10.0
33,T32,T32,Richard Johnson,90,1.2,92,11.0
34,35,35,Greg Chalmers,93,1.17,94,11.0
35,36,36,Brett Quigley,96,1.16,95,11.0
36,37,37,Jason Bohn,84,1.15,78,9.0
37,T38,T38,Andrew McLardy,52,1.14,44,5.0
38,T38,T38,Brian Stuard,81,1.14,70,8.0
39,40,40,Kevin Na,94,1.13,71,8.0
40,41,41,Bo Van Pelt,104,1.12,107,12.0
41,42,42,Padraig Harrington,57,1.11,45,5.0
42,43,43,Vaughn Taylor,87,1.1,91,10.0
43,44,44,Ryan Palmer,84,1.09,64,7.0
44,T45,T45,Robert Allenby,76,1.07,75,8.0
45,T45,T45,Dean Wilson,54,1.07,56,6.0
46,47,47,Steve Stricker,73,1.05,57,6.0
47,T48,T48,Robert Garrigus,71,1.04,77,8.0
48,T48,T48,Bill Lunde,79,1.04,77,8.0
49,T48,T48,Pat Perez,90,1.04,96,10.0
50,51,51,Derek Lamely,81,1.03,58,6.0
51,T52,T52,Trevor Immelman,55,1.02,49,5.0
52,T52,T52,Kevin Sutherland,86,1.02,98,10.0
53,T54,T54,David Duval,71,1.01,69,7.0
54,T54,T54,Tim Herron,79,1.01,69,7.0
55,T56,T56,Aaron Baddeley,94,1.0,80,8.0
56,T56,T56,Lucas Glover,75,1.0,60,6.0
57,T56,T56,Mathias Grönberg,61,1.0,60,6.0
58,T56,T56,Rory McIlroy,54,1.0,40,4.0
59,T56,T56,Camilo Villegas,78,1.0,60,6.0
60,T56,T56,Jay Williamson,76,1.0,70,7.0
61,T62,T62,Woody Austin,93,0.98,92,9.0
62,T62,T62,Brenden Pappas,66,0.98,51,5.0
63,T62,T62,Nick Watney,91,0.98,92,9.0
64,T65,T65,Kevin Johnson,62,0.95,42,4.0
65,T65,T65,Jeff Overton,89,0.95,74,7.0
66,T65,T65,Heath Slocum,97,0.95,84,8.0
67,T68,T68,Jim Furyk,76,0.94,64,6.0
68,T68,T68,David Lutterus,69,0.94,64,6.0
69,T68,T68,Joe Ogilvie,99,0.94,85,8.0
70,T68,T68,Steve Wheatcroft,74,0.94,53,5.0
71,72,72,Tom Pernice Jr.,74,0.93,75,7.0
72,T73,T73,Ricky Barnes,103,0.92,87,8.0
73,T73,T73,Will MacKenzie,72,0.92,87,8.0
74,75,75,Mark Wilson,87,0.91,88,8.0
75,T76,T76,Matt Bettencourt,91,0.9,67,6.0
76,T76,T76,D.A. Points,90,0.9,89,8.0
77,78,78,Ángel Cabrera,64,0.89,56,5.0
78,79,79,Brian Gay,101,0.88,91,8.0
79,80,80,Garrett Willis,82,0.86,70,6.0
80,T81,T81,Stewart Cink,84,0.85,71,6.0
81,T81,T81,Davis Love III,79,0.85,82,7.0
82,T81,T81,Geoff Ogilvy,62,0.85,59,5.0
83,T84,T84,Michael Letzig,84,0.84,83,7.0
84,T84,T84,Charlie Wi,95,0.84,95,8.0
85,86,86,Brendon de Jonge,114,0.82,98,8.0
86,T87,T87,Chad Campbell,94,0.81,86,7.0
87,T87,T87,Chris DiMarco,88,0.81,86,7.0
88,T87,T87,James Nitties,92,0.81,86,7.0
89,T90,T90,Martin Laird,91,0.8,87,7.0
90,T90,T90,Marc Leishman,87,0.8,75,6.0
91,T90,T90,Josh Teater,101,0.8,112,9.0
92,T93,T93,Chris Riley,73,0.79,76,6.0
93,T93,T93,Bubba Watson,77,0.79,89,7.0
94,T95,T95,Ernie Els,72,0.78,64,5.0
95,T95,T95,Matt Jones,89,0.78,90,7.0
96,T95,T95,Jerry Kelly,99,0.78,103,8.0
97,T95,T95,Adam Scott,70,0.78,64,5.0
98,T99,T99,Dustin Johnson,83,0.77,52,4.0
99,T99,T99,Hunter Mahan,85,0.77,65,5.0
100,T99,T99,Chris Tidland,77,0.77,78,6.0
101,T102,T102,Blake Adams,84,0.76,92,7.0
102,T102,T102,Henrik Bjornstad,72,0.76,66,5.0
103,T102,T102,Bryce Molder,84,0.76,92,7.0
104,T105,T105,Jonathan Byrd,85,0.75,106,8.0
105,T105,T105,Jarrod Lyle,54,0.75,40,3.0
106,T107,T107,Rickie Fowler,98,0.74,94,7.0
107,T107,T107,Charley Hoffman,85,0.74,68,5.0
108,T107,T107,Steve Marino,81,0.74,68,5.0
109,T107,T107,Rod Pampling,77,0.74,81,6.0
110,T107,T107,Justin Rose,78,0.74,68,5.0
111,T112,T112,Michael Bradley,77,0.73,82,6.0
112,T112,T112,Retief Goosen,75,0.73,55,4.0
113,T112,T112,Scott McCarron,90,0.73,96,7.0
114,115,115,Justin Leonard,89,0.72,69,5.0
115,T116,T116,Jason Dufner,87,0.7,86,6.0
116,T116,T116,Tom Gillis,97,0.7,114,8.0
117,T116,T116,Jeff Maggert,76,0.7,57,4.0
118,T119,T119,Cameron Beckman,68,0.69,72,5.0
119,T119,T119,Bill Haas,87,0.69,87,6.0
120,T119,T119,Troy Matteson,84,0.69,87,6.0
121,T119,T119,Roland Thatcher,72,0.69,72,5.0
122,T123,T123,Bob Estes,79,0.68,74,5.0
123,T123,T123,Aron Price,70,0.68,73,5.0
124,T125,T125,Stuart Appleby,101,0.67,90,6.0
125,T125,T125,John Senden,103,0.67,89,6.0
126,T127,T127,Billy Mayfair,78,0.66,61,4.0
127,T127,T127,D.J. Trahan,92,0.66,106,7.0
128,T127,T127,Cameron Tringale,55,0.66,61,4.0
129,T130,T130,Mathew Goggin,85,0.65,77,5.0
130,T130,T130,J.J. Henry,92,0.65,108,7.0
131,T130,T130,Skip Kendall,58,0.65,46,3.0
132,133,133,Kevin Stadler,86,0.62,81,5.0
133,T134,T134,Alex Prugh,88,0.61,82,5.0
134,T134,T134,Roger Tambellini,77,0.61,82,5.0
135,T136,T136,John Daly,63,0.6,50,3.0
136,T136,T136,Matt Kuchar,97,0.6,84,5.0
137,T136,T136,Nicholas Thompson,88,0.6,83,5.0
138,T139,T139,Brian Davis,101,0.59,101,6.0
139,T139,T139,Steve Flesch,78,0.59,68,4.0
140,T139,T139,Omar Uresti,74,0.59,68,4.0
141,142,142,Joe Durant,67,0.58,69,4.0
142,T143,T143,Briny Baird,87,0.55,110,6.0
143,T143,T143,Ben Curtis,78,0.55,91,5.0
144,T143,T143,Jeff Gove,57,0.55,55,3.0
145,T143,T143,Jimmy Walker,82,0.55,73,4.0
146,T147,T147,Cliff Kresge,50,0.54,56,3.0
147,T147,T147,Steve Lowery,67,0.54,56,3.0
148,T147,T147,John Rollins,81,0.54,92,5.0
149,T150,T150,James Driscoll,78,0.53,76,4.0
150,T150,T150,Ryan Moore,80,0.53,76,4.0
151,T150,T150,Rory Sabbatini,79,0.53,75,4.0
152,153,153,Sean O'Hair,84,0.52,77,4.0
153,T154,T154,Kris Blanks,91,0.51,98,5.0
154,T154,T154,Matt Every,60,0.51,39,2.0
155,T156,T156,Michael Connell,89,0.5,80,4.0
156,T156,T156,Cameron Percy,73,0.5,80,4.0
157,158,158,Paul Goydos,78,0.49,61,3.0
158,T159,T159,Charles Howell III,103,0.48,124,6.0
159,T159,T159,Tim Petrovic,105,0.48,105,5.0
160,T159,T159,Vijay Singh,75,0.48,63,3.0
161,T159,T159,Brett Wetterich,54,0.48,62,3.0
162,163,163,Martin Flores,75,0.47,64,3.0
163,164,164,Ted Purdy,86,0.46,65,3.0
164,T165,T165,Nathan Green,86,0.45,89,4.0
165,T165,T165,John Mallinger,78,0.45,66,3.0
166,T165,T165,David Toms,86,0.45,88,4.0
167,T165,T165,Scott Verplank,74,0.45,44,2.0
168,169,169,Ian Poulter,55,0.44,45,2.0
169,T170,T170,Garth Mulroy,53,0.43,46,2.0
170,T170,T170,Vance Veazey,58,0.43,46,2.0
171,172,172,Brandt Snedeker,89,0.42,72,3.0
172,173,173,Stephen Ames,75,0.41,74,3.0
173,T174,T174,Paul Casey,64,0.4,50,2.0
174,T174,T174,George McNeill,79,0.4,75,3.0
175,T174,T174,Michael Sim,64,0.4,50,2.0
176,177,177,Ben Crane,85,0.38,80,3.0
177,178,178,Charles Warren,64,0.36,55,2.0
178,179,179,Chris Stroud,90,0.34,88,3.0
179,180,180,John Merrick,109,0.33,90,3.0
180,T181,T181,Alex Cejka,81,0.3,67,2.0
181,T181,T181,Sergio Garcia,58,0.3,33,1.0
182,T183,T183,Spencer Levin,110,0.27,110,3.0
183,T183,T183,Greg Owen,69,0.27,74,2.0
184,185,185,Justin Bolli,55,0.26,39,1.0
185,186,186,Greg Kraft,52,0.24,42,1.0
186,187,187,Craig Bowden,56,0.23,44,1.0
