,3-Putt_Avoidance_-_15-20_RANK THIS WEEK,3-Putt_Avoidance_-_15-20_RANK LAST WEEK,3-Putt_Avoidance_-_15-20_PLAYER NAME,3-Putt_Avoidance_-_15-20_ROUNDS,3-Putt_Avoidance_-_15-20_%,3-Putt_Avoidance_-_15-20_TOTAL 3 PUTTS,3-Putt_Avoidance_-_15-20_ATTEMPTS,3-Putt_Avoidance_-_15-20_2 PUTT OR BETTER %
0,T1,T1,Michael Bradley,77,0.0,,122,100.0
1,T1,T1,Chad Campbell,94,0.0,,165,100.0
2,T1,T1,K.J. Choi,82,0.0,,103,100.0
3,T1,T1,Chris Couch,66,0.0,,117,100.0
4,T1,T1,Ben Crane,85,0.0,,114,100.0
5,T1,T1,Ben Curtis,78,0.0,,130,100.0
6,T1,T1,Steve Elkington,74,0.0,,104,100.0
7,T1,T1,Ernie Els,72,0.0,,91,100.0
8,T1,T1,Matt Every,60,0.0,,103,100.0
9,T1,T1,Jim Furyk,76,0.0,,103,100.0
10,T1,T1,Brian Gay,101,0.0,,157,100.0
11,T1,T1,Retief Goosen,75,0.0,,114,100.0
12,T1,T1,Padraig Harrington,57,0.0,,80,100.0
13,T1,T1,J.J. Henry,92,0.0,,157,100.0
14,T1,T1,Ryuji Imada,90,0.0,,153,100.0
15,T1,T1,Freddie Jacobson,83,0.0,,154,100.0
16,T1,T1,Kevin Johnson,62,0.0,,104,100.0
17,T1,T1,Zach Johnson,93,0.0,,136,100.0
18,T1,T1,Matt Jones,89,0.0,,132,100.0
19,T1,T1,Justin Leonard,89,0.0,,156,100.0
20,T1,T1,Spencer Levin,110,0.0,,202,100.0
21,T1,T1,Scott McCarron,90,0.0,,155,100.0
22,T1,T1,Andrew McLardy,52,0.0,,93,100.0
23,T1,T1,Rocco Mediate,71,0.0,,127,100.0
24,T1,T1,John Merrick,109,0.0,,195,100.0
25,T1,T1,Geoff Ogilvy,62,0.0,,102,100.0
26,T1,T1,Rod Pampling,77,0.0,,148,100.0
27,T1,T1,Carl Pettersson,99,0.0,,161,100.0
