,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Ryan Moore,80,96.43,28,27
1,2,2,George McNeill,79,95.45,44,42
2,3,3,Matt Bettencourt,91,95.0,40,38
3,4,4,Paul Casey,64,94.74,19,18
4,5,5,Steve Elkington,74,93.94,33,31
5,6,6,Martin Laird,91,93.62,47,44
6,7,7,Padraig Harrington,57,93.55,31,29
7,8,8,Geoff Ogilvy,62,93.1,29,27
8,9,9,Matt Jones,89,93.02,43,40
9,10,10,Garrett Willis,82,92.86,42,39
10,11,11,Justin Leonard,89,92.68,41,38
11,12,12,Phil Mickelson,76,91.43,35,32
12,13,13,Jarrod Lyle,54,91.3,23,21
13,14,14,Jeff Maggert,76,91.18,34,31
14,15,15,Kevin Streelman,90,91.11,45,41
15,T16,T16,John Daly,63,90.91,33,30
16,T16,T16,Greg Kraft,52,90.91,22,20
17,T18,T18,Ben Curtis,78,90.63,32,29
18,T18,T18,Aron Price,70,90.63,32,29
19,T20,T20,Ryan Palmer,84,90.48,42,38
20,T20,T20,Jeff Quinney,91,90.48,63,57
21,T22,T22,Chris Couch,66,90.0,30,27
22,T22,T22,Brian Stuard,81,90.0,30,27
23,T24,T24,Blake Adams,84,89.58,48,43
24,T24,T24,Rory Sabbatini,79,89.58,48,43
25,T26,T26,Kris Blanks,91,89.47,38,34
26,T26,T26,Trevor Immelman,55,89.47,19,17
27,28,28,Michael Sim,64,89.29,28,25
28,T29,T29,Carl Pettersson,99,89.19,37,33
29,T29,T29,Johnson Wagner,85,89.19,37,33
30,31,31,J.J. Henry,92,89.13,46,41
31,32,32,David Toms,86,89.09,55,49
32,33,33,Skip Kendall,58,88.89,18,16
33,T34,T34,Tom Gillis,97,88.68,53,47
34,T34,T34,Joe Ogilvie,99,88.68,53,47
35,36,36,Chad Campbell,94,88.64,44,39
36,37,37,Craig Bowden,56,88.46,26,23
37,38,38,Jerod Turner,54,88.24,17,15
38,39,39,Vaughn Taylor,87,88.1,42,37
39,40,40,Jeff Overton,89,88.0,50,44
40,T41,T41,Henrik Bjornstad,72,87.88,33,29
41,T41,T41,Martin Flores,75,87.88,33,29
42,T41,T41,Steve Wheatcroft,74,87.88,33,29
43,T44,T44,Pat Perez,90,87.5,56,49
44,T44,T44,Brett Wetterich,54,87.5,24,21
45,46,46,Charles Howell III,103,87.3,63,55
46,T47,T47,Jim Furyk,76,87.1,31,27
47,T47,T47,Y.E. Yang,72,87.1,31,27
48,T49,T49,Woody Austin,93,86.67,45,39
49,T49,T49,Brandt Snedeker,89,86.67,45,39
50,51,51,Jason Bohn,84,86.49,37,32
51,52,52,Marc Leishman,87,86.36,44,38
52,53,53,Lucas Glover,75,86.21,29,25
53,T54,T54,Ryuji Imada,90,86.05,43,37
54,T54,T54,Zach Johnson,93,86.05,43,37
55,T56,T56,Jonathan Byrd,85,85.71,42,36
56,T56,T56,Brian Gay,101,85.71,42,36
57,58,58,Charlie Wi,95,85.42,48,41
58,59,59,Dustin Johnson,83,85.37,41,35
