,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,1,Rory McIlroy,54,22.0,50,11
1,2,2,Michael Sim,64,20.99,81,17
2,3,3,Zach Johnson,93,20.95,105,22
3,4,4,Charles Warren,64,20.69,87,18
4,5,5,Robert Allenby,76,20.55,73,15
5,6,6,Bryce Molder,84,20.18,109,22
6,T7,T7,Stephen Ames,75,20.0,115,23
7,T7,T7,Chris Couch,66,20.0,95,19
8,9,9,Paul Casey,64,19.28,83,16
9,10,10,Rory Sabbatini,79,19.19,99,19
10,11,11,Matt Every,60,19.18,73,14
11,T12,T12,Justin Rose,78,19.0,100,19
12,T12,T12,Y.E. Yang,72,19.0,100,19
13,14,14,Jason Day,82,18.69,107,20
14,15,15,Matt Bettencourt,91,18.45,103,19
15,16,16,Chris Tidland,77,18.18,121,22
16,17,17,Kevin Na,94,17.86,112,20
17,18,18,Dean Wilson,54,17.81,73,13
18,19,19,Ernie Els,72,17.72,79,14
19,20,20,Ben Crane,85,17.65,102,18
20,T21,T21,John Daly,63,17.39,69,12
21,T21,T21,David Toms,86,17.39,92,16
22,23,23,Tim Herron,79,17.05,88,15
23,24,24,Kenny Perry,69,17.02,94,16
24,25,25,Michael Connell,89,16.98,106,18
25,26,26,Brad Faxon,58,16.9,71,12
26,27,27,Paul Stankowski,62,16.83,101,17
27,T28,T28,Jason Bohn,84,16.67,108,18
28,T28,T28,Adam Scott,70,16.67,78,13
29,30,30,Padraig Harrington,57,16.42,67,11
30,31,31,Andres Romero,73,16.33,98,16
31,32,32,Lucas Glover,75,16.28,86,14
32,33,33,Martin Laird,91,16.26,123,20
33,34,34,Aaron Baddeley,94,16.1,118,19
34,35,35,Tom Pernice Jr.,74,16.09,87,14
35,36,36,Jeff Overton,89,15.93,113,18
36,37,37,Sergio Garcia,58,15.87,63,10
37,T38,T38,James Driscoll,78,15.74,108,17
38,T38,T38,Brandt Snedeker,89,15.74,108,17
39,T40,T40,Hunter Mahan,85,15.56,90,14
40,T40,T40,Bo Van Pelt,104,15.56,135,21
41,T42,T42,Spencer Levin,110,15.53,161,25
42,T42,T42,Ryan Palmer,84,15.53,103,16
43,44,44,Jonathan Byrd,85,15.52,116,18
44,45,45,Graham DeLaet,88,15.45,123,19
45,T46,T46,Cameron Beckman,68,15.38,104,16
46,T46,T46,David Duval,71,15.38,91,14
47,48,48,Tom Gillis,97,15.22,138,21
48,T49,T49,Derek Lamely,81,15.15,99,15
49,T49,T49,Cameron Tringale,55,15.15,66,10
50,51,51,Kevin Stadler,86,15.13,119,18
51,52,52,Kevin Streelman,90,15.04,113,17
52,T53,T53,Rich Barcelo,70,15.0,80,12
53,T53,T53,Stewart Cink,84,15.0,100,15
54,T53,T53,Nick Watney,91,15.0,100,15
55,56,56,Woody Austin,93,14.93,134,20
56,57,57,Will MacKenzie,72,14.91,114,17
57,58,58,John Rollins,81,14.85,101,15
58,T59,T59,Ryuji Imada,90,14.81,135,20
59,T59,T59,Garrett Willis,82,14.81,108,16
60,61,61,Brian Stuard,81,14.78,115,17
61,62,62,Camilo Villegas,78,14.71,68,10
62,63,63,Mark Wilson,87,14.66,116,17
63,T64,T64,Vijay Singh,75,14.47,76,11
