,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Paul Casey,17,49.5
1,2,2,Greg Chalmers,27,52.8
2,3,3,Luke Donald,20,57.8
3,4,4,Brandt Snedeker,26,61.6
4,5,5,Matt Kuchar,26,61.8
5,6,6,Carl Pettersson,29,64.9
6,7,7,Brian Gay,30,65.3
7,8,8,Chad Collins,26,68.3
8,9,9,Retief Goosen,19,69.7
9,10,10,Zach Johnson,25,74.0
10,11,11,Matt Jones,27,81.9
11,12,12,Dean Wilson,18,82.7
12,13,13,Michael Sim,20,84.2
13,14,14,Ryan Palmer,27,84.8
14,15,15,Justin Rose,22,86.8
15,16,16,Steve Stricker,19,89.0
16,17,17,Ian Poulter,15,91.8
17,18,18,Aaron Baddeley,26,92.4
18,19,19,Ryan Moore,24,98.2
19,20,20,Matt Bettencourt,32,99.0
20,21,21,Charles Howell III,28,99.6
21,22,22,Nathan Green,27,100.9
22,23,23,Tim Clark,24,105.7
23,24,24,Charlie Wi,27,107.0
24,25,25,Troy Merritt,29,112.3
25,26,26,James Driscoll,26,114.3
26,T27,T27,Jim Furyk,21,117.1
27,T27,T27,Ryuji Imada,28,117.1
28,29,29,Stephen Ames,23,120.4
29,30,30,Geoff Ogilvy,19,120.7
30,31,31,Jeff Overton,26,123.0
31,32,32,Bryce Molder,26,125.0
32,33,33,Kevin Na,26,128.6
33,34,34,Jeff Quinney,29,130.0
34,35,35,David Duval,24,131.1
35,36,36,David Toms,25,132.6
36,37,37,Nick Watney,24,137.4
37,38,38,Scott McCarron,29,138.8
38,39,39,Alex Prugh,28,141.7
39,40,40,Ernie Els,20,142.3
40,41,41,Pat Perez,27,143.9
41,42,42,Freddie Jacobson,24,144.7
42,43,43,Skip Kendall,18,145.0
43,44,44,Webb Simpson,31,146.3
44,45,45,Steve Marino,24,149.4
45,46,46,Chris Riley,24,150.1
46,T47,T47,Rich Barcelo,25,153.4
47,T47,T47,Brad Faxon,23,153.4
48,49,49,Jimmy Walker,27,155.3
49,50,50,Richard Johnson,27,155.4
50,51,51,Chris Couch,23,156.8
51,52,52,Shaun Micheel,21,158.6
52,53,53,Y.E. Yang,21,159.1
53,54,54,Daniel Chopra,28,160.3
54,55,55,Scott Piercy,28,160.8
55,56,56,Ben Curtis,24,162.4
56,57,57,James Nitties,30,162.6
57,58,58,J.J. Henry,27,164.8
58,59,59,Michael Connell,25,165.3
59,60,60,Steve Elkington,22,166.6
60,61,61,Hunter Mahan,25,167.1
61,62,62,Bo Van Pelt,28,167.3
62,63,63,Scott Verplank,22,167.8
63,64,64,Brent Delahoussaye,21,169.2
64,65,65,Jason Bohn,25,169.8
65,66,66,Rickie Fowler,28,170.8
66,67,67,Padraig Harrington,18,172.8
67,68,68,Kevin Streelman,28,175.2
68,69,69,Ben Crane,24,175.8
69,70,70,Tom Gillis,27,176.3
70,71,71,George McNeill,28,177.1
71,72,72,Brian Stuard,28,179.3
72,73,73,Trevor Immelman,19,181.8
73,74,74,Charley Hoffman,24,182.4
74,75,75,Andres Romero,21,184.1
75,76,76,Blake Adams,26,190.5
76,77,77,Phil Mickelson,20,191.4
77,78,78,Spencer Levin,31,192.4
78,79,79,Mike Weir,19,192.9
79,80,80,Brendon de Jonge,32,193.1
80,81,81,Tim Petrovic,32,195.6
81,82,82,Stewart Cink,23,195.8
82,83,83,D.A. Points,29,197.6
83,84,84,Brett Quigley,29,198.8
84,85,85,Brett Wetterich,16,200.0
85,86,86,John Mallinger,29,201.4
86,87,87,Steve Wheatcroft,27,201.7
87,88,88,Steve Flesch,25,202.5
88,89,89,Justin Leonard,27,202.6
89,90,90,Robert Allenby,22,205.1
90,91,91,Paul Stankowski,18,207.4
91,92,92,Brenden Pappas,24,208.0
92,T93,T93,Briny Baird,28,211.3
93,T93,T93,Chad Campbell,28,211.3
94,95,95,Mark Wilson,28,212.0
95,96,96,Tim Herron,24,212.1
96,97,97,Bob Estes,26,216.2
97,98,98,Sean O'Hair,25,216.5
98,99,99,Vaughn Taylor,26,216.9
99,100,100,Rory McIlroy,16,218.9
100,101,101,Bubba Watson,22,219.9
101,102,102,J.P. Hayes,25,221.9
102,103,103,Bill Haas,25,222.6
103,T104,T104,Aron Price,22,224.8
104,T104,T104,Chris Tidland,24,224.8
105,T106,T106,Lucas Glover,23,225.5
106,T106,T106,Jerod Turner,21,225.5
107,108,108,K.J. Choi,22,226.0
108,109,109,Ted Purdy,30,226.3
109,110,110,Ricky Barnes,28,226.5
110,111,111,Jason Day,24,227.3
111,112,112,Garrett Willis,24,227.4
112,113,113,Joe Ogilvie,32,227.5
113,114,114,Chris Stroud,27,227.9
114,115,115,Rod Pampling,26,232.4
115,116,116,Michael Bradley,24,233.3
116,117,117,Joe Durant,19,233.8
117,118,118,Jarrod Lyle,18,234.1
118,119,119,Matt Every,18,234.3
119,120,120,J.B. Holmes,26,234.8
120,121,121,Cameron Beckman,25,236.3
121,122,122,Jonathan Byrd,26,236.4
122,123,123,Martin Laird,26,236.5
123,124,124,John Merrick,31,237.3
124,125,125,Stuart Appleby,31,237.7
125,126,126,Sergio Garcia,15,238.3
126,127,127,Rory Sabbatini,26,238.5
127,128,128,Dustin Johnson,23,239.6
128,129,129,Derek Lamely,28,239.9
129,130,130,Woody Austin,29,242.2
130,131,131,Kevin Johnson,26,242.8
131,132,132,Ángel Cabrera,19,244.9
132,133,133,Robert Garrigus,22,245.2
133,134,134,John Rollins,26,245.6
134,135,135,Lee Janzen,26,246.5
135,136,136,Bill Lunde,28,248.3
136,137,137,Tom Pernice Jr.,22,248.6
137,138,138,Heath Slocum,25,251.4
138,139,139,Kenny Perry,20,251.7
139,140,140,John Senden,30,253.3
140,141,141,Michael Letzig,27,254.5
141,T142,T142,Brian Davis,32,255.6
142,T142,T142,Mathew Goggin,28,255.6
143,144,144,Marc Leishman,26,257.8
144,145,145,Chris DiMarco,25,261.7
145,146,146,Paul Goydos,25,263.8
146,147,147,Jeev Milkha Singh,19,268.8
147,148,148,Martin Flores,26,269.6
148,149,149,Kevin Sutherland,25,270.6
149,150,150,D.J. Trahan,27,270.8
150,151,151,Vance Veazey,23,275.2
151,152,152,Greg Kraft,22,276.6
152,153,153,Kevin Stadler,28,279.5
153,154,154,Alex Cejka,28,279.7
154,155,155,Jeff Maggert,28,280.2
155,156,156,Johnson Wagner,28,281.3
156,157,157,Roland Thatcher,26,282.0
157,158,158,Mathias Grönberg,22,284.3
158,159,159,Henrik Bjornstad,26,284.5
159,160,160,Steve Lowery,25,286.8
160,161,161,Greg Owen,27,288.0
161,162,162,Josh Teater,31,289.0
162,163,163,Jay Williamson,24,289.3
163,164,164,David Lutterus,25,295.9
164,165,165,Troy Matteson,28,297.3
165,166,166,Andrew McLardy,21,297.8
166,167,167,Camilo Villegas,20,299.8
167,168,168,Omar Uresti,27,300.1
168,169,169,Justin Bolli,23,301.8
169,170,170,Craig Bowden,20,303.0
170,171,171,Kris Blanks,30,307.3
171,172,172,Boo Weekley,27,308.5
172,173,173,Graham DeLaet,28,310.7
173,174,174,Cliff Kresge,17,312.8
174,175,175,Garth Mulroy,19,316.5
175,176,176,Jerry Kelly,29,316.8
176,177,177,Adam Scott,20,322.3
177,178,178,Charles Warren,21,323.8
178,T179,T179,Davis Love III,24,324.4
179,T179,T179,Will MacKenzie,23,324.4
180,181,181,Cameron Percy,25,325.2
181,182,182,Jason Dufner,25,331.2
182,183,183,Chris Wilson,26,343.5
183,184,184,John Daly,20,350.9
184,185,185,Cameron Tringale,22,351.7
185,T186,T186,Vijay Singh,24,366.8
186,T186,T186,Nicholas Thompson,29,366.8
187,188,188,Billy Mayfair,26,370.1
188,189,189,Mark Calcavecchia,16,370.4
189,190,190,Rocco Mediate,25,374.8
190,191,191,Roger Tambellini,26,379.9
191,192,192,Jeff Gove,22,393.5
