,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
0,1,1,Brandt Snedeker,51.85,168,324
1,2,2,Troy Merritt,45.93,124,270
2,3,3,Brian Gay,45.83,165,360
3,4,4,Ryuji Imada,45.42,139,306
4,5,5,Greg Chalmers,45.03,154,342
5,6,6,Luke Donald,44.44,120,270
6,T7,T7,Tom Gillis,43.92,166,378
7,T7,T7,Charlie Wi,43.92,166,378
8,T9,T9,Freddie Jacobson,43.83,142,324
9,T9,T9,Pat Perez,43.83,142,324
10,11,11,Brenden Pappas,43.21,70,162
11,12,12,Geoff Ogilvy,43.06,93,216
12,T13,T13,Ryan Palmer,42.96,116,270
13,T13,T13,Y.E. Yang,42.96,116,270
14,15,15,Camilo Villegas,42.81,131,306
15,T16,T16,Nathan Green,42.71,123,288
16,T16,T16,Scott Verplank,42.71,123,288
17,18,18,Justin Rose,42.48,130,306
18,19,19,Justin Leonard,42.28,137,324
19,20,20,Ryan Moore,42.16,129,306
20,21,21,Bob Estes,42.06,106,252
21,22,22,Charles Warren,41.92,83,198
22,T23,T23,George McNeill,41.67,90,216
23,T23,T23,Phil Mickelson,41.67,135,324
24,T23,T23,Webb Simpson,41.67,135,324
25,T23,T23,Mike Weir,41.67,75,180
26,27,27,Ernie Els,41.32,119,288
27,T28,T28,Charley Hoffman,41.23,141,342
28,T28,T28,Josh Teater,41.23,141,342
29,30,30,J.B. Holmes,41.2,178,432
30,31,31,Carl Pettersson,41.11,148,360
31,32,32,Retief Goosen,41.05,133,324
32,33,33,Chris Riley,41.03,96,234
33,34,34,Chris Couch,40.91,81,198
34,35,35,Kevin Na,40.66,161,396
35,36,36,Stephen Ames,40.63,117,288
36,37,37,Jim Furyk,40.52,124,306
37,38,38,Zach Johnson,40.4,160,396
38,39,39,Tim Clark,40.35,138,342
39,40,40,Bill Haas,40.12,130,324
40,41,41,Johnson Wagner,39.93,115,288
41,42,42,Matt Jones,39.87,122,306
42,T43,T43,Andrew McLardy,39.81,43,108
43,T43,T43,Michael Sim,39.81,86,216
44,T45,T45,Ben Curtis,39.58,114,288
45,T45,T45,Davis Love III,39.58,114,288
46,T45,T45,James Nitties,39.58,114,288
47,48,48,K.J. Choi,39.47,135,342
48,T49,T49,Aaron Baddeley,39.39,156,396
49,T49,T49,Matt Kuchar,39.39,156,396
50,51,51,Michael Letzig,39.24,113,288
51,52,52,Ricky Barnes,39.12,169,432
52,T53,T53,Justin Bolli,38.89,35,90
53,T53,T53,Jason Day,38.89,126,324
54,T53,T53,Matt Every,38.89,84,216
55,T53,T53,Tim Herron,38.89,112,288
56,T53,T53,Steve Marino,38.89,119,306
57,T53,T53,Rory McIlroy,38.89,77,198
58,T53,T53,Bryce Molder,38.89,112,288
59,60,60,Nick Watney,38.62,146,378
60,61,61,Stuart Appleby,38.61,139,360
61,62,62,Dustin Johnson,38.6,132,342
62,63,63,Scott McCarron,38.54,111,288
63,T64,T64,Kenny Perry,38.52,104,270
64,T64,T64,Rory Sabbatini,38.52,104,270
65,T64,T64,Vijay Singh,38.52,104,270
66,67,67,Paul Goydos,38.49,97,252
67,68,68,Brian Davis,38.3,131,342
68,69,69,Andres Romero,38.19,110,288
69,T70,T70,Ángel Cabrera,38.1,96,252
70,T70,T70,Rickie Fowler,38.1,144,378
71,T72,T72,Woody Austin,37.96,123,324
72,T72,T72,Stewart Cink,37.96,123,324
73,T72,T72,Kevin Johnson,37.96,41,108
74,T72,T72,Steve Stricker,37.96,123,324
75,T72,T72,Bo Van Pelt,37.96,164,432
76,77,77,Robert Allenby,37.91,116,306
77,78,78,Bubba Watson,37.85,109,288
78,79,79,J.P. Hayes,37.7,95,252
79,T80,T80,Ben Crane,37.65,122,324
80,T80,T80,David Toms,37.65,122,324
81,82,82,Paul Casey,37.61,88,234
82,83,83,Chad Campbell,37.57,142,378
83,84,84,John Mallinger,37.37,74,198
84,T85,T85,Matt Bettencourt,37.04,100,270
85,T85,T85,Chris DiMarco,37.04,140,378
86,T87,T87,Derek Lamely,36.9,93,252
87,T87,T87,Will MacKenzie,36.9,93,252
88,T89,T89,Padraig Harrington,36.87,73,198
89,T89,T89,Ian Poulter,36.87,73,198
90,91,91,Tim Petrovic,36.77,139,378
91,T92,T92,Lee Janzen,36.75,86,234
92,T92,T92,Aron Price,36.75,86,234
93,T92,T92,Ted Purdy,36.75,86,234
94,T95,T95,Jason Bohn,36.6,112,306
95,T95,T95,Scott Piercy,36.6,112,306
96,T95,T95,Vaughn Taylor,36.6,112,306
97,T98,T98,James Driscoll,36.51,92,252
98,T98,T98,Robert Garrigus,36.51,92,252
99,100,100,Heath Slocum,36.47,151,414
100,T101,T101,Daniel Chopra,36.11,65,180
101,T101,T101,Rocco Mediate,36.11,78,216
102,T101,T101,Cameron Percy,36.11,78,216
103,T101,T101,Brian Stuard,36.11,91,252
104,105,105,Kevin Streelman,35.95,110,306
105,106,106,Martin Flores,35.86,71,198
106,T107,T107,Hunter Mahan,35.8,116,324
107,T107,T107,Sean O'Hair,35.8,116,324
108,109,109,Alex Prugh,35.76,103,288
109,T110,T110,Joe Durant,35.71,90,252
110,T110,T110,Shaun Micheel,35.71,90,252
111,T110,T110,John Senden,35.71,135,378
112,113,113,Rod Pampling,35.65,77,216
113,T114,T114,Martin Laird,35.56,128,360
114,T114,T114,Adam Scott,35.56,96,270
115,T114,T114,Chris Tidland,35.56,96,270
116,T114,T114,Jimmy Walker,35.56,96,270
117,T118,T118,Briny Baird,35.42,102,288
118,T118,T118,Jeff Quinney,35.42,102,288
119,120,120,Charles Howell III,35.27,146,414
120,121,121,Lucas Glover,35.19,95,270
121,122,122,Jeff Overton,35.09,120,342
122,T123,T123,Blake Adams,35.07,101,288
123,T123,T123,Graham DeLaet,35.07,101,288
124,125,125,Steve Flesch,34.92,88,252
125,126,126,Jason Dufner,34.88,113,324
126,T127,T127,Marc Leishman,34.57,112,324
127,T127,T127,Joe Ogilvie,34.57,112,324
128,T127,T127,Kevin Sutherland,34.57,112,324
129,130,130,John Merrick,34.54,143,414
130,131,131,Michael Bradley,34.52,87,252
131,132,132,Jerry Kelly,34.39,130,378
132,133,133,D.A. Points,34.38,99,288
133,134,134,Roland Thatcher,34.34,68,198
134,135,135,Brendon de Jonge,34.22,154,450
135,136,136,Bill Lunde,34.19,80,234
136,137,137,Alex Cejka,34.13,86,252
137,T138,T138,Mathias Grönberg,33.95,55,162
138,T138,T138,Dean Wilson,33.95,55,162
