,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Troy Merritt,86,"83' 0""",76685,77,"4' 8""","174' 7"""
1,2,2,Geoff Ogilvy,62,"82' 1""",49269,50,"4' 7""","159' 10"""
2,3,3,Stephen Ames,75,"81' 7""",67556,69,"4' 7""","169' 0"""
3,4,4,Charlie Wi,95,"81' 4""",86822,89,"4' 6""","143' 2"""
4,5,5,Ben Crane,85,"80' 10""",64004,66,"4' 7""","157' 11"""
5,6,6,Paul Casey,64,"80' 2""",42328,44,"4' 6""","146' 2"""
6,7,7,Jeff Overton,89,"80' 1""",68241,71,"4' 6""","141' 7"""
7,8,8,Andres Romero,73,"79' 11""",69036,72,"4' 6""","161' 3"""
8,9,9,Kevin Na,94,"79' 10""",72806,76,"4' 6""","131' 5"""
9,10,10,Brad Faxon,58,"79' 7""",45824,48,"4' 6""","131' 7"""
10,11,11,Tom Gillis,97,"78' 10""",85122,90,"4' 6""","135' 10"""
11,T12,T12,Aaron Baddeley,94,"78' 7""",82980,88,"4' 5""","156' 8"""
12,T12,T12,Dean Wilson,54,"78' 7""",44303,47,"4' 5""","142' 11"""
13,T14,T14,Greg Chalmers,93,"78' 5""",81879,87,"4' 5""","135' 10"""
14,T14,T14,Ryan Palmer,84,"78' 5""",66841,71,"4' 5""","143' 10"""
15,16,16,Michael Connell,89,"78' 3""",72317,77,"4' 5""","139' 8"""
16,T17,T17,K.J. Choi,82,"78' 1""",57175,61,"4' 5""","162' 11"""
17,T17,T17,Richard Johnson,90,"78' 1""",68370,73,"4' 5""","160' 10"""
18,T17,T17,Bryce Molder,84,"78' 1""",68402,73,"4' 5""","137' 10"""
19,T20,T20,Chad Collins,87,"78' 0""",70222,75,"4' 5""","148' 10"""
20,T20,T20,Jason Day,82,"78' 0""",66452,71,"4' 5""","166' 11"""
21,T20,T20,Shaun Micheel,70,"78' 0""",49627,53,"4' 5""","128' 3"""
22,T20,T20,Chris Tidland,77,"78' 0""",63671,68,"4' 5""","138' 10"""
23,T24,T24,Matt Every,60,"77' 11""",47708,51,"4' 5""","138' 9"""
24,T24,T24,Zach Johnson,93,"77' 11""",70162,75,"4' 5""","147' 8"""
25,T24,T24,James Nitties,92,"77' 11""",75745,81,"4' 4""","165' 3"""
26,T24,T24,Carl Pettersson,99,"77' 11""",77639,83,"4' 5""","144' 4"""
27,T24,T24,Steve Stricker,73,"77' 11""",52373,56,"4' 5""","181' 11"""
28,T29,T29,Chris Couch,66,"77' 9""",55076,59,"4' 5""","133' 0"""
29,T29,T29,Nathan Green,86,"77' 9""",75592,81,"4' 4""","139' 1"""
30,T29,T29,Scott Piercy,88,"77' 9""",75554,81,"4' 5""","152' 10"""
31,T29,T29,Jeff Quinney,91,"77' 9""",74603,80,"4' 4""","137' 2"""
32,33,33,Steve Wheatcroft,74,"77' 7""",53990,58,"4' 4""","123' 3"""
33,34,34,Blake Adams,84,"77' 6""",69751,75,"4' 4""","136' 3"""
34,T35,T35,Matt Bettencourt,91,"77' 5""",65036,70,"4' 4""","147' 4"""
35,T35,T35,Luke Donald,71,"77' 5""",49234,53,"4' 4""","192' 1"""
36,T37,T37,Dustin Johnson,83,"77' 3""",58412,63,"4' 4""","169' 11"""
37,T37,T37,Brian Stuard,81,"77' 3""",65790,71,"4' 4""","174' 1"""
38,39,39,David Duval,71,"77' 1""",51781,56,"4' 4""","146' 1"""
39,T40,T40,Robert Allenby,76,"77' 0""",56392,61,"4' 4""","139' 1"""
40,T40,T40,Freddie Jacobson,83,"77' 0""",71156,77,"4' 4""","190' 10"""
41,T42,T42,Robert Garrigus,71,"76' 10""",56259,61,"4' 3""","165' 5"""
42,T42,T42,Paul Stankowski,62,"76' 10""",48849,53,"4' 4""","131' 3"""
43,44,44,George McNeill,79,"76' 9""",64442,70,"4' 4""","144' 6"""
44,T45,T45,Matt Kuchar,97,"76' 8""",68973,75,"4' 4""","159' 10"""
45,T45,T45,Derek Lamely,81,"76' 8""",58851,64,"4' 4""","136' 11"""
46,47,47,D.A. Points,90,"76' 6""",72511,79,"4' 4""","188' 1"""
47,T48,T48,Tim Clark,88,"76' 2""",62142,68,"4' 3""","134' 6"""
48,T48,T48,Brian Gay,101,"76' 2""",74959,82,"4' 3""","137' 6"""
49,T48,T48,Ian Poulter,55,"76' 2""",31079,34,"4' 3""","174' 1"""
50,51,51,Justin Rose,78,"75' 11""",63755,70,"4' 3""","157' 5"""
51,T52,T52,Pat Perez,90,"75' 10""",75542,83,"4' 3""","135' 0"""
52,T52,T52,Rory Sabbatini,79,"75' 10""",60959,67,"4' 3""","133' 10"""
53,54,54,Joe Ogilvie,99,"75' 9""",78138,86,"4' 3""","167' 2"""
54,55,55,Aron Price,70,"75' 8""",56303,62,"4' 3""","151' 2"""
55,T56,T56,Woody Austin,93,"75' 6""",75187,83,"4' 3""","175' 6"""
56,T56,T56,Stewart Cink,84,"75' 6""",58867,65,"4' 3""","118' 3"""
57,58,58,Mark Calcavecchia,50,"75' 5""",29856,33,"4' 3""","174' 7"""
58,T59,T59,Steve Marino,81,"75' 3""",56863,63,"4' 3""","125' 10"""
59,T59,T59,Boo Weekley,88,"75' 3""",66842,74,"4' 3""","153' 7"""
60,T61,T61,David Toms,86,"75' 2""",63149,70,"4' 3""","143' 6"""
61,T61,T61,Johnson Wagner,85,"75' 2""",66729,74,"4' 2""","151' 0"""
62,T63,T63,Brent Delahoussaye,57,"75' 1""",42342,47,"4' 3""","134' 3"""
63,T63,T63,Martin Flores,75,"75' 1""",57683,64,"4' 3""","133' 4"""
64,T63,T63,Brandt Snedeker,89,"75' 1""",67541,75,"4' 3""","137' 0"""
65,66,66,J.P. Hayes,79,"75' 0""",61170,68,"4' 3""","155' 6"""
66,67,67,Y.E. Yang,72,"74' 11""",52169,58,"4' 3""","118' 4"""
67,68,68,Sean O'Hair,84,"74' 10""",58390,65,"4' 2""","155' 9"""
68,T69,T69,Tim Herron,79,"74' 8""",61821,69,"4' 2""","148' 11"""
69,T69,T69,Charley Hoffman,85,"74' 8""",68997,77,"4' 2""","187' 6"""
70,T69,T69,Matt Jones,89,"74' 8""",71714,80,"4' 2""","176' 0"""
71,T69,T69,Michael Sim,64,"74' 8""",47471,53,"4' 2""","139' 5"""
72,T73,T73,Ryuji Imada,90,"74' 7""",75192,84,"4' 2""","168' 3"""
73,T73,T73,Rory McIlroy,54,"74' 7""",35796,40,"4' 2""","133' 4"""
74,T75,T75,Retief Goosen,75,"74' 5""",47330,53,"4' 3""","156' 1"""
75,T75,T75,Nick Watney,91,"74' 5""",61645,69,"4' 2""","129' 6"""
76,77,77,James Driscoll,78,"74' 2""",65858,74,"4' 2""","135' 4"""
77,T78,T78,Brett Quigley,96,"74' 1""",78200,88,"4' 2""","158' 8"""
78,T78,T78,Bo Van Pelt,104,"74' 1""",77357,87,"4' 2""","125' 9"""
79,80,80,Daniel Chopra,74,"74' 0""",59490,67,"4' 2""","127' 8"""
80,T81,T81,Jason Bohn,84,"73' 11""",65666,74,"4' 2""","131' 10"""
81,T81,T81,Bill Lunde,79,"73' 11""",59408,67,"4' 2""","140' 0"""
82,T81,T81,David Lutterus,69,"73' 11""",49677,56,"4' 2""","137' 11"""
83,84,84,Rich Barcelo,70,"73' 10""",51371,58,"4' 2""","138' 1"""
84,T85,T85,John Daly,63,"73' 9""",41602,47,"4' 2""","131' 9"""
85,T85,T85,Michael Letzig,84,"73' 9""",70779,80,"4' 2""","136' 7"""
86,T85,T85,Scott Verplank,74,"73' 9""",49562,56,"4' 2""","134' 9"""
87,T88,T88,Brian Davis,101,"73' 7""",78584,89,"4' 2""","141' 7"""
88,T88,T88,Paul Goydos,78,"73' 7""",58253,66,"4' 2""","188' 2"""
89,T90,T90,Kevin Streelman,90,"73' 6""",70538,80,"4' 2""","162' 3"""
90,T90,T90,Brett Wetterich,54,"73' 6""",46730,53,"4' 1""","146' 0"""
91,T92,T92,Bob Estes,79,"73' 5""",62564,71,"4' 1""","158' 0"""
92,T92,T92,Lucas Glover,75,"73' 5""",51994,59,"4' 2""","145' 6"""
