,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Mark Calcavecchia,50,10.24,127,13
1,2,2,Boo Weekley,88,9.54,325,31
2,3,3,Jerod Turner,54,9.52,147,14
3,4,4,Paul Stankowski,62,9.5,221,21
4,5,5,K.J. Choi,82,9.02,266,24
5,6,6,Brad Faxon,58,8.38,191,16
6,7,7,Luke Donald,71,8.37,227,19
7,8,8,Troy Merritt,86,8.25,315,26
8,9,9,Freddie Jacobson,83,8.23,316,26
9,10,10,Shaun Micheel,70,8.22,219,18
10,11,11,Blake Adams,84,8.05,348,28
11,12,12,Chad Collins,87,8.04,311,25
12,13,13,Richard Johnson,90,7.98,326,26
13,14,14,Carl Pettersson,99,7.95,327,26
14,15,15,Scott Piercy,88,7.6,329,25
15,16,16,Steve Stricker,73,7.52,226,17
16,17,17,David Lutterus,69,7.5,240,18
17,T18,T18,Robert Allenby,76,7.43,269,20
18,T18,T18,Andres Romero,73,7.43,296,22
19,T20,T20,J.P. Hayes,79,7.38,244,18
20,T20,T20,Johnson Wagner,85,7.38,325,24
21,T22,T22,J.B. Holmes,100,7.32,369,27
22,T22,T22,Chris Tidland,77,7.32,287,21
23,24,24,Derek Lamely,81,7.11,253,18
24,25,25,Chris DiMarco,88,7.07,297,21
25,26,26,Kevin Na,94,7.05,298,21
26,27,27,Charlie Wi,95,7.02,356,25
27,28,28,Jason Day,82,6.99,286,20
28,29,29,Jeff Overton,89,6.93,274,19
29,T30,T30,Stephen Ames,75,6.9,290,20
30,T30,T30,Jason Bohn,84,6.9,290,20
31,T30,T30,Geoff Ogilvy,62,6.9,203,14
32,T33,T33,Tom Gillis,97,6.85,365,25
33,T33,T33,Brett Quigley,96,6.85,394,27
34,35,35,Dean Wilson,54,6.83,205,14
35,36,36,Pat Perez,90,6.79,324,22
36,37,37,Adam Scott,70,6.7,194,13
37,T38,T38,Greg Chalmers,93,6.67,375,25
38,T38,T38,Stewart Cink,84,6.67,285,19
39,40,40,Dustin Johnson,83,6.64,241,16
40,41,41,Lee Janzen,77,6.59,273,18
41,42,42,Bill Lunde,79,6.54,306,20
42,43,43,Vaughn Taylor,87,6.41,312,20
43,T44,T44,Camilo Villegas,78,6.36,220,14
44,T44,T44,Jay Williamson,76,6.36,236,15
45,46,46,Webb Simpson,98,6.35,378,24
46,47,47,Aaron Baddeley,94,6.21,354,22
47,48,48,Brian Gay,101,6.19,307,19
48,49,49,D.A. Points,90,6.16,357,22
49,50,50,Chris Couch,66,6.15,244,15
50,51,51,Bob Estes,79,6.14,293,18
51,T52,T52,Trevor Immelman,55,6.11,180,11
52,T52,T52,Jeff Quinney,91,6.11,262,16
53,54,54,Tim Herron,79,6.09,312,19
54,55,55,Matt Every,60,6.08,181,11
