,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Brad Faxon,58,"11' 9""",1677.5,143,45,1
1,2,2,Shaun Micheel,70,"11' 8""",2082.75,179,48,"4"""
2,T3,T3,Richard Johnson,90,"11' 7""",2493.083,216,64,"4"""
3,T3,T3,Chris Tidland,77,"11' 7""",2623.583,226,57,"2"""
4,5,5,David Lutterus,69,"11' 6""",1753.5,153,48,"5"""
5,T6,T6,K.J. Choi,82,"11' 4""",2439.833,215,59,"6"""
6,T6,T6,Brent Delahoussaye,57,"11' 4""",1484.0829999999999,131,64,"3"""
7,8,8,Stephen Ames,75,"11' 3""",2677.75,238,55,"4"""
8,9,9,Charlie Wi,95,"11' 2""",3462.667,310,55,"2"""
9,T10,T10,Blake Adams,84,"11' 1""",2742.583,248,57,"1"""
10,T10,T10,Chad Collins,87,"11' 1""",2644.5,239,74,"5"""
11,T12,T12,Bryce Molder,84,"10' 10""",2576.083,238,57,"2"""
12,T12,T12,Carl Pettersson,99,"10' 10""",2998.75,277,56,"3"""
13,T12,T12,Andres Romero,73,"10' 10""",2562.583,236,56,"5"""
14,T12,T12,Dean Wilson,54,"10' 10""",1779.3329999999999,164,45,"5"""
15,16,16,Boo Weekley,88,"10' 9""",2534.0,235,50,"5"""
16,T17,T17,Greg Chalmers,93,"10' 8""",3160.333,297,46,"5"""
17,T17,T17,Michael Connell,89,"10' 8""",2823.583,264,57,"1"""
18,T17,T17,Chris DiMarco,88,"10' 8""",2616.25,246,89,"3"""
19,T17,T17,Luke Donald,71,"10' 8""",2055.833,192,47,"7"""
20,T17,T17,Derek Lamely,81,"10' 8""",2042.3329999999999,192,64,"3"""
21,T17,T17,Paul Stankowski,62,"10' 8""",2193.083,206,54,"3"""
22,T23,T23,Robert Allenby,76,"10' 7""",2394.75,227,50,"3"""
23,T23,T23,Ben Crane,85,"10' 7""",2515.0,238,48,"5"""
24,T23,T23,Trevor Immelman,55,"10' 7""",1320.4170000000001,125,50,"5"""
25,T23,T23,Freddie Jacobson,83,"10' 7""",2839.083,269,52,"4"""
26,T23,T23,Brian Stuard,81,"10' 7""",2364.25,223,49,"6"""
27,T23,T23,Jerod Turner,54,"10' 7""",1213.583,115,56,"6"""
