,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,1,1,Hunter Mahan,85,"91' 7""",91.583,1
1,2,2,Zach Johnson,93,"84' 9""",84.75,1
2,3,3,Freddie Jacobson,83,"71' 11""",71.917,1
3,4,4,Bill Lunde,79,"71' 9""",143.5,2
4,5,5,Aaron Baddeley,94,"66' 10""",66.833,1
5,6,6,J.B. Holmes,100,"66' 7""",133.083,2
6,7,7,Nicholas Thompson,88,"62' 11""",62.917,1
7,8,8,Woody Austin,93,"62' 7""",62.583,1
8,9,9,Chris Tidland,77,"61' 11""",61.917,1
9,10,10,Rickie Fowler,98,"61' 5""",122.75,2
10,11,11,Michael Connell,89,"60' 8""",60.667,1
11,12,12,Matt Every,60,"59' 3""",118.417,2
12,13,13,Garrett Willis,82,"59' 2""",59.167,1
13,14,14,Charlie Wi,95,"58' 2""",58.167,1
14,15,15,Mathias Grönberg,61,"56' 9""",56.75,1
15,T16,T16,Stewart Cink,84,"56' 2""",56.167,1
16,T16,T16,Jay Williamson,76,"56' 2""",56.167,1
17,18,18,Tim Herron,79,"55' 3""",110.417,2
18,19,19,Y.E. Yang,72,"55' 1""",55.083,1
19,20,20,James Driscoll,78,"54' 7""",109.083,2
20,21,21,Stuart Appleby,101,"54' 0""",54.0,1
21,T22,T22,Ryan Moore,80,"53' 1""",53.083,1
22,T22,T22,Steve Wheatcroft,74,"53' 1""",53.083,1
23,24,24,David Duval,71,"50' 0""",149.917,3
24,25,25,Josh Teater,101,"49' 10""",99.583,2
25,26,26,Brett Quigley,96,"49' 7""",99.083,2
26,27,27,Paul Goydos,78,"49' 4""",49.333,1
27,28,28,Nick Watney,91,"47' 8""",95.333,2
28,29,29,Ryuji Imada,90,"47' 5""",47.417,1
29,30,30,Bo Van Pelt,104,"46' 3""",138.75,3
30,31,31,Greg Owen,69,"45' 0""",90.0,2
31,32,32,Trevor Immelman,55,"43' 0""",43.0,1
32,33,33,Nathan Green,86,"38' 5""",76.75,2
33,34,34,Vaughn Taylor,87,"38' 4""",38.333,1
34,35,35,Joe Ogilvie,99,"37' 10""",227.167,6
35,36,36,James Nitties,92,"37' 6""",112.417,3
36,37,37,Brian Davis,101,"36' 5""",72.75,2
37,38,38,Bob Estes,79,"36' 4""",36.333,1
38,39,39,Jeff Gove,57,"36' 3""",36.25,1
39,T40,T40,Matt Bettencourt,91,"36' 1""",72.083,2
40,T40,T40,Will MacKenzie,72,"36' 1""",72.167,2
41,42,42,Jarrod Lyle,54,"35' 9""",35.75,1
42,43,43,Geoff Ogilvy,62,"33' 9""",33.75,1
43,44,44,Kevin Sutherland,86,"32' 7""",32.583,1
44,45,45,Michael Letzig,84,"31' 6""",63.0,2
45,46,46,Jeff Maggert,76,"30' 11""",61.833,2
46,47,47,Jason Dufner,87,"30' 7""",91.75,3
47,48,48,Webb Simpson,98,"30' 6""",30.5,1
48,49,49,Billy Mayfair,78,"30' 5""",30.416999999999998,1
49,50,50,Roland Thatcher,72,"29' 7""",29.583000000000002,1
50,51,51,Mike Weir,59,"28' 5""",28.416999999999998,1
51,T52,T52,Tom Gillis,97,"26' 2""",26.166999999999998,1
52,T52,T52,Roger Tambellini,77,"26' 2""",52.333,2
53,54,54,Tim Petrovic,105,"25' 6""",50.917,2
54,55,55,Garth Mulroy,53,"25' 4""",25.333000000000002,1
55,56,56,Martin Flores,75,"24' 7""",24.583000000000002,1
56,57,57,David Lutterus,69,"24' 1""",24.083000000000002,1
57,58,58,D.J. Trahan,92,"24' 0""",48.0,2
58,59,59,Justin Rose,78,"23' 4""",23.333000000000002,1
59,60,60,J.P. Hayes,79,"22' 8""",22.666999999999998,1
60,61,61,Kevin Streelman,90,"21' 4""",21.333000000000002,1
61,62,62,Mark Calcavecchia,50,"21' 3""",21.25,1
62,63,63,Johnson Wagner,85,"21' 1""",21.083000000000002,1
63,64,64,Chad Campbell,94,"13' 2""",13.167,1
64,65,65,Cameron Beckman,68,"12' 10""",12.833,1
65,66,66,John Mallinger,78,"12' 5""",24.75,2
66,67,67,Adam Scott,70,"11' 5""",11.417,1
67,68,68,Rory Sabbatini,79,"10' 0""",10.0,1
68,69,69,Vance Veazey,58,"7' 1""",7.082999999999999,1
69,70,70,Davis Love III,79,"3' 3""",3.25,1
