,Putting_from_15-25_RANK THIS WEEK,Putting_from_15-25_RANK LAST WEEK,Putting_from_15-25_PLAYER NAME,Putting_from_15-25_ROUNDS,Putting_from_15-25_% MADE,Putting_from_15-25_ATTEMPTS,Putting_from_15-25_PUTTS MADE
125,T125,T125,Brent Delahoussaye,57,14.72,197,29
126,127,127,Will MacKenzie,72,14.71,238,35
127,128,128,Josh Teater,101,14.67,334,49
128,129,129,Ryan Moore,80,14.66,232,34
129,130,130,Bill Haas,87,14.64,239,35
130,131,131,Bill Lunde,79,14.58,240,35
131,132,132,Johnson Wagner,85,14.57,254,37
132,133,133,Rich Barcelo,70,14.52,186,27
133,134,134,Andrew McLardy,52,14.47,152,22
134,135,135,Chris Wilson,65,14.45,173,25
135,T136,T136,Blake Adams,84,14.44,277,40
136,T136,T136,Vijay Singh,75,14.44,187,27
137,138,138,Bob Estes,79,14.4,257,37
138,139,139,Vaughn Taylor,87,14.39,285,41
139,140,140,Omar Uresti,74,14.35,223,32
140,T141,T141,Justin Bolli,55,14.29,161,23
141,T141,T141,Nicholas Thompson,88,14.29,259,37
142,143,143,Jeev Milkha Singh,59,14.21,183,26
143,144,144,Webb Simpson,98,14.2,317,45
144,T145,T145,Michael Bradley,77,14.16,233,33
145,T145,T145,Cameron Percy,73,14.16,219,31
146,147,147,J.J. Henry,92,14.13,269,38
147,148,148,Tim Petrovic,105,14.11,333,47
148,149,149,Brian Davis,101,14.09,298,42
149,150,150,Steve Lowery,67,14.01,207,29
150,151,151,Ted Purdy,86,13.81,268,37
151,152,152,Dustin Johnson,83,13.79,203,28
152,153,153,Jimmy Walker,82,13.73,233,32
153,154,154,Steve Wheatcroft,74,13.71,197,27
154,155,155,Chris DiMarco,88,13.6,272,37
155,156,156,Chad Campbell,94,13.49,289,39
156,157,157,Bubba Watson,77,13.42,231,31
157,T158,T158,Sergio Garcia,58,13.22,121,16
158,T158,T158,Charles Howell III,103,13.22,295,39
159,T160,T160,Ben Curtis,78,13.19,235,31
160,T160,T160,Marc Leishman,87,13.19,235,31
161,162,162,Richard Johnson,90,13.15,289,38
162,163,163,Scott Piercy,88,13.09,275,36
163,164,164,Billy Mayfair,78,13.06,222,29
164,165,165,Jeff Maggert,76,12.96,247,32
165,166,166,Jason Dufner,87,12.85,249,32
166,167,167,Steve Elkington,74,12.77,188,24
167,168,168,Troy Matteson,84,12.75,298,38
168,169,169,Briny Baird,87,12.64,277,35
169,170,170,Roland Thatcher,72,12.36,275,34
170,T171,T171,Ricky Barnes,103,12.29,293,36
171,T171,T171,Alex Cejka,81,12.29,236,29
172,173,173,Phil Mickelson,76,12.22,180,22
173,174,174,Brett Quigley,96,12.1,347,42
174,175,175,John Senden,103,12.03,349,42
175,176,176,Craig Bowden,56,11.98,167,20
176,177,177,Jerry Kelly,99,11.89,286,34
177,178,178,John Merrick,109,11.57,337,39
178,179,179,David Lutterus,69,11.56,173,20
179,180,180,Rocco Mediate,71,11.52,217,25
180,181,181,Kris Blanks,91,11.45,262,30
181,182,182,Rod Pampling,77,11.2,250,28
182,183,183,Roger Tambellini,77,11.16,233,26
183,184,184,Jeff Gove,57,11.05,172,19
184,185,185,Boo Weekley,88,10.87,276,30
185,186,186,Mathew Goggin,85,10.85,295,32
186,187,187,J.B. Holmes,100,10.77,260,28
187,188,188,Henrik Bjornstad,72,10.31,223,23
188,189,189,Cliff Kresge,50,9.74,154,15
189,190,190,Jerod Turner,54,9.35,139,13
190,191,191,Mark Calcavecchia,50,9.18,98,9
191,192,192,Heath Slocum,97,8.49,259,22
