,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Jerod Turner,54,0.86,70,6.0
1,2,2,Stephen Ames,75,0.79,151,12.0
2,3,3,Derek Lamely,81,0.71,140,10.0
3,4,4,Paul Casey,64,0.68,103,7.0
4,5,5,David Lutterus,69,0.66,136,9.0
5,6,6,Geoff Ogilvy,62,0.65,108,7.0
6,T7,T7,Blake Adams,84,0.61,179,11.0
7,T7,T7,John Senden,103,0.61,214,13.0
8,T7,T7,Chris Tidland,77,0.61,164,10.0
9,10,10,Mark Calcavecchia,50,0.59,68,4.0
10,11,11,George McNeill,79,0.58,172,10.0
11,12,12,Boo Weekley,88,0.57,159,9.0
12,T13,T13,Steve Stricker,73,0.56,107,6.0
13,T13,T13,Charlie Wi,95,0.56,179,10.0
14,15,15,Richard Johnson,90,0.54,166,9.0
15,16,16,Shaun Micheel,70,0.53,114,6.0
16,17,17,Stewart Cink,84,0.52,154,8.0
17,T18,T18,K.J. Choi,82,0.51,137,7.0
18,T18,T18,Tom Gillis,97,0.51,175,9.0
19,T18,T18,Padraig Harrington,57,0.51,78,4.0
20,T18,T18,Skip Kendall,58,0.51,98,5.0
21,T18,T18,Brett Quigley,96,0.51,216,11.0
22,T23,T23,Ben Crane,85,0.5,160,8.0
23,T23,T23,Luke Donald,71,0.5,119,6.0
24,T23,T23,Dustin Johnson,83,0.5,139,7.0
25,T26,T26,Ángel Cabrera,64,0.49,102,5.0
26,T26,T26,Jeff Overton,89,0.49,142,7.0
27,T26,T26,Aron Price,70,0.49,142,7.0
28,T29,T29,Robert Allenby,76,0.48,146,7.0
29,T29,T29,Jerry Kelly,99,0.48,147,7.0
30,T29,T29,Bill Lunde,79,0.48,165,8.0
31,T29,T29,Sean O'Hair,84,0.48,166,8.0
32,T29,T29,Mike Weir,59,0.48,62,3.0
33,T34,T34,Aaron Baddeley,94,0.47,190,9.0
34,T34,T34,Michael Bradley,77,0.47,170,8.0
35,T34,T34,Chris DiMarco,88,0.47,150,7.0
36,T34,T34,Justin Leonard,89,0.47,129,6.0
37,T38,T38,James Nitties,92,0.46,153,7.0
38,T38,T38,Ryan Palmer,84,0.46,131,6.0
39,T40,T40,Brent Delahoussaye,57,0.45,111,5.0
40,T40,T40,Martin Flores,75,0.45,133,6.0
41,T40,T40,Charley Hoffman,85,0.45,155,7.0
42,T40,T40,Steve Lowery,67,0.45,112,5.0
43,T40,T40,David Toms,86,0.45,132,6.0
44,T40,T40,Johnson Wagner,85,0.45,177,8.0
45,T46,T46,Craig Bowden,56,0.44,91,4.0
46,T46,T46,Alex Cejka,81,0.44,137,6.0
47,T46,T46,Trevor Immelman,55,0.44,91,4.0
48,T46,T46,Jeff Maggert,76,0.44,137,6.0
49,T50,T50,Kevin Na,94,0.43,161,7.0
50,T50,T50,Joe Ogilvie,99,0.43,186,8.0
51,T50,T50,Vijay Singh,75,0.43,117,5.0
52,T53,T53,Jason Bohn,84,0.42,143,6.0
53,T53,T53,Michael Connell,89,0.42,142,6.0
54,T53,T53,Matt Every,60,0.42,96,4.0
55,T53,T53,Brian Gay,101,0.42,143,6.0
56,T53,T53,Jeff Gove,57,0.42,96,4.0
57,T53,T53,Freddie Jacobson,83,0.42,166,7.0
58,T53,T53,D.A. Points,90,0.42,192,8.0
59,T60,T60,Henrik Bjornstad,72,0.41,147,6.0
60,T60,T60,Bob Estes,79,0.41,146,6.0
61,T60,T60,Brad Faxon,58,0.41,98,4.0
62,T60,T60,Scott Piercy,88,0.41,170,7.0
63,T64,T64,Brian Davis,101,0.4,151,6.0
64,T64,T64,Robert Garrigus,71,0.4,126,5.0
65,T66,T66,Chris Couch,66,0.39,129,5.0
66,T66,T66,Paul Goydos,78,0.39,127,5.0
67,T66,T66,Spencer Levin,110,0.39,206,8.0
68,T66,T66,Troy Merritt,86,0.39,178,7.0
69,T66,T66,Ian Poulter,55,0.39,76,3.0
70,T71,T71,Pat Perez,90,0.38,158,6.0
71,T71,T71,Carl Pettersson,99,0.38,159,6.0
72,T71,T71,Paul Stankowski,62,0.38,106,4.0
73,T71,T71,Vaughn Taylor,87,0.38,160,6.0
74,T71,T71,Scott Verplank,74,0.38,105,4.0
75,T76,T76,Stuart Appleby,101,0.37,162,6.0
76,T76,T76,Cameron Beckman,68,0.37,109,4.0
77,T76,T76,Lee Janzen,77,0.37,135,5.0
78,T76,T76,Phil Mickelson,76,0.37,107,4.0
79,T76,T76,Jeff Quinney,91,0.37,136,5.0
80,T76,T76,Kevin Streelman,90,0.37,162,6.0
81,T76,T76,Kevin Sutherland,86,0.37,190,7.0
82,T83,T83,John Daly,63,0.36,83,3.0
83,T83,T83,Charles Howell III,103,0.36,197,7.0
84,T83,T83,Rory Sabbatini,79,0.36,140,5.0
85,T86,T86,Greg Chalmers,93,0.35,201,7.0
86,T86,T86,Jason Dufner,87,0.35,143,5.0
87,T86,T86,Retief Goosen,75,0.35,113,4.0
88,T86,T86,Bill Haas,87,0.35,173,6.0
89,T86,T86,Roland Thatcher,72,0.35,142,5.0
90,T86,T86,Brett Wetterich,54,0.35,114,4.0
91,T86,T86,Chris Wilson,65,0.35,115,4.0
92,T93,T93,Tim Clark,88,0.34,145,5.0
93,T93,T93,Brendon de Jonge,114,0.34,177,6.0
94,T93,T93,J.B. Holmes,100,0.34,205,7.0
95,T93,T93,Brenden Pappas,66,0.34,117,4.0
96,T93,T93,John Rollins,81,0.34,174,6.0
97,T98,T98,Chad Collins,87,0.33,153,5.0
98,T98,T98,Jason Day,82,0.33,152,5.0
99,T98,T98,Andres Romero,73,0.33,151,5.0
100,T98,T98,Chris Stroud,90,0.33,153,5.0
101,T98,T98,Steve Wheatcroft,74,0.33,122,4.0
102,T103,T103,James Driscoll,78,0.32,185,6.0
103,T103,T103,Billy Mayfair,78,0.32,154,5.0
104,T103,T103,Scott McCarron,90,0.32,219,7.0
105,T103,T103,Ryan Moore,80,0.32,124,4.0
106,T107,T107,Rich Barcelo,70,0.31,128,4.0
107,T107,T107,Lucas Glover,75,0.31,130,4.0
108,T107,T107,J.J. Henry,92,0.31,193,6.0
109,T107,T107,Greg Owen,69,0.31,130,4.0
110,T107,T107,Roger Tambellini,77,0.31,131,4.0
111,T112,T112,Michael Letzig,84,0.3,167,5.0
112,T112,T112,Steve Marino,81,0.3,133,4.0
113,T112,T112,Michael Sim,64,0.3,132,4.0
114,T112,T112,Kevin Stadler,86,0.3,135,4.0
115,T112,T112,D.J. Trahan,92,0.3,168,5.0
116,T112,T112,Jimmy Walker,82,0.3,135,4.0
117,T118,T118,Nathan Green,86,0.29,170,5.0
118,T118,T118,Heath Slocum,97,0.29,136,4.0
119,T118,T118,Bubba Watson,77,0.29,139,4.0
120,T121,T121,Steve Flesch,78,0.28,109,3.0
121,T121,T121,Mathew Goggin,85,0.28,181,5.0
122,T121,T121,Tim Petrovic,105,0.28,214,6.0
123,T121,T121,Camilo Villegas,78,0.28,109,3.0
124,T125,T125,Matt Bettencourt,91,0.27,112,3.0
125,T125,T125,Matt Jones,89,0.27,187,5.0
126,T125,T125,Troy Matteson,84,0.27,188,5.0
127,T125,T125,Kenny Perry,69,0.27,112,3.0
128,T125,T125,Jay Williamson,76,0.27,113,3.0
129,T130,T130,Greg Kraft,52,0.26,78,2.0
130,T130,T130,Davis Love III,79,0.26,154,4.0
131,T130,T130,Bryce Molder,84,0.26,152,4.0
132,T133,T133,Ben Curtis,78,0.25,157,4.0
133,T133,T133,Rickie Fowler,98,0.25,161,4.0
134,T133,T133,Tim Herron,79,0.25,162,4.0
135,T133,T133,Rory McIlroy,54,0.25,80,2.0
136,T133,T133,Webb Simpson,98,0.25,199,5.0
137,T133,T133,Garrett Willis,82,0.25,157,4.0
138,T139,T139,J.P. Hayes,79,0.24,123,3.0
139,T139,T139,Adam Scott,70,0.24,82,2.0
140,T141,T141,Cliff Kresge,50,0.23,88,2.0
141,T141,T141,Will MacKenzie,72,0.23,129,3.0
142,T143,T143,Ricky Barnes,103,0.22,180,4.0
143,T143,T143,Justin Bolli,55,0.22,93,2.0
144,T143,T143,Marc Leishman,87,0.22,135,3.0
145,T143,T143,Andrew McLardy,52,0.22,89,2.0
146,T143,T143,Rocco Mediate,71,0.22,137,3.0
147,T143,T143,Rod Pampling,77,0.22,136,3.0
148,T143,T143,Cameron Percy,73,0.22,137,3.0
149,T143,T143,Brian Stuard,81,0.22,136,3.0
150,T143,T143,Vance Veazey,58,0.22,93,2.0
151,T152,T152,David Duval,71,0.21,94,2.0
152,T152,T152,Steve Elkington,74,0.21,142,3.0
153,T152,T152,Zach Johnson,93,0.21,141,3.0
154,T152,T152,John Merrick,109,0.21,238,5.0
155,T156,T156,Jonathan Byrd,85,0.2,196,4.0
156,T156,T156,Joe Durant,67,0.2,98,2.0
157,T156,T156,Alex Prugh,88,0.2,199,4.0
158,T156,T156,Bo Van Pelt,104,0.2,201,4.0
159,T160,T160,Chad Campbell,94,0.19,158,3.0
160,T160,T160,Daniel Chopra,74,0.19,161,3.0
161,T160,T160,Hunter Mahan,85,0.19,157,3.0
162,T160,T160,Justin Rose,78,0.19,156,3.0
163,T160,T160,Cameron Tringale,55,0.19,103,2.0
164,T160,T160,Dean Wilson,54,0.19,104,2.0
165,T166,T166,Mark Wilson,87,0.18,217,4.0
166,T166,T166,Y.E. Yang,72,0.18,112,2.0
167,T168,T168,Briny Baird,87,0.17,174,3.0
168,T168,T168,Ryuji Imada,90,0.17,178,3.0
169,T168,T168,Martin Laird,91,0.17,173,3.0
170,T168,T168,Ted Purdy,86,0.17,174,3.0
171,T172,T172,Woody Austin,93,0.16,182,3.0
172,T172,T172,Ernie Els,72,0.16,127,2.0
173,T172,T172,Omar Uresti,74,0.16,125,2.0
174,T172,T172,Charles Warren,64,0.16,123,2.0
175,T176,T176,Kris Blanks,91,0.15,198,3.0
176,T176,T176,Sergio Garcia,58,0.15,68,1.0
177,178,178,John Mallinger,78,0.14,141,2.0
