,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Brandt Snedeker,89,1.71,1708,999,32.73,182
1,T2,T2,Aaron Baddeley,94,1.735,1896,1093,31.65,164
2,T2,T2,Brian Gay,101,1.735,1941,1119,29.12,171
3,4,4,Carl Pettersson,99,1.736,1814,1045,29.82,169
4,5,5,J.P. Hayes,79,1.7380000000000002,1549,891,29.95,130
5,T6,T6,Zach Johnson,93,1.739,1895,1090,30.58,111
6,T6,T6,Matt Kuchar,97,1.739,2063,1186,31.22,34
7,T8,T8,Chris Couch,66,1.742,1376,790,32.32,114
8,T8,T8,Jeff Quinney,91,1.742,1786,1025,31.02,148
9,10,10,Ryan Palmer,84,1.744,1727,990,32.19,T145
10,11,11,Michael Sim,64,1.745,1293,741,29.82,T149
11,12,12,Steve Stricker,73,1.746,1545,885,30.8,60
12,13,13,Greg Chalmers,93,1.7480000000000002,1932,1105,29.19,129
13,14,14,Tom Gillis,97,1.749,2015,1152,32.93,131
14,T15,T15,Matt Bettencourt,91,1.75,1573,899,31.28,189
15,T15,T15,Padraig Harrington,57,1.75,1092,624,29.65,184
16,T17,T17,Chad Collins,87,1.751,1576,900,28.87,172
17,T17,T17,Luke Donald,71,1.751,1399,799,28.54,T152
18,T17,T17,Brad Faxon,58,1.751,1005,574,29.27,190
19,T17,T17,Webb Simpson,98,1.751,2043,1167,29.86,121
20,T21,T21,Ben Crane,85,1.7519999999999998,1764,1007,29.94,T63
21,T21,T21,Charley Hoffman,85,1.7519999999999998,1741,994,32.93,112
22,T21,T21,Kevin Na,94,1.7519999999999998,1932,1103,30.31,137
23,T21,T21,Geoff Ogilvy,62,1.7519999999999998,1281,731,31.46,83
24,T21,T21,Charlie Wi,95,1.7519999999999998,1994,1138,29.64,110
25,T26,T26,Paul Casey,64,1.7530000000000001,1257,717,31.38,48
26,T26,T26,Matt Jones,89,1.7530000000000001,1834,1046,30.87,151
27,T26,T26,Jeff Overton,89,1.7530000000000001,1793,1023,30.85,96
28,T26,T26,Paul Stankowski,62,1.7530000000000001,1208,689,30.77,9
29,T26,T26,David Toms,86,1.7530000000000001,1813,1034,30.17,87
30,T31,T31,Jason Bohn,84,1.755,1799,1025,29.03,T79
31,T31,T31,Ryuji Imada,90,1.755,1834,1045,29.34,165
32,T31,T31,Justin Leonard,89,1.755,1809,1031,29.21,156
33,T31,T31,Kevin Streelman,90,1.755,1811,1032,31.36,T104
34,35,35,Tim Clark,88,1.756,1793,1021,28.39,T102
35,36,36,Troy Merritt,86,1.758,1740,990,31.95,T145
36,T37,T37,Brendon de Jonge,114,1.7590000000000001,2352,1337,29.31,T17
