,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Paul Casey,64,103.31,604,28,596
1,2,2,Paul Stankowski,62,102.67,749,42,727
2,3,3,Stephen Ames,75,102.19,960,45,936
3,4,4,Dean Wilson,54,101.99,652,27,638
4,5,5,Chad Collins,87,101.83,1036,45,1010
5,6,6,Carl Pettersson,99,101.82,1152,47,1126
6,7,7,Padraig Harrington,57,101.74,634,21,624
7,8,8,Luke Donald,71,101.5,731,24,718
8,T9,T9,Steve Elkington,74,101.41,849,27,834
9,T9,T9,Steve Stricker,73,101.41,778,29,760
10,11,11,Greg Chalmers,93,101.35,1189,43,1162
11,12,12,Jeff Overton,89,101.33,977,37,953
12,13,13,Chris Couch,66,101.32,832,35,808
13,14,14,Jeff Quinney,91,101.17,1111,37,1087
14,15,15,Brian Gay,101,101.15,1132,36,1109
15,16,16,Michael Sim,64,101.07,746,27,727
16,17,17,Jason Bohn,84,101.04,1061,39,1033
17,18,18,Ryan Palmer,84,101.02,977,32,955
18,19,19,Andres Romero,73,100.99,1008,42,976
19,20,20,Zach Johnson,93,100.96,1041,43,1008
20,21,21,Kevin Na,94,100.94,1064,46,1028
21,22,22,Bryce Molder,84,100.88,1019,43,985
22,23,23,Webb Simpson,98,100.84,1304,43,1272
23,24,24,Matt Jones,89,100.81,1118,40,1087
24,T25,T25,Ben Crane,85,100.76,925,37,895
25,T25,T25,Troy Merritt,86,100.76,1053,43,1018
26,27,27,Blake Adams,84,100.73,1100,45,1063
27,28,28,Jim Furyk,76,100.7,858,26,838
28,29,29,Retief Goosen,75,100.69,729,20,714
29,30,30,Jason Day,82,100.6,996,41,961
30,31,31,Ryuji Imada,90,100.59,1184,38,1153
31,32,32,Brad Faxon,58,100.58,684,30,658
32,33,33,Freddie Jacobson,83,100.55,1090,42,1054
33,34,34,Derek Lamely,81,100.54,923,36,892
34,T35,T35,Michael Connell,89,100.47,1067,36,1036
35,T35,T35,James Driscoll,78,100.47,1061,34,1032
36,T37,T37,Robert Allenby,76,100.46,871,36,839
37,T37,T37,Johnson Wagner,85,100.46,1080,44,1041
38,39,39,Geoff Ogilvy,62,100.44,681,20,664
39,40,40,Scott McCarron,90,100.42,1186,39,1152
40,41,41,Chris Tidland,77,100.41,972,43,933
41,42,42,Vaughn Taylor,87,100.36,1123,39,1088
42,43,43,Matt Bettencourt,91,100.31,982,33,952
43,44,44,David Toms,86,100.3,998,33,968
44,T45,T45,Scott Piercy,88,100.27,1131,44,1090
45,T45,T45,Boo Weekley,88,100.27,1093,44,1052
46,47,47,Shaun Micheel,70,100.26,759,31,730
47,48,48,K.J. Choi,82,100.23,879,39,842
48,T49,T49,Brett Quigley,96,100.16,1289,49,1242
49,T49,T49,Bo Van Pelt,104,100.16,1228,41,1189
50,T51,T51,Brendon de Jonge,114,100.15,1319,38,1283
51,T51,T51,Brent Delahoussaye,57,100.15,670,23,648
52,53,53,Y.E. Yang,72,100.12,801,31,771
53,54,54,Stewart Cink,84,100.11,939,35,905
54,55,55,Nathan Green,86,100.09,1137,35,1103
