,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Brandt Snedeker,89,27.97,2489,89,21
1,2,2,Brian Gay,101,28.02,2746,98,21
2,3,3,Mike Weir,59,28.16,1605,57,22
3,4,4,Carl Pettersson,99,28.24,2570,91,23
4,5,5,Chad Collins,87,28.28,2234,79,21
5,6,6,Padraig Harrington,57,28.3,1585,56,24
6,7,7,Ryuji Imada,90,28.4,2556,90,23
7,T8,T8,Matt Bettencourt,91,28.46,2362,83,23
8,T8,T8,Luke Donald,71,28.46,1935,68,23
9,10,10,Greg Chalmers,93,28.53,2653,93,23
10,T11,T11,Aaron Baddeley,94,28.57,2686,94,22
11,T11,T11,Kevin Na,94,28.57,2657,93,24
12,13,13,Charlie Wi,95,28.58,2715,95,22
13,14,14,Justin Rose,78,28.64,2234,78,21
14,T15,T15,Retief Goosen,75,28.65,2034,71,23
15,T15,T15,Matt Jones,89,28.65,2550,89,20
16,17,17,Jeff Quinney,91,28.66,2493,87,24
17,T18,T18,Bryce Molder,84,28.69,2295,80,22
18,T18,T18,Steve Stricker,73,28.69,2066,72,22
19,T20,T20,Charley Hoffman,85,28.73,2385,83,22
20,T20,T20,Zach Johnson,93,28.73,2614,91,23
21,T20,T20,Webb Simpson,98,28.73,2816,98,23
22,T23,T23,Jim Furyk,76,28.74,2127,74,23
23,T23,T23,Matt Kuchar,97,28.74,2730,95,24
24,T25,T25,Tom Gillis,97,28.75,2789,97,21
25,T25,T25,Michael Sim,64,28.75,1811,63,23
26,T25,T25,Scott Verplank,74,28.75,2099,73,24
27,T28,T28,Chris Couch,66,28.77,1899,66,25
28,T28,T28,Shaun Micheel,70,28.77,1784,62,22
29,T28,T28,Ryan Palmer,84,28.77,2417,84,21
30,T31,T31,Phil Mickelson,76,28.79,2188,76,23
31,T31,T31,Dean Wilson,54,28.79,1382,48,22
32,33,33,J.B. Holmes,100,28.86,2886,100,23
33,T34,T34,Tim Clark,88,28.87,2454,85,23
34,T34,T34,Brian Davis,101,28.87,2916,101,22
35,36,36,Daniel Chopra,74,28.88,2137,74,24
36,T37,T37,Stuart Appleby,101,28.89,2860,99,22
37,T37,T37,David Toms,86,28.89,2456,85,23
38,39,39,Ian Poulter,55,28.9,1416,49,22
39,40,40,Pat Perez,90,28.91,2602,90,22
40,T41,T41,Matt Every,60,28.93,1678,58,24
41,T41,T41,Freddie Jacobson,83,28.93,2401,83,23
42,T41,T41,Andres Romero,73,28.93,2112,73,23
43,44,44,Nathan Green,86,28.94,2489,86,24
44,45,45,J.P. Hayes,79,28.95,2171,75,24
45,T46,T46,Charles Howell III,103,28.96,2867,99,24
46,T46,T46,Troy Merritt,86,28.96,2433,84,22
47,48,48,Rich Barcelo,70,28.97,1854,64,23
48,49,49,Scott McCarron,90,28.98,2608,90,23
49,50,50,Ernie Els,72,28.99,2029,70,23
50,T51,T51,Chris Riley,73,29.0,1943,67,25
51,T51,T51,Jerod Turner,54,29.0,1334,46,23
52,T53,T53,Brad Faxon,58,29.02,1567,54,25
53,T53,T53,Skip Kendall,58,29.02,1451,50,24
54,T53,T53,Justin Leonard,89,29.02,2554,88,25
55,56,56,Jeff Overton,89,29.04,2468,85,23
56,57,57,Ryan Moore,80,29.05,2295,79,24
57,T58,T58,Paul Casey,64,29.07,1686,58,23
58,T58,T58,Ben Crane,85,29.07,2384,82,21
59,T58,T58,Kevin Streelman,90,29.07,2500,86,22
60,T58,T58,Y.E. Yang,72,29.07,2035,70,23
61,T62,T62,Paul Goydos,78,29.08,2268,78,22
62,T62,T62,Jeev Milkha Singh,59,29.08,1512,52,24
63,64,64,Steve Elkington,74,29.09,1978,68,23
64,65,65,Scott Piercy,88,29.11,2562,88,22
65,66,66,Michael Connell,89,29.12,2359,81,23
66,67,67,Jimmy Walker,82,29.14,2273,78,24
67,T68,T68,Stephen Ames,75,29.15,2157,74,22
68,T68,T68,Jason Day,82,29.15,2390,82,22
69,T68,T68,Chris DiMarco,88,29.15,2449,84,24
70,71,71,Derek Lamely,81,29.17,2188,75,24
71,72,72,Steve Flesch,78,29.19,2160,74,24
72,73,73,Blake Adams,84,29.2,2394,82,18
73,T74,T74,Geoff Ogilvy,62,29.22,1753,60,24
74,T74,T74,Chris Tidland,77,29.22,2133,73,23
75,T76,T76,K.J. Choi,82,29.23,2280,78,23
76,T76,T76,Joe Ogilvie,99,29.23,2718,93,24
77,T76,T76,Tim Petrovic,105,29.23,3069,105,21
78,79,79,Jarrod Lyle,54,29.24,1345,46,23
79,80,80,Jason Bohn,84,29.25,2457,84,24
80,T81,T81,Rory McIlroy,54,29.27,1522,52,24
81,T81,T81,James Nitties,92,29.27,2517,86,25
82,83,83,Rickie Fowler,98,29.3,2871,98,24
83,T84,T84,Robert Allenby,76,29.31,2169,74,23
84,T84,T84,James Driscoll,78,29.31,2286,78,24
85,T84,T84,Bo Van Pelt,104,29.31,3048,104,24
86,T87,T87,Ricky Barnes,103,29.32,3020,103,23
87,T87,T87,George McNeill,79,29.32,2316,79,23
88,T87,T87,Nick Watney,91,29.32,2580,88,21
89,T90,T90,Spencer Levin,110,29.33,2992,102,23
90,T90,T90,John Mallinger,78,29.33,2229,76,24
91,92,92,Paul Stankowski,62,29.35,1585,54,25
92,T93,T93,Tim Herron,79,29.36,2143,73,25
93,T93,T93,Rory Sabbatini,79,29.36,2231,76,23
94,95,95,Dustin Johnson,83,29.37,2408,82,24
95,96,96,Lee Janzen,77,29.38,2262,77,24
96,T97,T97,Vaughn Taylor,87,29.39,2557,87,23
97,T97,T97,Steve Wheatcroft,74,29.39,1940,66,22
98,99,99,Bubba Watson,77,29.4,2264,77,22
99,100,100,Martin Flores,75,29.41,2088,71,23
100,101,101,Michael Letzig,84,29.42,2471,84,23
101,T102,T102,Brian Stuard,81,29.43,2207,75,25
102,T102,T102,Camilo Villegas,78,29.43,2119,72,23
103,104,104,Marc Leishman,87,29.44,2561,87,23
104,105,105,Kevin Johnson,62,29.46,1650,56,25
105,106,106,Alex Prugh,88,29.47,2534,86,24
106,T107,T107,Ángel Cabrera,64,29.48,1857,63,25
107,T107,T107,Stewart Cink,84,29.48,2358,80,24
108,T107,T107,David Duval,71,29.48,2034,69,25
109,T107,T107,Bill Haas,87,29.48,2565,87,23
110,T107,T107,Tom Pernice Jr.,74,29.48,1946,66,24
111,112,112,Rod Pampling,77,29.49,2271,77,24
112,113,113,Brenden Pappas,66,29.5,1829,62,24
113,114,114,Brendon de Jonge,114,29.51,3128,106,24
114,115,115,Johnson Wagner,85,29.52,2391,81,22
115,T116,T116,Craig Bowden,56,29.53,1506,51,25
116,T116,T116,Steve Marino,81,29.53,2392,81,23
117,T116,T116,Kevin Stadler,86,29.53,2303,78,24
118,T119,T119,Jonathan Byrd,85,29.54,2511,85,24
119,T119,T119,Chad Campbell,94,29.54,2747,93,23
120,121,121,Woody Austin,93,29.55,2630,89,25
121,122,122,Chris Wilson,65,29.56,1744,59,21
122,123,123,Vance Veazey,58,29.58,1538,52,26
123,T124,T124,Bob Estes,79,29.59,2338,79,24
124,T124,T124,John Rollins,81,29.59,2397,81,22
125,T126,T126,Ben Curtis,78,29.6,2309,78,24
126,T126,T126,Richard Johnson,90,29.6,2427,82,22
127,T126,T126,Hunter Mahan,85,29.6,2486,84,23
128,T129,T129,Cameron Beckman,68,29.61,1895,64,24
129,T129,T129,Ted Purdy,86,29.61,2428,82,24
130,T131,T131,Michael Bradley,77,29.62,2162,73,23
131,T131,T131,Jeff Maggert,76,29.62,2014,68,22
132,T131,T131,Heath Slocum,97,29.62,2755,93,24
133,134,134,Jerry Kelly,99,29.63,2815,95,24
134,T135,T135,Briny Baird,87,29.65,2461,83,24
135,T135,T135,Lucas Glover,75,29.65,2194,74,23
136,T135,T135,Garrett Willis,82,29.65,2313,78,23
137,138,138,Martin Laird,91,29.68,2701,91,23
138,T139,T139,Brent Delahoussaye,57,29.69,1514,51,24
139,T139,T139,Andrew McLardy,52,29.69,1425,48,24
140,T139,T139,Aron Price,70,29.69,1900,64,23
141,T139,T139,Roland Thatcher,72,29.69,2138,72,23
142,T143,T143,Alex Cejka,81,29.7,2346,79,23
143,T143,T143,J.J. Henry,92,29.7,2495,84,24
144,145,145,Mark Wilson,87,29.71,2466,83,24
145,146,146,Jay Williamson,76,29.72,2021,68,24
146,T147,T147,D.A. Points,90,29.74,2677,90,23
147,T147,T147,Josh Teater,101,29.74,2944,99,25
148,149,149,Cliff Kresge,50,29.76,1369,46,24
149,T150,T150,Bill Lunde,79,29.77,2233,75,24
150,T150,T150,Chris Stroud,90,29.77,2441,82,22
151,T152,T152,John Daly,63,29.78,1638,55,23
152,T152,T152,Greg Kraft,52,29.78,1370,46,24
153,T152,T152,Will MacKenzie,72,29.78,2144,72,24
154,T152,T152,Omar Uresti,74,29.78,2025,68,25
155,T156,T156,Sean O'Hair,84,29.8,2444,82,24
156,T156,T156,Brett Wetterich,54,29.8,1609,54,26
157,158,158,Jason Dufner,87,29.82,2594,87,23
158,159,159,Vijay Singh,75,29.84,2208,74,24
159,160,160,David Lutterus,69,29.86,1881,63,24
160,161,161,Mathias Grönberg,61,29.87,1643,55,26
161,162,162,Sergio Garcia,58,29.88,1554,52,25
162,T163,T163,Joe Durant,67,29.89,1823,61,22
163,T163,T163,Robert Garrigus,71,29.89,1943,65,23
164,T163,T163,Trevor Immelman,55,29.89,1644,55,23
165,166,166,Kevin Sutherland,86,29.9,2571,86,23
166,T167,T167,John Merrick,109,29.94,3024,101,24
167,T167,T167,Brett Quigley,96,29.94,2844,95,22
168,169,169,Boo Weekley,88,29.95,2396,80,26
169,170,170,Kenny Perry,69,29.97,2038,68,24
170,T171,T171,Mark Calcavecchia,50,30.02,1261,42,24
171,T171,T171,D.J. Trahan,92,30.02,2762,92,25
172,173,173,Steve Lowery,67,30.03,1892,63,24
173,T174,T174,Graham DeLaet,88,30.07,2466,82,25
174,T174,T174,Adam Scott,70,30.07,2045,68,25
175,176,176,John Senden,103,30.08,3098,103,25
176,177,177,Greg Owen,69,30.1,2077,69,24
177,178,178,Cameron Percy,73,30.13,2049,68,25
178,179,179,Garth Mulroy,53,30.18,1479,49,25
179,T180,T180,Justin Bolli,55,30.2,1480,49,24
180,T180,T180,Nicholas Thompson,88,30.2,2537,84,23
181,182,182,Henrik Bjornstad,72,30.21,1994,66,24
182,183,183,Davis Love III,79,30.24,2389,79,24
183,T184,T184,Rocco Mediate,71,30.28,2089,69,23
184,T184,T184,Charles Warren,64,30.28,1756,58,25
185,186,186,Mathew Goggin,85,30.33,2578,85,25
186,187,187,Troy Matteson,84,30.44,2557,84,25
187,188,188,Cameron Tringale,55,30.45,1492,49,25
188,189,189,Billy Mayfair,78,30.5,2135,70,26
189,190,190,Kris Blanks,91,30.6,2540,83,23
190,191,191,Roger Tambellini,77,30.71,2119,69,26
191,192,192,Jeff Gove,57,31.0,1581,51,26
