,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,1,1,Craig Bowden,56,4,31
1,T2,T2,Jonathan Byrd,85,2,55
2,T2,T2,David Duval,71,2,26
3,T2,T2,Tom Gillis,97,2,60
4,T2,T2,J.P. Hayes,79,2,30
5,T2,T2,Marc Leishman,87,2,39
6,T2,T2,David Lutterus,69,2,36
7,T2,T2,James Nitties,92,2,49
8,T2,T2,D.A. Points,90,2,49
9,T2,T2,Chris Wilson,65,2,45
10,T11,T11,Aaron Baddeley,94,1,30
11,T11,T11,Rich Barcelo,70,1,21
12,T11,T11,Jason Bohn,84,1,25
13,T11,T11,Chad Campbell,94,1,32
14,T11,T11,Daniel Chopra,74,1,32
15,T11,T11,Jason Day,82,1,46
16,T11,T11,Martin Flores,75,1,44
17,T11,T11,Rickie Fowler,98,1,37
18,T11,T11,Jim Furyk,76,1,21
19,T11,T11,Mathew Goggin,85,1,45
20,T11,T11,Nathan Green,86,1,40
21,T11,T11,Charley Hoffman,85,1,36
22,T11,T11,J.B. Holmes,100,1,49
23,T11,T11,Charles Howell III,103,1,24
24,T11,T11,Ryuji Imada,90,1,35
25,T11,T11,Kevin Johnson,62,1,27
26,T11,T11,Matt Jones,89,1,33
27,T11,T11,Cliff Kresge,50,1,24
28,T11,T11,Matt Kuchar,97,1,27
29,T11,T11,Michael Letzig,84,1,52
30,T11,T11,Davis Love III,79,1,47
31,T11,T11,Will MacKenzie,72,1,46
32,T11,T11,Hunter Mahan,85,1,35
33,T11,T11,Troy Matteson,84,1,45
34,T11,T11,Andrew McLardy,52,1,24
35,T11,T11,George McNeill,79,1,50
36,T11,T11,Phil Mickelson,76,1,24
37,T11,T11,Kevin Na,94,1,30
38,T11,T11,Sean O'Hair,84,1,45
39,T11,T11,Cameron Percy,73,1,44
40,T11,T11,Carl Pettersson,99,1,25
41,T11,T11,Scott Piercy,88,1,43
42,T11,T11,Ian Poulter,55,1,11
43,T11,T11,Brett Quigley,96,1,52
44,T11,T11,Chris Riley,73,1,30
45,T11,T11,John Rollins,81,1,55
46,T11,T11,Adam Scott,70,1,39
47,T11,T11,John Senden,103,1,52
48,T11,T11,Vijay Singh,75,1,41
49,T11,T11,Heath Slocum,97,1,42
50,T11,T11,Brandt Snedeker,89,1,29
51,T11,T11,Kevin Stadler,86,1,46
52,T11,T11,Kevin Sutherland,86,1,42
53,T11,T11,Vaughn Taylor,87,1,38
54,T11,T11,Nicholas Thompson,88,1,66
55,T11,T11,Chris Tidland,77,1,43
56,T11,T11,D.J. Trahan,92,1,57
57,T11,T11,Cameron Tringale,55,1,38
58,T11,T11,Omar Uresti,74,1,35
59,T11,T11,Camilo Villegas,78,1,33
60,T11,T11,Nick Watney,91,1,35
61,T11,T11,Steve Wheatcroft,74,1,36
62,T11,T11,Garrett Willis,82,1,43
