,3-Putt_Avoidance_-_20-25_RANK THIS WEEK,3-Putt_Avoidance_-_20-25_RANK LAST WEEK,3-Putt_Avoidance_-_20-25_PLAYER NAME,3-Putt_Avoidance_-_20-25_ROUNDS,3-Putt_Avoidance_-_20-25_%,3-Putt_Avoidance_-_20-25_TOTAL 3 PUTTS,3-Putt_Avoidance_-_20-25_ATTEMPTS,3-Putt_Avoidance_-_20-25_2 PUTT OR BETTER %
104,105,105,Bob Estes,79,2.52,3.0,119,97.4
105,106,106,Ernie Els,72,2.53,2.0,79,97.4
106,107,107,Pat Perez,90,2.56,4.0,156,97.4
107,T108,T108,Jonathan Byrd,85,2.59,3.0,116,97.4
108,T108,T108,Mark Wilson,87,2.59,3.0,116,97.4
109,110,110,Brett Wetterich,54,2.6,2.0,77,97.4
110,111,111,Brett Quigley,96,2.63,4.0,152,97.3
111,T112,T112,Kevin Na,94,2.68,3.0,112,97.3
112,T112,T112,Jimmy Walker,82,2.68,3.0,112,97.3
113,114,114,Scott Piercy,88,2.75,3.0,109,97.2
114,T115,T115,Brendon de Jonge,114,2.78,4.0,144,97.2
115,T115,T115,Bryce Molder,84,2.78,3.0,108,97.2
116,117,117,Brad Faxon,58,2.82,2.0,71,97.1
117,118,118,Heath Slocum,97,2.86,3.0,105,97.1
118,119,119,Bill Lunde,79,2.88,3.0,104,97.1
119,T120,T120,Ángel Cabrera,64,2.9,2.0,69,97.1
120,T120,T120,Tom Gillis,97,2.9,4.0,138,97.1
121,122,122,Bubba Watson,77,2.91,3.0,103,97.0
122,123,123,Phil Mickelson,76,2.94,2.0,68,97.0
123,124,124,Stewart Cink,84,3.0,3.0,100,97.0
124,125,125,Mathew Goggin,85,3.05,4.0,131,96.9
125,126,126,Cameron Tringale,55,3.08,2.0,65,96.9
126,127,127,Shaun Micheel,70,3.16,3.0,95,96.8
127,T128,T128,Sergio Garcia,58,3.17,2.0,63,96.8
128,T128,T128,Jeff Gove,57,3.17,2.0,63,96.8
129,T130,T130,John Mallinger,78,3.23,3.0,93,96.7
130,T130,T130,Kenny Perry,69,3.23,3.0,93,96.7
131,T130,T130,D.A. Points,90,3.23,4.0,124,96.7
132,133,133,Johnson Wagner,85,3.25,4.0,123,96.7
133,134,134,Aron Price,70,3.26,3.0,92,96.7
134,135,135,Kevin Stadler,86,3.36,4.0,119,96.6
135,136,136,Paul Goydos,78,3.37,3.0,89,96.6
136,137,137,Jeff Maggert,76,3.39,4.0,118,96.6
137,138,138,Rocco Mediate,71,3.41,3.0,88,96.5
138,139,139,Tom Pernice Jr.,74,3.45,3.0,87,96.5
139,140,140,Omar Uresti,74,3.49,3.0,86,96.5
140,141,141,Greg Kraft,52,3.51,2.0,57,96.4
141,142,142,D.J. Trahan,92,3.52,5.0,142,96.4
142,143,143,John Merrick,109,3.57,5.0,140,96.4
143,144,144,Jeff Quinney,91,3.62,5.0,138,96.3
144,145,145,Mike Weir,59,3.64,2.0,55,96.3
145,146,146,Steve Lowery,67,3.75,3.0,80,96.2
146,147,147,Jason Day,82,3.77,4.0,106,96.2
147,148,148,Adam Scott,70,3.85,3.0,78,96.1
148,149,149,Ryan Palmer,84,3.92,4.0,102,96.0
149,150,150,Nicholas Thompson,88,3.97,5.0,126,96.0
150,151,151,Freddie Jacobson,83,4.0,5.0,125,96.0
151,152,152,Boo Weekley,88,4.03,5.0,124,95.9
152,153,153,Graham DeLaet,88,4.07,5.0,123,95.9
153,154,154,Justin Rose,78,4.08,4.0,98,95.9
154,155,155,Ian Poulter,55,4.17,2.0,48,95.8
155,156,156,Robert Garrigus,71,4.23,3.0,71,95.7
156,157,157,Nathan Green,86,4.24,5.0,118,95.7
157,158,158,Cameron Percy,73,4.26,4.0,94,95.7
158,T159,T159,Ryan Moore,80,4.35,4.0,92,95.6
159,T159,T159,Chris Riley,73,4.35,4.0,92,95.6
160,161,161,Stuart Appleby,101,4.39,5.0,114,95.6
161,162,162,Steve Marino,81,4.4,4.0,91,95.6
162,163,163,Kevin Streelman,90,4.42,5.0,113,95.5
163,164,164,Brian Davis,101,4.62,6.0,130,95.3
164,165,165,Matt Jones,89,4.65,6.0,129,95.3
165,166,166,Michael Letzig,84,4.8,6.0,125,95.2
166,167,167,Cameron Beckman,68,4.81,5.0,104,95.1
167,168,168,Billy Mayfair,78,4.82,4.0,83,95.1
168,169,169,Matt Bettencourt,91,4.85,5.0,103,95.1
169,T170,T170,Kevin Johnson,62,5.0,4.0,80,95.0
170,T170,T170,Dustin Johnson,83,5.0,5.0,100,95.0
171,172,172,Greg Owen,69,5.1,5.0,98,94.9
172,173,173,Vance Veazey,58,5.33,4.0,75,94.6
173,174,174,Sean O'Hair,84,5.5,6.0,109,94.5
174,T175,T175,Justin Bolli,55,5.56,4.0,72,94.4
175,T175,T175,Martin Flores,75,5.56,5.0,90,94.4
176,T177,T177,Alex Cejka,81,5.71,6.0,105,94.2
177,T177,T177,Mathias Grönberg,61,5.71,4.0,70,94.2
178,179,179,Steve Wheatcroft,74,5.75,5.0,87,94.2
179,180,180,David Lutterus,69,5.8,4.0,69,94.2
180,181,181,George McNeill,79,5.88,6.0,102,94.1
181,182,182,Ben Crane,85,5.94,6.0,101,94.0
182,183,183,Roland Thatcher,72,5.98,7.0,117,94.0
183,184,184,Rory McIlroy,54,6.0,3.0,50,94.0
184,185,185,Kris Blanks,91,6.03,7.0,116,93.9
185,186,186,Rory Sabbatini,79,6.06,6.0,99,93.9
186,187,187,Lee Janzen,77,6.31,7.0,111,93.6
187,188,188,Chris Wilson,65,6.67,5.0,75,93.3
188,189,189,Ted Purdy,86,7.63,9.0,118,92.3
189,190,190,Mark Calcavecchia,50,7.69,3.0,39,92.3
190,191,191,John Daly,63,8.7,6.0,69,91.3
191,192,192,Garth Mulroy,53,8.96,6.0,67,91.0
