,3-Putt_Avoidance_-_5-10_RANK THIS WEEK,3-Putt_Avoidance_-_5-10_RANK LAST WEEK,3-Putt_Avoidance_-_5-10_PLAYER NAME,3-Putt_Avoidance_-_5-10_ROUNDS,3-Putt_Avoidance_-_5-10_%,3-Putt_Avoidance_-_5-10_TOTAL 3 PUTTS,3-Putt_Avoidance_-_5-10_ATTEMPTS,3-Putt_Avoidance_-_5-10_2 PUTT OR BETTER %
0,T1,T1,Stephen Ames,75,0.0,,237,100.0
1,T1,T1,Briny Baird,87,0.0,,257,100.0
2,T1,T1,Rich Barcelo,70,0.0,,196,100.0
3,T1,T1,Craig Bowden,56,0.0,,154,100.0
4,T1,T1,Ángel Cabrera,64,0.0,,173,100.0
5,T1,T1,Paul Casey,64,0.0,,144,100.0
6,T1,T1,K.J. Choi,82,0.0,,195,100.0
7,T1,T1,Tim Clark,88,0.0,,247,100.0
8,T1,T1,Chad Collins,87,0.0,,250,100.0
9,T1,T1,Ben Curtis,78,0.0,,224,100.0
10,T1,T1,Brent Delahoussaye,57,0.0,,147,100.0
11,T1,T1,Chris DiMarco,88,0.0,,304,100.0
12,T1,T1,Luke Donald,71,0.0,,181,100.0
13,T1,T1,Jason Dufner,87,0.0,,205,100.0
14,T1,T1,Ernie Els,72,0.0,,173,100.0
15,T1,T1,Jim Furyk,76,0.0,,192,100.0
16,T1,T1,Lucas Glover,75,0.0,,227,100.0
17,T1,T1,Retief Goosen,75,0.0,,181,100.0
18,T1,T1,Jeff Gove,57,0.0,,135,100.0
19,T1,T1,Padraig Harrington,57,0.0,,167,100.0
20,T1,T1,J.P. Hayes,79,0.0,,271,100.0
21,T1,T1,J.J. Henry,92,0.0,,275,100.0
22,T1,T1,Ryuji Imada,90,0.0,,297,100.0
23,T1,T1,Trevor Immelman,55,0.0,,139,100.0
24,T1,T1,Dustin Johnson,83,0.0,,239,100.0
25,T1,T1,Skip Kendall,58,0.0,,159,100.0
26,T1,T1,Cliff Kresge,50,0.0,,161,100.0
27,T1,T1,Matt Kuchar,97,0.0,,266,100.0
28,T1,T1,Derek Lamely,81,0.0,,223,100.0
29,T1,T1,Spencer Levin,110,0.0,,332,100.0
30,T1,T1,Bill Lunde,79,0.0,,217,100.0
31,T1,T1,Jarrod Lyle,54,0.0,,179,100.0
32,T1,T1,Hunter Mahan,85,0.0,,235,100.0
33,T1,T1,Andrew McLardy,52,0.0,,163,100.0
34,T1,T1,Bryce Molder,84,0.0,,266,100.0
35,T1,T1,Garth Mulroy,53,0.0,,130,100.0
36,T1,T1,Kevin Na,94,0.0,,242,100.0
37,T1,T1,Kenny Perry,69,0.0,,212,100.0
38,T1,T1,Carl Pettersson,99,0.0,,291,100.0
39,T1,T1,Ted Purdy,86,0.0,,232,100.0
40,T1,T1,Michael Sim,64,0.0,,182,100.0
41,T1,T1,Webb Simpson,98,0.0,,307,100.0
42,T1,T1,Vijay Singh,75,0.0,,202,100.0
43,T1,T1,Jeev Milkha Singh,59,0.0,,185,100.0
44,T1,T1,Paul Stankowski,62,0.0,,180,100.0
45,T1,T1,Brian Stuard,81,0.0,,232,100.0
46,T1,T1,David Toms,86,0.0,,244,100.0
47,T1,T1,Scott Verplank,74,0.0,,209,100.0
48,T1,T1,Camilo Villegas,78,0.0,,187,100.0
49,T1,T1,Johnson Wagner,85,0.0,,239,100.0
50,T1,T1,Charles Warren,64,0.0,,197,100.0
51,T1,T1,Bubba Watson,77,0.0,,233,100.0
52,T1,T1,Boo Weekley,88,0.0,,254,100.0
53,T1,T1,Mike Weir,59,0.0,,140,100.0
54,T1,T1,Brett Wetterich,54,0.0,,182,100.0
55,T1,T1,Dean Wilson,54,0.0,,166,100.0
56,T1,T1,Y.E. Yang,72,0.0,,219,100.0
57,58,58,Stuart Appleby,101,0.3,1.0,332,99.7
58,59,59,J.B. Holmes,100,0.31,1.0,322,99.6
59,T60,T60,Tom Gillis,97,0.33,1.0,302,99.6
60,T60,T60,Vaughn Taylor,87,0.33,1.0,304,99.6
61,T62,T62,Greg Chalmers,93,0.34,1.0,291,99.6
62,T62,T62,Brian Gay,101,0.34,1.0,298,99.6
63,T62,T62,James Nitties,92,0.34,1.0,298,99.6
64,T62,T62,Joe Ogilvie,99,0.34,1.0,293,99.6
65,T62,T62,Nicholas Thompson,88,0.34,1.0,295,99.6
66,T67,T67,Michael Connell,89,0.35,1.0,282,99.6
67,T67,T67,Rickie Fowler,98,0.35,1.0,289,99.6
68,T67,T67,Charles Howell III,103,0.35,1.0,285,99.6
69,T67,T67,John Senden,103,0.35,1.0,286,99.6
70,T67,T67,D.J. Trahan,92,0.35,1.0,288,99.6
71,T72,T72,Matt Jones,89,0.36,1.0,280,99.6
72,T72,T72,Jeff Overton,89,0.36,1.0,279,99.6
73,T72,T72,Brett Quigley,96,0.36,1.0,275,99.6
74,T75,T75,Michael Letzig,84,0.37,1.0,269,99.6
75,T75,T75,Troy Merritt,86,0.37,1.0,270,99.6
76,T75,T75,Scott Piercy,88,0.37,1.0,272,99.6
77,T78,T78,Matt Bettencourt,91,0.38,1.0,265,99.6
78,T78,T78,Nick Watney,91,0.38,1.0,261,99.6
79,T80,T80,Jason Bohn,84,0.39,1.0,258,99.6
80,T80,T80,Scott McCarron,90,0.39,1.0,259,99.6
81,T80,T80,Rod Pampling,77,0.39,1.0,256,99.6
82,T83,T83,Daniel Chopra,74,0.41,1.0,241,99.5
83,T83,T83,Bill Haas,87,0.41,1.0,241,99.5
84,T83,T83,Justin Rose,78,0.41,1.0,246,99.5
85,T83,T83,Heath Slocum,97,0.41,1.0,244,99.5
