,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,Graham DeLaet,88,53,70
1,2,2,Nicholas Thompson,88,48,66
2,T3,T3,John Merrick,109,47,55
3,T3,T3,Josh Teater,101,47,57
4,5,5,John Rollins,81,46,55
5,6,6,Tom Gillis,97,45,60
6,T7,T7,Kris Blanks,91,44,59
7,T7,T7,Joe Ogilvie,99,44,52
8,T7,T7,John Senden,103,44,52
9,T10,T10,Jonathan Byrd,85,43,55
10,T10,T10,J.B. Holmes,100,43,49
11,T10,T10,Rocco Mediate,71,43,51
12,T10,T10,Johnson Wagner,85,43,49
13,T14,T14,Billy Mayfair,78,42,58
14,T14,T14,Charles Warren,64,42,50
15,T16,T16,Martin Laird,91,41,51
16,T16,T16,Michael Letzig,84,41,52
17,T18,T18,Brian Davis,101,40,55
18,T18,T18,Jerry Kelly,99,40,49
19,T20,T20,Woody Austin,93,39,51
20,T20,T20,Spencer Levin,110,39,43
21,T20,T20,Roger Tambellini,77,39,48
22,T23,T23,Jason Dufner,87,38,50
23,T23,T23,Davis Love III,79,38,47
24,T23,T23,Brett Quigley,96,38,52
25,T26,T26,Michael Connell,89,37,43
26,T26,T26,Mathias Grönberg,61,37,46
27,T26,T26,Bill Lunde,79,37,44
28,T26,T26,Andres Romero,73,37,45
29,T26,T26,Kevin Sutherland,86,37,42
30,T26,T26,Bo Van Pelt,104,37,47
31,T26,T26,Mark Wilson,87,37,44
32,T33,T33,Briny Baird,87,36,43
33,T33,T33,Robert Garrigus,71,36,46
34,T33,T33,George McNeill,79,36,50
35,T33,T33,Chris Stroud,90,36,41
36,T33,T33,Chris Tidland,77,36,43
37,T38,T38,Scott McCarron,90,35,40
38,T38,T38,James Nitties,92,35,49
39,T38,T38,D.A. Points,90,35,49
40,T38,T38,Heath Slocum,97,35,42
41,T38,T38,Roland Thatcher,72,35,50
42,T38,T38,Boo Weekley,88,35,46
43,T38,T38,Garrett Willis,82,35,43
44,T45,T45,Stuart Appleby,101,34,43
45,T45,T45,Ricky Barnes,103,34,43
46,T45,T45,Jason Day,82,34,46
47,T45,T45,Jeff Gove,57,34,39
48,T45,T45,Will MacKenzie,72,34,46
49,T45,T45,Pat Perez,90,34,44
50,T45,T45,Tim Petrovic,105,34,45
51,T45,T45,Aron Price,70,34,38
52,T45,T45,Vijay Singh,75,34,41
53,T45,T45,Chris Wilson,65,34,45
54,T55,T55,Michael Bradley,77,33,38
55,T55,T55,Tim Herron,79,33,41
56,T55,T55,Ryuji Imada,90,33,35
57,T55,T55,Jeff Maggert,76,33,48
58,T55,T55,Troy Matteson,84,33,45
59,T55,T55,Troy Merritt,86,33,42
60,T55,T55,Cameron Percy,73,33,44
61,T55,T55,D.J. Trahan,92,33,57
62,T63,T63,Blake Adams,84,32,42
63,T63,T63,Henrik Bjornstad,72,32,38
64,T63,T63,Martin Flores,75,32,44
65,T63,T63,Mathew Goggin,85,32,45
66,T63,T63,Sean O'Hair,84,32,45
67,T63,T63,Greg Owen,69,32,44
68,T63,T63,Scott Piercy,88,32,43
69,T63,T63,Ted Purdy,86,32,46
70,T63,T63,Webb Simpson,98,32,38
71,T72,T72,Marc Leishman,87,31,39
72,T72,T72,Rory Sabbatini,79,31,49
73,T74,T74,Stewart Cink,84,30,38
74,T74,T74,Ben Crane,85,30,41
75,T74,T74,Chris DiMarco,88,30,37
76,T74,T74,Rickie Fowler,98,30,37
77,T74,T74,Paul Goydos,78,30,40
78,T74,T74,Bill Haas,87,30,38
79,T74,T74,Lee Janzen,77,30,43
80,T74,T74,Justin Leonard,89,30,34
81,T74,T74,Kevin Stadler,86,30,46
82,T74,T74,Vaughn Taylor,87,30,38
83,T74,T74,Charlie Wi,95,30,43
84,T85,T85,Robert Allenby,76,29,33
85,T85,T85,K.J. Choi,82,29,32
86,T85,T85,James Driscoll,78,29,34
87,T85,T85,Bob Estes,79,29,38
88,T85,T85,Bryce Molder,84,29,35
89,T85,T85,Kenny Perry,69,29,35
90,T85,T85,Alex Prugh,88,29,38
91,T85,T85,Cameron Tringale,55,29,38
92,T85,T85,Jay Williamson,76,29,37
93,T94,T94,Cameron Beckman,68,28,40
94,T94,T94,Daniel Chopra,74,28,32
95,T94,T94,Dustin Johnson,83,28,36
96,T94,T94,Derek Lamely,81,28,32
97,T94,T94,Hunter Mahan,85,28,35
98,T94,T94,John Mallinger,78,28,42
99,T94,T94,Adam Scott,70,28,39
100,T94,T94,Kevin Streelman,90,28,41
101,T94,T94,Brian Stuard,81,28,38
102,T94,T94,Bubba Watson,77,28,35
103,T104,T104,Joe Durant,67,27,32
104,T104,T104,J.J. Henry,92,27,29
105,T104,T104,Freddie Jacobson,83,27,37
106,T104,T104,Garth Mulroy,53,27,36
107,T104,T104,Jeff Overton,89,27,32
108,T104,T104,Steve Wheatcroft,74,27,36
109,T110,T110,Ángel Cabrera,64,26,29
110,T110,T110,John Daly,63,26,38
111,T110,T110,Lucas Glover,75,26,35
112,T110,T110,Nathan Green,86,26,40
113,T110,T110,Charley Hoffman,85,26,36
114,T110,T110,Camilo Villegas,78,26,33
115,T110,T110,Nick Watney,91,26,35
116,T117,T117,Justin Bolli,55,25,31
117,T117,T117,Greg Chalmers,93,25,31
118,T117,T117,Ben Curtis,78,25,26
119,T117,T117,Steve Flesch,78,25,33
120,T117,T117,Steve Lowery,67,25,36
121,T117,T117,David Lutterus,69,25,36
122,T117,T117,Jeff Quinney,91,25,38
123,T117,T117,David Toms,86,25,29
124,T117,T117,Omar Uresti,74,25,35
125,T126,T126,Mark Calcavecchia,50,24,35
126,T126,T126,Chad Campbell,94,24,32
127,T126,T126,Alex Cejka,81,24,42
128,T126,T126,Brendon de Jonge,114,24,33
129,T126,T126,Matt Every,60,24,30
130,T126,T126,Kevin Na,94,24,30
131,T126,T126,Rod Pampling,77,24,27
132,T126,T126,Tom Pernice Jr.,74,24,31
133,T126,T126,Paul Stankowski,62,24,24
134,T126,T126,Vance Veazey,58,24,34
135,T136,T136,Stephen Ames,75,23,30
136,T136,T136,Chris Couch,66,23,28
137,T136,T136,Andrew McLardy,52,23,24
138,T136,T136,Geoff Ogilvy,62,23,29
139,T136,T136,Jeev Milkha Singh,59,23,26
140,T141,T141,J.P. Hayes,79,22,30
141,T141,T141,Richard Johnson,90,22,34
142,T141,T141,Matt Jones,89,22,33
143,T141,T141,Matt Kuchar,97,22,27
144,T145,T145,Aaron Baddeley,94,21,30
145,T145,T145,Jason Bohn,84,21,25
146,T145,T145,Greg Kraft,52,21,27
147,T145,T145,Cliff Kresge,50,21,24
148,T145,T145,Jarrod Lyle,54,21,25
149,T145,T145,Steve Marino,81,21,30
150,T145,T145,Shaun Micheel,70,21,28
151,T145,T145,Carl Pettersson,99,21,25
152,T145,T145,Chris Riley,73,21,30
153,T145,T145,Brett Wetterich,54,21,28
154,T155,T155,Craig Bowden,56,20,31
155,T155,T155,Tim Clark,88,20,26
156,T155,T155,Skip Kendall,58,20,23
157,T155,T155,Ryan Palmer,84,20,30
158,T155,T155,Brandt Snedeker,89,20,29
159,T155,T155,Jimmy Walker,82,20,31
160,T161,T161,Steve Elkington,74,19,21
161,T161,T161,Ernie Els,72,19,22
162,T161,T161,Zach Johnson,93,19,25
163,T161,T161,Justin Rose,78,19,25
164,T161,T161,Y.E. Yang,72,19,24
165,T166,T166,Matt Bettencourt,91,18,32
166,T166,T166,Chad Collins,87,18,22
167,T166,T166,Brad Faxon,58,18,23
168,T166,T166,Jim Furyk,76,18,21
169,T166,T166,Brian Gay,101,18,21
170,T166,T166,Kevin Johnson,62,18,27
171,T166,T166,Ryan Moore,80,18,26
172,T166,T166,Brenden Pappas,66,18,30
173,T166,T166,Scott Verplank,74,18,23
174,T175,T175,Brent Delahoussaye,57,17,20
175,T175,T175,David Duval,71,17,26
176,T175,T175,Charles Howell III,103,17,24
177,T175,T175,Michael Sim,64,17,19
178,T179,T179,Rich Barcelo,70,16,21
179,T179,T179,Jerod Turner,54,16,22
180,T181,T181,Phil Mickelson,76,15,24
181,T181,T181,Dean Wilson,54,15,16
182,T183,T183,Trevor Immelman,55,14,19
183,T183,T183,Rory McIlroy,54,14,22
184,T183,T183,Mike Weir,59,14,17
185,T186,T186,Luke Donald,71,11,12
186,T186,T186,Steve Stricker,73,11,15
187,188,188,Paul Casey,64,10,12
188,189,189,Retief Goosen,75,9,10
189,T190,T190,Sergio Garcia,58,8,14
190,T190,T190,Padraig Harrington,57,8,9
191,192,192,Ian Poulter,55,6,11
