,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL PUTTS GAINED,SG_Putting_MEASURED ROUNDS
0,1,1,Luke Donald,71,0.87,46.132,53
1,2,2,Carl Pettersson,99,0.818,67.878,83
2,3,3,Paul Casey,64,0.812,35.719,44
3,4,4,Dean Wilson,54,0.7809999999999999,36.71,47
4,5,5,Greg Chalmers,93,0.772,67.195,87
5,6,6,Brian Gay,101,0.73,59.84,82
6,7,7,Retief Goosen,75,0.679,35.975,53
7,8,8,Matt Kuchar,97,0.648,48.62,75
8,9,9,Chad Collins,87,0.626,46.931999999999995,75
9,10,10,Zach Johnson,93,0.583,43.71,75
10,11,11,Charlie Wi,95,0.574,51.04600000000001,89
11,12,12,Ryuji Imada,90,0.551,46.287,84
12,13,13,Michael Sim,64,0.518,27.430999999999997,53
13,14,14,Troy Merritt,86,0.512,39.441,77
14,T15,T15,Aaron Baddeley,94,0.509,44.835,88
15,T15,T15,Matt Jones,89,0.509,40.741,80
16,17,17,Scott McCarron,90,0.507,42.12,83
17,18,18,Kevin Na,94,0.493,37.434,76
18,19,19,Bryce Molder,84,0.47600000000000003,34.751,73
19,20,20,Brandt Snedeker,89,0.46399999999999997,34.775,75
20,21,21,Charles Howell III,103,0.452,40.635999999999996,90
21,22,22,Steve Stricker,73,0.43700000000000006,24.471,56
22,23,23,Ryan Palmer,84,0.433,30.714000000000002,71
23,24,24,Brad Faxon,58,0.426,20.448,48
24,25,25,Jeff Overton,89,0.409,29.066999999999997,71
25,26,26,Jim Furyk,76,0.402,24.105,60
26,27,27,Jeff Quinney,91,0.38799999999999996,31.049,80
27,28,28,Pat Perez,90,0.379,31.476,83
28,29,29,Stephen Ames,75,0.375,25.886,69
29,T30,T30,Geoff Ogilvy,62,0.37,18.519000000000002,50
30,T30,T30,Webb Simpson,98,0.37,34.035,92
31,32,32,Matt Bettencourt,91,0.368,25.756999999999998,70
32,33,33,Daniel Chopra,74,0.361,24.171999999999997,67
33,34,34,Tom Gillis,97,0.359,32.351,90
34,35,35,Nathan Green,86,0.33899999999999997,27.489,81
35,36,36,Michael Connell,89,0.337,25.943,77
36,37,37,Skip Kendall,58,0.33299999999999996,16.339000000000002,49
37,38,38,Paul Stankowski,62,0.332,17.592,53
38,39,39,Ernie Els,72,0.33,18.134,55
39,40,40,Steve Elkington,74,0.32799999999999996,19.381,59
40,41,41,George McNeill,79,0.319,22.315,70
41,42,42,James Driscoll,78,0.315,23.320999999999998,74
42,43,43,Chris Couch,66,0.302,17.831,59
43,44,44,Ryan Moore,80,0.299,18.258,61
44,45,45,Brian Stuard,81,0.289,20.497,71
45,46,46,David Toms,86,0.27399999999999997,19.18,70
46,47,47,Tim Clark,88,0.26899999999999996,18.273,68
47,48,48,Padraig Harrington,57,0.267,11.761,44
48,49,49,Ben Crane,85,0.266,17.545,66
49,50,50,Steve Marino,81,0.261,16.464000000000002,63
50,51,51,Andres Romero,73,0.254,18.311,72
51,52,52,Jimmy Walker,82,0.252,17.665,70
52,53,53,Justin Rose,78,0.243,17.032,70
53,54,54,Freddie Jacobson,83,0.24100000000000002,18.555999999999997,77
54,55,55,Matt Every,60,0.24,12.237,51
55,56,56,Shaun Micheel,70,0.235,12.474,53
56,T57,T57,Brent Delahoussaye,57,0.231,10.866,47
57,T57,T57,Chris Tidland,77,0.231,15.674000000000001,68
58,59,59,Ben Curtis,78,0.22899999999999998,15.128,66
59,60,60,J.J. Henry,92,0.217,17.179000000000002,79
60,61,61,Scott Piercy,88,0.215,17.391,81
61,62,62,Ian Poulter,55,0.213,7.227,34
62,63,63,Steve Wheatcroft,74,0.21100000000000002,12.227,58
63,64,64,Alex Prugh,88,0.20199999999999999,16.183,80
64,65,65,Blake Adams,84,0.196,14.674000000000001,75
65,66,66,Stewart Cink,84,0.19,12.359000000000002,65
66,T67,T67,Richard Johnson,90,0.188,13.692,73
67,T67,T67,Y.E. Yang,72,0.188,10.897,58
68,69,69,Chris Riley,73,0.185,11.674000000000001,63
69,70,70,Justin Leonard,89,0.18100000000000002,13.020999999999999,72
70,71,71,Tim Herron,79,0.171,11.818,69
71,72,72,Rich Barcelo,70,0.14400000000000002,8.363,58
72,73,73,Mark Wilson,87,0.139,11.005,79
73,74,74,Robert Allenby,76,0.13699999999999998,8.339,61
74,75,75,James Nitties,92,0.133,10.811,81
75,76,76,Spencer Levin,110,0.132,12.953,98
76,77,77,Jason Bohn,84,0.13,9.588,74
77,78,78,Rickie Fowler,98,0.129,10.68,83
78,79,79,David Duval,71,0.12,6.73,56
79,80,80,Dustin Johnson,83,0.11199999999999999,7.0760000000000005,63
80,81,81,Charley Hoffman,85,0.10400000000000001,8.022,77
81,82,82,Bo Van Pelt,104,0.098,8.499,87
82,83,83,Joe Ogilvie,99,0.096,8.252,86
83,84,84,Nick Watney,91,0.09,6.178,69
84,85,85,Brett Quigley,96,0.078,6.8260000000000005,88
85,86,86,Trevor Immelman,55,0.07400000000000001,3.1860000000000004,43
86,87,87,Hunter Mahan,85,0.068,4.564,67
87,88,88,Johnson Wagner,85,0.065,4.819,74
88,89,89,J.B. Holmes,100,0.064,5.667000000000001,88
89,90,90,Chris Stroud,90,0.062,4.468,72
90,91,91,K.J. Choi,82,0.054000000000000006,3.305,61
91,92,92,John Mallinger,78,0.051,3.299,65
92,93,93,Jarrod Lyle,54,0.049,2.2430000000000003,46
93,94,94,Kevin Streelman,90,0.044000000000000004,3.554,80
94,95,95,Scott Verplank,74,0.034,1.902,56
95,96,96,Jonathan Byrd,85,0.028999999999999998,2.3819999999999997,82
96,97,97,J.P. Hayes,79,0.027000000000000003,1.85,68
97,98,98,Ricky Barnes,103,0.021,1.7480000000000002,83
98,99,99,Derek Lamely,81,0.02,1.254,64
99,100,100,Aron Price,70,0.017,1.081,62
