,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Ben Crane,85,19.27,711,137
1,2,2,Kevin Na,94,18.92,798,151
2,3,3,Charlie Wi,95,18.85,918,173
3,4,4,Matt Every,60,18.84,536,101
4,5,5,Ryan Palmer,84,18.47,758,140
5,6,6,Geoff Ogilvy,62,18.46,558,103
6,7,7,Stephen Ames,75,18.45,759,140
7,8,8,Chris Couch,66,18.17,633,115
8,9,9,Tom Gillis,97,18.09,951,172
9,10,10,Steve Stricker,73,18.06,587,106
10,T11,T11,Robert Allenby,76,17.94,680,122
11,T11,T11,Carl Pettersson,99,17.94,864,155
12,13,13,Zach Johnson,93,17.84,796,142
13,14,14,Luke Donald,71,17.71,542,96
14,15,15,Rory McIlroy,54,17.68,413,73
15,16,16,Chad Collins,87,17.67,781,138
16,T17,T17,Paul Casey,64,17.62,488,86
17,T17,T17,Brandt Snedeker,89,17.62,738,130
18,19,19,Bryce Molder,84,17.56,763,134
19,T20,T20,Greg Chalmers,93,17.48,921,161
20,T20,T20,David Duval,71,17.48,612,107
21,22,22,Brian Gay,101,17.46,819,143
22,23,23,Jeff Overton,89,17.45,728,127
23,24,24,Troy Merritt,86,17.41,833,145
24,25,25,Bo Van Pelt,104,17.3,919,159
25,26,26,Justin Rose,78,17.23,714,123
26,27,27,Matt Kuchar,97,17.22,784,135
27,28,28,K.J. Choi,82,17.16,647,111
28,29,29,J.P. Hayes,79,17.14,700,120
29,30,30,Dean Wilson,54,17.13,508,87
30,31,31,Brian Stuard,81,17.09,790,135
31,32,32,Brad Faxon,58,17.05,516,88
32,33,33,Freddie Jacobson,83,17.0,812,138
33,34,34,Woody Austin,93,16.96,896,152
34,35,35,Michael Connell,89,16.89,823,139
35,36,36,Tim Clark,88,16.83,707,119
36,37,37,Shaun Micheel,70,16.81,571,96
37,38,38,Justin Leonard,89,16.77,775,130
38,39,39,Aaron Baddeley,94,16.76,907,152
39,40,40,Ryuji Imada,90,16.73,849,142
40,T41,T41,Stewart Cink,84,16.69,713,119
41,T41,T41,Johnson Wagner,85,16.69,821,137
42,43,43,Matt Bettencourt,91,16.67,696,116
43,44,44,Scott Verplank,74,16.64,553,92
44,T45,T45,Jason Day,82,16.62,758,126
45,T45,T45,David Toms,86,16.62,728,121
46,47,47,Rickie Fowler,98,16.61,879,146
47,48,48,Jeff Quinney,91,16.55,834,138
48,49,49,Brian Davis,101,16.54,889,147
49,50,50,Webb Simpson,98,16.5,982,162
50,51,51,Andres Romero,73,16.48,783,129
51,52,52,Scott Piercy,88,16.46,881,145
52,53,53,Steve Flesch,78,16.44,675,111
53,54,54,Jimmy Walker,82,16.33,747,122
54,55,55,Adam Scott,70,16.32,533,87
55,56,56,Y.E. Yang,72,16.31,607,99
56,T57,T57,James Nitties,92,16.3,865,141
57,T57,T57,Mike Weir,59,16.3,368,60
58,59,59,Derek Lamely,81,16.29,663,108
59,60,60,Nathan Green,86,16.26,861,140
60,T61,T61,Martin Flores,75,16.22,672,109
61,T61,T61,Jay Williamson,76,16.22,678,110
62,63,63,Jason Bohn,84,16.18,791,128
63,64,64,Steve Wheatcroft,74,16.13,626,101
64,65,65,Charley Hoffman,85,16.08,771,124
65,66,66,Ernie Els,72,16.06,579,93
66,T67,T67,Jeff Maggert,76,16.04,692,111
67,T67,T67,Chris Tidland,77,16.04,742,119
68,69,69,Pat Perez,90,16.01,887,142
69,70,70,George McNeill,79,15.91,767,122
70,71,71,Michael Sim,64,15.9,547,87
71,T72,T72,Joe Durant,67,15.81,645,102
72,T72,T72,D.A. Points,90,15.81,860,136
73,74,74,Michael Letzig,84,15.76,863,136
74,75,75,Kevin Streelman,90,15.75,838,132
75,76,76,Skip Kendall,58,15.73,534,84
