,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,1,1,Richard Johnson,90,"12' 5""",2635.917,212
1,T2,T2,David Lutterus,69,"12' 4""",1722.5,140
2,T2,T2,Chris Tidland,77,"12' 4""",2568.667,208
3,T4,T4,Stephen Ames,75,"12' 1""",2747.5,227
4,T4,T4,Shaun Micheel,70,"12' 1""",2059.833,171
5,T4,T4,Boo Weekley,88,"12' 1""",2591.583,214
6,T7,T7,Blake Adams,84,"12' 0""",2779.833,232
7,T7,T7,Andres Romero,73,"12' 0""",2594.0,216
8,9,9,Bill Lunde,79,"11' 11""",2109.333,177
9,T10,T10,K.J. Choi,82,"11' 10""",2440.0,206
10,T10,T10,Chad Collins,87,"11' 10""",2632.167,223
11,T10,T10,Brad Faxon,58,"11' 10""",1697.75,143
12,T10,T10,Derek Lamely,81,"11' 10""",2064.583,175
13,T14,T14,Brent Delahoussaye,57,"11' 8""",1478.75,127
14,T14,T14,Charlie Wi,95,"11' 8""",3527.0,302
15,T16,T16,Trevor Immelman,55,"11' 6""",1302.667,113
16,T16,T16,Brett Quigley,96,"11' 6""",3080.083,268
17,T16,T16,Paul Stankowski,62,"11' 6""",2163.417,188
18,T16,T16,Brett Wetterich,54,"11' 6""",1777.25,154
19,T20,T20,Robert Allenby,76,"11' 5""",2422.5,212
20,T20,T20,Matt Every,60,"11' 5""",1850.0829999999999,162
21,T20,T20,Tom Gillis,97,"11' 5""",3494.167,305
22,T20,T20,Carl Pettersson,99,"11' 5""",3063.167,269
23,T20,T20,Ian Poulter,55,"11' 5""",1039.25,91
24,T20,T20,Johnson Wagner,85,"11' 5""",2594.5,228
25,T20,T20,Dean Wilson,54,"11' 5""",1754.25,154
26,T27,T27,Paul Casey,64,"11' 4""",1798.5,159
27,T27,T27,Mathew Goggin,85,"11' 4""",2344.167,207
28,T27,T27,Jeff Gove,57,"11' 4""",1382.8329999999999,122
29,T27,T27,Troy Merritt,86,"11' 4""",2888.917,254
30,T27,T27,Bryce Molder,84,"11' 4""",2549.25,225
31,T27,T27,D.A. Points,90,"11' 4""",2567.0,227
32,T27,T27,Jerod Turner,54,"11' 4""",1260.417,111
33,T27,T27,Mark Wilson,87,"11' 4""",2689.667,238
34,T35,T35,Michael Connell,89,"11' 3""",2864.667,254
35,T35,T35,Bob Estes,79,"11' 3""",2388.0,212
36,T35,T35,Freddie Jacobson,83,"11' 3""",2820.167,251
37,T35,T35,Scott McCarron,90,"11' 3""",2720.75,242
38,T35,T35,Kevin Sutherland,86,"11' 3""",2503.417,223
39,T40,T40,Ben Crane,85,"11' 2""",2552.417,229
40,T40,T40,Jason Day,82,"11' 2""",2543.583,228
41,T40,T40,Jay Williamson,76,"11' 2""",2106.5,188
42,T43,T43,Luke Donald,71,"11' 1""",2023.0829999999999,182
43,T43,T43,Nathan Green,86,"11' 1""",2693.083,243
44,T43,T43,Kevin Na,94,"11' 1""",2812.583,254
45,T43,T43,Brian Stuard,81,"11' 1""",2365.333,213
46,T43,T43,Cameron Tringale,55,"11' 1""",1407.25,127
47,T43,T43,Y.E. Yang,72,"11' 1""",2075.833,188
48,T49,T49,Aaron Baddeley,94,"11' 0""",3225.667,293
49,T49,T49,Greg Chalmers,93,"11' 0""",3136.25,285
50,T49,T49,Chris Couch,66,"11' 0""",2248.667,205
51,T49,T49,Chris DiMarco,88,"11' 0""",2627.25,238
52,T49,T49,Retief Goosen,75,"11' 0""",1871.0829999999999,170
53,T49,T49,J.P. Hayes,79,"11' 0""",2431.083,221
54,T49,T49,Troy Matteson,84,"11' 0""",2304.25,210
55,T49,T49,Steve Stricker,73,"11' 0""",2204.75,201
56,T57,T57,Jason Bohn,84,"10' 11""",2801.167,256
57,T57,T57,Craig Bowden,56,"10' 11""",1296.583,119
58,T57,T57,Mark Calcavecchia,50,"10' 11""",1014.6669999999999,93
59,T57,T57,Stewart Cink,84,"10' 11""",2387.833,218
60,T57,T57,Ben Curtis,78,"10' 11""",2133.917,196
61,T57,T57,Martin Flores,75,"10' 11""",2079.833,191
62,T57,T57,Ryuji Imada,90,"10' 11""",2832.167,260
63,T57,T57,Skip Kendall,58,"10' 11""",1500.75,137
64,T57,T57,James Nitties,92,"10' 11""",2786.333,255
65,T57,T57,Sean O'Hair,84,"10' 11""",2038.1670000000001,187
66,T57,T57,Adam Scott,70,"10' 11""",1910.0,175
67,T68,T68,Tim Herron,79,"10' 10""",2206.333,204
68,T68,T68,Dustin Johnson,83,"10' 10""",2389.333,220
69,T68,T68,Justin Leonard,89,"10' 10""",2698.0,250
70,T68,T68,Steve Lowery,67,"10' 10""",1681.75,155
71,T68,T68,Jeff Maggert,76,"10' 10""",2019.5,187
72,T68,T68,Ryan Palmer,84,"10' 10""",2568.5,238
73,T68,T68,Aron Price,70,"10' 10""",2218.583,205
74,T68,T68,John Senden,103,"10' 10""",2829.917,261
75,T68,T68,Chris Stroud,90,"10' 10""",2398.083,221
76,T77,T77,Rich Barcelo,70,"10' 9""",1782.25,166
77,T77,T77,Henrik Bjornstad,72,"10' 9""",1810.75,169
78,T77,T77,Michael Bradley,77,"10' 9""",2107.083,196
79,T77,T77,Geoff Ogilvy,62,"10' 9""",2005.0,186
80,T77,T77,Jeff Overton,89,"10' 9""",2682.917,249
